Requirement ID,Lifecycle,Packet/tracking destination,Pending dependencies,Packet match,Dependency match
KBDL-PRN-006,Approved,None — Approved,None,True,True
KBDL-PRN-007,Approved,None — Approved,None,True,True
KBDL-PRN-008,Approved,None — Approved,None,True,True
KBDL-PRO-001,Approved,None — Approved,None,True,True
KBDL-PRO-002,Approved,None — Approved,None,True,True
KBDL-PRO-003,Approved,None — Approved,None,True,True
KBDL-PRO-004,Approved,None — Approved,None,True,True
KBDL-PRO-005,Approved,None — Approved,None,True,True
KBDL-PRO-006,Approved,None — Approved,None,True,True
KBDL-PRO-007,Approved,None — Approved,None,True,True
KBDL-PRO-008,Approved,None — Approved,None,True,True
KBDL-PRO-009,Recommended,Approval-ready item 1,None,True,True
KBDL-PRO-010,Approved,None — Approved,None,True,True
KBDL-PRO-011,Approved,None — Approved,None,True,True
KBDL-PRO-012,Approved,None — Approved,None,True,True
KBDL-PRO-013,Approved,None — Approved,None,True,True
KBDL-PRO-014,Approved,None — Approved,"None blocking; KBDL-CMP-105, KBDL-RSP-011 cited as unapproved context only, not adopted as authority",True,True
KBDL-PRO-015,Approved,None — Approved,"None blocking; KBDL-CMP-015, KBDL-CMP-036 cited as unapproved context only, not adopted as authority",True,True
KBDL-PRO-016,Recommended,Contingent — §33.3; not independently approval-ready,KBDL-CMP-067 (KBDL-008) — blocking,True,True
KBDL-PRO-017,Recommended,Approval-ready item 2,"None blocking; KBDL-RSP-002, KBDL-RSP-003 cited as unapproved context only for the eventual exact grid-interaction point, not required for this item's own approval",True,True
KBDL-PRO-018,Recommended,Contingent — §33.3; not independently approval-ready,"KBDL-CMP-015, KBDL-CMP-036 (KBDL-007) — blocking",True,True
KBDL-PRO-019,Approved,None — Approved,None,True,True
KBDL-PRO-020,Approved,None — Approved,None,True,True
KBDL-PRO-021,Approved,None — Approved,None,True,True
KBDL-PRO-022,Approved,None — Approved,None,True,True
KBDL-PRO-023,Approved,None — Approved,None,True,True
KBDL-PRO-024,Approved,None — Approved,None,True,True
KBDL-PRO-025,Approved,None — Approved,None,True,True
KBDL-PRO-026,Approved,None — Approved,None,True,True
KBDL-PRO-027,Recommended,Approval-ready item 3,None,True,True
KBDL-PRO-028,Recommended,Approval-ready item 4,None,True,True
KBDL-PRO-029,Recommended,Approval-ready item 5,None,True,True
KBDL-RSP-001,Approved,None — Approved,None,True,True
KBDL-RSP-002,Recommended,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 6; components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 17; profiles.md — 33.2 Recommended Decisions — Ready for Approval — item 2; responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 1; responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 2; responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 3; responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 4; responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 5,None,True,True
KBDL-RSP-003,Recommended,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 2,None,True,True
KBDL-RSP-004,Recommended,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 3,None,True,True
KBDL-RSP-005,Recommended,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 4,None,True,True
KBDL-RSP-006,Approved,None — Approved,None,True,True
KBDL-RSP-007,Approved,None — Approved,None,True,True
KBDL-RSP-008,Recommended,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 5,None,True,True
KBDL-RSP-009,Approved,None — Approved,None,True,True
KBDL-RSP-010,Approved,None — Approved,None,True,True
KBDL-RSP-011,Recommended,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 6,None,True,True
KBDL-RSP-012,Approved,None — Approved,None,True,True
KBDL-RSP-013,Approved,None — Approved,None,True,True
KBDL-RSP-014,Approved,None — Approved,None,True,True
KBDL-RSP-015,Approved,None — Approved,None,True,True
KBDL-RSP-016,Approved,None — Approved,None,True,True
KBDL-RSP-017,Approved,None — Approved,None,True,True
KBDL-RSP-018,Approved,None — Approved,None,True,True
KBDL-RSP-019,Approved,None — Approved,None,True,True
KBDL-RSP-020,Approved,None — Approved,None,True,True
KBDL-RSP-021,Approved,None — Approved,None,True,True
KBDL-RSP-022,Approved,None — Approved,None,True,True
KBDL-THM-001,Approved,None — Approved,None,True,True
KBDL-THM-002,Approved,None — Approved,None,True,True
KBDL-THM-003,Approved,None — Approved,None,True,True
KBDL-THM-004,Approved,None — Approved,None,True,True
KBDL-THM-005,Approved,None — Approved,None,True,True
KBDL-THM-006,Approved,None — Approved,None,True,True
KBDL-THM-007,Approved,None — Approved,None,True,True
KBDL-THM-008,Approved,None — Approved,None,True,True
KBDL-THM-009,Approved,None — Approved,None,True,True
KBDL-THM-010,Approved,None — Approved,None,True,True
KBDL-THM-011,Approved,None — Approved,None,True,True
KBDL-THM-012,Approved,None — Approved,None,True,True
KBDL-THM-012a,Approved,None — Approved,None,True,True
KBDL-THM-013,Approved,None — Approved,None,True,True
KBDL-THM-014,Approved,None — Approved,None,True,True
KBDL-THM-015,Approved,None — Approved,None,True,True
KBDL-VAL-001,Approved,None — Approved,None,True,True
KBDL-VAL-002,Approved,None — Approved,None,True,True
KBDL-VAL-003,Approved,None — Approved,None,True,True
KBDL-VAL-004,Approved,None — Approved,None,True,True
KBDL-VAL-005,Approved,None — Approved,None,True,True
KBDL-VAL-006,Approved,None — Approved,None,True,True
KBDL-VAL-007,Approved,None — Approved,None,True,True
KBDL-VAL-008,Approved,None — Approved,None,True,True
KBDL-VAL-009,Approved,None — Approved,None,True,True
KBDL-VAL-010,Approved,None — Approved,Future implementation,True,True
KBDL-VAL-011,Approved,None — Approved,Adopting project,True,True
KBDL-VAL-012,Approved,None — Approved,Planning-agent and project-owner review,True,True
