Requirement ID,Source file,Lifecycle match,Provenance match,Validation-scope match,Authority match,Packet match,Dependency match,Location match
KBDL-CMP-052,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-053,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-054,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-055,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-056,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-057,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-058,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-059,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-060,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-061,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-062,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-063,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-064,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-065,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-066,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-067,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-068,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-069,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-070,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-071,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-072,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-073,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-074,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-075,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-076,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-077,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-078,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-079,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-080,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-081,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-082,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-083,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-084,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-085,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-086,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-087,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-088,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-089,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-090,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-091,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-092,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-093,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-094,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-095,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-096,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-097,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-098,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-099,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-100,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-101,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-102,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-103,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-104,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-105,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-106,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-107,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-108,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-109,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-110,components-system.md,True,True,True,True,True,True,True
KBDL-CMP-111,components-system.md,True,True,True,True,True,True,True
KBDL-CUS-001,customization.md,True,True,True,True,True,True,True
KBDL-CUS-002,customization.md,True,True,True,True,True,True,True
KBDL-CUS-003,customization.md,True,True,True,True,True,True,True
KBDL-CUS-004,customization.md,True,True,True,True,True,True,True
KBDL-CUS-005,customization.md,True,True,True,True,True,True,True
KBDL-CUS-006,customization.md,True,True,True,True,True,True,True
KBDL-CUS-007,customization.md,True,True,True,True,True,True,True
KBDL-CUS-008,customization.md,True,True,True,True,True,True,True
KBDL-CUS-009,customization.md,True,True,True,True,True,True,True
KBDL-CUS-010,customization.md,True,True,True,True,True,True,True
KBDL-CUS-011,customization.md,True,True,True,True,True,True,True
KBDL-CUS-012,customization.md,True,True,True,True,True,True,True
KBDL-CUS-013,customization.md,True,True,True,True,True,True,True
KBDL-CUS-014,customization.md,True,True,True,True,True,True,True
KBDL-CUS-015,customization.md,True,True,True,True,True,True,True
KBDL-CUS-016,customization.md,True,True,True,True,True,True,True
KBDL-CUS-017,customization.md,True,True,True,True,True,True,True
KBDL-CUS-018,customization.md,True,True,True,True,True,True,True
KBDL-CUS-019,customization.md,True,True,True,True,True,True,True
KBDL-CUS-020,customization.md,True,True,True,True,True,True,True
KBDL-CUS-021,customization.md,True,True,True,True,True,True,True
KBDL-CUS-022,customization.md,True,True,True,True,True,True,True
KBDL-CUS-023,customization.md,True,True,True,True,True,True,True
KBDL-CUS-024,customization.md,True,True,True,True,True,True,True
KBDL-CUS-025,customization.md,True,True,True,True,True,True,True
KBDL-CUS-026,customization.md,True,True,True,True,True,True,True
KBDL-CUS-027,customization.md,True,True,True,True,True,True,True
KBDL-CUS-028,customization.md,True,True,True,True,True,True,True
KBDL-CUS-029,customization.md,True,True,True,True,True,True,True
KBDL-CUS-030,customization.md,True,True,True,True,True,True,True
KBDL-FND-001,foundations/README.md,True,True,True,True,True,True,True
KBDL-FND-002,foundations/README.md,True,True,True,True,True,True,True
KBDL-FND-003,foundations/README.md,True,True,True,True,True,True,True
KBDL-FND-004,foundations/README.md,True,True,True,True,True,True,True
KBDL-FND-005,foundations/README.md,True,True,True,True,True,True,True
KBDL-FND-006,foundations/README.md,True,True,True,True,True,True,True
KBDL-FND-007,foundations/README.md,True,True,True,True,True,True,True
KBDL-FND-008,foundations/README.md,True,True,True,True,True,True,True
KBDL-FND-009,foundations/README.md,True,True,True,True,True,True,True
KBDL-FND-010,foundations/README.md,True,True,True,True,True,True,True
KBDL-FND-011,foundations/README.md,True,True,True,True,True,True,True
KBDL-FND-012,foundations/README.md,True,True,True,True,True,True,True
KBDL-GOV-001,governance.md,True,True,True,True,True,True,True
KBDL-GOV-002,governance.md,True,True,True,True,True,True,True
KBDL-GOV-003,governance.md,True,True,True,True,True,True,True
KBDL-MOT-001,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-002,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-003,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-004,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-005,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-006,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-007,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-008,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-009,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-010,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-011,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-012,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-013,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-014,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-015,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-016,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-017,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-018,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-019,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-020,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-021,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-022,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-023,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-024,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-025,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-026,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-027,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-028,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-029,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-030,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-031,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-032,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-033,motion/README.md,True,True,True,True,True,True,True
KBDL-MOT-034,motion/README.md,True,True,True,True,True,True,True
KBDL-PRN-001,principles.md,True,True,True,True,True,True,True
KBDL-PRN-002,principles.md,True,True,True,True,True,True,True
KBDL-PRN-003,principles.md,True,True,True,True,True,True,True
KBDL-PRN-004,principles.md,True,True,True,True,True,True,True
KBDL-PRN-005,principles.md,True,True,True,True,True,True,True
KBDL-PRN-006,principles.md,True,True,True,True,True,True,True
KBDL-PRN-007,principles.md,True,True,True,True,True,True,True
KBDL-PRN-008,principles.md,True,True,True,True,True,True,True
KBDL-PRO-001,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-002,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-003,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-004,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-005,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-006,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-007,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-008,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-009,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-010,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-011,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-012,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-013,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-014,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-015,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-016,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-017,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-018,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-019,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-020,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-021,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-022,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-023,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-024,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-025,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-026,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-027,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-028,profiles.md,True,True,True,True,True,True,True
KBDL-PRO-029,profiles.md,True,True,True,True,True,True,True
KBDL-RSP-001,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-002,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-003,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-004,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-005,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-006,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-007,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-008,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-009,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-010,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-011,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-012,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-013,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-014,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-015,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-016,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-017,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-018,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-019,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-020,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-021,responsive.md,True,True,True,True,True,True,True
KBDL-RSP-022,responsive.md,True,True,True,True,True,True,True
KBDL-THM-001,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-002,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-003,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-004,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-005,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-006,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-007,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-008,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-009,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-010,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-011,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-012,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-012a,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-013,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-014,themes/README.md,True,True,True,True,True,True,True
KBDL-THM-015,themes/README.md,True,True,True,True,True,True,True
KBDL-VAL-001,validation.md,True,True,True,True,True,True,True
KBDL-VAL-002,validation.md,True,True,True,True,True,True,True
KBDL-VAL-003,validation.md,True,True,True,True,True,True,True
KBDL-VAL-004,validation.md,True,True,True,True,True,True,True
KBDL-VAL-005,validation.md,True,True,True,True,True,True,True
KBDL-VAL-006,validation.md,True,True,True,True,True,True,True
KBDL-VAL-007,validation.md,True,True,True,True,True,True,True
KBDL-VAL-008,validation.md,True,True,True,True,True,True,True
KBDL-VAL-009,validation.md,True,True,True,True,True,True,True
KBDL-VAL-010,validation.md,True,True,True,True,True,True,True
KBDL-VAL-011,validation.md,True,True,True,True,True,True,True
KBDL-VAL-012,validation.md,True,True,True,True,True,True,True
