Prompt ID,Requirement ID,Exact authority clause,Authority dependency,Additional authority source,Lifecycle,Validation status,Source file
KBDL-007,KBDL-CMP-027,Approved (directly restates native-semantics-first); project-owner-approved KBDL-007/008 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-030,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-031,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-033,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-034,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-035,Approved (behavioral requirement); project-owner-approved KBDL-007/008 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-039,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-040,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-042,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-043,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-044,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Assumed,SOLE PROMPT,None recorded,Recommended,Not applicable,components-core.md
KBDL-007,KBDL-CMP-047,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-048,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Assumed,SOLE PROMPT,None recorded,Recommended,Not applicable,components-core.md
KBDL-007,KBDL-CMP-049,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-050,Approved (restates the shared contract applied compositionally); project-owner-approved KBDL-007/008 implementation prompt,SOLE PROMPT,None recorded,Approved,Not applicable,components-core.md
KBDL-007,KBDL-CMP-051,Approved (directly restates principles.md §9.4); project-owner-approved KBDL-007/008 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-008,KBDL-CMP-055,"Approved (restates the native HTML prohibition on nested interactive elements and the already-Approved hover- independent-discoverability requirement, responsive.md §24); project-owner-approved KBDL-007/008 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,components-system.md
KBDL-008,KBDL-CMP-060,"Approved (restates the already-Approved motion- parity rule, motion/accessibility-performance.md §1); project-owner-approved KBDL-007/008 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,components-system.md
KBDL-008,KBDL-CMP-071,"the adopted WAI-ARIA 1.2 aria-modal property definition, which specifies that assistive technology should restrict its reading and navigation to the modal element while it is active, directly requires background content to be excluded from that navigation — this is the primary source for ""unreachable by ... screen-reader virtual cursor."" The already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.4.11 Focus Not Obscured support, but do not by themselves fully dictate, this outcome for pointer/sequential-navigation reachability. The approved KBDL-008 prompt's Overlay Architecture section explicitly requires ""Background inertness"" as a mandatory field for every modal overlay, which is the source for treating this as a complete, single normative rule rather than an inference from the standards alone",MIXED,WCAG,Approved,Not verified,components-system.md
KBDL-008,KBDL-CMP-072,"""dismissible via Escape"" and ""remains visible while the trigger has hover or focus"" restate the already-adopted WCAG 2.2 SC 1.4.13 Content on Hover or Focus, which dictates exactly these three properties (dismissible, hoverable, persistent). ""Must never be the sole source of its trigger's accessible name"" restates the already- Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, and the adopted WCAG 2.2 SC 4.1.2 Name, Role, Value — not SC 1.4.13, which does not address naming. ""Contains only non- interactive text"" and ""leaves focus on its trigger"" are not dictated by SC 1.4.13 or the WAI-ARIA tooltip role definition alone (the ARIA 1.2 spec describes tooltip as advisory but does not itself prohibit interactive descendants); these two clauses are normative because the approved KBDL-008 prompt explicitly requires ""Informational, non-interactive purpose"" and ""Interactive-content prohibition"" as mandatory Tooltip fields. This requirement does not treat the APG tooltip pattern (explicitly non-consensus, see §4) as a source for any clause",MIXED,KBDL-CMP-003; WCAG,Approved,Not verified,components-system.md
KBDL-008,KBDL-CMP-088,"""important, time-sensitive messages"" and ""must not move focus by default"" restate the adopted WAI-ARIA 1.2 alert role definition, which specifies an assertive live region for important, time-sensitive information without describing any inherent focus-moving behavior. ""Must not be used for routine or successful updates"" is not itself dictated by the ARIA alert role definition (which describes what the role announces, not which messages a component must avoid); this restriction is normative because the approved KBDL-008 prompt explicitly requires ""Do not use alert for every successful or routine update"" as a mandatory Alert constraint",SOLE PROMPT,None recorded,Approved,Not verified,components-system.md
KBDL-008,KBDL-CMP-090,"""sensitive information must not be exposed"" extends the existing KBDL security-safe-disclosure principle, components-core.md §37. ""Critical information must not be presented only in a transient toast without a persistent path"" and ""must not move focus to itself by default"" are not directly dictated by WCAG 2.2 SC 2.2.1 Timing Adjustable (which governs user-adjustable time limits on content generally, not the specific toast/persistent-path pattern) or by KBDL-A11Y-031 (which requires programmatic determinability, not a persistence guarantee); these two clauses are normative because the approved KBDL-008 prompt explicitly lists both as mandatory Toast/Snackbar ""Do not"" constraints. SC 2.2.1's adjustable-timing principle is cited as supporting rationale, not as the direct source of the persistent-path requirement",MIXED,KBDL-A11Y-031; WCAG; prior/existing Approved requirements,Approved,Not verified,components-system.md
KBDL-008,KBDL-CMP-096,"""hidden from assistive technology as decorative"" restates the adopted WAI-ARIA 1.2 aria-hidden semantics for purely decorative content. ""An equivalent loading announcement must be available through a separate status mechanism"" restates KBDL-A11Y-031. ""Must not expose meaningless placeholder shapes as if they were content"" is not itself dictated by either of those sources; it is normative because the approved KBDL-008 prompt explicitly requires ""Decorative accessibility treatment"" and ""Equivalent loading announcement"" as mandatory Skeleton fields, which together imply placeholder shapes must not be presented as meaningful content",MIXED,KBDL-A11Y-031,Approved,Not verified,components-system.md
KBDL-008,KBDL-CMP-098,"Approved (extends the already-Approved KBDL-007 submit-loading/duplicate-submission-prevention contract, components-core.md §23, to the surface-level loading indicator); project-owner-approved KBDL-007/008 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,components-system.md
KBDL-008,KBDL-CMP-100,"this requirement is normative because the approved KBDL-008 prompt explicitly requires ""Preservation of entered criteria"" as a mandatory No-Results State field. WCAG 2.2 SC 3.3.7 Redundant Entry (which prohibits requiring re-entry of information already supplied earlier in the same process) is cited as supporting rationale by analogy, not as a direct restatement — SC 3.3.7 governs multi-step process re-entry generally and does not by itself mandate preserving search/filter state specifically on a no-results result",MIXED,WCAG,Approved,Not verified,components-system.md
KBDL-008,KBDL-CMP-101,"that an error must be identified and described restates the already-adopted WCAG 2.2 SC 3.3.1 Error Identification, which requires errors be identified and described in text, but does not itself require classifying an error as ""recoverable or blocking"" or specifying a ""retry or alternative action"" — SC 3.3.1 governs identification, not remediation-path taxonomy. The recoverable/blocking classification and the retry/alternative-action requirement are normative because the approved KBDL-008 prompt explicitly requires ""Recoverable versus blocking error,"" ""Retry,"" and ""Alternative action"" as mandatory Error State fields, consistent with the already-Approved Technical Utility recovery-support principle, principles.md §3. The prohibition on exposing stack traces, internal exception details, credentials, or private data restates KBDL-CMP-064",MIXED,KBDL-CMP-064; WCAG,Approved,Not verified,components-system.md
KBDL-008,KBDL-CMP-103,"Approved (extends the already-Approved KBDL correctness/safety principle, principles.md §4 item 1, and the existing KBDL-007 form-recovery data-preservation pattern); project-owner-approved KBDL-007/008 implementation prompt",MIXED,prior/existing Approved requirements,Approved,Not verified,components-system.md
KBDL-008,KBDL-CMP-104,"Approved (extends the existing KBDL security principle already established in components-core.md §37, ""a disabled button is not access control""); project-owner-approved KBDL-007/008 implementation prompt",MIXED,prior/existing Approved requirements,Approved,Not verified,components-system.md
KBDL-010,KBDL-CUS-001,KBDL-DEC-004 plus the mandatory KBDL-010 prompt,MIXED,KBDL-DEC-004,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-002,KBDL lifecycle conventions and mandatory KBDL-010 prompt; project-owner-approved KBDL-010 implementation prompt,MIXED,conventions,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-003,Mandatory KBDL-010 classification model; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-004,Mandatory KBDL-010 Class A rule and owning-module lifecycle rules; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-005,"KBDL-PRN-005, KBDL-PRO-005, and mandatory KBDL-010 prompt",MIXED,KBDL-PRN-005; KBDL-PRO-005,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-006,KBDL governance plus mandatory KBDL-010 Classes C and D; project-owner-approved KBDL-010 implementation prompt,MIXED,governance,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-008,Mandatory KBDL-010 workflow; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-009,Mandatory KBDL-010 intake fields; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-011,Mandatory KBDL-010 impact and evidence clauses; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-012,Mandatory KBDL-010 change and rollback clauses; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-013,Approved foundation requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-015,Approved motion requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-016,Approved responsive requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-018,Approved KBDL-007 requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-019,Approved KBDL-008 requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-021,Prior Approved security/correctness requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,MIXED,prior/existing Approved requirements,Approved,Not verified,customization.md
KBDL-010,KBDL-CUS-022,Mandatory KBDL-010 handoff and scope clauses; project-owner-approved KBDL-010 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,customization.md
KBDL-003,KBDL-FND-001,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed (derived from KBDL-002),SOLE PROMPT,None recorded,Approved,Not verified,foundations/README.md
KBDL-003,KBDL-FND-002,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,foundations/README.md
KBDL-003,KBDL-FND-003,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,foundations/README.md
KBDL-003,KBDL-FND-004,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,foundations/README.md
KBDL-003,KBDL-FND-005,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,foundations/README.md
KBDL-003,KBDL-FND-006,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,foundations/README.md
KBDL-003,KBDL-FND-007,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,foundations/README.md
KBDL-003,KBDL-FND-008,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,foundations/README.md
KBDL-001,KBDL-GOV-001,Project-owner-approved KBDL-001 prompt and KBDL-DEC-002,MIXED,KBDL-DEC-002,Approved,Verified,governance.md
KBDL-001,KBDL-GOV-002,Project-owner-approved KBDL-001 prompt and KBDL-DEC-010,MIXED,KBDL-DEC-010,Approved,Not verified,governance.md
KBDL-001,KBDL-GOV-003,Project-owner-approved KBDL-001 prompt and KBDL-DEC-011,MIXED,KBDL-DEC-011,Approved,Verified,governance.md
KBDL-005,KBDL-MOT-001,"Approved (directly restates the locked Motion Purpose rule, principles.md §5.1); project-owner-approved KBDL-005 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,motion/README.md
KBDL-005,KBDL-MOT-002,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,SOLE PROMPT,None recorded,Approved,Not verified,motion/README.md
KBDL-005,KBDL-MOT-014,"Approved (directly restates Technical Utility's ""visible progress"" and ""error prevention"" qualities); project-owner-approved KBDL-005 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,motion/README.md
KBDL-005,KBDL-MOT-015,Approved (directly restates accessibility's requirement for a non-gesture equivalent); project-owner-approved KBDL-005 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,motion/README.md
KBDL-005,KBDL-MOT-016,"Approved (directly restates the locked component-state-clarity rule — ""must not rely on color/motion alone"" — and Accessibility by Default); project-owner-approved KBDL-005 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,motion/README.md
KBDL-005,KBDL-MOT-018,"Approved (directly restates accessibility's requirement that content remain accessible without script/animation, and the reduced-motion requirement); project-owner-approved KBDL-005 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,motion/README.md
KBDL-005,KBDL-MOT-021,Approved (directly restates safety/correctness and state-comprehension priorities); project-owner-approved KBDL-005 implementation prompt,MIXED,prior/existing Approved requirements,Approved,Not verified,motion/README.md
KBDL-005,KBDL-MOT-025,Approved (directly restates Accessibility by Default); project-owner-approved KBDL-005 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,motion/README.md
KBDL-005,KBDL-MOT-027,Approved (this governance rule itself directly restates conventions.md §1.1); project-owner-approved KBDL-005 implementation prompt,MIXED,governance; conventions,Approved,Not applicable,motion/README.md
KBDL-002,KBDL-PRN-001,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided (blueprint) and Confirmed (derived from KBDL-001 decisions),SOLE PROMPT,None recorded,Approved,Not verified,principles.md
KBDL-002,KBDL-PRN-002,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,SOLE PROMPT,None recorded,Approved,Not verified,principles.md
KBDL-002,KBDL-PRN-003,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,SOLE PROMPT,None recorded,Approved,Not verified,principles.md
KBDL-002,KBDL-PRN-004,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,SOLE PROMPT,None recorded,Approved,Not verified,principles.md
KBDL-002,KBDL-PRN-005,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,SOLE PROMPT,None recorded,Approved,Not verified,principles.md
KBDL-002,KBDL-PRN-006,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,SOLE PROMPT,None recorded,Approved,Not verified,principles.md
KBDL-002,KBDL-PRN-007,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,SOLE PROMPT,None recorded,Approved,Not verified,principles.md
KBDL-002,KBDL-PRN-008,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,SOLE PROMPT,None recorded,Approved,Not verified,principles.md
KBDL-009,KBDL-PRO-002,"the accessibility-preference distinction restates the already-Approved independence of reduced-motion and forced-colors preferences from any presentational grouping, accessibility.md §44; the complete terminology distinction is an explicit mandatory clause of the approved KBDL-009 prompt's Terminology section",SOLE PROMPT,None recorded,Approved,Not verified,profiles.md
KBDL-009,KBDL-PRO-003,"restates principles.md §9.4 and the design-decision hierarchy, principles.md §8; project-owner-approved KBDL-009 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,profiles.md
KBDL-009,KBDL-PRO-004,restates principles.md §5.2 and the already-Approved per-module profile-interpretation sections cited in §3; project-owner-approved KBDL-009 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,profiles.md
KBDL-009,KBDL-PRO-005,restates principles.md §5.3; project-owner-approved KBDL-009 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,profiles.md
KBDL-009,KBDL-PRO-006,"scope-control requirement, explicit mandatory clause of the approved KBDL-009 prompt's Locked/Controlled/ Open section",SOLE PROMPT,None recorded,Approved,Not applicable,profiles.md
KBDL-009,KBDL-PRO-007,the required field list is an explicit mandatory clause of the approved KBDL-009 prompt's Profile Selection and Declaration section,SOLE PROMPT,None recorded,Approved,Not applicable,profiles.md
KBDL-009,KBDL-PRO-008,"explicit mandatory clause of the approved KBDL-009 prompt's Profile Selection and Declaration section; also extends the already-Approved Accessibility by Default principle, principles.md §6.8",SOLE PROMPT,None recorded,Approved,Not applicable,profiles.md
KBDL-009,KBDL-PRO-010,"consolidates the already-Approved Showcase interpretation already established in principles.md §9.1, foundations/README.md §4.1, themes/README.md §8 Showcase, motion/patterns.md §10.1, and responsive.md §28; project-owner-approved KBDL-009 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,profiles.md
KBDL-009,KBDL-PRO-011,"consolidates the already-Approved Precision interpretation in principles.md §9.2, foundations/README.md §4.2, themes/README.md §8 Precision, motion/patterns.md §10.2, and responsive.md §29; project-owner-approved KBDL-009 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,profiles.md
KBDL-009,KBDL-PRO-012,"consolidates the already-Approved Flow interpretation in principles.md §9.3, foundations/README.md §4.3, themes/README.md §8 Flow, motion/patterns.md §10.3, and responsive.md §30; project-owner-approved KBDL-009 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,profiles.md
KBDL-009,KBDL-PRO-023,"restates the already-Approved KBDL-CMP-063, 064, 098, 101, 103, 104 security and correctness principles, extended explicitly to profile emphasis by the approved KBDL-009 prompt's Security Requirements section",MIXED,KBDL-CMP-063,Approved,Not verified,profiles.md
KBDL-009,KBDL-PRO-024,restates principles.md §8 and governance.md § Exception process; project-owner-approved KBDL-009 implementation prompt,MIXED,governance,Approved,Not verified,profiles.md
KBDL-009,KBDL-PRO-025,"scope-control requirement, explicit mandatory clause of the approved KBDL-009 prompt",SOLE PROMPT,None recorded,Approved,Not applicable,profiles.md
KBDL-009,KBDL-PRO-026,explicit mandatory field list from the approved KBDL-009 prompt's Profile Adoption and Change Management section,SOLE PROMPT,None recorded,Approved,Not applicable,profiles.md
KBDL-006,KBDL-RSP-001,"Approved (directly restates the locked responsive-content-priority rule, principles.md §5.1); project-owner-approved KBDL-006 implementation prompt",MIXED,prior/existing Approved requirements,Approved,Not verified,responsive.md
KBDL-006,KBDL-RSP-002,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Assumed,SOLE PROMPT,None recorded,Recommended,Not applicable,responsive.md
KBDL-006,KBDL-RSP-003,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Assumed,SOLE PROMPT,None recorded,Recommended,Not applicable,responsive.md
KBDL-006,KBDL-RSP-004,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Assumed,SOLE PROMPT,None recorded,Recommended,Not applicable,responsive.md
KBDL-006,KBDL-RSP-005,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Assumed,SOLE PROMPT,None recorded,Recommended,Not applicable,responsive.md
KBDL-006,KBDL-RSP-010,"Approved (directly restates foundations/iconography-media.md §2.3, §2.5); project-owner-approved KBDL-006 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,responsive.md
KBDL-006,KBDL-RSP-012,"Approved (restates Showcase's documented compositional emphasis, already Approved per principles.md §9.1); project-owner-approved KBDL-006 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,responsive.md
KBDL-006,KBDL-RSP-014,Approved (restates Technical Utility's predictable-behavior quality); project-owner-approved KBDL-006 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,responsive.md
KBDL-006,KBDL-RSP-017,"Approved (restates motion/accessibility-performance.md §4, already Approved, extended with layout detail); project-owner-approved KBDL-006 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,responsive.md
KBDL-006,KBDL-RSP-021,"Approved (restates motion/foundations.md §4, already Approved); project-owner-approved KBDL-006 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,responsive.md
KBDL-006,KBDL-RSP-022,Approved (restates principles.md §6.9); project-owner-approved KBDL-006 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,responsive.md
KBDL-004,KBDL-THM-001,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,themes/README.md
KBDL-004,KBDL-THM-002,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Verified,themes/README.md
KBDL-004,KBDL-THM-003,"Approved — directly and explicitly stated in the KBDL-004 preconditions (""explicit user theme choice taking precedence where a control exists"" and ""system preference as the default source when no user choice exists""); project-owner-approved KBDL-004 implementation prompt",SOLE PROMPT,None recorded,Approved,Not verified,themes/README.md
KBDL-004,KBDL-THM-004,"Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval, see KBDL-DEC-013)",MIXED,KBDL-DEC-013,Approved,Not verified,themes/README.md
KBDL-004,KBDL-THM-006,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,themes/README.md
KBDL-004,KBDL-THM-007,Approved (opaque mappings only; the three excluded opacity values remain Recommended); project-owner-approved KBDL-004 implementation prompt,SOLE PROMPT,None recorded,Approved,Mixed — Verified / Not verified,themes/README.md
KBDL-004,KBDL-THM-008,Approved (opaque mappings only; the three excluded opacity values remain Recommended); project-owner-approved KBDL-004 implementation prompt,SOLE PROMPT,None recorded,Approved,Mixed — Verified / Not verified,themes/README.md
KBDL-004,KBDL-THM-009,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),SOLE PROMPT,None recorded,Approved,Mixed — Verified / Not verified,themes/README.md
KBDL-004,KBDL-THM-011,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),SOLE PROMPT,None recorded,Approved,Not applicable,themes/README.md
KBDL-004,KBDL-THM-012,Approved (conceptual guidance only; no timing/easing value exists or is approved here); project-owner-approved KBDL-004 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,themes/README.md
KBDL-004,KBDL-THM-013,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),SOLE PROMPT,None recorded,Approved,Not verified,themes/README.md
KBDL-004,KBDL-THM-014,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),SOLE PROMPT,None recorded,Approved,Not verified,themes/README.md
KBDL-004,KBDL-THM-015,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),SOLE PROMPT,None recorded,Approved,Not verified,themes/README.md
KBDL-011,KBDL-VAL-001,approved KBDL-011 prompt,SOLE PROMPT,None recorded,Approved,Verified,validation.md
KBDL-011,KBDL-VAL-002,approved prompt,SOLE PROMPT,None recorded,Approved,Verified,validation.md
KBDL-011,KBDL-VAL-003,approved prompt and GOV-003,SOLE PROMPT,None recorded,Approved,Not verified,validation.md
KBDL-011,KBDL-VAL-004,approved prompt and GOV-003,SOLE PROMPT,None recorded,Approved,Not verified,validation.md
KBDL-011,KBDL-VAL-005,approved prompt,SOLE PROMPT,None recorded,Approved,Verified,validation.md
KBDL-011,KBDL-VAL-006,approved prompt,SOLE PROMPT,None recorded,Approved,Not verified,validation.md
KBDL-011,KBDL-VAL-007,approved prompt,SOLE PROMPT,None recorded,Approved,Not verified,validation.md
