Requirement ID,Clause ID,Method clause,Explicit Verified scope,Explicit Not-verified scope,Scope mapping,Verified claim,Required method,Evidence source,Evidence type,Exact execution command or review record,Inputs,Actual result,Pass condition,Coverage analysis,Independence analysis,Remaining Not-verified scope,Result
KBDL-THM-009,KBDL-THM-009-C01,"WCAG relative-luminance contrast calculation (completed, see validation.md)",Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,Verified scope,Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,"WCAG relative-luminance contrast calculation (completed, see validation.md)",evidence/kbdl-011-r12/artifacts/contrast-execution.txt,calculation,evidence/kbdl-011-r12/artifacts/contrast-execution.txt,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,PASS
KBDL-THM-010,KBDL-THM-010-C01,"Manual review of worst-case text-over-gradient contrast (performed for the documented example, see validation.md)",Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,Verified scope,Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,"Manual review of worst-case text-over-gradient contrast (performed for the documented example, see validation.md)",evidence/kbdl-011-r12/artifacts/contrast-execution.txt,calculation,evidence/kbdl-011-r12/artifacts/contrast-execution.txt,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,PASS
KBDL-VAL-001,KBDL-VAL-001-C01,Classification audit executed by the final validator,Verified,None,Verified scope,Verified,Classification audit executed by the final validator,UNRESOLVED,prior validator method inspection,UNRESOLVED,Recorded normative values/files,UNRESOLVED,Evidence type and scope semantically cover this clause,No independently inspected underlying method,Unresolved,None,UNRESOLVED
KBDL-VAL-001,KBDL-VAL-001-C02,PASS,Verified,None,Verified scope,Verified,PASS,UNRESOLVED,prior validator method inspection,UNRESOLVED,Recorded normative values/files,UNRESOLVED,Evidence type and scope semantically cover this clause,No independently inspected underlying method,Unresolved,None,UNRESOLVED
KBDL-VAL-002,KBDL-VAL-002-C01,Parser inventory,Verified,None,Verified scope,Verified,Parser inventory,UNRESOLVED,prior validator method inspection,UNRESOLVED,Recorded normative values/files,UNRESOLVED,Evidence type and scope semantically cover this clause,No independently inspected underlying method,Unresolved,None,UNRESOLVED
KBDL-VAL-002,KBDL-VAL-002-C02,"317 unique requirements, zero gaps/duplicates",Verified,None,Verified scope,Verified,"317 unique requirements, zero gaps/duplicates",UNRESOLVED,prior validator method inspection,UNRESOLVED,Recorded normative values/files,UNRESOLVED,Evidence type and scope semantically cover this clause,No independently inspected underlying method,Unresolved,None,UNRESOLVED
KBDL-VAL-005,KBDL-VAL-005-C01,Decision/packet audit,Verified,None,Verified scope,Verified,Decision/packet audit,UNRESOLVED,prior validator method inspection,UNRESOLVED,Recorded normative values/files,UNRESOLVED,Evidence type and scope semantically cover this clause,No independently inspected underlying method,Unresolved,None,UNRESOLVED
KBDL-VAL-005,KBDL-VAL-005-C02,zero orphan or untracked items,Verified,None,Verified scope,Verified,zero orphan or untracked items,UNRESOLVED,prior validator method inspection,UNRESOLVED,Recorded normative values/files,UNRESOLVED,Evidence type and scope semantically cover this clause,No independently inspected underlying method,Unresolved,None,UNRESOLVED
KBDL-VAL-007,KBDL-VAL-007-C01,"Complete link, anchor, heading, section, placeholder, conflict-marker, table, ID, packet, label, roadmap, readiness,",Complete documentation-integrity method,None within the stated repository method,Verified scope,Complete documentation-integrity method,"Complete link, anchor, heading, section, placeholder, conflict-marker, table, ID, packet, label, roadmap, readiness,",evidence/kbdl-011-r12/artifacts/documentation-output.txt,documentation review,evidence/kbdl-011-r12/artifacts/documentation-output.txt,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,None within the stated repository method,PASS
KBDL-VAL-007,KBDL-VAL-007-C02,completion-claim audit,Complete documentation-integrity method,None within the stated repository method,Verified scope,Complete documentation-integrity method,completion-claim audit,evidence/kbdl-011-r12/artifacts/documentation-output.txt,documentation review,evidence/kbdl-011-r12/artifacts/documentation-output.txt,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,None within the stated repository method,PASS
KBDL-VAL-009,KBDL-VAL-009-C01,WCAG contrast script,Verified,None,Verified scope,Verified,WCAG contrast script,evidence/kbdl-011-r12/artifacts/contrast-execution.txt,calculation,evidence/kbdl-011-r12/artifacts/contrast-execution.txt,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,None,PASS
KBDL-VAL-009,KBDL-VAL-009-C02,PASS,Verified,None,Verified scope,Verified,PASS,UNRESOLVED,prior validator method inspection,UNRESOLVED,Recorded normative values/files,UNRESOLVED,Evidence type and scope semantically cover this clause,No independently inspected underlying method,Unresolved,None,UNRESOLVED
KBDL-VAL-009,KBDL-VAL-009-C03,checksum recorded,Verified,None,Verified scope,Verified,checksum recorded,UNRESOLVED,prior validator method inspection,UNRESOLVED,Recorded normative values/files,UNRESOLVED,Evidence type and scope semantically cover this clause,No independently inspected underlying method,Unresolved,None,UNRESOLVED
KBDL-VAL-012,KBDL-VAL-012-C01,Completion-claim scan,Verified,None,Verified scope,Verified,Completion-claim scan,UNRESOLVED,prior validator method inspection,UNRESOLVED,Recorded normative values/files,UNRESOLVED,Evidence type and scope semantically cover this clause,No independently inspected underlying method,Unresolved,None,UNRESOLVED
KBDL-VAL-012,KBDL-VAL-012-C02,zero decisions/claims,Verified,None,Verified scope,Verified,zero decisions/claims,UNRESOLVED,prior validator method inspection,UNRESOLVED,Recorded normative values/files,UNRESOLVED,Evidence type and scope semantically cover this clause,No independently inspected underlying method,Unresolved,None,UNRESOLVED
