Requirement ID,Authoritative file,Block SHA-256,Direct fields parsed,Direct fields unresolved,Result,Defect details
KBDL-A11Y-001,accessibility.md,259153afa1f005f9b1e387a0d8d8452e820383eb24ca22be36211be0c4f973a3,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-012,accessibility.md,74e84ce1b749a9e462d9622c2aea8eae2aa6c455c18edafefa510b575ce0a94b,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-013,accessibility.md,14e00736713a9cf809b058028f23c92649058495e019c195f4d66e33c9ad18b4,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-014,accessibility.md,339b54e74a2f87e318c8efcf4ee6401b1b0b5998ea5cf1a7629d2d875d85b291,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-015,accessibility.md,c9a28268b4dfe9333ae1cdc1cad99cc9a0c9a642e5c67c44a15f4df52dd8f1f3,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-016,accessibility.md,777a56440ae7093e649bd8e17a1e112b30b596dde813f199b9c6adb5a7595f7a,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-017,accessibility.md,fdf4a72629ecdfdd8f110664cdfd3194f22895b71379d8638ccf3088a7d83627,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-018,accessibility.md,0ec2f48d99cf95842b755372eb2a4f7f31e1177fbe41a81c3e136c43b168b252,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-019,accessibility.md,457f0a41d584195294377f4601723e5a337a27915860195958ec746e9056d4fd,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-020,accessibility.md,7afc367000c1f064199a2f350ee4405ddcdb51351b3d96eafd164f91ae3dd30c,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-021,accessibility.md,eb876d3692ca25cbd714a0dfb234ea088e459bea2757135db1b94df74dd246f0,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-022,accessibility.md,1ade8137b224cc0d7e46233f5d9102042697f91c230e7209788d7a36feadc761,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-023,accessibility.md,f0a2699b667f25fe5f628f93354d4c1188ec9a298328c062627de6b456ffbceb,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-024,accessibility.md,6f1ebc2aaa81bf4a86f5c1a7b4a638965fa840e98c33da460a835e5d42eede4f,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-025,accessibility.md,92fd1389ce1090e24eb80292c84cbd388503986a6aba6e0e2576483619177db9,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-026,accessibility.md,50f8364631a51a43684d359b374ae929f20d4247b6f0a8b4904d57c1cbf3d8f1,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-027,accessibility.md,c7ef1403959ac72eefffbd611529f1c0ecef6b940c2e9bc7ce38e25b1703f066,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-028,accessibility.md,0df631c172a3f202062e170de37749b428e81d7071d02e3706fdd098786bd5b4,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-029,accessibility.md,822c2beb514de756aea5951e7e72c0450177da34b68d482de07a1d357ee3160d,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-030,accessibility.md,35d953156789338c6f5f7670fd34a01346b9f0a7b0f4b4c2d4ffb83ed5f00238,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-031,accessibility.md,f3b5f14488187e3b01edf3f7c77712cc2807cdc1d2d95a26f5d3f8d6f205dabf,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-032,accessibility.md,589ec015558ff2e4c327055a3ab805a9f96c8e25e344b8449e697d5dc6e8bef7,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-033,accessibility.md,d3d7a454cabe3dc3df73bc5ddc84cc202dd445cbf64d1af7188cb474daed5f92,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-034,accessibility.md,6fc03fb55bf52da6a7a138c3be9c206293a18f4b2ab3b7d4f38f55e4b4d6af8d,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-035,accessibility.md,43d69de05812ce4de5ac0b65c44c2294070e4e285073f278546eb0533dce8c23,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-036,accessibility.md,5141cd78f1f50e549afd0c938dc9dd107fa5d24140f84feff8f4ed6fbfb81544,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-037,accessibility.md,10c6ed8debb349ee2e7f30a9a082d80eb3c0f7b586121536760bd690eca951f8,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-038,accessibility.md,63519c97a06324482ca44031e7e0588c9f1eb185c266b4b8ee63d829a22345c5,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-039,accessibility.md,4bce71d914610f40823077d6683275abbbebaaacd91610a6139a479799e46e8f,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-040,accessibility.md,35a8b883234fe5ce02d98e025d7620dc5081ec1a5947ff7f5ecf76284d0830be,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-001,components-core.md,2b12201ee3552386c201c56875d626813bfe8c12799590cbceb6b332e9267f5a,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-002,components-core.md,38568564f157188c34d313848a8cc07fd39817e5b09430f6cd9991e000501956,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-003,components-core.md,d6964c4c81efccba9512c8b7ef5e7baf01f79ae725f37d804116c1494f9067a0,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-004,components-core.md,b45b6022f0812b43cea0441b6cd86915ea0a92699c9e0e4db9ab967a61182ab2,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-005,components-core.md,89b665c8642fe63d04a31ff05cfd7310dc42c5f4a30c4cbce5bc33cf15545a6a,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-006,components-core.md,b2da8632f90e0dab0829bf81988724e343738bc06cf08ed4579ee530f4524428,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-007,components-core.md,f5f2ad9a83fb97a7af1926c913ff92eb6513eb55a609d3cef7e8618bba549128,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-008,components-core.md,895b82861ef093779321f538c7e0d8c961c464de148a31b56379e10bd3bbdcdc,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-009,components-core.md,fe5c0b4b54388ac585bea9f758f3ed1420de80356718c5aa58eb71fc5ffba383,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-010,components-core.md,c7976752ada244181f15c9d1acbd23fb0fce96a1c522608a980056eeed3598c2,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-011,components-core.md,bbe932be73e84b004d339c2dd03f41f00744106f210c4031223c743f9a832f40,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-012,components-core.md,b78e22cb5c8948b792066d7af5c78c619b5c5ff48f38791c0a2da441b2183b5a,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-013,components-core.md,af597f23acff53a7392602e759fe0bb8481723c25dffe18d0804eed207a1f34c,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-014,components-core.md,a00b59a3cc347bb98af761467a92cc9023e208f02ff30f8269f7a0b9e090ec10,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-015,components-core.md,f107baeb80d7535c9988a85833c61bc89348ad256c95597b67e2c64f61d3f8de,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-016,components-core.md,55906ff72e37c703dfa03adea6e49ed4f6e8a9811ba76c3ee08821cd0776f5f0,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-017,components-core.md,77b7ad9cdd4ce329e925694c92ab2a07fa779a91ee7e69baf16215363df45c35,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-018,components-core.md,d96e3200d2a1533bd42ddbbef4340203d9989da7165143e6c971604d63079d3f,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-019,components-core.md,5b05398044fee924c66eab1b8b3099a3600cee3c6e84d9ed10bb34329ed35cf2,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-020,components-core.md,028c0ead74276a86f8cf971cea9106f48250aedcc5217568a7c3bafc6b021080,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-021,components-core.md,ad912151f3b62b313be5b09d0803274aea4e93b6ee40c524b78bcde4f9559c77,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-022,components-core.md,bb614753a5b4b9cc825e6f6200c8a554e3e6c179b29a5da3af073575982ef69c,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-023,components-core.md,01db906242e54798ee5279bb77c83ae5353c3f1bbfe88311718f22596cdd800a,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-024,components-core.md,961e16663b7fb679efe5b43b10f48bed461ed0cc68be3fd967d73cf59d11eb24,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-025,components-core.md,5dce1e96f32b3b21ee765ed7b9b0624fcaabe4e9735293ece550f33b6d544fcc,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-026,components-core.md,24f9faecef9c277be1ebc957e9c37092febdedadb917acd099a4a36daba4907e,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-027,components-core.md,bf1f14e5a614bc2663daeff72d7f66d64877ddef271c920358d9a4256d5393ad,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-028,components-core.md,4ae985276feb02e59a0a2639728c46e0cd9cba9d159f328f6c7066163802f847,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-029,components-core.md,70a8290b6554d186aa9a6e506a610546ce3579a668e05f2adcb7d66a8eff290e,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-030,components-core.md,42c65456cd2a454f969477b4386dbdd1f7e9430745983fb1e01e736728d9a002,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-031,components-core.md,feb772d86673fb918f5ce7b38461b355284c23fff604e25e926b2bd3260f28a2,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-032,components-core.md,ba5becedcad24977f6a7c372a1db2481f432c9ddfe1e50db30d9491617ceeaea,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-033,components-core.md,861fbf5cbccf9fc523f51fd170f891892d384bed4548d0af540a8e364f2243a9,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-034,components-core.md,4204e11f5526e5024e72df68f187ab813a351dd1dc9d91bbb1a301bedbd44759,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-035,components-core.md,84b76d550bfeef81d5845544ccd82ffced5dba7b9d7991d84021a43e56a27184,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-036,components-core.md,695d1cb07f21acd86e34c42d8465a5a5882ae1f2a6d83c14ac5362f13c8d533d,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-037,components-core.md,47de9caed5d7c1f0f4b0c12d4f745df42b89d72974218d395ae5e96a6e8f6f20,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-CMP-038,components-core.md,fbe2b4bc63dfc8744c15af8f8cdc9022c9a17b8c6114561df51ea783296c1c70,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
