Requirement ID,Authority kind,Normative authority expression,Resolved targets,Historical prompt approval,Result,Defect details
KBDL-CMP-068,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-070,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-071,prompt-derived,"the adopted WAI-ARIA 1.2 `aria-modal` property definition, which specifies that assistive technology should restrict its reading and navigation to the modal element while it is active, directly requires background content to be excluded from that navigation — this is the primary source for ""unreachable by ... screen-reader virtual cursor."" The already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.4.11 Focus Not Obscured support, but do not by themselves fully dictate, this outcome for pointer/sequential-navigation reachability. The approved KBDL-008 prompt's Overlay Architecture section explicitly requires ""Background inertness"" as a mandatory field for every modal overlay, which is the source for treating this as a complete, single normative rule rather than an inference from the standards alone.",AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-072,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-075,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-077,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-078,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-079,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-081,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-082,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-084,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-086,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-087,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-088,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-090,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-092,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-093,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-094,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-095,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-096,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-097,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-098,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-100,prompt-derived,"this requirement is normative because the approved KBDL-008 prompt explicitly requires ""Preservation of entered criteria"" as a mandatory No-Results State field. WCAG 2.2 SC 3.3.7 Redundant Entry (which prohibits requiring re-entry of information already supplied earlier in the same process) is cited as supporting rationale by analogy, not as a direct restatement — SC 3.3.7 governs multi-step process re-entry generally and does not by itself mandate preserving search/filter state specifically on a no-results result.",AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-101,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-103,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-104,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-107,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-109,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CUS-001,prompt-derived,`KBDL-DEC-004` plus the mandatory KBDL-010 prompt.,KBDL-DEC-004,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-002,prompt-derived,KBDL lifecycle conventions and mandatory KBDL-010 prompt.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-003,prompt-derived,Mandatory KBDL-010 classification model.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-004,prompt-derived,Mandatory KBDL-010 Class A rule and owning-module lifecycle rules.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-005,prompt-derived,"`KBDL-PRN-005`, `KBDL-PRO-005`, and mandatory KBDL-010 prompt.",KBDL-PRN-005; KBDL-PRO-005,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-006,prompt-derived,KBDL governance plus mandatory KBDL-010 Classes C and D.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-007,other,"`KBDL-GOV-002`, governance exception process, and mandatory KBDL-010 Classes E/F.",KBDL-GOV-002,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-008,prompt-derived,Mandatory KBDL-010 workflow.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-009,prompt-derived,Mandatory KBDL-010 intake fields.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-010,other,"`KBDL-DEC-004`, conventions, and mandatory KBDL-010 record fields.",KBDL-DEC-004,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-011,prompt-derived,Mandatory KBDL-010 impact and evidence clauses.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-012,prompt-derived,Mandatory KBDL-010 change and rollback clauses.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-013,prompt-derived,Approved foundation requirements plus mandatory KBDL-010 boundary.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-014,other,"Approved `KBDL-THM-003`, `005`, `006`, `013`, `014` plus mandatory KBDL-010 boundary.",KBDL-THM-003,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-015,prompt-derived,Approved motion requirements plus mandatory KBDL-010 boundary.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-016,prompt-derived,Approved responsive requirements plus mandatory KBDL-010 boundary.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-017,other,"`KBDL-GOV-002`, Approved accessibility requirements, and mandatory KBDL-010 boundary.",KBDL-GOV-002,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-018,prompt-derived,Approved KBDL-007 requirements plus mandatory KBDL-010 boundary.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-019,prompt-derived,Approved KBDL-008 requirements plus mandatory KBDL-010 boundary.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-020,other,"Approved `KBDL-PRO-001`–`008`, `010`–`015`, `019`–`026` plus mandatory KBDL-010 boundary.",KBDL-PRO-001,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-021,prompt-derived,Prior Approved security/correctness requirements plus mandatory KBDL-010 boundary.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CUS-022,prompt-derived,Mandatory KBDL-010 handoff and scope clauses.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-FND-001,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-FND-002,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-FND-003,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-FND-004,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-FND-005,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-FND-006,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-FND-007,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-FND-008,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-FND-009,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-FND-010,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-FND-011,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-FND-012,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-GOV-001,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-GOV-002,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-GOV-003,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-MOT-001,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-MOT-002,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-MOT-003,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-004,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-005,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-006,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-007,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-008,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-009,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-010,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-011,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-012,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-013,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-014,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-MOT-015,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-MOT-016,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-MOT-017,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-018,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-MOT-019,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-020,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-021,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-MOT-022,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-023,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-024,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-025,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-MOT-026,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-027,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-MOT-028,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-029,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-030,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-031,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-032,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-033,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-MOT-034,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-PRN-001,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRN-002,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRN-003,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRN-004,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRN-005,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRN-006,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRN-007,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRN-008,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-001,other,"restates and consolidates the already-Approved `KBDL-PRN-007`, `KBDL-FND-008`, `KBDL-THM-006`, `KBDL-MOT-026`, `KBDL-A11Y-040`, `KBDL-CMP-051`, and `KBDL-CMP-066`, each of which independently requires shared architecture in its own module",KBDL-PRN-007; KBDL-FND-008; KBDL-THM-006; KBDL-MOT-026; KBDL-A11Y-040; KBDL-CMP-051; KBDL-CMP-066,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-002,prompt-derived,"the accessibility-preference distinction restates the already-Approved independence of reduced-motion and forced-colors preferences from any presentational grouping, [accessibility.md §44](accessibility.md#44-profile-interpretation); the complete terminology distinction is an explicit mandatory clause of the approved KBDL-009 prompt's Terminology section",AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-003,prompt-derived,"restates [principles.md §9.4](principles.md#94-shared-constraints-across-profiles) and the design-decision hierarchy, [principles.md §8](principles.md#8-design-decision-hierarchy)",AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-004,prompt-derived,restates [principles.md §5.2](principles.md#52-controlled-visual-variables) and the already-Approved per-module profile-interpretation sections cited in [§3](#3-relationship-to-prior-kbdl-modules),AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-005,prompt-derived,restates [principles.md §5.3](principles.md#53-open-brand-expression),AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-006,prompt-derived,"scope-control requirement, explicit mandatory clause of the approved KBDL-009 prompt's Locked/Controlled/ Open section",AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-007,prompt-derived,the required field list is an explicit mandatory clause of the approved KBDL-009 prompt's Profile Selection and Declaration section,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
