Requirement ID,Field name,Group heading,Value classification,Parsed value,Raw group field
KBDL-GOV-002,Specification location,Accessibility baseline protection,Exact per-ID mapping,[governance.md § KBDL-GOV-002](governance.md#kbdl-gov-002--accessibility-requirements-are-protected),[governance.md § KBDL-GOV-002](governance.md#kbdl-gov-002--accessibility-requirements-are-protected)
KBDL-GOV-002,Lifecycle status,Accessibility baseline protection,Missing,MISSING,MISSING
KBDL-GOV-002,Provenance,Accessibility baseline protection,Missing,MISSING,MISSING
KBDL-GOV-002,Validation classification,Accessibility baseline protection,Exact per-ID mapping,Not verified,Not verified
KBDL-GOV-002,Authority,Accessibility baseline protection,Missing,MISSING,MISSING
KBDL-GOV-002,Validation method,Accessibility baseline protection,Exact per-ID mapping,Manual review; no automated check is applicable yet.,Manual review; no automated check is applicable yet.
KBDL-GOV-002,Validation evidence,Accessibility baseline protection,Exact per-ID mapping,Not verified — no `A11Y` requirement exists yet for this rule to be checked against.,Not verified — no `A11Y` requirement exists yet for this rule to be checked against.
KBDL-GOV-002,Known limitation,Accessibility baseline protection,Exact per-ID mapping,"Cannot be validated against a real accessibility requirement, since none exist yet.","Cannot be validated against a real accessibility requirement, since none exist yet."
KBDL-GOV-002,Packet or tracking destination,Accessibility baseline protection,Missing,MISSING,MISSING
KBDL-GOV-002,Pending dependencies,Accessibility baseline protection,Missing,MISSING,MISSING
KBDL-GOV-002,Related decision,Accessibility baseline protection,Exact per-ID mapping,KBDL-DEC-010,KBDL-DEC-010
KBDL-GOV-002,Notes or exclusions,Accessibility baseline protection,Exact per-ID mapping,Rule takes effect once `A11Y` requirements exist in a later module.,Rule takes effect once `A11Y` requirements exist in a later module.
KBDL-GOV-003,Blueprint section,Documentation governance process,Exact per-ID mapping,Governance and change control,Governance and change control
KBDL-GOV-003,Roadmap prompt,Documentation governance process,Exact per-ID mapping,KBDL-001,KBDL-001
KBDL-GOV-003,Specification location,Documentation governance process,Exact per-ID mapping,[governance.md § KBDL-GOV-003](governance.md#kbdl-gov-003--documentation-governance-process),[governance.md § KBDL-GOV-003](governance.md#kbdl-gov-003--documentation-governance-process)
KBDL-GOV-003,Lifecycle status,Documentation governance process,Missing,MISSING,MISSING
KBDL-GOV-003,Provenance,Documentation governance process,Missing,MISSING,MISSING
KBDL-GOV-003,Validation classification,Documentation governance process,Exact per-ID mapping,Verified,Verified
KBDL-GOV-003,Authority,Documentation governance process,Missing,MISSING,MISSING
KBDL-GOV-003,Validation method,Documentation governance process,Exact per-ID mapping,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence).","Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence)."
KBDL-GOV-003,Validation evidence,Documentation governance process,Exact per-ID mapping,"Manual review recorded in commit `2d356b4`, corrected in the remediation commit for this status-model fix.","Manual review recorded in commit `2d356b4`, corrected in the remediation commit for this status-model fix."
KBDL-GOV-003,Known limitation,Documentation governance process,Exact per-ID mapping,None identified.,None identified.
KBDL-GOV-003,Packet or tracking destination,Documentation governance process,Missing,MISSING,MISSING
KBDL-GOV-003,Pending dependencies,Documentation governance process,Missing,MISSING,MISSING
KBDL-GOV-003,Related decision,Documentation governance process,Exact per-ID mapping,Not applicable,Not applicable
KBDL-GOV-003,Notes or exclusions,Documentation governance process,Exact per-ID mapping,Establishes change control before design content exists.,Establishes change control before design content exists.
KBDL-PRN-001,Blueprint section,KBDL identity statement and exclusions,Exact per-ID mapping,"KBDL identity, personality, and explicit exclusions","KBDL identity, personality, and explicit exclusions"
KBDL-PRN-001,Roadmap prompt,KBDL identity statement and exclusions,Exact per-ID mapping,KBDL-002,KBDL-002
KBDL-PRN-001,Specification location,KBDL identity statement and exclusions,Exact per-ID mapping,[principles.md § 1](principles.md#1-identity-statement),[principles.md § 1](principles.md#1-identity-statement)
KBDL-PRN-001,Lifecycle status,KBDL identity statement and exclusions,Missing,MISSING,MISSING
KBDL-PRN-001,Provenance,KBDL identity statement and exclusions,Missing,MISSING,MISSING
KBDL-PRN-001,Validation classification,KBDL identity statement and exclusions,Exact per-ID mapping,Not verified,Not verified
KBDL-PRN-001,Authority,KBDL identity statement and exclusions,Missing,MISSING,MISSING
KBDL-PRN-001,Validation method,KBDL identity statement and exclusions,Exact per-ID mapping,Manual design review against Section 1 at each later module's approval gate.,Manual design review against Section 1 at each later module's approval gate.
KBDL-PRN-001,Validation evidence,KBDL identity statement and exclusions,Exact per-ID mapping,"Not verified — validation method has not yet been run against a later module, since none exist yet.","Not verified — validation method has not yet been run against a later module, since none exist yet."
KBDL-PRN-001,Known limitation,KBDL identity statement and exclusions,Exact per-ID mapping,"Cannot be checked against real foundation, theme, or component content until those modules exist.","Cannot be checked against real foundation, theme, or component content until those modules exist."
KBDL-PRN-001,Packet or tracking destination,KBDL identity statement and exclusions,Missing,MISSING,MISSING
KBDL-PRN-001,Pending dependencies,KBDL identity statement and exclusions,Missing,MISSING,MISSING
KBDL-PRN-001,Related decision,KBDL identity statement and exclusions,Exact per-ID mapping,Not applicable,Not applicable
KBDL-PRN-001,Notes or exclusions,KBDL identity statement and exclusions,Exact per-ID mapping,Establishes what KBDL is and explicitly is not.,Establishes what KBDL is and explicitly is not.
KBDL-PRN-002,Blueprint section,Luxury/utility conflict resolution,Exact per-ID mapping,Relationship between Digital Luxury and Technical Utility,Relationship between Digital Luxury and Technical Utility
KBDL-PRN-002,Roadmap prompt,Luxury/utility conflict resolution,Exact per-ID mapping,KBDL-002,KBDL-002
KBDL-PRN-002,Specification location,Luxury/utility conflict resolution,Exact per-ID mapping,[principles.md § 4](principles.md#4-relationship-between-luxury-and-utility),[principles.md § 4](principles.md#4-relationship-between-luxury-and-utility)
KBDL-PRN-002,Lifecycle status,Luxury/utility conflict resolution,Missing,MISSING,MISSING
KBDL-PRN-002,Provenance,Luxury/utility conflict resolution,Missing,MISSING,MISSING
KBDL-PRN-002,Validation classification,Luxury/utility conflict resolution,Exact per-ID mapping,Not verified,Not verified
KBDL-PRN-002,Authority,Luxury/utility conflict resolution,Missing,MISSING,MISSING
KBDL-PRN-002,Validation method,Luxury/utility conflict resolution,Exact per-ID mapping,Manual review of design decisions against the priority order.,Manual review of design decisions against the priority order.
KBDL-PRN-002,Validation evidence,Luxury/utility conflict resolution,Exact per-ID mapping,Not verified.,Not verified.
KBDL-PRN-002,Known limitation,Luxury/utility conflict resolution,Exact per-ID mapping,No real design decisions exist yet to test the priority order against.,No real design decisions exist yet to test the priority order against.
KBDL-PRN-002,Packet or tracking destination,Luxury/utility conflict resolution,Missing,MISSING,MISSING
KBDL-PRN-002,Pending dependencies,Luxury/utility conflict resolution,Missing,MISSING,MISSING
KBDL-PRN-002,Related decision,Luxury/utility conflict resolution,Exact per-ID mapping,Not applicable,Not applicable
KBDL-PRN-002,Notes or exclusions,Luxury/utility conflict resolution,Exact per-ID mapping,Includes five worked conflict examples.,Includes five worked conflict examples.
KBDL-PRN-003,Blueprint section,Core principles,Exact per-ID mapping,Core enforceable design principles,Core enforceable design principles
KBDL-PRN-003,Roadmap prompt,Core principles,Exact per-ID mapping,KBDL-002,KBDL-002
KBDL-PRN-003,Specification location,Core principles,Exact per-ID mapping,[principles.md § 6](principles.md#6-core-principles),[principles.md § 6](principles.md#6-core-principles)
KBDL-PRN-003,Lifecycle status,Core principles,Missing,MISSING,MISSING
KBDL-PRN-003,Provenance,Core principles,Missing,MISSING,MISSING
KBDL-PRN-003,Validation classification,Core principles,Exact per-ID mapping,Not verified,Not verified
KBDL-PRN-003,Authority,Core principles,Missing,MISSING,MISSING
KBDL-PRN-003,Validation method,Core principles,Exact per-ID mapping,"Manual review confirming all nine principles include every required field (normative statement, purpose, required/prohibited behavior, profile interpretation, accessibility/responsive/motion implications, review questions) and that the nine required concepts (clarity before spectacle, precision, comprehension, hierarchy, controlled expression, consistency, adaptability, accessibility by default, performance) are all present.","Manual review confirming all nine principles include every required field (normative statement, purpose, required/prohibited behavior, profile interpretation, accessibility/responsive/motion implications, review questions) and that the nine required concepts (clarity before spectacle, precision, comprehension, hierarchy, controlled expression, consistency, adaptability, accessibility by default, performance) are all present."
KBDL-PRN-003,Validation evidence,Core principles,Exact per-ID mapping,Not verified — the requirement's later-module approval-gate method has not been executed completely.,Not verified — the requirement's later-module approval-gate method has not been executed completely.
KBDL-PRN-003,Known limitation,Core principles,Exact per-ID mapping,Complete evidence across every later module is unavailable.,Complete evidence across every later module is unavailable.
KBDL-PRN-003,Packet or tracking destination,Core principles,Missing,MISSING,MISSING
KBDL-PRN-003,Pending dependencies,Core principles,Missing,MISSING,MISSING
KBDL-PRN-003,Related decision,Core principles,Exact per-ID mapping,Not applicable,Not applicable
KBDL-PRN-003,Notes or exclusions,Core principles,Exact per-ID mapping,Nine principles defined (blueprint required six to nine).,Nine principles defined (blueprint required six to nine).
KBDL-PRN-004,Blueprint section,Visual-consistency relationships,Exact per-ID mapping,Cross-project visual consistency,Cross-project visual consistency
KBDL-PRN-004,Roadmap prompt,Visual-consistency relationships,Exact per-ID mapping,KBDL-002,KBDL-002
KBDL-PRN-004,Specification location,Visual-consistency relationships,Exact per-ID mapping,[principles.md § 7](principles.md#7-visual-consistency),[principles.md § 7](principles.md#7-visual-consistency)
KBDL-PRN-004,Lifecycle status,Visual-consistency relationships,Missing,MISSING,MISSING
KBDL-PRN-004,Provenance,Visual-consistency relationships,Missing,MISSING,MISSING
KBDL-PRN-004,Validation classification,Visual-consistency relationships,Exact per-ID mapping,Not verified,Not verified
KBDL-PRN-004,Authority,Visual-consistency relationships,Missing,MISSING,MISSING
KBDL-PRN-004,Validation method,Visual-consistency relationships,Exact per-ID mapping,"Manual cross-reference review once foundation, theme, and responsive modules are approved.","Manual cross-reference review once foundation, theme, and responsive modules are approved."
KBDL-PRN-004,Validation evidence,Visual-consistency relationships,Exact per-ID mapping,Not verified — dependent modules do not exist yet.,Not verified — dependent modules do not exist yet.
KBDL-PRN-004,Known limitation,Visual-consistency relationships,Exact per-ID mapping,"Cannot be fully validated until `FND`, `THM`, and `RSP` requirements exist.","Cannot be fully validated until `FND`, `THM`, and `RSP` requirements exist."
KBDL-PRN-004,Packet or tracking destination,Visual-consistency relationships,Missing,MISSING,MISSING
KBDL-PRN-004,Pending dependencies,Visual-consistency relationships,Missing,MISSING,MISSING
KBDL-PRN-004,Related decision,Visual-consistency relationships,Exact per-ID mapping,KBDL-DEC-003,KBDL-DEC-003
KBDL-PRN-004,Notes or exclusions,Visual-consistency relationships,Exact per-ID mapping,Defines relationships only; no final values.,Defines relationships only; no final values.
KBDL-PRN-005,Blueprint section,"Locked, controlled, and open identity model",Exact per-ID mapping,Stable and variable identity elements,Stable and variable identity elements
KBDL-PRN-005,Roadmap prompt,"Locked, controlled, and open identity model",Exact per-ID mapping,KBDL-002,KBDL-002
KBDL-PRN-005,Specification location,"Locked, controlled, and open identity model",Exact per-ID mapping,[principles.md § 5](principles.md#5-stable-and-variable-identity-elements),[principles.md § 5](principles.md#5-stable-and-variable-identity-elements)
KBDL-PRN-005,Lifecycle status,"Locked, controlled, and open identity model",Missing,MISSING,MISSING
KBDL-PRN-005,Provenance,"Locked, controlled, and open identity model",Missing,MISSING,MISSING
KBDL-PRN-005,Validation classification,"Locked, controlled, and open identity model",Exact per-ID mapping,Not verified,Not verified
KBDL-PRN-005,Authority,"Locked, controlled, and open identity model",Missing,MISSING,MISSING
KBDL-PRN-005,Validation method,"Locked, controlled, and open identity model",Exact per-ID mapping,"Manual review confirming all three categories (locked, controlled, open) address every element listed in this prompt's scope, and that no final ranges or values were introduced.","Manual review confirming all three categories (locked, controlled, open) address every element listed in this prompt's scope, and that no final ranges or values were introduced."
KBDL-PRN-005,Validation evidence,"Locked, controlled, and open identity model",Exact per-ID mapping,Not verified — the requirement's full later-module and implementation review has not been executed.,Not verified — the requirement's full later-module and implementation review has not been executed.
KBDL-PRN-005,Known limitation,"Locked, controlled, and open identity model",Exact per-ID mapping,Controlled-variable ranges are intentionally undefined pending later modules.,Controlled-variable ranges are intentionally undefined pending later modules.
KBDL-PRN-005,Packet or tracking destination,"Locked, controlled, and open identity model",Missing,MISSING,MISSING
KBDL-PRN-005,Pending dependencies,"Locked, controlled, and open identity model",Missing,MISSING,MISSING
KBDL-PRN-005,Related decision,"Locked, controlled, and open identity model",Exact per-ID mapping,Not applicable,Not applicable
KBDL-PRN-005,Notes or exclusions,"Locked, controlled, and open identity model",Exact per-ID mapping,Ties directly to [governance.md § Exception process](governance.md#exception-process).,Ties directly to [governance.md § Exception process](governance.md#exception-process).
KBDL-PRN-006,Blueprint section,Design-decision hierarchy,Exact per-ID mapping,Design-decision hierarchy and conflict handling,Design-decision hierarchy and conflict handling
KBDL-PRN-006,Roadmap prompt,Design-decision hierarchy,Exact per-ID mapping,KBDL-002,KBDL-002
KBDL-PRN-006,Specification location,Design-decision hierarchy,Exact per-ID mapping,[principles.md § 8](principles.md#8-design-decision-hierarchy),[principles.md § 8](principles.md#8-design-decision-hierarchy)
KBDL-PRN-006,Lifecycle status,Design-decision hierarchy,Missing,MISSING,MISSING
KBDL-PRN-006,Provenance,Design-decision hierarchy,Missing,MISSING,MISSING
KBDL-PRN-006,Validation classification,Design-decision hierarchy,Exact per-ID mapping,Not verified,Not verified
KBDL-PRN-006,Authority,Design-decision hierarchy,Missing,MISSING,MISSING
KBDL-PRN-006,Validation method,Design-decision hierarchy,Exact per-ID mapping,Manual review of decision records against the hierarchy; conflicts escalated per governance's conflict-resolution process.,Manual review of decision records against the hierarchy; conflicts escalated per governance's conflict-resolution process.
KBDL-PRN-006,Validation evidence,Design-decision hierarchy,Exact per-ID mapping,Not verified — no real design decision has been escalated through this hierarchy yet.,Not verified — no real design decision has been escalated through this hierarchy yet.
KBDL-PRN-006,Known limitation,Design-decision hierarchy,Exact per-ID mapping,None identified.,None identified.
KBDL-PRN-006,Packet or tracking destination,Design-decision hierarchy,Missing,MISSING,MISSING
KBDL-PRN-006,Pending dependencies,Design-decision hierarchy,Missing,MISSING,MISSING
KBDL-PRN-006,Related decision,Design-decision hierarchy,Exact per-ID mapping,Not applicable,Not applicable
KBDL-PRN-006,Notes or exclusions,Design-decision hierarchy,Exact per-ID mapping,Aligns with [governance.md § Conflict-resolution process](governance.md#conflict-resolution-process).,Aligns with [governance.md § Conflict-resolution process](governance.md#conflict-resolution-process).
KBDL-PRN-007,Blueprint section,"Profile-level interpretation (Showcase, Precision, Flow)",Exact per-ID mapping,Profile-level interpretation of shared principles,Profile-level interpretation of shared principles
KBDL-PRN-007,Roadmap prompt,"Profile-level interpretation (Showcase, Precision, Flow)",Exact per-ID mapping,KBDL-002,KBDL-002
KBDL-PRN-007,Specification location,"Profile-level interpretation (Showcase, Precision, Flow)",Exact per-ID mapping,[principles.md § 9](principles.md#9-profile-level-interpretation),[principles.md § 9](principles.md#9-profile-level-interpretation)
KBDL-PRN-007,Lifecycle status,"Profile-level interpretation (Showcase, Precision, Flow)",Missing,MISSING,MISSING
KBDL-PRN-007,Provenance,"Profile-level interpretation (Showcase, Precision, Flow)",Missing,MISSING,MISSING
KBDL-PRN-007,Validation classification,"Profile-level interpretation (Showcase, Precision, Flow)",Exact per-ID mapping,Not verified,Not verified
KBDL-PRN-007,Authority,"Profile-level interpretation (Showcase, Precision, Flow)",Missing,MISSING,MISSING
KBDL-PRN-007,Validation method,"Profile-level interpretation (Showcase, Precision, Flow)",Exact per-ID mapping,Manual cross-profile consistency review once the project-profiles module is approved.,Manual cross-profile consistency review once the project-profiles module is approved.
KBDL-PRN-007,Validation evidence,"Profile-level interpretation (Showcase, Precision, Flow)",Exact per-ID mapping,Not verified — the project-profiles module (`PRO`) does not exist yet.,Not verified — the project-profiles module (`PRO`) does not exist yet.
KBDL-PRN-007,Known limitation,"Profile-level interpretation (Showcase, Precision, Flow)",Exact per-ID mapping,Cannot be fully validated until `PRO` requirements exist.,Cannot be fully validated until `PRO` requirements exist.
KBDL-PRN-007,Packet or tracking destination,"Profile-level interpretation (Showcase, Precision, Flow)",Missing,MISSING,MISSING
KBDL-PRN-007,Pending dependencies,"Profile-level interpretation (Showcase, Precision, Flow)",Missing,MISSING,MISSING
KBDL-PRN-007,Related decision,"Profile-level interpretation (Showcase, Precision, Flow)",Exact per-ID mapping,KBDL-DEC-006,KBDL-DEC-006
KBDL-PRN-007,Notes or exclusions,"Profile-level interpretation (Showcase, Precision, Flow)",Exact per-ID mapping,"Confirms Showcase, Precision, and Flow share all locked rules and principles.","Confirms Showcase, Precision, and Flow share all locked rules and principles."
KBDL-PRN-008,Blueprint section,Conforming and non-conforming design directions,Exact per-ID mapping,Conceptual examples distinguishing conformance from non-conformance,Conceptual examples distinguishing conformance from non-conformance
KBDL-PRN-008,Roadmap prompt,Conforming and non-conforming design directions,Exact per-ID mapping,KBDL-002,KBDL-002
KBDL-PRN-008,Specification location,Conforming and non-conforming design directions,Exact per-ID mapping,"[principles.md § 10](principles.md#10-conforming-design-directions), [principles.md § 11](principles.md#11-non-conforming-design-directions)","[principles.md § 10](principles.md#10-conforming-design-directions), [principles.md § 11](principles.md#11-non-conforming-design-directions)"
KBDL-PRN-008,Lifecycle status,Conforming and non-conforming design directions,Missing,MISSING,MISSING
KBDL-PRN-008,Provenance,Conforming and non-conforming design directions,Missing,MISSING,MISSING
KBDL-PRN-008,Validation classification,Conforming and non-conforming design directions,Exact per-ID mapping,Not verified,Not verified
KBDL-PRN-008,Authority,Conforming and non-conforming design directions,Missing,MISSING,MISSING
KBDL-PRN-008,Validation method,Conforming and non-conforming design directions,Exact per-ID mapping,"Manual count and coverage review confirming at least six conforming examples spanning all three profiles, both themes, an expressive moment, a repeated workflow, and a mobile context; and at least eight non-conforming patterns each with reason, broken principle, risk, and correction.","Manual count and coverage review confirming at least six conforming examples spanning all three profiles, both themes, an expressive moment, a repeated workflow, and a mobile context; and at least eight non-conforming patterns each with reason, broken principle, risk, and correction."
KBDL-PRN-008,Validation evidence,Conforming and non-conforming design directions,Exact per-ID mapping,Not verified — example-count evidence does not execute the requirement's later-module conformance-review method.,Not verified — example-count evidence does not execute the requirement's later-module conformance-review method.
KBDL-PRN-008,Known limitation,Conforming and non-conforming design directions,Exact per-ID mapping,Examples are conceptual; no mockups or token values exist to check them against yet.,Examples are conceptual; no mockups or token values exist to check them against yet.
KBDL-PRN-008,Packet or tracking destination,Conforming and non-conforming design directions,Missing,MISSING,MISSING
KBDL-PRN-008,Pending dependencies,Conforming and non-conforming design directions,Missing,MISSING,MISSING
KBDL-PRN-008,Related decision,Conforming and non-conforming design directions,Exact per-ID mapping,Not applicable,Not applicable
KBDL-PRN-008,Notes or exclusions,Conforming and non-conforming design directions,Exact per-ID mapping,"Sixteen non-conforming patterns exceed the required minimum of eight. ## KBDL-003 Rows The rows below trace KBDL-003's visual-foundation scope, defined in [foundations/README.md](foundations/README.md) and its linked documents. Each `KBDL-FND-###` requirement's full lifecycle/provenance/validation detail lives in [foundations/README.md § Normative Requirements](foundations/README.md#7-normative-requirements); this matrix records only its blueprint origin, approval status, validation status, and evidence, per this file's field definitions.","Sixteen non-conforming patterns exceed the required minimum of eight. ## KBDL-003 Rows The rows below trace KBDL-003's visual-foundation scope, defined in [foundations/README.md](foundations/README.md) and its linked documents. Each `KBDL-FND-###` requirement's full lifecycle/provenance/validation detail lives in [foundations/README.md § Normative Requirements](foundations/README.md#7-normative-requirements); this matrix records only its blueprint origin, approval status, validation status, and evidence, per this file's field definitions."
KBDL-FND-001,Blueprint section,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Color architecture — semantic roles and color- only-meaning prohibition,Color architecture — semantic roles and color- only-meaning prohibition
KBDL-FND-002,Blueprint section,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Color architecture — semantic roles and color- only-meaning prohibition,Color architecture — semantic roles and color- only-meaning prohibition
KBDL-FND-001,Roadmap prompt,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,KBDL-003,KBDL-003
KBDL-FND-002,Roadmap prompt,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,KBDL-003,KBDL-003
KBDL-FND-001,Specification location,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,[foundations/color.md §1–§2](foundations/color.md#1-architectural-principles-approved),[foundations/color.md §1–§2](foundations/color.md#1-architectural-principles-approved)
KBDL-FND-002,Specification location,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,[foundations/color.md §1–§2](foundations/color.md#1-architectural-principles-approved),[foundations/color.md §1–§2](foundations/color.md#1-architectural-principles-approved)
KBDL-FND-001,Lifecycle status,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Missing,MISSING,MISSING
KBDL-FND-002,Lifecycle status,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Missing,MISSING,MISSING
KBDL-FND-001,Provenance,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Missing,MISSING,MISSING
KBDL-FND-002,Provenance,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Missing,MISSING,MISSING
KBDL-FND-001,Validation classification,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Not verified,Not verified
KBDL-FND-002,Validation classification,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Not verified,Not verified
KBDL-FND-001,Authority,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Missing,MISSING,MISSING
KBDL-FND-002,Authority,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Missing,MISSING,MISSING
KBDL-FND-001,Validation method,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Manual review of role names and color-only-meaning usage at each later module's approval gate.,Manual review of role names and color-only-meaning usage at each later module's approval gate.
KBDL-FND-002,Validation method,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Manual review of role names and color-only-meaning usage at each later module's approval gate.,Manual review of role names and color-only-meaning usage at each later module's approval gate.
KBDL-FND-001,Validation evidence,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Not verified — no theme or component content exists yet to check role usage against.,Not verified — no theme or component content exists yet to check role usage against.
KBDL-FND-002,Validation evidence,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Not verified — no theme or component content exists yet to check role usage against.,Not verified — no theme or component content exists yet to check role usage against.
KBDL-FND-001,Known limitation,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Cannot be fully validated until `THM` and `CMP` requirements exist.,Cannot be fully validated until `THM` and `CMP` requirements exist.
KBDL-FND-002,Known limitation,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Cannot be fully validated until `THM` and `CMP` requirements exist.,Cannot be fully validated until `THM` and `CMP` requirements exist.
KBDL-FND-001,Packet or tracking destination,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Missing,MISSING,MISSING
KBDL-FND-002,Packet or tracking destination,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Missing,MISSING,MISSING
KBDL-FND-001,Pending dependencies,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Missing,MISSING,MISSING
KBDL-FND-002,Pending dependencies,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Missing,MISSING,MISSING
KBDL-FND-001,Related decision,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Not applicable,Not applicable
KBDL-FND-002,Related decision,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Not applicable,Not applicable
KBDL-FND-001,Notes or exclusions,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Architecture only; recommended hue values are tracked separately below (KBDL-FND-009).,Architecture only; recommended hue values are tracked separately below (KBDL-FND-009).
KBDL-FND-002,Notes or exclusions,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Uniform default,Architecture only; recommended hue values are tracked separately below (KBDL-FND-009).,Architecture only; recommended hue values are tracked separately below (KBDL-FND-009).
KBDL-FND-003,Blueprint section,"Spacing rhythm and responsive content priority (KBDL-FND-003, KBDL-FND-004)",Uniform default,Spacing rhythm and content-driven breakpoints,Spacing rhythm and content-driven breakpoints
KBDL-FND-004,Blueprint section,"Spacing rhythm and responsive content priority (KBDL-FND-003, KBDL-FND-004)",Uniform default,Spacing rhythm and content-driven breakpoints,Spacing rhythm and content-driven breakpoints
KBDL-FND-003,Roadmap prompt,"Spacing rhythm and responsive content priority (KBDL-FND-003, KBDL-FND-004)",Uniform default,KBDL-003,KBDL-003
KBDL-FND-004,Roadmap prompt,"Spacing rhythm and responsive content priority (KBDL-FND-003, KBDL-FND-004)",Uniform default,KBDL-003,KBDL-003
KBDL-FND-003,Specification location,"Spacing rhythm and responsive content priority (KBDL-FND-003, KBDL-FND-004)",Uniform default,"[foundations/spacing-layout.md §1, §3](foundations/spacing-layout.md#1-spacing-and-sizing-logic)","[foundations/spacing-layout.md §1, §3](foundations/spacing-layout.md#1-spacing-and-sizing-logic)"
