Requirement ID,Candidate authority expression,Authority classification,AR2 mapping,Resolved decisions,Resolved requirements,Adopted standard basis,Historical approval status,Result,Defect details
KBDL-A11Y-015,"Approved (directly restates WCAG 2.2 SC 1.3.4, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-016,"Approved (directly restates WCAG 2.2 SC 2.1.1, SC 2.1.4, and SC 3.2.1, all Level A)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-017,"Approved (directly restates WCAG 2.2 SC 2.1.2, Level A)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-018,"Approved (directly restates WCAG 2.2 SC 2.4.1, Level A)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-019,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-006,None,None,None,UNRECOVERED,PASS,None
KBDL-A11Y-020,"Approved (directly restates WCAG 2.2 SC 2.5.8, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-022,"Approved (directly restates WCAG 2.2 SC 2.5.2, Level A)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-023,"Approved (directly restates WCAG 2.2 SC 2.5.1, Level A, and SC 2.5.7, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-024,"Approved (directly restates WCAG 2.2 SC 2.5.4, Level A)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-025,"Approved (restates KBDL-MOT-022, already Approved under KBDL-DEC-014; not reopened)",Approved decision-derived,None,KBDL-DEC-014,KBDL-MOT-022,None,Not applicable,PASS,None
KBDL-A11Y-026,"Approved (directly restates WCAG 2.2 SC 2.3.1, Level A, and restates the already-Approved KBDL-MOT-023)",Mixed,None,None,KBDL-MOT-023,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-027,"Approved (directly restates WCAG 2.2 SC 2.2.1 and SC 2.2.2, both Level A)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-028,"Approved (directly restates WCAG 2.2 SC 1.3.5, SC 2.5.3, SC 3.2.2, SC 3.3.2, and SC 3.3.7, Levels A/AA as listed)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-029,"Approved (directly restates WCAG 2.2 SC 3.3.1, Level A, and SC 3.3.3, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-030,"Approved (directly restates WCAG 2.2 SC 3.3.4, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-031,"Approved (directly restates WCAG 2.2 SC 4.1.3, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-032,"Approved (directly restates WCAG 2.2 SC 3.3.8, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-033,"Approved (directly restates WCAG 2.2 SC 3.1.1, Level A, and KBDL-PRN-003, Consumer Comprehension)",Mixed,None,None,KBDL-PRN-003,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-034,"Approved (directly restates WCAG 2.2 SC 2.4.4, Level A, and SC 3.2.6, Level A)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-036,Approved (cross-reference to already-Approved requirements); project-owner-approved KBDL-006 implementation prompt,AR2 prompt-derived,KBDL-006,None,None,None,UNRECOVERED,PASS,None
KBDL-A11Y-037,Approved (restates KBDL-A11Y-003 applied to tabular data),Prior-Approved-requirement-derived,None,None,KBDL-A11Y-003,None,Not applicable,PASS,None
KBDL-A11Y-038,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,AR2 prompt-derived,KBDL-006,None,None,None,UNRECOVERED,PASS,None
KBDL-A11Y-039,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,AR2 prompt-derived,KBDL-006,None,None,None,UNRECOVERED,PASS,None
KBDL-A11Y-040,Approved (directly restates principles.md §9.4); project-owner-approved KBDL-006 implementation prompt,AR2 prompt-derived,KBDL-006,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-001,Approved (structural completeness requirement); project-owner-approved KBDL-007/008 implementation prompt,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-002,Approved (directly restates WCAG 2.2 SC 4.1.2 and the WAI-ARIA First Rule of ARIA Use),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-003,Approved (directly restates WCAG 2.2 SC 4.1.2 and SC 2.5.3),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-004,Approved (directly restates the locked component-state-clarity rule); project-owner-approved KBDL-007/008 implementation prompt,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-005,Approved (scope-control requirement); project-owner-approved KBDL-007/008 implementation prompt,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-006,Approved (directly restates WCAG 2.2 SC 2.4.7 and SC 2.4.11),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-007,Approved (directly restates WCAG 2.2 SC 2.1.1 and SC 2.1.2),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-008,Approved (directly restates WCAG 2.2 SC 2.5.2 and SC 2.5.8),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-009,"Approved (directly restates KBDL-RSP-001, 006, 007, 020)",Prior-Approved-requirement-derived,None,None,KBDL-RSP-001,None,Not applicable,PASS,None
KBDL-CMP-010,Approved (directly restates KBDL-A11Y-020),Prior-Approved-requirement-derived,None,None,KBDL-A11Y-020,None,Not applicable,PASS,None
KBDL-CMP-011,Approved (directly restates the approved theme architecture); project-owner-approved KBDL-007/008 implementation prompt,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-012,Approved (directly restates the approved foundation architecture); project-owner-approved KBDL-007/008 implementation prompt,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-013,"Approved (structural requirement — the obligation to document motion necessity/purpose/hierarchy/parity per component is itself Approved; the *exact* component-specific duration, distance, scale, stagger, easing, choreography, or rendering-technology mapping for any individual component is not newly approved by this requirement where no prior approved KBDL rule already supplies it — such exact mappings remain governed by the existing motion unresolved/not-approval-ready items in motion/README.md §10.3 and this module's own §36); project-owner-approved KBDL-007/008 implementation prompt",AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-014,Approved (core restates native-semantics-first and state-model rules); project-owner-approved KBDL-007/008 implementation prompt,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-016,Approved (directly restates WCAG 2.2 SC 4.1.2),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-018,Approved (directly restates WAI-ARIA),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-019,Approved (directly restates WCAG 2.2 SC 2.4.4),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-021,Approved (directly restates the WAI-ARIA disclosure pattern),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-022,"Approved (directly restates WCAG 2.2 SC 3.3.2, SC 1.3.5, SC 3.3.7)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-023,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-024,Approved (directly restates WCAG 2.2 SC 3.3.8),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-026,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-027,Approved (directly restates native-semantics-first); project-owner-approved KBDL-007/008 implementation prompt,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-028,Approved (directly restates WAI-ARIA/APG),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-030,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-031,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-032,Approved (directly restates WAI-ARIA switch role),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-033,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-034,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-035,Approved (behavioral requirement); project-owner-approved KBDL-007/008 implementation prompt,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-037,"Approved (directly restates WCAG 2.2 SC 3.3.1, SC 3.3.3, SC 3.3.4, SC 3.3.7, SC 4.1.3)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-038,Approved (directly restates WCAG 2.2 SC 2.4.1),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-039,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-040,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-042,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-043,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-045,Approved (directly restates the WAI-ARIA tabs pattern),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-047,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-049,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-050,Approved (restates the shared contract applied compositionally); project-owner-approved KBDL-007/008 implementation prompt,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-051,Approved (directly restates principles.md §9.4); project-owner-approved KBDL-007/008 implementation prompt,AR2 prompt-derived,KBDL-007,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-052,"Approved (scope-control requirement, extends KBDL-CMP-005)",Prior-Approved-requirement-derived,None,None,KBDL-CMP-005,None,Not applicable,PASS,None
KBDL-CMP-053,"Approved (extends the already-Approved native- semantics-first rule, KBDL-CMP-002, and the adopted ARIA 1.2 region role definition, to this module's surfaces)",Mixed,None,None,KBDL-CMP-002,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-054,Approved (restates ARIA 1.2's region role definition),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-055,"Approved (restates the native HTML prohibition on nested interactive elements and the already-Approved hover- independent-discoverability requirement, responsive.md §24); project-owner-approved KBDL-007/008 implementation prompt",AR2 prompt-derived,KBDL-008,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-056,"Approved (dictated outcome of the already-adopted WCAG 2.2 focus, keyboard, and reading-order rules applied to layered content — a structural scope statement, not new policy)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-057,"Approved (restates the already-adopted WCAG 2.2 SC 2.1.1 Keyboard and SC 2.1.2 No Keyboard Trap, and the already- Approved KBDL-007 keyboard contract, KBDL-CMP-007, applied explicitly to non-modal overlays)",Mixed,None,None,KBDL-CMP-007,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-058,Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order — an unset focus target would violate the requirement that focus order remain determinable),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-059,"Approved (restates the already-adopted WCAG 2.2 SC 2.2.1 Timing Adjustable, extended to this module's dismissible surfaces generally, beyond the Toast-specific case in KBDL-CMP-090)",Mixed,None,None,KBDL-CMP-090,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-060,"Approved (restates the already-Approved motion- parity rule, motion/accessibility-performance.md §1); project-owner-approved KBDL-007/008 implementation prompt",AR2 prompt-derived,KBDL-008,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-061,"Approved (restates the locked component-state- clarity rule, principles.md §5.1, and KBDL-CMP-004, applied explicitly to the states this document introduces)",Prior-Approved-requirement-derived,None,None,KBDL-CMP-004,None,Not applicable,PASS,None
KBDL-CMP-062,"Approved (restates KBDL-CMP-053/002 as an explicit prohibition, distinguishing the general preference from the specific misuse it forbids)",Prior-Approved-requirement-derived,None,None,KBDL-CMP-053,None,Not applicable,PASS,None
KBDL-CMP-063,"Approved (restates the already-Approved correctness/safety priority, principles.md §4 item 1, as a general baseline; KBDL-CMP-103 states its Offline/ Reconnecting-specific application)",Prior-Approved-requirement-derived,None,None,KBDL-CMP-103,None,Not applicable,PASS,None
KBDL-CMP-064,Approved (extends the existing KBDL security principle already established in components-core.md §37 as a general baseline; KBDL-CMP-101 and KBDL-CMP-104 state its Error-State- and Permission/Not-Found-specific applications),Prior-Approved-requirement-derived,None,None,KBDL-CMP-101; KBDL-CMP-104,None,Not applicable,PASS,None
KBDL-CMP-065,"Approved (extends the already-Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, to this module)",Prior-Approved-requirement-derived,None,None,KBDL-CMP-003,None,Not applicable,PASS,None
KBDL-CMP-066,"Approved (restates the already-Approved KBDL-007 profile-consistency requirement, KBDL-CMP-051, applied to this module)",Prior-Approved-requirement-derived,None,None,KBDL-CMP-051,None,Not applicable,PASS,None
KBDL-CMP-068,Approved (restates the adopted ARIA disclosure pattern's role/state definitions and the already-Approved KBDL-007 disclosure-trigger contract),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-070,"Approved (restates the already-adopted WCAG 2.2 SC 1.3.1 Info and Relationships and the native-semantics-first rule, KBDL-CMP-002)",Mixed,None,None,KBDL-CMP-002,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-071,"the adopted WAI-ARIA 1.2 aria-modal property definition, which specifies that assistive technology should restrict its reading and navigation to the modal element while it is active, directly requires background content to be excluded from that navigation — this is the primary source for ""unreachable by ... screen-reader virtual cursor."" The already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.4.11 Focus Not Obscured support, but do not by themselves fully dictate, this outcome for pointer/sequential-navigation reachability. The approved KBDL-008 prompt's Overlay Architecture section explicitly requires ""Background inertness"" as a mandatory field for every modal overlay, which is the source for treating this as a complete, single normative rule rather than an inference from the standards alone",Mixed,KBDL-008,None,None,adopted-standard-derived,UNRECOVERED,PASS,None
KBDL-CMP-072,"""dismissible via Escape"" and ""remains visible while the trigger has hover or focus"" restate the already-adopted WCAG 2.2 SC 1.4.13 Content on Hover or Focus, which dictates exactly these three properties (dismissible, hoverable, persistent). ""Must never be the sole source of its trigger's accessible name"" restates the already- Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, and the adopted WCAG 2.2 SC 4.1.2 Name, Role, Value — not SC 1.4.13, which does not address naming. ""Contains only non- interactive text"" and ""leaves focus on its trigger"" are not dictated by SC 1.4.13 or the WAI-ARIA tooltip role definition alone (the ARIA 1.2 spec describes tooltip as advisory but does not itself prohibit interactive descendants); these two clauses are normative because the approved KBDL-008 prompt explicitly requires ""Informational, non-interactive purpose"" and ""Interactive-content prohibition"" as mandatory Tooltip fields. This requirement does not treat the APG tooltip pattern (explicitly non-consensus, see §4) as a source for any clause",Mixed,KBDL-008,None,KBDL-CMP-003,adopted-standard-derived,UNRECOVERED,PASS,None
KBDL-CMP-075,Approved (restates the adopted WAI-ARIA 1.2 menu role definitions and the already-Approved KBDL-007 trigger contract),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-077,Approved (restates the adopted WAI-ARIA 1.2 listbox role definitions and the already-Approved KBDL-007 combobox contract),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-078,"Approved (restates the already-adopted WCAG 2.2 SC 4.1.2 Name, Role, Value and SC 2.1.1 Keyboard)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-079,"Approved (restates KBDL-CMP-071 and the already-adopted WCAG 2.2 SC 2.1.2 No Keyboard Trap, applied to the definition of modality itself — this is the ""modal integrity"" rule)",Mixed,None,None,KBDL-CMP-071,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-081,Approved (restates the adopted WAI-ARIA 1.2 alertdialog role definition),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-082,"Approved (scope-control requirement, restates KBDL-CMP-005/KBDL-CMP-052)",Prior-Approved-requirement-derived,None,None,KBDL-CMP-005; KBDL-CMP-052,None,Not applicable,PASS,None
KBDL-CMP-084,"Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.1.2 No Keyboard Trap applied to nested layered content — not a new policy choice, since any other outcome would create an indeterminate or trapped focus state)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-086,Approved (restates KBDL-A11Y-031 and the adopted WAI-ARIA 1.2 live-region role definitions),Mixed,None,None,KBDL-A11Y-031,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-087,Approved (restates KBDL-CMP-004's already- Approved state-clarity rule and the adopted WCAG 2.2 SC 1.4.1 Use of Color),Mixed,None,None,KBDL-CMP-004,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-088,"""important, time-sensitive messages"" and ""must not move focus by default"" restate the adopted WAI-ARIA 1.2 alert role definition, which specifies an assertive live region for important, time-sensitive information without describing any inherent focus-moving behavior. ""Must not be used for routine or successful updates"" is not itself dictated by the ARIA alert role definition (which describes what the role announces, not which messages a component must avoid); this restriction is normative because the approved KBDL-008 prompt explicitly requires ""Do not use alert for every successful or routine update"" as a mandatory Alert constraint",Mixed,KBDL-008,None,None,adopted-standard-derived,UNRECOVERED,PASS,None
KBDL-CMP-090,"""sensitive information must not be exposed"" extends the existing KBDL security-safe-disclosure principle, components-core.md §37. ""Critical information must not be presented only in a transient toast without a persistent path"" and ""must not move focus to itself by default"" are not directly dictated by WCAG 2.2 SC 2.2.1 Timing Adjustable (which governs user-adjustable time limits on content generally, not the specific toast/persistent-path pattern) or by KBDL-A11Y-031 (which requires programmatic determinability, not a persistence guarantee); these two clauses are normative because the approved KBDL-008 prompt explicitly lists both as mandatory Toast/Snackbar ""Do not"" constraints. SC 2.2.1's adjustable-timing principle is cited as supporting rationale, not as the direct source of the persistent-path requirement",Mixed,KBDL-008,None,KBDL-A11Y-031,adopted-standard-derived,UNRECOVERED,PASS,None
KBDL-CMP-092,Approved (restates KBDL-A11Y-031 and the adopted WAI-ARIA 1.2 status/log role and aria-live/aria-atomic definitions),Mixed,None,None,KBDL-A11Y-031,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-093,"Approved (restates the adopted WCAG 2.2 SC 1.1.1 Non-text Content and SC 4.1.2 Name, Role, Value)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-094,Approved (restates the adopted WAI-ARIA 1.2 progressbar role definition and native <progress> semantics),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-095,Approved (restates the adopted WAI-ARIA 1.2 meter role definition and native <meter> semantics),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-096,"""hidden from assistive technology as decorative"" restates the adopted WAI-ARIA 1.2 aria-hidden semantics for purely decorative content. ""An equivalent loading announcement must be available through a separate status mechanism"" restates KBDL-A11Y-031. ""Must not expose meaningless placeholder shapes as if they were content"" is not itself dictated by either of those sources; it is normative because the approved KBDL-008 prompt explicitly requires ""Decorative accessibility treatment"" and ""Equivalent loading announcement"" as mandatory Skeleton fields, which together imply placeholder shapes must not be presented as meaningful content",Mixed,KBDL-008,None,KBDL-A11Y-031,adopted-standard-derived,UNRECOVERED,PASS,None
KBDL-CMP-097,"Approved (restates KBDL-A11Y-031 and the locked component-state-clarity rule, principles.md §5.1)",Prior-Approved-requirement-derived,None,None,KBDL-A11Y-031,None,Not applicable,PASS,None
KBDL-CMP-098,"Approved (extends the already-Approved KBDL-007 submit-loading/duplicate-submission-prevention contract, components-core.md §23, to the surface-level loading indicator); project-owner-approved KBDL-007/008 implementation prompt",AR2 prompt-derived,KBDL-008,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-100,"this requirement is normative because the approved KBDL-008 prompt explicitly requires ""Preservation of entered criteria"" as a mandatory No-Results State field. WCAG 2.2 SC 3.3.7 Redundant Entry (which prohibits requiring re-entry of information already supplied earlier in the same process) is cited as supporting rationale by analogy, not as a direct restatement — SC 3.3.7 governs multi-step process re-entry generally and does not by itself mandate preserving search/filter state specifically on a no-results result",Mixed,KBDL-008,None,None,adopted-standard-derived,UNRECOVERED,PASS,None
KBDL-CMP-101,"that an error must be identified and described restates the already-adopted WCAG 2.2 SC 3.3.1 Error Identification, which requires errors be identified and described in text, but does not itself require classifying an error as ""recoverable or blocking"" or specifying a ""retry or alternative action"" — SC 3.3.1 governs identification, not remediation-path taxonomy. The recoverable/blocking classification and the retry/alternative-action requirement are normative because the approved KBDL-008 prompt explicitly requires ""Recoverable versus blocking error,"" ""Retry,"" and ""Alternative action"" as mandatory Error State fields, consistent with the already-Approved Technical Utility recovery-support principle, principles.md §3. The prohibition on exposing stack traces, internal exception details, credentials, or private data restates KBDL-CMP-064",Mixed,KBDL-008,None,KBDL-CMP-064,adopted-standard-derived,UNRECOVERED,PASS,None
KBDL-CMP-103,"Approved (extends the already-Approved KBDL correctness/safety principle, principles.md §4 item 1, and the existing KBDL-007 form-recovery data-preservation pattern); project-owner-approved KBDL-007/008 implementation prompt",AR2 prompt-derived,KBDL-008,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-104,"Approved (extends the existing KBDL security principle already established in components-core.md §37, ""a disabled button is not access control""); project-owner-approved KBDL-007/008 implementation prompt",AR2 prompt-derived,KBDL-008,None,None,None,UNRECOVERED,PASS,None
KBDL-CMP-107,Approved (restates the already-adopted WCAG 2.2 SC 2.2.2),adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CMP-109,"Approved (restates the already-adopted WCAG 2.2 SC 1.4.1 Use of Color, SC 1.3.1 Info and Relationships, and SC 2.1.1 Keyboard, applied to chart content, using the existing approved Data-display roles rather than inventing new ones)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-CUS-001,KBDL-DEC-004 plus the mandatory KBDL-010 prompt,Mixed,KBDL-010,KBDL-DEC-004,None,None,UNRECOVERED,PASS,None
KBDL-CUS-002,KBDL lifecycle conventions and mandatory KBDL-010 prompt; project-owner-approved KBDL-010 implementation prompt,AR2 prompt-derived,KBDL-010,None,None,None,UNRECOVERED,PASS,None
KBDL-CUS-003,Mandatory KBDL-010 classification model; project-owner-approved KBDL-010 implementation prompt,AR2 prompt-derived,KBDL-010,None,None,None,UNRECOVERED,PASS,None
KBDL-CUS-004,Mandatory KBDL-010 Class A rule and owning-module lifecycle rules; project-owner-approved KBDL-010 implementation prompt,AR2 prompt-derived,KBDL-010,None,None,None,UNRECOVERED,PASS,None
KBDL-CUS-005,"KBDL-PRN-005, KBDL-PRO-005, and mandatory KBDL-010 prompt",Mixed,KBDL-010,None,KBDL-PRN-005; KBDL-PRO-005,None,UNRECOVERED,PASS,None
KBDL-CUS-006,KBDL governance plus mandatory KBDL-010 Classes C and D; project-owner-approved KBDL-010 implementation prompt,AR2 prompt-derived,KBDL-010,None,None,None,UNRECOVERED,PASS,None
