Requirement ID,Owning source row,Expected destination,Effective destination,Expected dependency,Effective dependency,Classification,Match
KBDL-CMP-044,"| 7 | Breadcrumb truncation model | Adopt collapsing middle levels behind a single overflow control (e.g., an ellipsis trigger) that reveals all hidden levels, never removing them (`KBDL-CMP-044`) | Preserves full hierarchy access while managing space at `compact` | Silently dropping middle levels (rejected — loses navigable history); horizontal scroll (rejected — awkward for a short list) | Overflow trigger itself must follow the Disclosure Trigger contract | Overflow trigger inherits the already-Approved disclosure accessibility contract | Depends on approved breakpoint values for exact trigger point | None | None | None | Applies identically across profiles | `KBDL-CMP-021` | `KBDL-CMP-044` | Item 7 only |",components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 7,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 7,None,None,None,True
KBDL-CMP-046,"| 2 | Tabs activation model | Adopt manual activation (arrow keys move focus; a separate key/click activates the panel) as the default, per APG guidance for asynchronous panel content (`KBDL-CMP-046`) | Reduces unintended panel loads while navigating with arrow keys, per APG recommendation for panels with non-trivial load cost | Automatic activation (rejected as the sole default — can trigger unwanted loads while arrow-key browsing, though valid for lightweight panels) | Requires clear instructions/affordance for users on how to activate a focused-but-not-yet-active tab | None beyond APG's own guidance, which this follows | None | None | None | None | Applies identically across profiles | `KBDL-CMP-045` | `KBDL-CMP-046` | Item 2 only |",components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 2,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 2,None,None,None,True
KBDL-CMP-048,"| 8 | Pagination truncation model | Adopt an ellipsis-based truncation showing first, last, current, and immediate neighbors, with the ellipsis itself non-interactive text (`KBDL-CMP-048`) | Common, well-understood pattern that preserves orientation without excessive control count | Showing every page number always (rejected — unusable for very large sets); a ""load more"" model only (rejected — loses direct page access) | None significant | Ellipsis must not be the only way to reach hidden pages — a documented current-page/total-count text should remain available | None | None | None | None | Applies identically across profiles | `KBDL-CMP-047` | `KBDL-CMP-048` | Item 8 only |",components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 8,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 8,None,None,None,True
KBDL-CMP-067,"| 1 | Card-variant taxonomy | Adopt a defined set of card variants for media relationship and action placement (`KBDL-CMP-067`) | Gives summary/preview surfaces a consistent, predictable structure | An unbounded per-project card taxonomy (rejected — fragments consistency) | Requires per-project mapping to visual treatment once themes/foundations are implemented | Nested-interaction and hover-only prohibitions (`KBDL-CMP-055`) remain unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-055` | `KBDL-CMP-067` | Item 1 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 1,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 1,None,None,None,True
KBDL-CMP-069,| 2 | Accordion open model | Adopt a default single-open or multiple-open accordion behavior | Gives expandable-content lists a consistent default | Leaving the choice fully per-instance (rejected — inconsistent expectations) | Requires documenting any mandatory-open exception | Trigger/panel relationship (`KBDL-CMP-068`) unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-068` | `KBDL-CMP-069` | Item 2 only |,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 2,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 2,None,None,None,True
KBDL-CMP-073,| 3 | Tooltip trigger/persistence/placement policy | Adopt KBDL-specific hover/focus timing and default placement behavior for tooltips (`KBDL-CMP-073`) | Provides a consistent tooltip feel without relying on the non-consensus APG timing guidance | Deferring entirely to implementation judgment (rejected — inconsistent behavior across projects) | Exact millisecond delay values remain a later implementation decision | Naming independence (`KBDL-CMP-072`) unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-072` | `KBDL-CMP-073` | Item 3 only |,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 3,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 3,None,None,None,True
KBDL-CMP-074,"| 4 | Popover taxonomy and dismissal model | Adopt a defined popover-versus-menu-versus-modal taxonomy and a default outside-pointer/Escape/focus-loss dismissal model (`KBDL-CMP-074`) | Prevents ad hoc, inconsistent choices between overlapping overlay types | No taxonomy, decided per instance (rejected — inconsistent dismissal expectations) | None significant | None beyond what non-modal focus rules already require | None | None | None | None | Applies identically across profiles | None | `KBDL-CMP-074` | Item 4 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 4,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 4,None,None,None,True
KBDL-CMP-076,"| 5 | Menu interaction and dismissal model | Adopt a defined menu focus-movement, type-ahead, submenu, and return-focus model (`KBDL-CMP-076`) | Gives command/choice menus a consistent, predictable keyboard model | Relying on the APG menu pattern's exact behavior without KBDL adoption (rejected — the APG pattern is not automatically Approved) | None significant | ARIA role relationship (`KBDL-CMP-075`) unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-075` | `KBDL-CMP-076` | Item 5 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 5,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 5,None,None,None,True
KBDL-CMP-080,"| 6 | Modal sizing and nested-modal policy | Adopt a modal sizing model and a one-modal-at-a-time (or defined exception) nesting policy (`KBDL-CMP-080`) | Prevents ambiguous or competing modal stacking | Unlimited nested modals (rejected — focus/Escape ownership becomes ambiguous) | None significant | Modal integrity (`KBDL-CMP-079`) unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-079`, `KBDL-CMP-084` | `KBDL-CMP-080` | Item 6 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 6,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 6,None,None,None,True
KBDL-CMP-083,| 7 | Drawer/Sheet taxonomy and default modality | Adopt a general drawer/sheet taxonomy and default modality for each conceptual variant (`KBDL-CMP-083`) | Gives edge-attached surfaces a consistent default behavior | Treating every drawer as identical to a modal dialog (rejected — collapses a useful distinction) | Navigation-collapse use remains separately contingent on `KBDL-CMP-041` regardless of this item's approval | KBDL-007 navigation-trigger boundary (`KBDL-CMP-082`) unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-082` | `KBDL-CMP-083` | Item 7 only |,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 7,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 7,None,None,None,True
KBDL-CMP-085,"| 8 | Overlay nesting/stacking policy | Adopt a maximum practical non-modal stacking depth and confirm the one-modal-at-a-time default (`KBDL-CMP-085`) | Keeps layering deterministic and testable | Unbounded nesting (rejected — same ambiguity risk as item 6) | None significant | Layering ownership (`KBDL-CMP-084`) unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-080`, `KBDL-CMP-084` | `KBDL-CMP-085` | Item 8 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 8,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 8,None,None,None,True
KBDL-CMP-089,"| 9 | Banner severity taxonomy | Adopt a defined banner severity/variant set (`KBDL-CMP-089`) | Gives page-level messages a consistent, predictable set of meanings | An unbounded per-project banner variant set (rejected — fragments consistency) | None significant | Alert-role boundary (`KBDL-CMP-088`) unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-088` | `KBDL-CMP-089` | Item 9 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 9,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 9,None,None,None,True
KBDL-CMP-091,"| 10 | Toast lifecycle model | Adopt auto-dismiss timing, queueing, duplicate suppression, and stacking/placement defaults for toasts (`KBDL-CMP-091`) | Gives transient feedback a consistent, testable lifecycle | Leaving timing fully to implementation judgment (rejected — inconsistent, risks WCAG 2.2.1 issues if timing is too short) | Exact millisecond/second values remain a later implementation decision | Critical-information boundary (`KBDL-CMP-090`) unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-090` | `KBDL-CMP-091` | Item 10 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 10,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 10,None,None,None,True
KBDL-CMP-099,"| 11 | Empty-state taxonomy | Adopt an empty-state taxonomy (first-use, user-cleared, permission-limited, genuinely-empty), illustration policy, and action hierarchy (`KBDL-CMP-099`) | Gives absence-of-content states a consistent, predictable structure | A single undifferentiated ""empty"" treatment (rejected — conflates causes with different correct actions) | None significant | Programmatic-determinability requirement (`KBDL-CMP-097`) unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-097`, `KBDL-CMP-100` | `KBDL-CMP-099` | Item 11 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 11,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 11,None,None,None,True
KBDL-CMP-102,"| 12 | Error/system-state severity taxonomy and recovery hierarchy | Adopt a severity taxonomy and recovery hierarchy distinguishing maintenance, unavailable, and degraded conditions (`KBDL-CMP-102`) | Gives system-wide disruption states a consistent, predictable escalation model | Treating all disruptions identically (rejected — obscures whether an action is possible) | None significant | Recovery/error-identification requirement (`KBDL-CMP-101`) unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-101`, `KBDL-CMP-103` | `KBDL-CMP-102` | Item 12 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 12,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 12,None,None,None,True
KBDL-CMP-105,"| 13 | Grid-versus-table threshold and interactive-grid model | Adopt a threshold for when grid semantics are justified and the resulting composite-widget keyboard model (`KBDL-CMP-105`) | Prevents casual misuse of a composite keyboard model on effectively static data | Using grid semantics by default for any tabular data (rejected — unnecessary complexity and keyboard-model risk) | Exact virtualization/resizing/pinning behavior remains a later implementation decision | Static-table distinction (`KBDL-CMP-070`) unaffected either way | `KBDL-RSP-011` cited as unapproved context, not adopted as authority | None | None | None | Applies identically across profiles | `KBDL-CMP-070` | `KBDL-CMP-105` | Item 13 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 13,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 13,None,None,None,True
KBDL-CMP-106,"| 14 | Tree/treegrid justification threshold | Adopt a threshold for when hierarchical, tabular, or combined interaction genuinely requires tree/treegrid semantics, and the resulting model (`KBDL-CMP-106`) | Prevents casual misuse of a composite hierarchical widget for simple nested lists | Using tree semantics for any nested list (rejected — unnecessary complexity) | None significant | Distinction from Accordion (`KBDL-CMP-068`) and Grid (`KBDL-CMP-105`) unaffected either way | None | None | None | None | Applies identically across profiles | `KBDL-CMP-068`, `KBDL-CMP-105` | `KBDL-CMP-106` | Item 14 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 14,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 14,None,None,None,True
KBDL-CMP-108,"| 15 | Carousel auto-rotation default policy | Adopt a default policy on automatic rotation and, if permitted, an interval and hover/focus-pause behavior (`KBDL-CMP-108`) | Establishes whether auto-rotation is even a default before any interval is chosen | Always auto-rotating by default (rejected pending review — raises distraction/motion-safety concerns); never auto-rotating (a valid, conservative option this item may adopt) | None significant | Pause/stop/hide requirement (`KBDL-CMP-107`) applies regardless of this item's outcome | None | None | Any auto-rotation is itself a motion choice subject to the approved motion-safety baseline | None | Applies identically across profiles | `KBDL-CMP-107` | `KBDL-CMP-108` | Item 15 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 15,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 15,None,None,None,True
KBDL-CMP-110,"| 16 | Data-visualization chart taxonomy and interaction model | Adopt a chart taxonomy, tooltip-interaction behavior, and keyboard-navigation model for interactive charts, independent of the still-unapproved exact palette (`KBDL-CMP-110`) | Gives data-heavy views a consistent, accessible interaction pattern without waiting on palette decisions | No defined taxonomy, chosen per project (rejected — inconsistent accessibility quality across charts) | None significant | Non-color-encoding requirement (`KBDL-CMP-109`) unaffected either way; palette itself remains unapproved and unaffected by this item | None | None | None | None | Applies identically across profiles | `KBDL-CMP-109` | `KBDL-CMP-110` | Item 16 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 16,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 16,None,None,None,True
KBDL-CMP-111,"| 17 | Responsive transformation policy for overlays and tabular data | Adopt content-driven transformation patterns (dialog-to-full-screen, table-to-cards, popover-to-sheet) independent of the exact unapproved breakpoint values (`KBDL-CMP-111`) | Gives narrow-viewport adaptation a consistent, predictable pattern set | Ad hoc, per-project transformation choices (rejected — inconsistent responsive behavior) | Exact trigger breakpoint remains dependent on the eventual `KBDL-RSP-002` value | Static Data Table semantics (`KBDL-CMP-070`) unaffected either way | `KBDL-RSP-002` cited as eventual, unapproved context for the exact trigger point only, not adopted as authority | None | None | None | Applies identically across profiles | `KBDL-CMP-070`, `KBDL-CMP-080` | `KBDL-CMP-111` | Item 17 only |",components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 17,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 17,None,None,None,True
KBDL-CUS-023,Explicit contingent/deferred source,Approval-ready item 1,Approval-ready item 1,None,None,None,True
KBDL-CUS-024,Explicit contingent/deferred source,Approval-ready item 2,Approval-ready item 2,None,None,None,True
KBDL-CUS-025,Explicit contingent/deferred source,Approval-ready item 3,Approval-ready item 3,None,None,None,True
KBDL-CUS-026,Explicit contingent/deferred source,Approval-ready item 4,Approval-ready item 4,None,None,None,True
KBDL-CUS-027,Explicit contingent/deferred source,Approval-ready item 5,Approval-ready item 5,None,None,None,True
KBDL-CUS-028,Explicit contingent/deferred source,Approval-ready item 6,Approval-ready item 6,None,None,None,True
KBDL-CUS-029,Explicit contingent/deferred source,Approval-ready item 7,Approval-ready item 7,None,None,None,True
KBDL-CUS-030,Explicit contingent/deferred source,Deferred tracking,Deferred tracking,Later implementation/tooling authorization,Later implementation/tooling authorization,Deferred,True
KBDL-PRO-009,"| 1 | Primary/secondary/hybrid profile policy | Adopt a policy on primary-profile exclusivity, secondary-profile permission, and hybrid precedence (`KBDL-PRO-009`) | Prevents undocumented, inconsistent profile-mixing across projects | No policy, decided per project (rejected — risks silent fragmentation) | Requires documenting precedence for any approved hybrid case | None beyond what the declaration process already requires | None | None | None | None | None | Applies to how any profile is declared | None | `KBDL-PRO-009` | Item 1 only |",Approval-ready item 1,Approval-ready item 1,None,None,None,True
KBDL-PRO-016,Explicit contingent/deferred source,Contingent — [§33.3](#333-unresolved-or-not-approval-ready); not independently approval-ready,Contingent — [§33.3](#333-unresolved-or-not-approval-ready); not independently approval-ready,KBDL-CMP-067 (KBDL-008) — blocking,KBDL-CMP-067 (KBDL-008) — blocking,Blocking,True
KBDL-PRO-017,"| 2 | Precision density and component-emphasis defaults | Adopt exact Precision spacing-intensity and table-presentation defaults (`KBDL-PRO-017`) | Gives Precision projects a consistent starting density | Leaving density fully per-project (rejected — inconsistent cross-project recognizability) | Exact spacing values remain bound by the already-approved spacing scale | Target-size minimum (`KBDL-CMP-010`) unaffected either way | Depends on eventual `KBDL-RSP-002`/`003` values for exact grid interaction, cited as context only | None | None | Static Data Table/Grid distinction (`KBDL-CMP-070`) unaffected | None | Precision only | `KBDL-CMP-010`, `KBDL-CMP-070` | `KBDL-PRO-017` | Item 2 only |",Approval-ready item 2,Approval-ready item 2,"None blocking; KBDL-RSP-002, KBDL-RSP-003 cited as unapproved context only for the eventual exact grid-interaction point, not required for this item's own approval","None blocking; KBDL-RSP-002, KBDL-RSP-003 cited as unapproved context only for the eventual exact grid-interaction point, not required for this item's own approval",Context only,True
KBDL-PRO-018,Explicit contingent/deferred source,Contingent — [§33.3](#333-unresolved-or-not-approval-ready); not independently approval-ready,Contingent — [§33.3](#333-unresolved-or-not-approval-ready); not independently approval-ready,"KBDL-CMP-015, KBDL-CMP-036 (KBDL-007) — blocking","KBDL-CMP-015, KBDL-CMP-036 (KBDL-007) — blocking",Blocking,True
KBDL-PRO-027,"| 3 | Change and migration governance | Adopt a profile-change and migration review policy (`KBDL-PRO-027`) | Gives profile changes a consistent, auditable process | No governance, changes undocumented (rejected — loses adoption-history integrity) | Requires review-date tracking in the adoption record | None significant | None | None | None | None | None | Applies to any project changing profile | `KBDL-PRO-026` | `KBDL-PRO-027` | Item 3 only |",Approval-ready item 3,Approval-ready item 3,None,None,None,True
KBDL-PRO-028,"| 4 | Profile-selection rubric | Adopt a qualitative rubric (not a numeric score) for matching project characteristics to a profile | Gives projects a consistent, repeatable selection method beyond ad hoc judgment | A numeric scoring model (rejected for now — risks false precision without validated weighting) | Requires periodic review as new project types emerge | None significant | None | None | None | None | None | Applies to profile selection generally | `KBDL-PRO-007`, `KBDL-PRO-008` | `KBDL-PRO-028` | Item 4 only |",Approval-ready item 4,Approval-ready item 4,None,None,None,True
KBDL-PRO-029,"| 5 | Profile review cadence | Adopt a default review-date interval for profile adoption records | Keeps profile fit and pending-dependency status current | No default cadence, left to each project (rejected — risks stale declarations) | None significant | None | None | None | None | None | None | Applies to any adopted profile | `KBDL-PRO-026` | `KBDL-PRO-029` | Item 5 only |",Approval-ready item 5,Approval-ready item 5,None,None,None,True
KBDL-RSP-002,"| 1 | Exact breakpoint thresholds | Adopt 0/600/905/1240px for compact/standard/expanded/wide ([§7](#7-proposed-exact-breakpoint-thresholds), `KBDL-RSP-002`) | Reflects genuine content-reorganization points at common reading-column widths | Device-based thresholds (rejected, violates approved philosophy) | May need revision once real content is authored | Must remain compatible with 320px reflow regardless of value | None at this level | Showcase may add profile-scoped breakpoints within these; shared roles unaffected | `KBDL-FND-011` |",responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 1,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 1,None,None,None,True
KBDL-RSP-003,"| 2 | Grid column counts | Adopt 4/8/12/12 columns ([§8](#8-grid-and-column-behavior), `KBDL-RSP-003`) | Matches typical multi-region layout needs per role | A fixed 12-column grid at every size (rejected — forces unnecessary subdivision at compact) | Column count is a proportion reference, not a rigid mandate | Not applicable at this level | None | Precision benefits most from higher column counts at expanded/wide | `KBDL-RSP-002` |",responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 2,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 2,None,None,None,True
KBDL-RSP-004,"| 3 | Container widths and reading measures | Adopt the values in [§9](#9-container-widths-and-reading-measures) (`KBDL-RSP-004`) | Keeps reading measure within the already-approved 45–75 character range at every breakpoint | Unconstrained full-width text at wide (rejected — breaks reading measure) | Requires per-column width tracking at multi-column breakpoints | Supports reading comprehension, an accessibility-adjacent benefit | None | Applies identically across profiles | `KBDL-RSP-002`, foundation typography |",responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 3,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 3,None,None,None,True
KBDL-RSP-005,"| 4 | Gutters and margins | Adopt the values in [§10](#10-gutters-and-responsive-spacing) (`KBDL-RSP-005`) | Uses the existing approved spacing scale, no new unit | A separate gutter-specific scale (rejected — fragments the spacing system) | None significant | Spacing compression must not go below target-size-compatible minimums | None | Applies identically across profiles | `KBDL-RSP-002`, foundation spacing scale |",responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 4,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 4,None,None,None,True
KBDL-RSP-008,"| 5 | Navigation collapse thresholds | Adopt collapse at `standard` for persistent-to-menu transition (`KBDL-RSP-008`) | Matches the point where a persistent sidebar plus content no longer fits comfortably | Collapsing only at `compact` (rejected — persistent nav at 600–904px crowds content) | Requires testing the exact collapse point against real navigation content | Collapsed trigger must remain keyboard/screen-reader operable, unaffected by this decision | None | Applies identically; profiles vary navigation style, not the threshold | `KBDL-RSP-002` |",responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 5,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 5,None,None,None,True
KBDL-RSP-011,"| 6 | Data-dense/tabular responsive strategy | Adopt scoped horizontal scroll, card transformation, and column-priority collapse as the three permitted strategies (`KBDL-RSP-011`) | Covers the realistic range of dense-table responsive needs without prescribing one universal technique | A single mandatory technique (rejected — different data shapes need different strategies) | Requires per-table judgment about which strategy fits | Column-priority collapse must never silently drop data | None | Precision benefits most; Showcase/Flow rarely apply | `KBDL-RSP-001` |",responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 6,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 6,None,None,None,True
