Requirement ID,Independent authority source,Expected authority,Effective authority,Targets,Invalid targets,Resolved
KBDL-A11Y-015,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.3.4, Level AA)","Approved (directly restates WCAG 2.2 SC 1.3.4, Level AA)",Prompt/standard,None,True
KBDL-A11Y-016,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.1.1, SC 2.1.4, and SC 3.2.1, all Level A)","Approved (directly restates WCAG 2.2 SC 2.1.1, SC 2.1.4, and SC 3.2.1, all Level A)",Prompt/standard,None,True
KBDL-A11Y-017,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.1.2, Level A)","Approved (directly restates WCAG 2.2 SC 2.1.2, Level A)",Prompt/standard,None,True
KBDL-A11Y-018,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.4.1, Level A)","Approved (directly restates WCAG 2.2 SC 2.4.1, Level A)",Prompt/standard,None,True
KBDL-A11Y-019,accessibility.md authoritative block/prompt state,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-A11Y-020,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.5.8, Level AA)","Approved (directly restates WCAG 2.2 SC 2.5.8, Level AA)",Prompt/standard,None,True
KBDL-A11Y-022,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.5.2, Level A)","Approved (directly restates WCAG 2.2 SC 2.5.2, Level A)",Prompt/standard,None,True
KBDL-A11Y-023,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.5.1, Level A, and SC 2.5.7, Level AA)","Approved (directly restates WCAG 2.2 SC 2.5.1, Level A, and SC 2.5.7, Level AA)",Prompt/standard,None,True
KBDL-A11Y-024,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.5.4, Level A)","Approved (directly restates WCAG 2.2 SC 2.5.4, Level A)",Prompt/standard,None,True
KBDL-A11Y-025,accessibility.md authoritative block/prompt state,"Approved (restates KBDL-MOT-022, already Approved under KBDL-DEC-014; not reopened)","Approved (restates KBDL-MOT-022, already Approved under KBDL-DEC-014; not reopened)",KBDL-DEC-014; KBDL-MOT-022,None,True
KBDL-A11Y-026,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.3.1, Level A, and restates the already-Approved KBDL-MOT-023)","Approved (directly restates WCAG 2.2 SC 2.3.1, Level A, and restates the already-Approved KBDL-MOT-023)",KBDL-MOT-023,None,True
KBDL-A11Y-027,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.2.1 and SC 2.2.2, both Level A)","Approved (directly restates WCAG 2.2 SC 2.2.1 and SC 2.2.2, both Level A)",Prompt/standard,None,True
KBDL-A11Y-028,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.3.5, SC 2.5.3, SC 3.2.2, SC 3.3.2, and SC 3.3.7, Levels A/AA as listed)","Approved (directly restates WCAG 2.2 SC 1.3.5, SC 2.5.3, SC 3.2.2, SC 3.3.2, and SC 3.3.7, Levels A/AA as listed)",Prompt/standard,None,True
KBDL-A11Y-029,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 3.3.1, Level A, and SC 3.3.3, Level AA)","Approved (directly restates WCAG 2.2 SC 3.3.1, Level A, and SC 3.3.3, Level AA)",Prompt/standard,None,True
KBDL-A11Y-030,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 3.3.4, Level AA)","Approved (directly restates WCAG 2.2 SC 3.3.4, Level AA)",Prompt/standard,None,True
KBDL-A11Y-031,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 4.1.3, Level AA)","Approved (directly restates WCAG 2.2 SC 4.1.3, Level AA)",Prompt/standard,None,True
KBDL-A11Y-032,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 3.3.8, Level AA)","Approved (directly restates WCAG 2.2 SC 3.3.8, Level AA)",Prompt/standard,None,True
KBDL-A11Y-033,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 3.1.1, Level A, and KBDL-PRN-003, Consumer Comprehension)","Approved (directly restates WCAG 2.2 SC 3.1.1, Level A, and KBDL-PRN-003, Consumer Comprehension)",KBDL-PRN-003,None,True
KBDL-A11Y-034,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.4.4, Level A, and SC 3.2.6, Level A)","Approved (directly restates WCAG 2.2 SC 2.4.4, Level A, and SC 3.2.6, Level A)",Prompt/standard,None,True
KBDL-A11Y-036,accessibility.md authoritative block/prompt state,Approved (cross-reference to already-Approved requirements); project-owner-approved KBDL-006 implementation prompt,Approved (cross-reference to already-Approved requirements); project-owner-approved KBDL-006 implementation prompt,Prompt/standard,None,True
KBDL-A11Y-037,accessibility.md authoritative block/prompt state,Approved (restates KBDL-A11Y-003 applied to tabular data),Approved (restates KBDL-A11Y-003 applied to tabular data),KBDL-A11Y-003,None,True
KBDL-A11Y-038,accessibility.md authoritative block/prompt state,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,Prompt/standard,None,True
KBDL-A11Y-039,accessibility.md authoritative block/prompt state,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,Prompt/standard,None,True
KBDL-A11Y-040,accessibility.md authoritative block/prompt state,Approved (directly restates principles.md §9.4); project-owner-approved KBDL-006 implementation prompt,Approved (directly restates principles.md §9.4); project-owner-approved KBDL-006 implementation prompt,Prompt/standard,None,True
KBDL-CMP-001,components-core.md authoritative block/prompt state,Approved (structural completeness requirement); project-owner-approved KBDL-007/008 implementation prompt,Approved (structural completeness requirement); project-owner-approved KBDL-007/008 implementation prompt,Prompt/standard,None,True
KBDL-CMP-002,components-core.md authoritative block/prompt state,Approved (directly restates WCAG 2.2 SC 4.1.2 and the WAI-ARIA First Rule of ARIA Use),Approved (directly restates WCAG 2.2 SC 4.1.2 and the WAI-ARIA First Rule of ARIA Use),Prompt/standard,None,True
KBDL-CMP-003,components-core.md authoritative block/prompt state,Approved (directly restates WCAG 2.2 SC 4.1.2 and SC 2.5.3),Approved (directly restates WCAG 2.2 SC 4.1.2 and SC 2.5.3),Prompt/standard,None,True
KBDL-CMP-004,components-core.md authoritative block/prompt state,Approved (directly restates the locked component-state-clarity rule); project-owner-approved KBDL-007/008 implementation prompt,Approved (directly restates the locked component-state-clarity rule); project-owner-approved KBDL-007/008 implementation prompt,Prompt/standard,None,True
KBDL-CMP-005,components-core.md authoritative block/prompt state,Approved (scope-control requirement); project-owner-approved KBDL-007/008 implementation prompt,Approved (scope-control requirement); project-owner-approved KBDL-007/008 implementation prompt,Prompt/standard,None,True
KBDL-CMP-006,components-core.md authoritative block/prompt state,Approved (directly restates WCAG 2.2 SC 2.4.7 and SC 2.4.11),Approved (directly restates WCAG 2.2 SC 2.4.7 and SC 2.4.11),Prompt/standard,None,True
KBDL-CMP-007,components-core.md authoritative block/prompt state,Approved (directly restates WCAG 2.2 SC 2.1.1 and SC 2.1.2),Approved (directly restates WCAG 2.2 SC 2.1.1 and SC 2.1.2),Prompt/standard,None,True
KBDL-CMP-008,components-core.md authoritative block/prompt state,Approved (directly restates WCAG 2.2 SC 2.5.2 and SC 2.5.8),Approved (directly restates WCAG 2.2 SC 2.5.2 and SC 2.5.8),Prompt/standard,None,True
KBDL-CMP-009,components-core.md authoritative block/prompt state,"Approved (directly restates KBDL-RSP-001, 006, 007, 020)","Approved (directly restates KBDL-RSP-001, 006, 007, 020)",KBDL-RSP-001,None,True
KBDL-CMP-010,components-core.md authoritative block/prompt state,Approved (directly restates KBDL-A11Y-020),Approved (directly restates KBDL-A11Y-020),KBDL-A11Y-020,None,True
KBDL-CMP-011,components-core.md authoritative block/prompt state,Approved (directly restates the approved theme architecture); project-owner-approved KBDL-007/008 implementation prompt,Approved (directly restates the approved theme architecture); project-owner-approved KBDL-007/008 implementation prompt,Prompt/standard,None,True
KBDL-CMP-012,components-core.md authoritative block/prompt state,Approved (directly restates the approved foundation architecture); project-owner-approved KBDL-007/008 implementation prompt,Approved (directly restates the approved foundation architecture); project-owner-approved KBDL-007/008 implementation prompt,Prompt/standard,None,True
KBDL-CMP-013,components-core.md authoritative block/prompt state,"Approved (structural requirement — the obligation to document motion necessity/purpose/hierarchy/parity per component is itself Approved; the *exact* component-specific duration, distance, scale, stagger, easing, choreography, or rendering-technology mapping for any individual component is not newly approved by this requirement where no prior approved KBDL rule already supplies it — such exact mappings remain governed by the existing motion unresolved/not-approval-ready items in motion/README.md §10.3 and this module's own §36); project-owner-approved KBDL-007/008 implementation prompt","Approved (structural requirement — the obligation to document motion necessity/purpose/hierarchy/parity per component is itself Approved; the *exact* component-specific duration, distance, scale, stagger, easing, choreography, or rendering-technology mapping for any individual component is not newly approved by this requirement where no prior approved KBDL rule already supplies it — such exact mappings remain governed by the existing motion unresolved/not-approval-ready items in motion/README.md §10.3 and this module's own §36); project-owner-approved KBDL-007/008 implementation prompt",Prompt/standard,None,True
KBDL-CMP-014,components-core.md authoritative block/prompt state,Approved (core restates native-semantics-first and state-model rules); project-owner-approved KBDL-007/008 implementation prompt,Approved (core restates native-semantics-first and state-model rules); project-owner-approved KBDL-007/008 implementation prompt,Prompt/standard,None,True
KBDL-CMP-016,components-core.md authoritative block/prompt state,Approved (directly restates WCAG 2.2 SC 4.1.2),Approved (directly restates WCAG 2.2 SC 4.1.2),Prompt/standard,None,True
KBDL-CMP-018,components-core.md authoritative block/prompt state,Approved (directly restates WAI-ARIA),Approved (directly restates WAI-ARIA),Prompt/standard,None,True
KBDL-CMP-019,components-core.md authoritative block/prompt state,Approved (directly restates WCAG 2.2 SC 2.4.4),Approved (directly restates WCAG 2.2 SC 2.4.4),Prompt/standard,None,True
KBDL-CMP-021,components-core.md authoritative block/prompt state,Approved (directly restates the WAI-ARIA disclosure pattern),Approved (directly restates the WAI-ARIA disclosure pattern),Prompt/standard,None,True
KBDL-CMP-022,components-core.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 3.3.2, SC 1.3.5, SC 3.3.7)","Approved (directly restates WCAG 2.2 SC 3.3.2, SC 1.3.5, SC 3.3.7)",Prompt/standard,None,True
KBDL-CMP-023,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-024,components-core.md authoritative block/prompt state,Approved (directly restates WCAG 2.2 SC 3.3.8),Approved (directly restates WCAG 2.2 SC 3.3.8),Prompt/standard,None,True
KBDL-CMP-026,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-027,components-core.md authoritative block/prompt state,Approved (directly restates native-semantics-first); project-owner-approved KBDL-007/008 implementation prompt,Approved (directly restates native-semantics-first); project-owner-approved KBDL-007/008 implementation prompt,Prompt/standard,None,True
KBDL-CMP-028,components-core.md authoritative block/prompt state,Approved (directly restates WAI-ARIA/APG),Approved (directly restates WAI-ARIA/APG),Prompt/standard,None,True
KBDL-CMP-030,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-031,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-032,components-core.md authoritative block/prompt state,Approved (directly restates WAI-ARIA switch role),Approved (directly restates WAI-ARIA switch role),Prompt/standard,None,True
KBDL-CMP-033,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-034,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-035,components-core.md authoritative block/prompt state,Approved (behavioral requirement); project-owner-approved KBDL-007/008 implementation prompt,Approved (behavioral requirement); project-owner-approved KBDL-007/008 implementation prompt,Prompt/standard,None,True
KBDL-CMP-037,components-core.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 3.3.1, SC 3.3.3, SC 3.3.4, SC 3.3.7, SC 4.1.3)","Approved (directly restates WCAG 2.2 SC 3.3.1, SC 3.3.3, SC 3.3.4, SC 3.3.7, SC 4.1.3)",Prompt/standard,None,True
KBDL-CMP-038,components-core.md authoritative block/prompt state,Approved (directly restates WCAG 2.2 SC 2.4.1),Approved (directly restates WCAG 2.2 SC 2.4.1),Prompt/standard,None,True
KBDL-CMP-039,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-040,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-042,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-043,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-045,components-core.md authoritative block/prompt state,Approved (directly restates the WAI-ARIA tabs pattern),Approved (directly restates the WAI-ARIA tabs pattern),Prompt/standard,None,True
KBDL-CMP-047,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-049,components-core.md authoritative block/prompt state,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-CMP-050,components-core.md authoritative block/prompt state,Approved (restates the shared contract applied compositionally); project-owner-approved KBDL-007/008 implementation prompt,Approved (restates the shared contract applied compositionally); project-owner-approved KBDL-007/008 implementation prompt,Prompt/standard,None,True
KBDL-CMP-051,components-core.md authoritative block/prompt state,Approved (directly restates principles.md §9.4); project-owner-approved KBDL-007/008 implementation prompt,Approved (directly restates principles.md §9.4); project-owner-approved KBDL-007/008 implementation prompt,Prompt/standard,None,True
KBDL-CMP-052,components-system.md authoritative block/prompt state,"Approved (scope-control requirement, extends KBDL-CMP-005)","Approved (scope-control requirement, extends KBDL-CMP-005)",KBDL-CMP-005,None,True
KBDL-CMP-053,components-system.md authoritative block/prompt state,"Approved (extends the already-Approved native- semantics-first rule, KBDL-CMP-002, and the adopted ARIA 1.2 region role definition, to this module's surfaces)","Approved (extends the already-Approved native- semantics-first rule, KBDL-CMP-002, and the adopted ARIA 1.2 region role definition, to this module's surfaces)",KBDL-CMP-002,None,True
KBDL-CMP-054,components-system.md authoritative block/prompt state,Approved (restates ARIA 1.2's region role definition),Approved (restates ARIA 1.2's region role definition),Prompt/standard,None,True
KBDL-CMP-055,components-system.md authoritative block/prompt state,"Approved (restates the native HTML prohibition on nested interactive elements and the already-Approved hover- independent-discoverability requirement, responsive.md §24); project-owner-approved KBDL-007/008 implementation prompt","Approved (restates the native HTML prohibition on nested interactive elements and the already-Approved hover- independent-discoverability requirement, responsive.md §24); project-owner-approved KBDL-007/008 implementation prompt",Prompt/standard,None,True
KBDL-CMP-056,components-system.md authoritative block/prompt state,"Approved (dictated outcome of the already-adopted WCAG 2.2 focus, keyboard, and reading-order rules applied to layered content — a structural scope statement, not new policy)","Approved (dictated outcome of the already-adopted WCAG 2.2 focus, keyboard, and reading-order rules applied to layered content — a structural scope statement, not new policy)",Prompt/standard,None,True
KBDL-CMP-057,components-system.md authoritative block/prompt state,"Approved (restates the already-adopted WCAG 2.2 SC 2.1.1 Keyboard and SC 2.1.2 No Keyboard Trap, and the already- Approved KBDL-007 keyboard contract, KBDL-CMP-007, applied explicitly to non-modal overlays)","Approved (restates the already-adopted WCAG 2.2 SC 2.1.1 Keyboard and SC 2.1.2 No Keyboard Trap, and the already- Approved KBDL-007 keyboard contract, KBDL-CMP-007, applied explicitly to non-modal overlays)",KBDL-CMP-007,None,True
KBDL-CMP-058,components-system.md authoritative block/prompt state,Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order — an unset focus target would violate the requirement that focus order remain determinable),Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order — an unset focus target would violate the requirement that focus order remain determinable),Prompt/standard,None,True
KBDL-CMP-059,components-system.md authoritative block/prompt state,"Approved (restates the already-adopted WCAG 2.2 SC 2.2.1 Timing Adjustable, extended to this module's dismissible surfaces generally, beyond the Toast-specific case in KBDL-CMP-090)","Approved (restates the already-adopted WCAG 2.2 SC 2.2.1 Timing Adjustable, extended to this module's dismissible surfaces generally, beyond the Toast-specific case in KBDL-CMP-090)",KBDL-CMP-090,None,True
KBDL-CMP-060,components-system.md authoritative block/prompt state,"Approved (restates the already-Approved motion- parity rule, motion/accessibility-performance.md §1); project-owner-approved KBDL-007/008 implementation prompt","Approved (restates the already-Approved motion- parity rule, motion/accessibility-performance.md §1); project-owner-approved KBDL-007/008 implementation prompt",Prompt/standard,None,True
KBDL-CMP-061,components-system.md authoritative block/prompt state,"Approved (restates the locked component-state- clarity rule, principles.md §5.1, and KBDL-CMP-004, applied explicitly to the states this document introduces)","Approved (restates the locked component-state- clarity rule, principles.md §5.1, and KBDL-CMP-004, applied explicitly to the states this document introduces)",KBDL-CMP-004,None,True
KBDL-CMP-062,components-system.md authoritative block/prompt state,"Approved (restates KBDL-CMP-053/002 as an explicit prohibition, distinguishing the general preference from the specific misuse it forbids)","Approved (restates KBDL-CMP-053/002 as an explicit prohibition, distinguishing the general preference from the specific misuse it forbids)",KBDL-CMP-053,None,True
KBDL-CMP-063,components-system.md authoritative block/prompt state,"Approved (restates the already-Approved correctness/safety priority, principles.md §4 item 1, as a general baseline; KBDL-CMP-103 states its Offline/ Reconnecting-specific application)","Approved (restates the already-Approved correctness/safety priority, principles.md §4 item 1, as a general baseline; KBDL-CMP-103 states its Offline/ Reconnecting-specific application)",KBDL-CMP-103,None,True
KBDL-CMP-064,components-system.md authoritative block/prompt state,Approved (extends the existing KBDL security principle already established in components-core.md §37 as a general baseline; KBDL-CMP-101 and KBDL-CMP-104 state its Error-State- and Permission/Not-Found-specific applications),Approved (extends the existing KBDL security principle already established in components-core.md §37 as a general baseline; KBDL-CMP-101 and KBDL-CMP-104 state its Error-State- and Permission/Not-Found-specific applications),KBDL-CMP-101; KBDL-CMP-104,None,True
KBDL-CMP-065,components-system.md authoritative block/prompt state,"Approved (extends the already-Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, to this module)","Approved (extends the already-Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, to this module)",KBDL-CMP-003,None,True
KBDL-CMP-066,components-system.md authoritative block/prompt state,"Approved (restates the already-Approved KBDL-007 profile-consistency requirement, KBDL-CMP-051, applied to this module)","Approved (restates the already-Approved KBDL-007 profile-consistency requirement, KBDL-CMP-051, applied to this module)",KBDL-CMP-051,None,True
KBDL-CMP-068,components-system.md authoritative block/prompt state,Approved (restates the adopted ARIA disclosure pattern's role/state definitions and the already-Approved KBDL-007 disclosure-trigger contract),Approved (restates the adopted ARIA disclosure pattern's role/state definitions and the already-Approved KBDL-007 disclosure-trigger contract),Prompt/standard,None,True
KBDL-CMP-070,components-system.md authoritative block/prompt state,"Approved (restates the already-adopted WCAG 2.2 SC 1.3.1 Info and Relationships and the native-semantics-first rule, KBDL-CMP-002)","Approved (restates the already-adopted WCAG 2.2 SC 1.3.1 Info and Relationships and the native-semantics-first rule, KBDL-CMP-002)",KBDL-CMP-002,None,True
KBDL-CMP-071,components-system.md authoritative block/prompt state,"the adopted WAI-ARIA 1.2 aria-modal property definition, which specifies that assistive technology should restrict its reading and navigation to the modal element while it is active, directly requires background content to be excluded from that navigation — this is the primary source for ""unreachable by ... screen-reader virtual cursor."" The already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.4.11 Focus Not Obscured support, but do not by themselves fully dictate, this outcome for pointer/sequential-navigation reachability. The approved KBDL-008 prompt's Overlay Architecture section explicitly requires ""Background inertness"" as a mandatory field for every modal overlay, which is the source for treating this as a complete, single normative rule rather than an inference from the standards alone","the adopted WAI-ARIA 1.2 aria-modal property definition, which specifies that assistive technology should restrict its reading and navigation to the modal element while it is active, directly requires background content to be excluded from that navigation — this is the primary source for ""unreachable by ... screen-reader virtual cursor."" The already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.4.11 Focus Not Obscured support, but do not by themselves fully dictate, this outcome for pointer/sequential-navigation reachability. The approved KBDL-008 prompt's Overlay Architecture section explicitly requires ""Background inertness"" as a mandatory field for every modal overlay, which is the source for treating this as a complete, single normative rule rather than an inference from the standards alone",Prompt/standard,None,True
KBDL-CMP-072,components-system.md authoritative block/prompt state,"""dismissible via Escape"" and ""remains visible while the trigger has hover or focus"" restate the already-adopted WCAG 2.2 SC 1.4.13 Content on Hover or Focus, which dictates exactly these three properties (dismissible, hoverable, persistent). ""Must never be the sole source of its trigger's accessible name"" restates the already- Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, and the adopted WCAG 2.2 SC 4.1.2 Name, Role, Value — not SC 1.4.13, which does not address naming. ""Contains only non- interactive text"" and ""leaves focus on its trigger"" are not dictated by SC 1.4.13 or the WAI-ARIA tooltip role definition alone (the ARIA 1.2 spec describes tooltip as advisory but does not itself prohibit interactive descendants); these two clauses are normative because the approved KBDL-008 prompt explicitly requires ""Informational, non-interactive purpose"" and ""Interactive-content prohibition"" as mandatory Tooltip fields. This requirement does not treat the APG tooltip pattern (explicitly non-consensus, see §4) as a source for any clause","""dismissible via Escape"" and ""remains visible while the trigger has hover or focus"" restate the already-adopted WCAG 2.2 SC 1.4.13 Content on Hover or Focus, which dictates exactly these three properties (dismissible, hoverable, persistent). ""Must never be the sole source of its trigger's accessible name"" restates the already- Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, and the adopted WCAG 2.2 SC 4.1.2 Name, Role, Value — not SC 1.4.13, which does not address naming. ""Contains only non- interactive text"" and ""leaves focus on its trigger"" are not dictated by SC 1.4.13 or the WAI-ARIA tooltip role definition alone (the ARIA 1.2 spec describes tooltip as advisory but does not itself prohibit interactive descendants); these two clauses are normative because the approved KBDL-008 prompt explicitly requires ""Informational, non-interactive purpose"" and ""Interactive-content prohibition"" as mandatory Tooltip fields. This requirement does not treat the APG tooltip pattern (explicitly non-consensus, see §4) as a source for any clause",KBDL-CMP-003,None,True
KBDL-CMP-075,components-system.md authoritative block/prompt state,Approved (restates the adopted WAI-ARIA 1.2 menu role definitions and the already-Approved KBDL-007 trigger contract),Approved (restates the adopted WAI-ARIA 1.2 menu role definitions and the already-Approved KBDL-007 trigger contract),Prompt/standard,None,True
KBDL-CMP-077,components-system.md authoritative block/prompt state,Approved (restates the adopted WAI-ARIA 1.2 listbox role definitions and the already-Approved KBDL-007 combobox contract),Approved (restates the adopted WAI-ARIA 1.2 listbox role definitions and the already-Approved KBDL-007 combobox contract),Prompt/standard,None,True
KBDL-CMP-078,components-system.md authoritative block/prompt state,"Approved (restates the already-adopted WCAG 2.2 SC 4.1.2 Name, Role, Value and SC 2.1.1 Keyboard)","Approved (restates the already-adopted WCAG 2.2 SC 4.1.2 Name, Role, Value and SC 2.1.1 Keyboard)",Prompt/standard,None,True
