Requirement ID,Method,Evidence,Independent attribution rule,Mismatch
KBDL-A11Y-028,Manual + automated static check once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-029,Manual testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-030,Manual testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-031,Manual screen-reader testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-032,Manual testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-033,Manual review once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-034,Manual review once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-035,Project-owner review (not yet performed),Not applicable — no executed implementation claim is asserted for this requirement.,same requirement and stated method,None
KBDL-A11Y-036,Not applicable (cross-reference section),Not applicable — no executed implementation claim is asserted for this requirement.,same requirement and stated method,None
KBDL-A11Y-037,Automated static check + manual review once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-038,Not applicable (cross-reference section),Not applicable — no executed implementation claim is asserted for this requirement.,same requirement and stated method,None
KBDL-A11Y-039,Not applicable (cross-reference section),Not applicable — no executed implementation claim is asserted for this requirement.,same requirement and stated method,None
KBDL-A11Y-040,Manual cross-profile review once the project-profiles module is approved,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-CMP-001,Manual completeness review per component,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-002,Manual + automated static accessibility check once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-003,Manual + automated static accessibility check once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-004,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-005,"Manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-006,Manual keyboard-focus review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-007,Manual keyboard testing once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-008,Manual pointer/touch testing once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-009,Manual reflow/zoom testing once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-010,Manual measurement once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-011,Manual theme-role mapping review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-012,Manual foundation-mapping review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-013,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-014,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-015,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-016,Manual + automated static accessibility check once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-017,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-018,Manual ARIA review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-019,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-020,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-021,Manual keyboard review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-022,Manual + automated static check once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-023,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-024,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-025,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-026,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-027,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-028,Manual ARIA/keyboard review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-029,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-030,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-031,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-032,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-033,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-034,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-035,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-036,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-037,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-038,Manual keyboard testing once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-039,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-040,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-041,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-042,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-043,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-044,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-045,Manual keyboard/ARIA review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-046,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-047,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-048,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-049,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-050,Manual composition review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-051,Manual cross-profile review once the project-profiles module is approved,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-052,"Manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-053,Manual native-structure review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-054,"Manual semantic-structure review once implemented. ### 9.2 Panel A section-level grouping surface with an optional heading and description. Uses region semantics only when it is a significant, independently navigable section (per KBDL-CMP-054); otherwise remains neutral. Internal actions follow the KBDL-007 button/link contract unchanged. Composes with loading/empty/error states ([§15](#15-system-state-architecture)). Differs from Container Surface by optionally carrying section-level identity; differs from Dialog by never requiring modality or focus containment; differs from Card by never functioning as a summary/preview unit. ### 9.3 Card A summary or preview surface with heading/content hierarchy, an optional media relationship, and optional actions or a whole-card link",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-055,"Manual DOM-structure and keyboard review once implemented. A card's selected or current state must not be communicated by color alone, per KBDL-CMP-004's already-Approved state-clarity rule, applied here without change. The exact card-variant taxonomy (media- forward, text-only, action-forward, and similar) is new KBDL-008 policy:",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-056,"Manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-057,Manual keyboard-trap review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-058,Manual focus-restoration review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-059,Manual content-persistence review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-060,Manual reduced/no-motion parity review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-061,"Manual color-independence review once implemented. Feedback components are further distinguished by persistence (transient versus persistent), interruption level, and recovery-action relationship, documented per component below",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-062,Manual role-use review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-063,Manual claim-accuracy review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-064,Manual content review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-065,Manual accessible-name review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-066,Manual cross-profile consistency review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-067,"Project-owner review (not yet performed). ### 9.4 Accordion Surface Preserves the KBDL-007 disclosure-trigger contract (KBDL-CMP-021-adjacent trigger semantics) unchanged. An accordion item pairs one disclosure trigger with one panel, associated via aria-controls/aria-labelledby per the adopted ARIA disclosure pattern",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-068,Manual ARIA-relationship review once implemented. Whether an accordion permits multiple simultaneously open panels or restricts to one is new policy:,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-069,Project-owner review (not yet performed). ### 9.5 Static Data Table,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-070,"Manual semantic-structure review once implemented. Responsive behavior for wide tables (horizontal scroll, reflow, or an alternate presentation such as a card transformation) is addressed in [§33](#33-kbdl-008-decision-packet) item 17. This document does not silently adopt the unapproved KBDL-RSP-011 data-dense transformation strategy as authority; RSP-011 is cited only as related, unapproved context (see [§35](#35-kbdl-006-approval-boundary-audit))",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-071,Manual focus-containment review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-072,"Manual hover/focus and accessible-name review once implemented. A tooltip containing controls must instead use Popover ([§11.2](#112-popover-or-non-modal-dialog)) or Menu ([§11.3](#113-menu-surface)) semantics, never a tooltip role",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-073,"Project-owner review (not yet performed). ### 11.2 Popover or Non-Modal Dialog Supplemental interactive content anchored to a trigger, non-modal: focus is not contained, Tab moves normally between the popover and the rest of the page, Escape closes it and returns focus to the trigger, and an outside pointer interaction closes it by default. Differs from Tooltip (interactive content permitted), Menu (arbitrary interactive content rather than a fixed command/choice list), and Modal Dialog (no focus containment)",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-074,Project-owner review (not yet performed). ### 11.3 Menu Surface Preserves the KBDL-007 menu-button trigger contract (KBDL-CMP-021-adjacent) unchanged,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-075,"Manual ARIA-relationship review once implemented. Menu semantics are used only for menu-like command or choice behavior, never merely for visual dropdown navigation when ordinary links and lists provide correct semantics. The exact interaction model (type- ahead, submenu behavior, closing specifics) is new policy:",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-076,"Project-owner review (not yet performed). ### 11.4 Listbox Popup Preserves the KBDL-007 combobox input, value, and active-option relationship unchanged",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-077,Manual ARIA-relationship review once implemented. ### 11.5 Dialog A viewport-level or anchored surface with an accessible name (via aria-labelledby) and optional description (via aria-describedby),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-078,Manual accessible-name and keyboard review once implemented. ### 11.6 Modal Dialog,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-079,"Manual modality-compliance review once implemented. Exact modal sizing, placement, and nested-modal policy are new decisions:",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-080,Project-owner review (not yet performed). ### 11.7 Alert Dialog,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-081,"Manual role-use review once implemented. An alert dialog for a destructive action favors presenting the least- destructive action as the visually primary choice, consistent with KBDL-007's existing consequential-action requirement (components-core.md §23); this document does not silently approve the KBDL-007 button-hierarchy recommendation (KBDL-CMP-015) or form- action-row ordering (KBDL-CMP-036) as authority for the alert dialog's action area. ### 11.8 Drawer and Sheet",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-082,"Manual scope-compliance review (performed, see implementation report). The general drawer/sheet taxonomy and default modality (edge-attached placement, modal versus non-modal variants) is new policy, independent of any exact navigation-collapse threshold:",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-083,Project-owner review (not yet performed). This item's approval would not approve any navigation-collapse threshold; a drawer used for collapsed navigation remains bound by KBDL-CMP-041's existing contingent status (KBDL-007),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-084,"Manual nested-focus review once implemented. The maximum number of simultaneously open overlays, and whether more than one modal may ever be open at once beyond the one-at-a-time default implied by KBDL-CMP-080, is new policy:",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-085,"Project-owner review (not yet performed). This document does not approve exact layer numbers, an exact z-index scale, an unlimited nesting model, or a specific portal strategy (see [§40](#40-deferred-and-unresolved-items))",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-086,Manual live-region role review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-087,Manual review once implemented. ### 14.2 Alert,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-088,"Manual role-use review once implemented. ### 14.3 Banner A page- or section-level message with a heading, severity meaning, and actions. The exact severity taxonomy and visual variant set are new policy:",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-089,Project-owner review (not yet performed). ### 14.4 Toast or Snackbar,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-090,"Manual content-classification review once implemented. Exact auto-dismiss timing, queue size, and stacking/placement are new policy:",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-091,Project-owner review (not yet performed). ### 14.5 Status Region and Log,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-092,Manual live-region review once implemented. ### 14.6 Badge or Count Indicator,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-093,Manual accessible-text review once implemented. ### 14.7 Progress Indicator,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-094,Manual role/value review once implemented. ### 14.8 Meter,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-095,Manual role/value review once implemented. ### 14.9 Skeleton,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-096,"Manual accessibility-tree review once implemented. Exact shimmer, pulse, timing, and density values remain unapproved (see [§40](#40-deferred-and-unresolved-items))",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-097,"Manual review once implemented. System states are distinguished at component, section, page, and application level; see [§16](#16-required-system-state-components) for each required state's cause, recovery behavior, and difference from adjacent states",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-098,"Manual review once implemented. ### 16.2 Empty State Genuine absence of content, distinct from a first-use state, a user- cleared state, and a permission-limited state. The exact empty-state taxonomy, illustration policy, and action hierarchy are new policy, and this state is explicitly distinguished from No-Results below:",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-099,Project-owner review (not yet performed). ### 16.3 No-Results State,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-100,Manual data-preservation review once implemented. ### 16.4 Error State,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-101,"Manual review once implemented. The exact severity taxonomy for error and broader system-state recovery (a hierarchy distinguishing maintenance, temporary unavailability, and degraded service) is new policy:",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-102,Project-owner review (not yet performed). ### 16.5 Offline and Reconnecting State,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-103,Manual claim-accuracy review once implemented. ### 16.6 Permission Denied and Restricted State,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-104,"Manual security-review once implemented. ### 16.7 Not Found State Distinguished from Permission Denied: a not-found state does not require revealing whether a protected resource exists, per KBDL-CMP-104, applied here without change. ### 16.8 Maintenance, Unavailable, and Degraded State Uses the severity taxonomy and recovery hierarchy from KBDL-CMP-102 once approved; does not invent service-level commitments or recovery time estimates. ### 16.9 System Status Uses the Status Region/Log live-region model (KBDL-CMP-092) for its update stream, distinct from a transient Alert or Toast (KBDL-CMP-088, KBDL-CMP-090)",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-105,"Project-owner review (not yet performed). Exact virtualization, column-resizing, column-reordering, and pinning behavior remain later implementation decisions, out of scope here. ### 18.2 Tree and Treegrid",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-106,Project-owner review (not yet performed). ### 18.3 Carousel,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-107,"Manual pause/stop/hide review once implemented. Whether KBDL permits automatic rotation by default at all, and any exact rotation interval, are new policy:",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-108,Project-owner review (not yet performed). ### 18.4 Data Visualization,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-109,"Manual review once implemented. The exact chart taxonomy, tooltip behavior, and interaction model are new policy; this document does not approve a data-visualization color palette (the palette itself remains a separate, unapproved theme matter, see [§40](#40-deferred-and-unresolved-items)):",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-110,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CMP-111,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-CUS-001,Record and implementation audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-002,Authority-source audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-003,Classification review,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-004,Source-bound comparison,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-005,Content and locked-rule audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-006,Proposal-history audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-007,Exception/stop-path audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-008,Workflow-stage audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-009,Intake-field audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-010,Programmatic field audit plus manual status review,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-011,Impact/evidence plan audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-012,Record-history and rollback audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-013,Foundation-role/value audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-014,Theme-role and parity audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-015,Motion architecture/safety audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-016,Responsive outcome audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-017,WCAG/requirement audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-018,Component-contract audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-019,System-component contract audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-020,Profile-invariant audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-021,Security/privacy/correctness review,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-022,Handoff-record and artifact audit,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-023,Project-owner review,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-024,Project-owner review,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-025,Project-owner review,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-026,Project-owner review,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-027,Project-owner review,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-028,Project-owner review,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-029,Project-owner review,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-CUS-030,Not applicable until resumed,Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-FND-001,Manual review of role names against hue-independence at each later module's approval gate,Not verified — no theme or component content exists yet to check role usage against,same requirement and stated method,None
KBDL-FND-002,Manual review at component-design time (later module) plus this module's conceptual examples,Not verified — no theme or component content exists yet to check role usage against,same requirement and stated method,None
KBDL-FND-003,Manual review of spacing usage against the named step set; exceptions checked against [governance.md § Exception process](../governance.md#exception-process),Not verified — no responsive-behavior module exists yet,same requirement and stated method,None
KBDL-FND-004,Manual review of a layout's content-priority ranking at each supported breakpoint,Not verified — no responsive-behavior module exists yet,same requirement and stated method,None
KBDL-FND-005,Manual review confirming a simplified fallback exists for each elevation level,"Manual completeness review recorded in the KBDL-003 commit — confirmed all five elevation levels list a non-shadow-dependent fallback, and both icon and media sections state their respective anticipation requirements",same requirement and stated method,None
KBDL-FND-006,Manual review of icon usage against the label-pairing rule,"Manual completeness review recorded in the KBDL-003 commit — confirmed all five elevation levels list a non-shadow-dependent fallback, and both icon and media sections state their respective anticipation requirements",same requirement and stated method,None
KBDL-FND-007,Manual review confirming a static/paused equivalent and an anticipated accessible-text plan exist per media asset type,"Manual completeness review recorded in the KBDL-003 commit — confirmed all five elevation levels list a non-shadow-dependent fallback, and both icon and media sections state their respective anticipation requirements",same requirement and stated method,None
KBDL-FND-008,Manual cross-profile review once the project-profiles module is approved,Not verified — PRO requirements do not exist yet,same requirement and stated method,None
KBDL-FND-009,"Contrast calculation (completed, see evidence); brand suitability review (not yet performed)","Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text",same requirement and stated method,None
KBDL-FND-010,Licensing verification (not yet performed) plus project-owner review (completed for the strategy; the specific family remains a separate future decision),"Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text",same requirement and stated method,None
KBDL-FND-011,Project-owner review (completed); exact pixel values validated once chosen,"Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text",same requirement and stated method,None
KBDL-FND-012,Project-owner review (completed),"Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text",same requirement and stated method,None
KBDL-GOV-001,"Manual review — heading hierarchy, relative-link resolution, and heading-anchor correctness checked across all KBDL-001 files",Manual review recorded in commit 2d356b4 (KBDL-001 initial commit); re-checked for this remediation in commit-to-follow (see decision-register.md § KBDL-DEC-011),same requirement and stated method,None
KBDL-GOV-002,Manual review; no automated check is applicable yet,Not verified — no A11Y requirement exists yet for this rule to be checked against,same requirement and stated method,None
KBDL-GOV-003,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence)","Manual review recorded in commit 2d356b4, corrected in the remediation commit for this status-model fix",same requirement and stated method,None
KBDL-MOT-001,Manual review confirming every documented motion pattern cites a purpose from the approved list,Manual review recorded in motion/validation.md §6,same requirement and stated method,None
KBDL-MOT-002,Manual terminology-consistency review,Manual review recorded in motion/validation.md §6,same requirement and stated method,None
