Requirement ID,Independent source,Expected exact location,Effective location,Invalid anchors,Match
KBDL-CMP-015,components-core.md authoritative block,components-core.md#201-button; components-core.md#35-kbdl-007-decision-packet,components-core.md#201-button; components-core.md#35-kbdl-007-decision-packet,None,True
KBDL-CMP-016,components-core.md authoritative block,components-core.md#202-icon-button,components-core.md#202-icon-button,None,True
KBDL-CMP-017,components-core.md authoritative block,components-core.md#202-icon-button,components-core.md#202-icon-button,None,True
KBDL-CMP-018,components-core.md authoritative block,components-core.md#203-toggle-button,components-core.md#203-toggle-button,None,True
KBDL-CMP-019,components-core.md authoritative block,components-core.md#204-link,components-core.md#204-link,None,True
KBDL-CMP-020,components-core.md authoritative block,components-core.md#205-button-group; components-core.md#35-kbdl-007-decision-packet,components-core.md#205-button-group; components-core.md#35-kbdl-007-decision-packet,None,True
KBDL-CMP-021,components-core.md authoritative block,components-core.md#206-disclosure-and-menu-triggers,components-core.md#206-disclosure-and-menu-triggers,None,True
KBDL-CMP-022,components-core.md authoritative block,components-core.md#21-form-architecture,components-core.md#21-form-architecture,None,True
KBDL-CMP-023,components-core.md authoritative block,components-core.md#221-text-input,components-core.md#221-text-input,None,True
KBDL-CMP-024,components-core.md authoritative block,components-core.md#222-password-input,components-core.md#222-password-input,None,True
KBDL-CMP-025,components-core.md authoritative block,components-core.md#223-search-field,components-core.md#223-search-field,None,True
KBDL-CMP-026,components-core.md authoritative block,components-core.md#224-textarea,components-core.md#224-textarea,None,True
KBDL-CMP-027,components-core.md authoritative block,components-core.md#225-select,components-core.md#225-select,None,True
KBDL-CMP-028,components-core.md authoritative block,components-core.md#226-combobox-boundary,components-core.md#226-combobox-boundary,None,True
KBDL-CMP-029,components-core.md authoritative block,components-core.md#226-combobox-boundary,components-core.md#226-combobox-boundary,None,True
KBDL-CMP-030,components-core.md authoritative block,components-core.md#227-checkbox,components-core.md#227-checkbox,None,True
KBDL-CMP-031,components-core.md authoritative block,components-core.md#228-radio-group,components-core.md#228-radio-group,None,True
KBDL-CMP-032,components-core.md authoritative block,components-core.md#229-switch,components-core.md#229-switch,None,True
KBDL-CMP-033,components-core.md authoritative block,components-core.md#2210-file-input,components-core.md#2210-file-input,None,True
KBDL-CMP-034,components-core.md authoritative block,components-core.md#2211-field-group,components-core.md#2211-field-group,None,True
KBDL-CMP-035,components-core.md authoritative block,components-core.md#2212-form-action-row,components-core.md#2212-form-action-row,None,True
KBDL-CMP-036,components-core.md authoritative block,components-core.md#2212-form-action-row,components-core.md#2212-form-action-row,None,True
KBDL-CMP-037,components-core.md authoritative block,components-core.md#23-form-validation-and-recovery,components-core.md#23-form-validation-and-recovery,None,True
KBDL-CMP-038,components-core.md authoritative block,components-core.md#241-skip-link,components-core.md#241-skip-link,None,True
KBDL-CMP-039,components-core.md authoritative block,components-core.md#242-navigation-link-and-list,components-core.md#242-navigation-link-and-list,None,True
KBDL-CMP-040,components-core.md authoritative block,components-core.md#243-primary-or-global-navigation,components-core.md#243-primary-or-global-navigation,None,True
KBDL-CMP-041,components-core.md authoritative block,components-core.md#243-primary-or-global-navigation,components-core.md#243-primary-or-global-navigation,None,True
KBDL-CMP-042,components-core.md authoritative block,components-core.md#244-local-or-section-navigation,components-core.md#244-local-or-section-navigation,None,True
KBDL-CMP-043,components-core.md authoritative block,components-core.md#245-breadcrumb,components-core.md#245-breadcrumb,None,True
KBDL-CMP-044,components-core.md authoritative block,components-core.md#245-breadcrumb,components-core.md#245-breadcrumb,None,True
KBDL-CMP-045,components-core.md authoritative block,components-core.md#246-tabs,components-core.md#246-tabs,None,True
KBDL-CMP-046,components-core.md authoritative block,components-core.md#246-tabs,components-core.md#246-tabs,None,True
KBDL-CMP-047,components-core.md authoritative block,components-core.md#247-pagination,components-core.md#247-pagination,None,True
KBDL-CMP-048,components-core.md authoritative block,components-core.md#247-pagination,components-core.md#247-pagination,None,True
KBDL-CMP-049,components-core.md authoritative block,components-core.md#248-back-link,components-core.md#248-back-link,None,True
KBDL-CMP-050,components-core.md authoritative block,components-core.md#25-cross-component-composition-rules,components-core.md#25-cross-component-composition-rules,None,True
KBDL-CMP-051,components-core.md authoritative block,components-core.md#26-profile-compatibility,components-core.md#26-profile-compatibility,None,True
KBDL-CMP-052,components-system.md authoritative block,components-system.md#5-kbdl-007-ownership-boundary,components-system.md#5-kbdl-007-ownership-boundary,None,True
KBDL-CMP-053,components-system.md authoritative block,components-system.md#8-surface-architecture,components-system.md#8-surface-architecture,None,True
KBDL-CMP-054,components-system.md authoritative block,components-system.md#91-container-surface; components-system.md#92-panel,components-system.md#91-container-surface; components-system.md#92-panel,None,True
KBDL-CMP-055,components-system.md authoritative block,components-system.md#93-card,components-system.md#93-card,None,True
KBDL-CMP-056,components-system.md authoritative block,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture,None,True
KBDL-CMP-057,components-system.md authoritative block,components-system.md#10-overlay-architecture; components-system.md#112-popover-or-non-modal-dialog,components-system.md#10-overlay-architecture; components-system.md#112-popover-or-non-modal-dialog,None,True
KBDL-CMP-058,components-system.md authoritative block,components-system.md#10-overlay-architecture; components-system.md#20-focus-and-modality,components-system.md#10-overlay-architecture; components-system.md#20-focus-and-modality,None,True
KBDL-CMP-059,components-system.md authoritative block,components-system.md#10-overlay-architecture; components-system.md#21-dismissal-and-persistence,components-system.md#10-overlay-architecture; components-system.md#21-dismissal-and-persistence,None,True
KBDL-CMP-060,components-system.md authoritative block,components-system.md#10-overlay-architecture; components-system.md#31-theme-and-motion-validation-matrix,components-system.md#10-overlay-architecture; components-system.md#31-theme-and-motion-validation-matrix,None,True
KBDL-CMP-061,components-system.md authoritative block,components-system.md#13-feedback-architecture; components-system.md#15-system-state-architecture,components-system.md#13-feedback-architecture; components-system.md#15-system-state-architecture,None,True
KBDL-CMP-062,components-system.md authoritative block,components-system.md#8-surface-architecture; components-system.md#17-complex-presentation-architecture,components-system.md#8-surface-architecture; components-system.md#17-complex-presentation-architecture,None,True
KBDL-CMP-063,components-system.md authoritative block,components-system.md#23-security-and-privacy,components-system.md#23-security-and-privacy,None,True
KBDL-CMP-064,components-system.md authoritative block,components-system.md#23-security-and-privacy,components-system.md#23-security-and-privacy,None,True
KBDL-CMP-065,components-system.md authoritative block,components-system.md#7-extended-system-component-contract,components-system.md#7-extended-system-component-contract,None,True
KBDL-CMP-066,components-system.md authoritative block,components-system.md#24-cross-component-composition-and-profile-compatibility,components-system.md#24-cross-component-composition-and-profile-compatibility,None,True
KBDL-CMP-067,components-system.md authoritative block,components-system.md#93-card; components-system.md#33-kbdl-008-decision-packet,components-system.md#93-card; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-068,components-system.md authoritative block,components-system.md#94-accordion-surface,components-system.md#94-accordion-surface,None,True
KBDL-CMP-069,components-system.md authoritative block,components-system.md#94-accordion-surface; components-system.md#33-kbdl-008-decision-packet,components-system.md#94-accordion-surface; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-070,components-system.md authoritative block,components-system.md#95-static-data-table; components-system.md#181-interactive-grid,components-system.md#95-static-data-table; components-system.md#181-interactive-grid,None,True
KBDL-CMP-071,components-system.md authoritative block,components-system.md#10-overlay-architecture; components-system.md#115-dialog; components-system.md#116-modal-dialog,components-system.md#10-overlay-architecture; components-system.md#115-dialog; components-system.md#116-modal-dialog,None,True
KBDL-CMP-072,components-system.md authoritative block,components-system.md#111-tooltip,components-system.md#111-tooltip,None,True
KBDL-CMP-073,components-system.md authoritative block,components-system.md#111-tooltip; components-system.md#33-kbdl-008-decision-packet,components-system.md#111-tooltip; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-074,components-system.md authoritative block,components-system.md#112-popover-or-non-modal-dialog; components-system.md#33-kbdl-008-decision-packet,components-system.md#112-popover-or-non-modal-dialog; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-075,components-system.md authoritative block,components-system.md#113-menu-surface,components-system.md#113-menu-surface,None,True
KBDL-CMP-076,components-system.md authoritative block,components-system.md#113-menu-surface; components-system.md#33-kbdl-008-decision-packet,components-system.md#113-menu-surface; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-077,components-system.md authoritative block,components-system.md#114-listbox-popup,components-system.md#114-listbox-popup,None,True
KBDL-CMP-078,components-system.md authoritative block,components-system.md#115-dialog,components-system.md#115-dialog,None,True
KBDL-CMP-079,components-system.md authoritative block,components-system.md#116-modal-dialog,components-system.md#116-modal-dialog,None,True
KBDL-CMP-080,components-system.md authoritative block,components-system.md#116-modal-dialog; components-system.md#33-kbdl-008-decision-packet,components-system.md#116-modal-dialog; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-081,components-system.md authoritative block,components-system.md#117-alert-dialog,components-system.md#117-alert-dialog,None,True
KBDL-CMP-082,components-system.md authoritative block,components-system.md#118-drawer-and-sheet,components-system.md#118-drawer-and-sheet,None,True
KBDL-CMP-083,components-system.md authoritative block,components-system.md#118-drawer-and-sheet; components-system.md#33-kbdl-008-decision-packet,components-system.md#118-drawer-and-sheet; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-084,components-system.md authoritative block,components-system.md#12-overlay-layering-and-nesting,components-system.md#12-overlay-layering-and-nesting,None,True
KBDL-CMP-085,components-system.md authoritative block,components-system.md#12-overlay-layering-and-nesting; components-system.md#33-kbdl-008-decision-packet,components-system.md#12-overlay-layering-and-nesting; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-086,components-system.md authoritative block,components-system.md#13-feedback-architecture,components-system.md#13-feedback-architecture,None,True
KBDL-CMP-087,components-system.md authoritative block,components-system.md#141-inline-feedback,components-system.md#141-inline-feedback,None,True
KBDL-CMP-088,components-system.md authoritative block,components-system.md#142-alert,components-system.md#142-alert,None,True
KBDL-CMP-089,components-system.md authoritative block,components-system.md#143-banner; components-system.md#33-kbdl-008-decision-packet,components-system.md#143-banner; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-090,components-system.md authoritative block,components-system.md#144-toast-or-snackbar,components-system.md#144-toast-or-snackbar,None,True
KBDL-CMP-091,components-system.md authoritative block,components-system.md#144-toast-or-snackbar; components-system.md#33-kbdl-008-decision-packet,components-system.md#144-toast-or-snackbar; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-092,components-system.md authoritative block,components-system.md#145-status-region-and-log,components-system.md#145-status-region-and-log,None,True
KBDL-CMP-093,components-system.md authoritative block,components-system.md#146-badge-or-count-indicator,components-system.md#146-badge-or-count-indicator,None,True
KBDL-CMP-094,components-system.md authoritative block,components-system.md#147-progress-indicator,components-system.md#147-progress-indicator,None,True
KBDL-CMP-095,components-system.md authoritative block,components-system.md#148-meter,components-system.md#148-meter,None,True
KBDL-CMP-096,components-system.md authoritative block,components-system.md#149-skeleton,components-system.md#149-skeleton,None,True
KBDL-CMP-097,components-system.md authoritative block,components-system.md#15-system-state-architecture,components-system.md#15-system-state-architecture,None,True
KBDL-CMP-098,components-system.md authoritative block,components-system.md#161-loading-state,components-system.md#161-loading-state,None,True
KBDL-CMP-099,components-system.md authoritative block,components-system.md#162-empty-state; components-system.md#33-kbdl-008-decision-packet,components-system.md#162-empty-state; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-100,components-system.md authoritative block,components-system.md#163-no-results-state,components-system.md#163-no-results-state,None,True
KBDL-CMP-101,components-system.md authoritative block,components-system.md#164-error-state,components-system.md#164-error-state,None,True
KBDL-CMP-102,components-system.md authoritative block,components-system.md#164-error-state; components-system.md#168-maintenance-unavailable-and-degraded-state; components-system.md#33-kbdl-008-decision-packet,components-system.md#164-error-state; components-system.md#168-maintenance-unavailable-and-degraded-state; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-103,components-system.md authoritative block,components-system.md#165-offline-and-reconnecting-state,components-system.md#165-offline-and-reconnecting-state,None,True
KBDL-CMP-104,components-system.md authoritative block,components-system.md#166-permission-denied-and-restricted-state,components-system.md#166-permission-denied-and-restricted-state,None,True
KBDL-CMP-105,components-system.md authoritative block,components-system.md#181-interactive-grid; components-system.md#33-kbdl-008-decision-packet,components-system.md#181-interactive-grid; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-106,components-system.md authoritative block,components-system.md#182-tree-and-treegrid; components-system.md#33-kbdl-008-decision-packet,components-system.md#182-tree-and-treegrid; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-107,components-system.md authoritative block,components-system.md#183-carousel,components-system.md#183-carousel,None,True
KBDL-CMP-108,components-system.md authoritative block,components-system.md#183-carousel; components-system.md#33-kbdl-008-decision-packet,components-system.md#183-carousel; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-109,components-system.md authoritative block,components-system.md#184-data-visualization,components-system.md#184-data-visualization,None,True
KBDL-CMP-110,components-system.md authoritative block,components-system.md#184-data-visualization; components-system.md#33-kbdl-008-decision-packet,components-system.md#184-data-visualization; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-111,components-system.md authoritative block,components-system.md#19-responsive-transformation-policy; components-system.md#33-kbdl-008-decision-packet,components-system.md#19-responsive-transformation-policy; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CUS-001,customization.md authoritative block,customization.md#1-purpose-and-scope,customization.md#1-purpose-and-scope,None,True
KBDL-CUS-002,customization.md authoritative block,customization.md#5-customization-authority-model,customization.md#5-customization-authority-model,None,True
KBDL-CUS-003,customization.md authoritative block,customization.md#6-locked-controlled-open-proposed-and-exception-classifications,customization.md#6-locked-controlled-open-proposed-and-exception-classifications,None,True
KBDL-CUS-004,customization.md authoritative block,customization.md#12-approval-and-escalation-paths,customization.md#12-approval-and-escalation-paths,None,True
KBDL-CUS-005,customization.md authoritative block,customization.md#24-content-and-open-brand-expression,customization.md#24-content-and-open-brand-expression,None,True
KBDL-CUS-006,customization.md authoritative block,customization.md#26-reusable-versus-project-local-customization,customization.md#26-reusable-versus-project-local-customization,None,True
KBDL-CUS-007,customization.md authoritative block,customization.md#27-conflict-handling-and-exceptions,customization.md#27-conflict-handling-and-exceptions,None,True
KBDL-CUS-008,customization.md authoritative block,customization.md#7-manual-customization-workflow,customization.md#7-manual-customization-workflow,None,True
KBDL-CUS-009,customization.md authoritative block,customization.md#8-customization-request-intake,customization.md#8-customization-request-intake,None,True
KBDL-CUS-010,customization.md authoritative block,customization.md#11-customization-record,customization.md#11-customization-record,None,True
KBDL-CUS-011,customization.md authoritative block,customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning,customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning,None,True
KBDL-CUS-012,customization.md authoritative block,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,None,True
KBDL-CUS-013,customization.md authoritative block,customization.md#16-foundations-customization,customization.md#16-foundations-customization,None,True
KBDL-CUS-014,customization.md authoritative block,customization.md#17-theme-customization,customization.md#17-theme-customization,None,True
KBDL-CUS-015,customization.md authoritative block,customization.md#18-motion-customization,customization.md#18-motion-customization,None,True
KBDL-CUS-016,customization.md authoritative block,customization.md#19-responsive-customization,customization.md#19-responsive-customization,None,True
KBDL-CUS-017,customization.md authoritative block,customization.md#20-accessibility-customization-boundary,customization.md#20-accessibility-customization-boundary,None,True
KBDL-CUS-018,customization.md authoritative block,customization.md#21-core-component-customization,customization.md#21-core-component-customization,None,True
KBDL-CUS-019,customization.md authoritative block,customization.md#22-system-component-customization,customization.md#22-system-component-customization,None,True
KBDL-CUS-020,customization.md authoritative block,customization.md#23-project-profile-customization,customization.md#23-project-profile-customization,None,True
KBDL-CUS-021,customization.md authoritative block,customization.md#25-security-privacy-correctness-and-data-integrity,customization.md#25-security-privacy-correctness-and-data-integrity,None,True
KBDL-CUS-022,customization.md authoritative block,customization.md#13-implementation-handoff-boundary,customization.md#13-implementation-handoff-boundary,None,True
KBDL-CUS-023,customization.md authoritative block,customization.md#11-customization-record,customization.md#11-customization-record,None,True
KBDL-CUS-024,customization.md authoritative block,customization.md#12-approval-and-escalation-paths,customization.md#12-approval-and-escalation-paths,None,True
KBDL-CUS-025,customization.md authoritative block,customization.md#14-validation-and-evidence-planning,customization.md#14-validation-and-evidence-planning,None,True
KBDL-CUS-026,customization.md authoritative block,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,None,True
KBDL-CUS-027,customization.md authoritative block,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,None,True
KBDL-CUS-028,customization.md authoritative block,customization.md#26-reusable-versus-project-local-customization,customization.md#26-reusable-versus-project-local-customization,None,True
KBDL-CUS-029,customization.md authoritative block,customization.md#15-review-expiry-change-and-rollback; customization.md#24-content-and-open-brand-expression,customization.md#15-review-expiry-change-and-rollback; customization.md#24-content-and-open-brand-expression,None,True
KBDL-CUS-030,customization.md authoritative block,customization.md#41-deferred-and-unresolved-items,customization.md#41-deferred-and-unresolved-items,None,True
KBDL-FND-001,foundations/README.md authoritative block,foundations/color.md#1-architectural-principles-approved,foundations/color.md#1-architectural-principles-approved,None,True
KBDL-FND-002,foundations/README.md authoritative block,foundations/color.md#24-status-roles; foundations/iconography-media.md#11-required-principles-approved,foundations/color.md#24-status-roles; foundations/iconography-media.md#11-required-principles-approved,None,True
KBDL-FND-003,foundations/README.md authoritative block,foundations/spacing-layout.md#1-spacing-and-sizing-logic,foundations/spacing-layout.md#1-spacing-and-sizing-logic,None,True
KBDL-FND-004,foundations/README.md authoritative block,foundations/spacing-layout.md#3-content-driven-breakpoint-philosophy-approved-principle-recommended-values,foundations/spacing-layout.md#3-content-driven-breakpoint-philosophy-approved-principle-recommended-values,None,True
KBDL-FND-005,foundations/README.md authoritative block,foundations/shape-depth.md#3-elevation-and-depth,foundations/shape-depth.md#3-elevation-and-depth,None,True
KBDL-FND-006,foundations/README.md authoritative block,foundations/iconography-media.md#1-iconography,foundations/iconography-media.md#1-iconography,None,True
KBDL-FND-007,foundations/README.md authoritative block,foundations/iconography-media.md#2-imagery-and-media,foundations/iconography-media.md#2-imagery-and-media,None,True
KBDL-FND-008,foundations/README.md authoritative block,foundations/README.md#4-project-profile-adjustments--foundation-summary,foundations/README.md#4-project-profile-adjustments--foundation-summary,None,True
KBDL-FND-009,foundations/README.md authoritative block,foundations/color.md#3-default-foundation,foundations/color.md#3-default-foundation,None,True
KBDL-FND-010,foundations/README.md authoritative block,foundations/typography.md#3-type-scale-and-text-roles,foundations/typography.md#3-type-scale-and-text-roles,None,True
KBDL-FND-011,foundations/README.md authoritative block,foundations/spacing-layout.md#13-default-modular-spacing-system,foundations/spacing-layout.md#13-default-modular-spacing-system,None,True
KBDL-FND-012,foundations/README.md authoritative block,foundations/shape-depth.md#13-default-corner-system,foundations/shape-depth.md#13-default-corner-system,None,True
KBDL-GOV-001,governance.md authoritative block,governance.md#kbdl-gov-001--specification-architecture-is-established,governance.md#kbdl-gov-001--specification-architecture-is-established,None,True
KBDL-GOV-002,governance.md authoritative block,governance.md#kbdl-gov-002--accessibility-requirements-are-protected,governance.md#kbdl-gov-002--accessibility-requirements-are-protected,None,True
KBDL-GOV-003,governance.md authoritative block,governance.md#kbdl-gov-003--documentation-governance-process,governance.md#kbdl-gov-003--documentation-governance-process,None,True
KBDL-MOT-001,motion/README.md authoritative block,motion/foundations.md#1-motion-purposes,motion/foundations.md#1-motion-purposes,None,True
KBDL-MOT-002,motion/README.md authoritative block,motion/README.md#2-motion-terminology,motion/README.md#2-motion-terminology,None,True
KBDL-MOT-003,motion/README.md authoritative block,motion/README.md#33-relationship-and-conflict-resolution,motion/README.md#33-relationship-and-conflict-resolution,None,True
KBDL-MOT-004,motion/README.md authoritative block,motion/foundations.md#2-motion-categories,motion/foundations.md#2-motion-categories,None,True
KBDL-MOT-005,motion/README.md authoritative block,motion/foundations.md#3-motion-hierarchy,motion/foundations.md#3-motion-hierarchy,None,True
KBDL-MOT-006,motion/README.md authoritative block,motion/foundations.md#4-motion-intensity,motion/foundations.md#4-motion-intensity,None,True
