Requirement ID,Containing normative location,Explicit normative location,Readable-group supported locations,Exact expected locations,Ledger location,All anchors resolve,Exact comparison,Result
KBDL-A11Y-035,accessibility.md#47-normative-requirements,accessibility.md#39-screen-reader-behavior,accessibility.md#39-screen-reader-behavior; accessibility.md#49-accessibility-decision-packet,accessibility.md#39-screen-reader-behavior; accessibility.md#49-accessibility-decision-packet,accessibility.md#39-screen-reader-behavior; accessibility.md#49-accessibility-decision-packet,True,True,PASS
KBDL-A11Y-036,accessibility.md#47-normative-requirements,accessibility.md#40-media-and-animation-controls,accessibility.md#40-media-and-animation-controls,accessibility.md#40-media-and-animation-controls,accessibility.md#40-media-and-animation-controls,True,True,PASS
KBDL-A11Y-037,accessibility.md#47-normative-requirements,accessibility.md#41-accessible-data-presentation,accessibility.md#41-accessible-data-presentation,accessibility.md#41-accessible-data-presentation,accessibility.md#41-accessible-data-presentation,True,True,PASS
KBDL-A11Y-038,accessibility.md#47-normative-requirements,accessibility.md#42-mobile-accessibility,accessibility.md#42-mobile-accessibility,accessibility.md#42-mobile-accessibility,accessibility.md#42-mobile-accessibility,True,True,PASS
KBDL-A11Y-039,accessibility.md#47-normative-requirements,accessibility.md#43-virtual-keyboard-accessibility,accessibility.md#43-virtual-keyboard-accessibility,accessibility.md#43-virtual-keyboard-accessibility,accessibility.md#43-virtual-keyboard-accessibility,True,True,PASS
KBDL-A11Y-040,accessibility.md#47-normative-requirements,accessibility.md#44-profile-interpretation,accessibility.md#44-profile-interpretation,accessibility.md#44-profile-interpretation,accessibility.md#44-profile-interpretation,True,True,PASS
KBDL-CMP-001,components-core.md#30-normative-requirements,components-core.md#6-shared-component-contract,components-core.md#6-shared-component-contract; components-core.md#7-component-anatomy-model,components-core.md#6-shared-component-contract; components-core.md#7-component-anatomy-model,components-core.md#6-shared-component-contract; components-core.md#7-component-anatomy-model,True,True,PASS
KBDL-CMP-002,components-core.md#30-normative-requirements,components-core.md#5-native-semantics-first-rule,components-core.md#5-native-semantics-first-rule,components-core.md#5-native-semantics-first-rule,components-core.md#5-native-semantics-first-rule,True,True,PASS
KBDL-CMP-003,components-core.md#30-normative-requirements,components-core.md#10-accessible-naming-and-description,components-core.md#10-accessible-naming-and-description,components-core.md#10-accessible-naming-and-description,components-core.md#10-accessible-naming-and-description,True,True,PASS
KBDL-CMP-004,components-core.md#30-normative-requirements,components-core.md#8-component-state-model,components-core.md#8-component-state-model; components-core.md#9-interaction-state-priority,components-core.md#8-component-state-model; components-core.md#9-interaction-state-priority,components-core.md#8-component-state-model; components-core.md#9-interaction-state-priority,True,True,PASS
KBDL-CMP-005,components-core.md#30-normative-requirements,components-core.md#11-kbdl-008-scope-boundary,components-core.md#11-kbdl-008-scope-boundary,components-core.md#11-kbdl-008-scope-boundary,components-core.md#11-kbdl-008-scope-boundary,True,True,PASS
KBDL-CMP-006,components-core.md#30-normative-requirements,components-core.md#12-focus-behavior,components-core.md#12-focus-behavior,components-core.md#12-focus-behavior,components-core.md#12-focus-behavior,True,True,PASS
KBDL-CMP-007,components-core.md#30-normative-requirements,components-core.md#13-keyboard-interaction,components-core.md#13-keyboard-interaction,components-core.md#13-keyboard-interaction,components-core.md#13-keyboard-interaction,True,True,PASS
KBDL-CMP-008,components-core.md#30-normative-requirements,components-core.md#14-pointer-and-touch-interaction,components-core.md#14-pointer-and-touch-interaction,components-core.md#14-pointer-and-touch-interaction,components-core.md#14-pointer-and-touch-interaction,True,True,PASS
KBDL-CMP-009,components-core.md#30-normative-requirements,components-core.md#15-responsive-behavior,components-core.md#15-responsive-behavior,components-core.md#15-responsive-behavior,components-core.md#15-responsive-behavior,True,True,PASS
KBDL-CMP-010,components-core.md#30-normative-requirements,components-core.md#16-target-size-handling,components-core.md#16-target-size-handling,components-core.md#16-target-size-handling,components-core.md#16-target-size-handling,True,True,PASS
KBDL-CMP-011,components-core.md#30-normative-requirements,components-core.md#17-theme-and-contrast-behavior,components-core.md#17-theme-and-contrast-behavior,components-core.md#17-theme-and-contrast-behavior,components-core.md#17-theme-and-contrast-behavior,True,True,PASS
KBDL-CMP-012,components-core.md#30-normative-requirements,components-core.md#18-foundation-behavior,components-core.md#18-foundation-behavior,components-core.md#18-foundation-behavior,components-core.md#18-foundation-behavior,True,True,PASS
KBDL-CMP-013,components-core.md#30-normative-requirements,components-core.md#19-motion-behavior,components-core.md#19-motion-behavior,components-core.md#19-motion-behavior,components-core.md#19-motion-behavior,True,True,PASS
KBDL-CMP-014,components-core.md#30-normative-requirements,components-core.md#201-button,components-core.md#201-button,components-core.md#201-button,components-core.md#201-button,True,True,PASS
KBDL-CMP-015,components-core.md#30-normative-requirements,components-core.md#201-button,components-core.md#201-button; components-core.md#35-kbdl-007-decision-packet,components-core.md#201-button; components-core.md#35-kbdl-007-decision-packet,components-core.md#201-button; components-core.md#35-kbdl-007-decision-packet,True,True,PASS
KBDL-CMP-016,components-core.md#30-normative-requirements,components-core.md#202-icon-button,components-core.md#202-icon-button,components-core.md#202-icon-button,components-core.md#202-icon-button,True,True,PASS
KBDL-CMP-017,components-core.md#30-normative-requirements,components-core.md#202-icon-button,components-core.md#202-icon-button,components-core.md#202-icon-button,components-core.md#202-icon-button,True,True,PASS
KBDL-CMP-018,components-core.md#30-normative-requirements,components-core.md#203-toggle-button,components-core.md#203-toggle-button,components-core.md#203-toggle-button,components-core.md#203-toggle-button,True,True,PASS
KBDL-CMP-019,components-core.md#30-normative-requirements,components-core.md#204-link,components-core.md#204-link,components-core.md#204-link,components-core.md#204-link,True,True,PASS
KBDL-CMP-020,components-core.md#30-normative-requirements,components-core.md#205-button-group,components-core.md#205-button-group; components-core.md#35-kbdl-007-decision-packet,components-core.md#205-button-group; components-core.md#35-kbdl-007-decision-packet,components-core.md#205-button-group; components-core.md#35-kbdl-007-decision-packet,True,True,PASS
KBDL-CMP-021,components-core.md#30-normative-requirements,components-core.md#206-disclosure-and-menu-triggers,components-core.md#206-disclosure-and-menu-triggers,components-core.md#206-disclosure-and-menu-triggers,components-core.md#206-disclosure-and-menu-triggers,True,True,PASS
KBDL-CMP-022,components-core.md#30-normative-requirements,components-core.md#21-form-architecture,components-core.md#21-form-architecture,components-core.md#21-form-architecture,components-core.md#21-form-architecture,True,True,PASS
KBDL-CMP-023,components-core.md#30-normative-requirements,components-core.md#221-text-input,components-core.md#221-text-input,components-core.md#221-text-input,components-core.md#221-text-input,True,True,PASS
KBDL-CMP-024,components-core.md#30-normative-requirements,components-core.md#222-password-input,components-core.md#222-password-input,components-core.md#222-password-input,components-core.md#222-password-input,True,True,PASS
KBDL-CMP-025,components-core.md#30-normative-requirements,components-core.md#223-search-field,components-core.md#223-search-field,components-core.md#223-search-field,components-core.md#223-search-field,True,True,PASS
KBDL-CMP-026,components-core.md#30-normative-requirements,components-core.md#224-textarea,components-core.md#224-textarea,components-core.md#224-textarea,components-core.md#224-textarea,True,True,PASS
KBDL-CMP-027,components-core.md#30-normative-requirements,components-core.md#225-select,components-core.md#225-select,components-core.md#225-select,components-core.md#225-select,True,True,PASS
KBDL-CMP-028,components-core.md#30-normative-requirements,components-core.md#226-combobox-boundary,components-core.md#226-combobox-boundary,components-core.md#226-combobox-boundary,components-core.md#226-combobox-boundary,True,True,PASS
KBDL-CMP-029,components-core.md#30-normative-requirements,components-core.md#226-combobox-boundary,components-core.md#226-combobox-boundary,components-core.md#226-combobox-boundary,components-core.md#226-combobox-boundary,True,True,PASS
KBDL-CMP-030,components-core.md#30-normative-requirements,components-core.md#227-checkbox,components-core.md#227-checkbox,components-core.md#227-checkbox,components-core.md#227-checkbox,True,True,PASS
KBDL-CMP-031,components-core.md#30-normative-requirements,components-core.md#228-radio-group,components-core.md#228-radio-group,components-core.md#228-radio-group,components-core.md#228-radio-group,True,True,PASS
KBDL-CMP-032,components-core.md#30-normative-requirements,components-core.md#229-switch,components-core.md#229-switch,components-core.md#229-switch,components-core.md#229-switch,True,True,PASS
KBDL-CMP-033,components-core.md#30-normative-requirements,components-core.md#2210-file-input,components-core.md#2210-file-input,components-core.md#2210-file-input,components-core.md#2210-file-input,True,True,PASS
KBDL-CMP-034,components-core.md#30-normative-requirements,components-core.md#2211-field-group,components-core.md#2211-field-group,components-core.md#2211-field-group,components-core.md#2211-field-group,True,True,PASS
KBDL-CMP-035,components-core.md#30-normative-requirements,components-core.md#2212-form-action-row,components-core.md#2212-form-action-row,components-core.md#2212-form-action-row,components-core.md#2212-form-action-row,True,True,PASS
KBDL-CMP-036,components-core.md#30-normative-requirements,components-core.md#2212-form-action-row,components-core.md#2212-form-action-row,components-core.md#2212-form-action-row,components-core.md#2212-form-action-row,True,True,PASS
KBDL-CMP-037,components-core.md#30-normative-requirements,components-core.md#23-form-validation-and-recovery,components-core.md#23-form-validation-and-recovery,components-core.md#23-form-validation-and-recovery,components-core.md#23-form-validation-and-recovery,True,True,PASS
KBDL-CMP-038,components-core.md#30-normative-requirements,components-core.md#241-skip-link,components-core.md#241-skip-link,components-core.md#241-skip-link,components-core.md#241-skip-link,True,True,PASS
KBDL-CMP-039,components-core.md#30-normative-requirements,components-core.md#242-navigation-link-and-list,components-core.md#242-navigation-link-and-list,components-core.md#242-navigation-link-and-list,components-core.md#242-navigation-link-and-list,True,True,PASS
KBDL-CMP-040,components-core.md#30-normative-requirements,components-core.md#243-primary-or-global-navigation,components-core.md#243-primary-or-global-navigation,components-core.md#243-primary-or-global-navigation,components-core.md#243-primary-or-global-navigation,True,True,PASS
KBDL-CMP-041,components-core.md#30-normative-requirements,components-core.md#243-primary-or-global-navigation,components-core.md#243-primary-or-global-navigation,components-core.md#243-primary-or-global-navigation,components-core.md#243-primary-or-global-navigation,True,True,PASS
KBDL-CMP-042,components-core.md#30-normative-requirements,components-core.md#244-local-or-section-navigation,components-core.md#244-local-or-section-navigation,components-core.md#244-local-or-section-navigation,components-core.md#244-local-or-section-navigation,True,True,PASS
KBDL-CMP-043,components-core.md#30-normative-requirements,components-core.md#245-breadcrumb,components-core.md#245-breadcrumb,components-core.md#245-breadcrumb,components-core.md#245-breadcrumb,True,True,PASS
KBDL-CMP-044,components-core.md#30-normative-requirements,components-core.md#245-breadcrumb,components-core.md#245-breadcrumb,components-core.md#245-breadcrumb,components-core.md#245-breadcrumb,True,True,PASS
KBDL-CMP-045,components-core.md#30-normative-requirements,components-core.md#246-tabs,components-core.md#246-tabs,components-core.md#246-tabs,components-core.md#246-tabs,True,True,PASS
KBDL-CMP-046,components-core.md#30-normative-requirements,components-core.md#246-tabs,components-core.md#246-tabs,components-core.md#246-tabs,components-core.md#246-tabs,True,True,PASS
KBDL-CMP-047,components-core.md#30-normative-requirements,components-core.md#247-pagination,components-core.md#247-pagination,components-core.md#247-pagination,components-core.md#247-pagination,True,True,PASS
KBDL-CMP-048,components-core.md#30-normative-requirements,components-core.md#247-pagination,components-core.md#247-pagination,components-core.md#247-pagination,components-core.md#247-pagination,True,True,PASS
KBDL-CMP-049,components-core.md#30-normative-requirements,components-core.md#248-back-link,components-core.md#248-back-link,components-core.md#248-back-link,components-core.md#248-back-link,True,True,PASS
KBDL-CMP-050,components-core.md#30-normative-requirements,components-core.md#25-cross-component-composition-rules,components-core.md#25-cross-component-composition-rules,components-core.md#25-cross-component-composition-rules,components-core.md#25-cross-component-composition-rules,True,True,PASS
KBDL-CMP-051,components-core.md#30-normative-requirements,components-core.md#26-profile-compatibility,components-core.md#26-profile-compatibility,components-core.md#26-profile-compatibility,components-core.md#26-profile-compatibility,True,True,PASS
KBDL-CMP-052,components-system.md#5-kbdl-007-ownership-boundary,components-system.md#5-kbdl-007-ownership-boundary,components-system.md#5-kbdl-007-ownership-boundary,components-system.md#5-kbdl-007-ownership-boundary,components-system.md#5-kbdl-007-ownership-boundary,True,True,PASS
KBDL-CMP-053,components-system.md#8-surface-architecture,components-system.md#8-surface-architecture,components-system.md#8-surface-architecture,components-system.md#8-surface-architecture,components-system.md#8-surface-architecture,True,True,PASS
KBDL-CMP-054,components-system.md#91-container-surface,components-system.md#91-container-surface,components-system.md#91-container-surface; components-system.md#92-panel,components-system.md#91-container-surface; components-system.md#92-panel,components-system.md#91-container-surface; components-system.md#92-panel,True,True,PASS
KBDL-CMP-055,components-system.md#93-card,components-system.md#93-card,components-system.md#93-card,components-system.md#93-card,components-system.md#93-card,True,True,PASS
KBDL-CMP-056,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture,True,True,PASS
KBDL-CMP-057,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture; components-system.md#112-popover-or-non-modal-dialog,components-system.md#10-overlay-architecture; components-system.md#112-popover-or-non-modal-dialog,components-system.md#10-overlay-architecture; components-system.md#112-popover-or-non-modal-dialog,True,True,PASS
KBDL-CMP-058,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture; components-system.md#20-focus-and-modality,components-system.md#10-overlay-architecture; components-system.md#20-focus-and-modality,components-system.md#10-overlay-architecture; components-system.md#20-focus-and-modality,True,True,PASS
KBDL-CMP-059,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture; components-system.md#21-dismissal-and-persistence,components-system.md#10-overlay-architecture; components-system.md#21-dismissal-and-persistence,components-system.md#10-overlay-architecture; components-system.md#21-dismissal-and-persistence,True,True,PASS
KBDL-CMP-060,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture; components-system.md#31-theme-and-motion-validation-matrix,components-system.md#10-overlay-architecture; components-system.md#31-theme-and-motion-validation-matrix,components-system.md#10-overlay-architecture; components-system.md#31-theme-and-motion-validation-matrix,True,True,PASS
KBDL-CMP-061,components-system.md#13-feedback-architecture,components-system.md#13-feedback-architecture,components-system.md#13-feedback-architecture; components-system.md#15-system-state-architecture,components-system.md#13-feedback-architecture; components-system.md#15-system-state-architecture,components-system.md#13-feedback-architecture; components-system.md#15-system-state-architecture,True,True,PASS
KBDL-CMP-062,components-system.md#8-surface-architecture,components-system.md#8-surface-architecture,components-system.md#8-surface-architecture; components-system.md#17-complex-presentation-architecture,components-system.md#8-surface-architecture; components-system.md#17-complex-presentation-architecture,components-system.md#8-surface-architecture; components-system.md#17-complex-presentation-architecture,True,True,PASS
KBDL-CMP-063,components-system.md#23-security-and-privacy,components-system.md#23-security-and-privacy,components-system.md#23-security-and-privacy,components-system.md#23-security-and-privacy,components-system.md#23-security-and-privacy,True,True,PASS
KBDL-CMP-064,components-system.md#23-security-and-privacy,components-system.md#23-security-and-privacy,components-system.md#23-security-and-privacy,components-system.md#23-security-and-privacy,components-system.md#23-security-and-privacy,True,True,PASS
KBDL-CMP-065,components-system.md#7-extended-system-component-contract,components-system.md#7-extended-system-component-contract,components-system.md#7-extended-system-component-contract,components-system.md#7-extended-system-component-contract,components-system.md#7-extended-system-component-contract,True,True,PASS
KBDL-CMP-066,components-system.md#24-cross-component-composition-and-profile-compatibility,components-system.md#24-cross-component-composition-and-profile-compatibility,components-system.md#24-cross-component-composition-and-profile-compatibility,components-system.md#24-cross-component-composition-and-profile-compatibility,components-system.md#24-cross-component-composition-and-profile-compatibility,True,True,PASS
KBDL-CMP-067,components-system.md#93-card,components-system.md#93-card,components-system.md#93-card; components-system.md#33-kbdl-008-decision-packet,components-system.md#93-card; components-system.md#33-kbdl-008-decision-packet,components-system.md#93-card; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-068,components-system.md#94-accordion-surface,components-system.md#94-accordion-surface,components-system.md#94-accordion-surface,components-system.md#94-accordion-surface,components-system.md#94-accordion-surface,True,True,PASS
KBDL-CMP-069,components-system.md#94-accordion-surface,components-system.md#94-accordion-surface,components-system.md#94-accordion-surface; components-system.md#33-kbdl-008-decision-packet,components-system.md#94-accordion-surface; components-system.md#33-kbdl-008-decision-packet,components-system.md#94-accordion-surface; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-070,components-system.md#95-static-data-table,components-system.md#95-static-data-table,components-system.md#95-static-data-table; components-system.md#181-interactive-grid,components-system.md#95-static-data-table; components-system.md#181-interactive-grid,components-system.md#95-static-data-table; components-system.md#181-interactive-grid,True,True,PASS
KBDL-CMP-071,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture,components-system.md#10-overlay-architecture; components-system.md#115-dialog; components-system.md#116-modal-dialog,components-system.md#10-overlay-architecture; components-system.md#115-dialog; components-system.md#116-modal-dialog,components-system.md#10-overlay-architecture; components-system.md#115-dialog; components-system.md#116-modal-dialog,True,True,PASS
KBDL-CMP-072,components-system.md#111-tooltip,components-system.md#111-tooltip,components-system.md#111-tooltip,components-system.md#111-tooltip,components-system.md#111-tooltip,True,True,PASS
KBDL-CMP-073,components-system.md#111-tooltip,components-system.md#111-tooltip,components-system.md#111-tooltip; components-system.md#33-kbdl-008-decision-packet,components-system.md#111-tooltip; components-system.md#33-kbdl-008-decision-packet,components-system.md#111-tooltip; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-074,components-system.md#112-popover-or-non-modal-dialog,components-system.md#112-popover-or-non-modal-dialog,components-system.md#112-popover-or-non-modal-dialog; components-system.md#33-kbdl-008-decision-packet,components-system.md#112-popover-or-non-modal-dialog; components-system.md#33-kbdl-008-decision-packet,components-system.md#112-popover-or-non-modal-dialog; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-075,components-system.md#113-menu-surface,components-system.md#113-menu-surface,components-system.md#113-menu-surface,components-system.md#113-menu-surface,components-system.md#113-menu-surface,True,True,PASS
KBDL-CMP-076,components-system.md#113-menu-surface,components-system.md#113-menu-surface,components-system.md#113-menu-surface; components-system.md#33-kbdl-008-decision-packet,components-system.md#113-menu-surface; components-system.md#33-kbdl-008-decision-packet,components-system.md#113-menu-surface; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-077,components-system.md#114-listbox-popup,components-system.md#114-listbox-popup,components-system.md#114-listbox-popup,components-system.md#114-listbox-popup,components-system.md#114-listbox-popup,True,True,PASS
KBDL-CMP-078,components-system.md#115-dialog,components-system.md#115-dialog,components-system.md#115-dialog,components-system.md#115-dialog,components-system.md#115-dialog,True,True,PASS
KBDL-CMP-079,components-system.md#116-modal-dialog,components-system.md#116-modal-dialog,components-system.md#116-modal-dialog,components-system.md#116-modal-dialog,components-system.md#116-modal-dialog,True,True,PASS
KBDL-CMP-080,components-system.md#116-modal-dialog,components-system.md#116-modal-dialog,components-system.md#116-modal-dialog; components-system.md#33-kbdl-008-decision-packet,components-system.md#116-modal-dialog; components-system.md#33-kbdl-008-decision-packet,components-system.md#116-modal-dialog; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-081,components-system.md#117-alert-dialog,components-system.md#117-alert-dialog,components-system.md#117-alert-dialog,components-system.md#117-alert-dialog,components-system.md#117-alert-dialog,True,True,PASS
