Requirement ID,Referenced target,Reference classification,Classification basis,Graph edge
KBDL-MOT-007,KBDL-MOT-008,Context-only reference,"approved (per kbdl-dec-014, decision packet item 2, together with kbdl-mot-008, as one timing system)",No
KBDL-MOT-008,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-008,KBDL-MOT-007,Context-only reference,"approved (per kbdl-dec-014, decision packet item 2, together with kbdl-mot-007, as one timing system)",No
KBDL-MOT-009,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-010,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-011,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-012,KBDL-PRN-002,Authority edge,approved (directly restates the safety/correctness priority already established in kbdl-prn-002 and §3.3),Yes
KBDL-MOT-013,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-017,KBDL-THM-012a,Authority edge,"cked motion purpose rule that continuous motion must be controlled, and the already-approved reduced-motion requirement kbdl-thm-012a)",Yes
KBDL-MOT-019,KBDL-DEC-010,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-020,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-020,KBDL-THM-012,Authority edge,"cision packet item 10; the underlying non-blocking, readable, focus-preserving requirements were already approved under kbdl-thm-012/012a and are unaffected)",Yes
KBDL-MOT-022,KBDL-DEC-010,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-022,KBDL-THM-012a,Authority edge,"approved (directly restates kbdl-thm-012a and kbdl's enhanced motion-safety baseline, kbdl-dec-010)",Yes
KBDL-MOT-023,KBDL-DEC-010,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-024,KBDL-PRN-003,Authority edge,"approved (directly restates performance-aware enhancement, kbdl-prn-003/§6.9)",Yes
KBDL-MOT-026,KBDL-PRN-007,Authority edge,"approved (directly restates kbdl-prn-007, adaptability without fragmentation)",Yes
KBDL-MOT-028,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-029,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-030,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-031,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-032,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-033,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-034,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-PRO-001,KBDL-A11Y-040,Authority edge,"restates and consolidates the already-approved kbdl-prn-007, kbdl-fnd-008, kbdl-thm-006, kbdl-mot-026, kbdl-a11y-040, kbdl-cmp-051, and kbdl-cmp-066, each of which independently requires shared architecture in its own module",Yes
KBDL-PRO-001,KBDL-CMP-051,Authority edge,"restates and consolidates the already-approved kbdl-prn-007, kbdl-fnd-008, kbdl-thm-006, kbdl-mot-026, kbdl-a11y-040, kbdl-cmp-051, and kbdl-cmp-066, each of which independently requires shared architecture in its own module",Yes
KBDL-PRO-001,KBDL-CMP-066,Authority edge,"solidates the already-approved kbdl-prn-007, kbdl-fnd-008, kbdl-thm-006, kbdl-mot-026, kbdl-a11y-040, kbdl-cmp-051, and kbdl-cmp-066, each of which independently requires shared architecture in its own module",Yes
KBDL-PRO-001,KBDL-FND-008,Authority edge,"restates and consolidates the already-approved kbdl-prn-007, kbdl-fnd-008, kbdl-thm-006, kbdl-mot-026, kbdl-a11y-040, kbdl-cmp-051, and kbdl-cmp-066, each of which independently requires shared",Yes
KBDL-PRO-001,KBDL-MOT-026,Authority edge,"restates and consolidates the already-approved kbdl-prn-007, kbdl-fnd-008, kbdl-thm-006, kbdl-mot-026, kbdl-a11y-040, kbdl-cmp-051, and kbdl-cmp-066, each of which independently requires shared architecture in its own mod",Yes
KBDL-PRO-001,KBDL-PRN-007,Authority edge,"restates and consolidates the already-approved kbdl-prn-007, kbdl-fnd-008, kbdl-thm-006, kbdl-mot-026, kbdl-a11y-040, kbdl-cmp-051, and kbdl-cmp-066, each of which independently r",Yes
KBDL-PRO-001,KBDL-THM-006,Authority edge,"restates and consolidates the already-approved kbdl-prn-007, kbdl-fnd-008, kbdl-thm-006, kbdl-mot-026, kbdl-a11y-040, kbdl-cmp-051, and kbdl-cmp-066, each of which independently requires shared architecture",Yes
KBDL-PRO-013,KBDL-CMP-051,Authority edge,"restates the already-approved kbdl-cmp-051, kbdl-cmp-066, kbdl-cmp-055 hover-independent- discoverability prohibition, kbdl-cmp-072 tooltip-naming- independence r",Yes
KBDL-PRO-013,KBDL-CMP-055,Authority edge,"restates the already-approved kbdl-cmp-051, kbdl-cmp-066, kbdl-cmp-055 hover-independent- discoverability prohibition, kbdl-cmp-072 tooltip-naming- independence rule, and kbdl-cmp-107 carous",Yes
KBDL-PRO-013,KBDL-CMP-066,Authority edge,"restates the already-approved kbdl-cmp-051, kbdl-cmp-066, kbdl-cmp-055 hover-independent- discoverability prohibition, kbdl-cmp-072 tooltip-naming- independence rule, and kbdl-",Yes
KBDL-PRO-013,KBDL-CMP-072,Authority edge,"restates the already-approved kbdl-cmp-051, kbdl-cmp-066, kbdl-cmp-055 hover-independent- discoverability prohibition, kbdl-cmp-072 tooltip-naming- independence rule, and kbdl-cmp-107 carousel pause/stop/hide requirement",Yes
KBDL-PRO-013,KBDL-CMP-107,Authority edge,"p-066, kbdl-cmp-055 hover-independent- discoverability prohibition, kbdl-cmp-072 tooltip-naming- independence rule, and kbdl-cmp-107 carousel pause/stop/hide requirement",Yes
KBDL-PRO-014,KBDL-CMP-010,Authority edge,"restates the already-approved kbdl-cmp-051, kbdl-cmp-066, kbdl-cmp-010 wcag 24×24 target- size minimum, kbdl-cmp-070 native-table/grid-misuse prohibition, and kbdl-cmp-055 hover-independent-",Yes
KBDL-PRO-014,KBDL-CMP-051,Authority edge,"restates the already-approved kbdl-cmp-051, kbdl-cmp-066, kbdl-cmp-010 wcag 24×24 target- size minimum, kbdl-cmp-070 native-table/grid-misuse prohibition, and kbd",Yes
KBDL-PRO-014,KBDL-CMP-055,Authority edge,"051, kbdl-cmp-066, kbdl-cmp-010 wcag 24×24 target- size minimum, kbdl-cmp-070 native-table/grid-misuse prohibition, and kbdl-cmp-055 hover-independent-discoverability prohibition",Yes
KBDL-PRO-014,KBDL-CMP-066,Authority edge,"restates the already-approved kbdl-cmp-051, kbdl-cmp-066, kbdl-cmp-010 wcag 24×24 target- size minimum, kbdl-cmp-070 native-table/grid-misuse prohibition, and kbdl-cmp-055 hove",Yes
KBDL-PRO-014,KBDL-CMP-070,Authority edge,"restates the already-approved kbdl-cmp-051, kbdl-cmp-066, kbdl-cmp-010 wcag 24×24 target- size minimum, kbdl-cmp-070 native-table/grid-misuse prohibition, and kbdl-cmp-055 hover-independent-discoverability prohibition",Yes
KBDL-PRO-015,KBDL-CMP-051,Authority edge,"restates the already-approved kbdl-cmp-051, kbdl-cmp-066, and kbdl-cmp-090 toast critical-information-persistence requirement",Yes
KBDL-PRO-015,KBDL-CMP-066,Authority edge,"restates the already-approved kbdl-cmp-051, kbdl-cmp-066, and kbdl-cmp-090 toast critical-information-persistence requirement",Yes
KBDL-PRO-015,KBDL-CMP-090,Authority edge,"restates the already-approved kbdl-cmp-051, kbdl-cmp-066, and kbdl-cmp-090 toast critical-information-persistence requirement",Yes
KBDL-PRO-019,KBDL-PRN-003,Authority edge,"restates the already-approved kbdl-prn-003, extended explicitly to per-profile mapping",Yes
KBDL-PRO-020,KBDL-CMP-051,Authority edge,restates and extends the already- approved kbdl-cmp-051 explicitly to this module's own mapping,Yes
KBDL-PRO-021,KBDL-CMP-066,Authority edge,restates and extends the already- approved kbdl-cmp-066 explicitly to this module's own mapping,Yes
KBDL-PRO-022,KBDL-CMP-101,Authority edge,"restates the already-approved consumer comprehension principle, principles.md §6.3, and the already-approved kbdl-cmp-101/103 honest-system-state- communication rules",Yes
KBDL-PRO-023,KBDL-CMP-063,Authority edge,"restates the already-approved kbdl-cmp-063, 064, 098, 101, 103, 104 security and correctness principles, extended explicitly to profile emphasis by the approved k",Yes
KBDL-RSP-009,KBDL-PRN-003,Authority edge,"approved (directly restates kbdl-prn-003, clarity before spectacle, and technical utility's density exclusion)",Yes
KBDL-THM-004,KBDL-DEC-013,Authority edge,Decision cited in authority expression,Yes
KBDL-THM-005,KBDL-GOV-002,Authority edge,"approved — directly derived from the locked, already- approved accessibility rule in governance.md § kbdl-gov-002 and principles.md §6.8; accessibility cannot be weakened by a project override",Yes
KBDL-THM-012a,KBDL-DEC-010,Authority edge,Decision cited in authority expression,Yes
