Requirement ID,Derived Not-verified/excluded scope,Known limitation,Semantic relationship terms,Result
KBDL-A11Y-025,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-026,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-027,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-028,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-029,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-030,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-031,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-032,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-033,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-034,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-035,none not applicable,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,unaddressed; exclude; approval; require; not,PASS
KBDL-A11Y-036,none not applicable,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-037,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-038,none not applicable,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-039,none not applicable,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-040,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-CMP-001,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-002,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-003,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-004,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-005,none not applicable,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-006,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-007,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-008,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-009,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-010,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-011,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-012,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-013,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-014,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-015,none not applicable,Implementation-dependent,Implement,PASS
KBDL-CMP-016,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-017,none not applicable,Implementation-dependent,Implement,PASS
KBDL-CMP-018,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-019,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-020,none not applicable,Implementation-dependent,Implement,PASS
KBDL-CMP-021,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-022,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-023,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-024,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-025,none not applicable,Implementation-dependent,Implement,PASS
KBDL-CMP-026,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-027,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-028,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-029,none not applicable,Implementation-dependent,Implement,PASS
KBDL-CMP-030,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-031,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-032,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-033,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-034,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-035,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-036,none not applicable,Implementation-dependent,Implement,PASS
KBDL-CMP-037,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-038,not verified not verified,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-039,not verified not verified,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-040,not verified not verified,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-041,none not applicable,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-042,not verified not verified,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-043,not verified not verified,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-044,none not applicable,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-045,not verified not verified,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-046,none not applicable,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-047,not verified not verified,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-048,none not applicable,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-049,not verified not verified,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,unapproved; cannot,PASS
KBDL-CMP-050,none not applicable,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-051,not verified not verified,Implementation-dependent; cannot be tested until real components exist,Implement; cannot,PASS
KBDL-CMP-052,none not applicable,Implementation-dependent,Implement,PASS
KBDL-CMP-053,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-054,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-055,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-056,none not applicable,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-057,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-058,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-059,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-060,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-061,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-062,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-063,not verified not verified,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-064,not verified not verified,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-065,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-066,not verified not verified,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-067,none not applicable,Implementation-dependent,Implement,PASS
KBDL-CMP-068,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-069,none not applicable,Implementation-dependent,Implement,PASS
KBDL-CMP-070,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-071,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-072,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-073,none not applicable,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-074,none not applicable,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-075,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-076,none not applicable,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-077,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-078,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-079,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-080,none not applicable,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-081,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-082,none not applicable,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-083,none not applicable,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-084,not verified not verified,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-085,none not applicable,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,remain; unapproved; approval,PASS
KBDL-CMP-086,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-087,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-088,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-089,none not applicable,Implementation-dependent,Implement,PASS
KBDL-CMP-090,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-091,none not applicable,Implementation-dependent,Implement,PASS
KBDL-CMP-092,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-093,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-094,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-095,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-096,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-097,not verified not verified,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-098,not verified not verified,Implementation-dependent,Implement,PASS
KBDL-CMP-099,none not applicable,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-100,not verified not verified,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-101,not verified not verified,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-102,none not applicable,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-103,not verified not verified,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-104,not verified not verified,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-105,none not applicable,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-106,none not applicable,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-107,not verified not verified,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-108,none not applicable,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-109,not verified not verified,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-110,none not applicable,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CMP-111,none not applicable,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,unapproved,PASS
KBDL-CUS-001,not verified not verified,No project customization exists to test,No,PASS
KBDL-CUS-002,not verified not verified,Project records are not available,not,PASS
KBDL-CUS-003,not verified not verified,Classification has not been applied to a real request,not,PASS
KBDL-CUS-004,not verified not verified,Implementation choices are project-specific,Implement,PASS
KBDL-CUS-005,not verified not verified,Actual assets require project review,require,PASS
KBDL-CUS-006,not verified not verified,Exact reuse threshold is Recommended,Recommended,PASS
KBDL-CUS-007,not verified not verified,No exception is created here,No,PASS
KBDL-CUS-008,not verified not verified,No real workflow history exists,No,PASS
KBDL-CUS-009,not verified not verified,Inapplicable fields require project rationale,require,PASS
KBDL-CUS-010,not verified not verified,No machine-readable format is mandated,No,PASS
KBDL-CUS-011,not verified not verified,Final KBDL validation remains later scope,validat; remain,PASS
KBDL-CUS-012,not verified not verified,Exact cadence/expiry are Recommended,Recommended,PASS
KBDL-CUS-013,not verified not verified,Project implementation absent,implement; absent,PASS
KBDL-CUS-014,not verified not verified,Pending theme items remain excluded,Pending; remain; exclude,PASS
KBDL-CUS-015,not verified not verified,Exact component values and technology remain excluded,remain; exclude,PASS
KBDL-CUS-016,not verified not verified,Pending exact values remain excluded,Pending; remain; exclude,PASS
KBDL-CUS-017,not verified not verified,Implementation testing is absent,Implement; absent,PASS
KBDL-CUS-018,not verified not verified,Pending KBDL-007 items remain excluded,Pending; remain; exclude,PASS
KBDL-CUS-019,not verified not verified,Pending KBDL-008 items remain excluded,Pending; remain; exclude,PASS
KBDL-CUS-020,not verified not verified,Pending KBDL-009 policies remain excluded,Pending; remain; exclude,PASS
KBDL-CUS-021,not verified not verified,Backend architecture is out of scope,out of scope,PASS
KBDL-CUS-022,not verified not verified,No implementation handoff exists,No; implement,PASS
KBDL-CUS-023,none not applicable,Records use a visible placeholder meanwhile,None,PASS
KBDL-CUS-024,none not applicable,Current governance does not define exact local roles,not,PASS
KBDL-CUS-025,none not applicable,KBDL-011 does not approve this discretionary policy,not,PASS
KBDL-CUS-026,none not applicable,No default time period is authorized,No,PASS
KBDL-CUS-027,none not applicable,Conflicts stop under current rules,None,PASS
KBDL-CUS-028,none not applicable,Reuse always triggers review until a threshold is approved,None,PASS
KBDL-CUS-029,none not applicable,Exact retention and evidence rules are not authorized,evidence; not,PASS
KBDL-CUS-030,none not applicable,"No JSON, YAML, schema, API, plugin, or automation is authorized",No,PASS
KBDL-FND-001,not verified not verified,Cannot be fully validated until THM and CMP requirements exist,Cannot; validat; require,PASS
KBDL-FND-002,not verified not verified,Cannot be fully validated until THM and CMP requirements exist,Cannot; validat; require,PASS
KBDL-FND-003,not verified not verified,Cannot be fully validated until RSP requirements exist,Cannot; validat; require,PASS
KBDL-FND-004,not verified not verified,Cannot be fully validated until RSP requirements exist,Cannot; validat; require,PASS
KBDL-FND-005,not verified not verified,No implementation exists to execute the stated typography validation method.,No; implement; validat,PASS
KBDL-FND-006,not verified not verified,No implementation exists to execute the stated iconography validation method.,No; implement; validat,PASS
KBDL-FND-007,not verified not verified,No implementation exists to execute the stated spacing validation method.,No; implement; validat,PASS
KBDL-FND-008,not verified not verified,Cannot be fully validated until PRO requirements exist,Cannot; validat; require,PASS
KBDL-FND-009,verified for the contrast calculations only (see color.md §4); not verified for suitability as a final brand palette mixed — verified / not verified,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",Approval; implement; not; validat; remain; Not verified,PASS
KBDL-FND-010,not verified not verified,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",Approval; implement; not; validat; remain; Not verified,PASS
KBDL-FND-011,not verified not verified,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",Approval; implement; not; validat; remain; Not verified,PASS
KBDL-FND-012,not verified not verified,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",Approval; implement; not; validat; remain; Not verified,PASS
KBDL-GOV-001,none verified,"No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based",No; not,PASS
KBDL-GOV-002,not verified not verified,"Cannot be validated against a real accessibility requirement, since none exist yet",Cannot; validat; require,PASS
KBDL-GOV-003,none verified,None identified,None,PASS
KBDL-MOT-001,not verified not verified,"Per-component purpose assignment depends on the Components module (CMP), not yet reached",not,PASS
KBDL-MOT-002,not verified not verified,"Per-component purpose assignment depends on the Components module (CMP), not yet reached",not,PASS
KBDL-MOT-003,not verified not verified,"Per-component purpose assignment depends on the Components module (CMP), not yet reached",not,PASS
KBDL-MOT-004,not verified not verified,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",require; not; no; implement,PASS
KBDL-MOT-005,not verified not verified,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",require; not; no; implement,PASS
KBDL-MOT-006,not verified not verified,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",require; not; no; implement,PASS
KBDL-MOT-007,not verified not verified,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Approval; not; implement; validat; not; implement,PASS
KBDL-MOT-008,none not applicable,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Approval; not; implement; validat; not; implement,PASS
KBDL-MOT-009,none not applicable,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Approval; not; implement; validat; not; implement,PASS
KBDL-MOT-010,not verified not verified,Exact pixel/percentage movement and scale values are deferred to the Components module,defer,PASS
KBDL-MOT-011,not verified not verified,Exact pixel/percentage movement and scale values are deferred to the Components module,defer,PASS
KBDL-MOT-012,not verified not verified,Exact pixel/percentage movement and scale values are deferred to the Components module,defer,PASS
KBDL-MOT-013,not verified not verified,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-MOT-014,not verified not verified,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-MOT-015,not verified not verified,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-MOT-016,not verified not verified,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-MOT-017,not verified not verified,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-MOT-018,not verified not verified,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-MOT-019,not verified not verified,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-MOT-020,not verified not verified,No intermediate-frame contrast measurement has actually been performed against a live implementation,No; implement,PASS
