Requirement ID,Expected exact location,Expected source,Effective location,Group location role,Invalid anchors,Match
KBDL-A11Y-021,accessibility.md#25-target-sizing-and-spacing; accessibility.md#49-accessibility-decision-packet,accessibility.md authoritative block or committed historical registry,accessibility.md#25-target-sizing-and-spacing; accessibility.md#49-accessibility-decision-packet,non-overriding summary,None,True
KBDL-A11Y-022,accessibility.md#26-pointer-cancellation,accessibility.md authoritative block or committed historical registry,accessibility.md#26-pointer-cancellation,non-overriding summary,None,True
KBDL-A11Y-023,accessibility.md#27-dragging-and-gesture-alternatives,accessibility.md authoritative block or committed historical registry,accessibility.md#27-dragging-and-gesture-alternatives,non-overriding summary,None,True
KBDL-A11Y-024,accessibility.md#28-motion-actuation-alternatives,accessibility.md authoritative block or committed historical registry,accessibility.md#28-motion-actuation-alternatives,non-overriding summary,None,True
KBDL-A11Y-025,accessibility.md#29-reduced-motion-and-no-motion-parity,accessibility.md authoritative block or committed historical registry,accessibility.md#29-reduced-motion-and-no-motion-parity,non-overriding summary,None,True
KBDL-A11Y-026,accessibility.md#30-flashing-vestibular-and-motion-safety-limits,accessibility.md authoritative block or committed historical registry,accessibility.md#30-flashing-vestibular-and-motion-safety-limits,non-overriding summary,None,True
KBDL-A11Y-027,accessibility.md#31-timing-automatic-movement-and-interruptions,accessibility.md authoritative block or committed historical registry,accessibility.md#31-timing-automatic-movement-and-interruptions,non-overriding summary,None,True
KBDL-A11Y-028,accessibility.md#32-forms-labels-instructions-and-autocomplete,accessibility.md authoritative block or committed historical registry,accessibility.md#32-forms-labels-instructions-and-autocomplete,non-overriding summary,None,True
KBDL-A11Y-029,accessibility.md#33-error-identification-and-recovery,accessibility.md authoritative block or committed historical registry,accessibility.md#33-error-identification-and-recovery,non-overriding summary,None,True
KBDL-A11Y-030,accessibility.md#34-error-prevention-for-consequential-actions,accessibility.md authoritative block or committed historical registry,accessibility.md#34-error-prevention-for-consequential-actions,non-overriding summary,None,True
KBDL-A11Y-031,accessibility.md#35-status-messages-and-live-communication,accessibility.md authoritative block or committed historical registry,accessibility.md#35-status-messages-and-live-communication,non-overriding summary,None,True
KBDL-A11Y-032,accessibility.md#36-authentication-accessibility,accessibility.md authoritative block or committed historical registry,accessibility.md#36-authentication-accessibility,non-overriding summary,None,True
KBDL-A11Y-033,accessibility.md#37-plain-language-and-cognitive-accessibility,accessibility.md authoritative block or committed historical registry,accessibility.md#37-plain-language-and-cognitive-accessibility,non-overriding summary,None,True
KBDL-A11Y-034,accessibility.md#38-consistent-navigation-identification-and-help,accessibility.md authoritative block or committed historical registry,accessibility.md#38-consistent-navigation-identification-and-help,non-overriding summary,None,True
KBDL-A11Y-035,accessibility.md#39-screen-reader-behavior; accessibility.md#49-accessibility-decision-packet,accessibility.md authoritative block or committed historical registry,accessibility.md#39-screen-reader-behavior; accessibility.md#49-accessibility-decision-packet,non-overriding summary,None,True
KBDL-A11Y-036,accessibility.md#40-media-and-animation-controls,accessibility.md authoritative block or committed historical registry,accessibility.md#40-media-and-animation-controls,non-overriding summary,None,True
KBDL-A11Y-037,accessibility.md#41-accessible-data-presentation,accessibility.md authoritative block or committed historical registry,accessibility.md#41-accessible-data-presentation,non-overriding summary,None,True
KBDL-A11Y-038,accessibility.md#42-mobile-accessibility,accessibility.md authoritative block or committed historical registry,accessibility.md#42-mobile-accessibility,non-overriding summary,None,True
KBDL-A11Y-039,accessibility.md#43-virtual-keyboard-accessibility,accessibility.md authoritative block or committed historical registry,accessibility.md#43-virtual-keyboard-accessibility,non-overriding summary,None,True
KBDL-A11Y-040,accessibility.md#44-profile-interpretation,accessibility.md authoritative block or committed historical registry,accessibility.md#44-profile-interpretation,non-overriding summary,None,True
KBDL-CMP-001,components-core.md#6-shared-component-contract; components-core.md#7-component-anatomy-model,components-core.md authoritative block or committed historical registry,components-core.md#6-shared-component-contract; components-core.md#7-component-anatomy-model,non-overriding summary,None,True
KBDL-CMP-002,components-core.md#5-native-semantics-first-rule,components-core.md authoritative block or committed historical registry,components-core.md#5-native-semantics-first-rule,non-overriding summary,None,True
KBDL-CMP-003,components-core.md#10-accessible-naming-and-description,components-core.md authoritative block or committed historical registry,components-core.md#10-accessible-naming-and-description,non-overriding summary,None,True
KBDL-CMP-004,components-core.md#8-component-state-model; components-core.md#9-interaction-state-priority,components-core.md authoritative block or committed historical registry,components-core.md#8-component-state-model; components-core.md#9-interaction-state-priority,non-overriding summary,None,True
KBDL-CMP-005,components-core.md#11-kbdl-008-scope-boundary,components-core.md authoritative block or committed historical registry,components-core.md#11-kbdl-008-scope-boundary,non-overriding summary,None,True
KBDL-CMP-006,components-core.md#12-focus-behavior,components-core.md authoritative block or committed historical registry,components-core.md#12-focus-behavior,non-overriding summary,None,True
KBDL-CMP-007,components-core.md#13-keyboard-interaction,components-core.md authoritative block or committed historical registry,components-core.md#13-keyboard-interaction,non-overriding summary,None,True
KBDL-CMP-008,components-core.md#14-pointer-and-touch-interaction,components-core.md authoritative block or committed historical registry,components-core.md#14-pointer-and-touch-interaction,non-overriding summary,None,True
KBDL-CMP-009,components-core.md#15-responsive-behavior,components-core.md authoritative block or committed historical registry,components-core.md#15-responsive-behavior,non-overriding summary,None,True
KBDL-CMP-010,components-core.md#16-target-size-handling,components-core.md authoritative block or committed historical registry,components-core.md#16-target-size-handling,non-overriding summary,None,True
KBDL-CMP-011,components-core.md#17-theme-and-contrast-behavior,components-core.md authoritative block or committed historical registry,components-core.md#17-theme-and-contrast-behavior,non-overriding summary,None,True
KBDL-CMP-012,components-core.md#18-foundation-behavior,components-core.md authoritative block or committed historical registry,components-core.md#18-foundation-behavior,non-overriding summary,None,True
KBDL-CMP-013,components-core.md#19-motion-behavior,components-core.md authoritative block or committed historical registry,components-core.md#19-motion-behavior,non-overriding summary,None,True
KBDL-CMP-014,components-core.md#201-button,components-core.md authoritative block or committed historical registry,components-core.md#201-button,non-overriding summary,None,True
KBDL-CMP-015,components-core.md#201-button; components-core.md#35-kbdl-007-decision-packet,components-core.md authoritative block or committed historical registry,components-core.md#201-button; components-core.md#35-kbdl-007-decision-packet,non-overriding summary,None,True
KBDL-CMP-016,components-core.md#202-icon-button,components-core.md authoritative block or committed historical registry,components-core.md#202-icon-button,non-overriding summary,None,True
KBDL-CMP-017,components-core.md#202-icon-button,components-core.md authoritative block or committed historical registry,components-core.md#202-icon-button,non-overriding summary,None,True
KBDL-CMP-018,components-core.md#203-toggle-button,components-core.md authoritative block or committed historical registry,components-core.md#203-toggle-button,non-overriding summary,None,True
KBDL-CMP-019,components-core.md#204-link,components-core.md authoritative block or committed historical registry,components-core.md#204-link,non-overriding summary,None,True
KBDL-CMP-020,components-core.md#205-button-group; components-core.md#35-kbdl-007-decision-packet,components-core.md authoritative block or committed historical registry,components-core.md#205-button-group; components-core.md#35-kbdl-007-decision-packet,non-overriding summary,None,True
KBDL-CMP-021,components-core.md#206-disclosure-and-menu-triggers,components-core.md authoritative block or committed historical registry,components-core.md#206-disclosure-and-menu-triggers,non-overriding summary,None,True
KBDL-CMP-022,components-core.md#21-form-architecture,components-core.md authoritative block or committed historical registry,components-core.md#21-form-architecture,non-overriding summary,None,True
KBDL-CMP-023,components-core.md#221-text-input,components-core.md authoritative block or committed historical registry,components-core.md#221-text-input,non-overriding summary,None,True
KBDL-CMP-024,components-core.md#222-password-input,components-core.md authoritative block or committed historical registry,components-core.md#222-password-input,non-overriding summary,None,True
KBDL-CMP-025,components-core.md#223-search-field,components-core.md authoritative block or committed historical registry,components-core.md#223-search-field,non-overriding summary,None,True
KBDL-CMP-026,components-core.md#224-textarea,components-core.md authoritative block or committed historical registry,components-core.md#224-textarea,non-overriding summary,None,True
KBDL-CMP-027,components-core.md#225-select,components-core.md authoritative block or committed historical registry,components-core.md#225-select,non-overriding summary,None,True
KBDL-CMP-028,components-core.md#226-combobox-boundary,components-core.md authoritative block or committed historical registry,components-core.md#226-combobox-boundary,non-overriding summary,None,True
KBDL-CMP-029,components-core.md#226-combobox-boundary,components-core.md authoritative block or committed historical registry,components-core.md#226-combobox-boundary,non-overriding summary,None,True
KBDL-CMP-030,components-core.md#227-checkbox,components-core.md authoritative block or committed historical registry,components-core.md#227-checkbox,non-overriding summary,None,True
KBDL-CMP-031,components-core.md#228-radio-group,components-core.md authoritative block or committed historical registry,components-core.md#228-radio-group,non-overriding summary,None,True
KBDL-CMP-032,components-core.md#229-switch,components-core.md authoritative block or committed historical registry,components-core.md#229-switch,non-overriding summary,None,True
KBDL-CMP-033,components-core.md#2210-file-input,components-core.md authoritative block or committed historical registry,components-core.md#2210-file-input,non-overriding summary,None,True
KBDL-CMP-034,components-core.md#2211-field-group,components-core.md authoritative block or committed historical registry,components-core.md#2211-field-group,non-overriding summary,None,True
KBDL-CMP-035,components-core.md#2212-form-action-row,components-core.md authoritative block or committed historical registry,components-core.md#2212-form-action-row,non-overriding summary,None,True
KBDL-CMP-036,components-core.md#2212-form-action-row,components-core.md authoritative block or committed historical registry,components-core.md#2212-form-action-row,non-overriding summary,None,True
KBDL-CMP-037,components-core.md#23-form-validation-and-recovery,components-core.md authoritative block or committed historical registry,components-core.md#23-form-validation-and-recovery,non-overriding summary,None,True
KBDL-CMP-038,components-core.md#241-skip-link,components-core.md authoritative block or committed historical registry,components-core.md#241-skip-link,non-overriding summary,None,True
KBDL-CMP-039,components-core.md#242-navigation-link-and-list,components-core.md authoritative block or committed historical registry,components-core.md#242-navigation-link-and-list,non-overriding summary,None,True
KBDL-CMP-040,components-core.md#243-primary-or-global-navigation,components-core.md authoritative block or committed historical registry,components-core.md#243-primary-or-global-navigation,non-overriding summary,None,True
KBDL-CMP-041,components-core.md#243-primary-or-global-navigation,components-core.md authoritative block or committed historical registry,components-core.md#243-primary-or-global-navigation,non-overriding summary,None,True
KBDL-CMP-042,components-core.md#244-local-or-section-navigation,components-core.md authoritative block or committed historical registry,components-core.md#244-local-or-section-navigation,non-overriding summary,None,True
KBDL-CMP-043,components-core.md#245-breadcrumb,components-core.md authoritative block or committed historical registry,components-core.md#245-breadcrumb,non-overriding summary,None,True
KBDL-CMP-044,components-core.md#245-breadcrumb,components-core.md authoritative block or committed historical registry,components-core.md#245-breadcrumb,non-overriding summary,None,True
KBDL-CMP-045,components-core.md#246-tabs,components-core.md authoritative block or committed historical registry,components-core.md#246-tabs,non-overriding summary,None,True
KBDL-CMP-046,components-core.md#246-tabs,components-core.md authoritative block or committed historical registry,components-core.md#246-tabs,non-overriding summary,None,True
KBDL-CMP-047,components-core.md#247-pagination,components-core.md authoritative block or committed historical registry,components-core.md#247-pagination,non-overriding summary,None,True
KBDL-CMP-048,components-core.md#247-pagination,components-core.md authoritative block or committed historical registry,components-core.md#247-pagination,non-overriding summary,None,True
KBDL-CMP-049,components-core.md#248-back-link,components-core.md authoritative block or committed historical registry,components-core.md#248-back-link,non-overriding summary,None,True
KBDL-CMP-050,components-core.md#25-cross-component-composition-rules,components-core.md authoritative block or committed historical registry,components-core.md#25-cross-component-composition-rules,non-overriding summary,None,True
KBDL-CMP-051,components-core.md#26-profile-compatibility,components-core.md authoritative block or committed historical registry,components-core.md#26-profile-compatibility,non-overriding summary,None,True
KBDL-CMP-052,components-system.md#5-kbdl-007-ownership-boundary,components-system.md authoritative block or committed historical registry,components-system.md#5-kbdl-007-ownership-boundary,non-overriding summary,None,True
KBDL-CMP-053,components-system.md#8-surface-architecture,components-system.md authoritative block or committed historical registry,components-system.md#8-surface-architecture,non-overriding summary,None,True
KBDL-CMP-054,components-system.md#91-container-surface; components-system.md#92-panel,components-system.md authoritative block or committed historical registry,components-system.md#91-container-surface; components-system.md#92-panel,non-overriding summary,None,True
KBDL-CMP-055,components-system.md#93-card,components-system.md authoritative block or committed historical registry,components-system.md#93-card,non-overriding summary,None,True
KBDL-CMP-056,components-system.md#10-overlay-architecture,components-system.md authoritative block or committed historical registry,components-system.md#10-overlay-architecture,non-overriding summary,None,True
KBDL-CMP-057,components-system.md#10-overlay-architecture; components-system.md#112-popover-or-non-modal-dialog,components-system.md authoritative block or committed historical registry,components-system.md#10-overlay-architecture; components-system.md#112-popover-or-non-modal-dialog,non-overriding summary,None,True
KBDL-CMP-058,components-system.md#10-overlay-architecture; components-system.md#20-focus-and-modality,components-system.md authoritative block or committed historical registry,components-system.md#10-overlay-architecture; components-system.md#20-focus-and-modality,non-overriding summary,None,True
KBDL-CMP-059,components-system.md#10-overlay-architecture; components-system.md#21-dismissal-and-persistence,components-system.md authoritative block or committed historical registry,components-system.md#10-overlay-architecture; components-system.md#21-dismissal-and-persistence,non-overriding summary,None,True
KBDL-CMP-060,components-system.md#10-overlay-architecture; components-system.md#31-theme-and-motion-validation-matrix,components-system.md authoritative block or committed historical registry,components-system.md#10-overlay-architecture; components-system.md#31-theme-and-motion-validation-matrix,non-overriding summary,None,True
KBDL-CMP-061,components-system.md#13-feedback-architecture; components-system.md#15-system-state-architecture,components-system.md authoritative block or committed historical registry,components-system.md#13-feedback-architecture; components-system.md#15-system-state-architecture,non-overriding summary,None,True
KBDL-CMP-062,components-system.md#8-surface-architecture; components-system.md#17-complex-presentation-architecture,components-system.md authoritative block or committed historical registry,components-system.md#8-surface-architecture; components-system.md#17-complex-presentation-architecture,non-overriding summary,None,True
KBDL-CMP-063,components-system.md#23-security-and-privacy,components-system.md authoritative block or committed historical registry,components-system.md#23-security-and-privacy,non-overriding summary,None,True
KBDL-CMP-064,components-system.md#23-security-and-privacy,components-system.md authoritative block or committed historical registry,components-system.md#23-security-and-privacy,non-overriding summary,None,True
KBDL-CMP-065,components-system.md#7-extended-system-component-contract,components-system.md authoritative block or committed historical registry,components-system.md#7-extended-system-component-contract,non-overriding summary,None,True
KBDL-CMP-066,components-system.md#24-cross-component-composition-and-profile-compatibility,components-system.md authoritative block or committed historical registry,components-system.md#24-cross-component-composition-and-profile-compatibility,non-overriding summary,None,True
KBDL-CMP-067,components-system.md#93-card; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#93-card; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-068,components-system.md#94-accordion-surface,components-system.md authoritative block or committed historical registry,components-system.md#94-accordion-surface,non-overriding summary,None,True
KBDL-CMP-069,components-system.md#94-accordion-surface; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#94-accordion-surface; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-070,components-system.md#95-static-data-table; components-system.md#181-interactive-grid,components-system.md authoritative block or committed historical registry,components-system.md#95-static-data-table; components-system.md#181-interactive-grid,non-overriding summary,None,True
KBDL-CMP-071,components-system.md#10-overlay-architecture; components-system.md#115-dialog; components-system.md#116-modal-dialog,components-system.md authoritative block or committed historical registry,components-system.md#10-overlay-architecture; components-system.md#115-dialog; components-system.md#116-modal-dialog,non-overriding summary,None,True
KBDL-CMP-072,components-system.md#111-tooltip,components-system.md authoritative block or committed historical registry,components-system.md#111-tooltip,non-overriding summary,None,True
KBDL-CMP-073,components-system.md#111-tooltip; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#111-tooltip; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-074,components-system.md#112-popover-or-non-modal-dialog; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#112-popover-or-non-modal-dialog; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-075,components-system.md#113-menu-surface,components-system.md authoritative block or committed historical registry,components-system.md#113-menu-surface,non-overriding summary,None,True
KBDL-CMP-076,components-system.md#113-menu-surface; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#113-menu-surface; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-077,components-system.md#114-listbox-popup,components-system.md authoritative block or committed historical registry,components-system.md#114-listbox-popup,non-overriding summary,None,True
KBDL-CMP-078,components-system.md#115-dialog,components-system.md authoritative block or committed historical registry,components-system.md#115-dialog,non-overriding summary,None,True
KBDL-CMP-079,components-system.md#116-modal-dialog,components-system.md authoritative block or committed historical registry,components-system.md#116-modal-dialog,non-overriding summary,None,True
KBDL-CMP-080,components-system.md#116-modal-dialog; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#116-modal-dialog; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-081,components-system.md#117-alert-dialog,components-system.md authoritative block or committed historical registry,components-system.md#117-alert-dialog,non-overriding summary,None,True
KBDL-CMP-082,components-system.md#118-drawer-and-sheet,components-system.md authoritative block or committed historical registry,components-system.md#118-drawer-and-sheet,non-overriding summary,None,True
KBDL-CMP-083,components-system.md#118-drawer-and-sheet; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#118-drawer-and-sheet; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-084,components-system.md#12-overlay-layering-and-nesting,components-system.md authoritative block or committed historical registry,components-system.md#12-overlay-layering-and-nesting,non-overriding summary,None,True
KBDL-CMP-085,components-system.md#12-overlay-layering-and-nesting; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#12-overlay-layering-and-nesting; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-086,components-system.md#13-feedback-architecture,components-system.md authoritative block or committed historical registry,components-system.md#13-feedback-architecture,non-overriding summary,None,True
KBDL-CMP-087,components-system.md#141-inline-feedback,components-system.md authoritative block or committed historical registry,components-system.md#141-inline-feedback,non-overriding summary,None,True
KBDL-CMP-088,components-system.md#142-alert,components-system.md authoritative block or committed historical registry,components-system.md#142-alert,non-overriding summary,None,True
KBDL-CMP-089,components-system.md#143-banner; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#143-banner; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-090,components-system.md#144-toast-or-snackbar,components-system.md authoritative block or committed historical registry,components-system.md#144-toast-or-snackbar,non-overriding summary,None,True
KBDL-CMP-091,components-system.md#144-toast-or-snackbar; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#144-toast-or-snackbar; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-092,components-system.md#145-status-region-and-log,components-system.md authoritative block or committed historical registry,components-system.md#145-status-region-and-log,non-overriding summary,None,True
KBDL-CMP-093,components-system.md#146-badge-or-count-indicator,components-system.md authoritative block or committed historical registry,components-system.md#146-badge-or-count-indicator,non-overriding summary,None,True
KBDL-CMP-094,components-system.md#147-progress-indicator,components-system.md authoritative block or committed historical registry,components-system.md#147-progress-indicator,non-overriding summary,None,True
KBDL-CMP-095,components-system.md#148-meter,components-system.md authoritative block or committed historical registry,components-system.md#148-meter,non-overriding summary,None,True
KBDL-CMP-096,components-system.md#149-skeleton,components-system.md authoritative block or committed historical registry,components-system.md#149-skeleton,non-overriding summary,None,True
KBDL-CMP-097,components-system.md#15-system-state-architecture,components-system.md authoritative block or committed historical registry,components-system.md#15-system-state-architecture,non-overriding summary,None,True
KBDL-CMP-098,components-system.md#161-loading-state,components-system.md authoritative block or committed historical registry,components-system.md#161-loading-state,non-overriding summary,None,True
KBDL-CMP-099,components-system.md#162-empty-state; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#162-empty-state; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-100,components-system.md#163-no-results-state,components-system.md authoritative block or committed historical registry,components-system.md#163-no-results-state,non-overriding summary,None,True
KBDL-CMP-101,components-system.md#164-error-state,components-system.md authoritative block or committed historical registry,components-system.md#164-error-state,non-overriding summary,None,True
KBDL-CMP-102,components-system.md#164-error-state; components-system.md#168-maintenance-unavailable-and-degraded-state; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#164-error-state; components-system.md#168-maintenance-unavailable-and-degraded-state; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-103,components-system.md#165-offline-and-reconnecting-state,components-system.md authoritative block or committed historical registry,components-system.md#165-offline-and-reconnecting-state,non-overriding summary,None,True
KBDL-CMP-104,components-system.md#166-permission-denied-and-restricted-state,components-system.md authoritative block or committed historical registry,components-system.md#166-permission-denied-and-restricted-state,non-overriding summary,None,True
KBDL-CMP-105,components-system.md#181-interactive-grid; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#181-interactive-grid; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-106,components-system.md#182-tree-and-treegrid; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#182-tree-and-treegrid; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-107,components-system.md#183-carousel,components-system.md authoritative block or committed historical registry,components-system.md#183-carousel,non-overriding summary,None,True
KBDL-CMP-108,components-system.md#183-carousel; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#183-carousel; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-109,components-system.md#184-data-visualization,components-system.md authoritative block or committed historical registry,components-system.md#184-data-visualization,non-overriding summary,None,True
KBDL-CMP-110,components-system.md#184-data-visualization; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#184-data-visualization; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CMP-111,components-system.md#19-responsive-transformation-policy; components-system.md#33-kbdl-008-decision-packet,components-system.md authoritative block or committed historical registry,components-system.md#19-responsive-transformation-policy; components-system.md#33-kbdl-008-decision-packet,non-overriding summary,None,True
KBDL-CUS-001,customization.md#1-purpose-and-scope,customization.md authoritative block or committed historical registry,customization.md#1-purpose-and-scope,non-overriding summary,None,True
KBDL-CUS-002,customization.md#5-customization-authority-model,customization.md authoritative block or committed historical registry,customization.md#5-customization-authority-model,non-overriding summary,None,True
KBDL-CUS-003,customization.md#6-locked-controlled-open-proposed-and-exception-classifications,customization.md authoritative block or committed historical registry,customization.md#6-locked-controlled-open-proposed-and-exception-classifications,non-overriding summary,None,True
KBDL-CUS-004,customization.md#12-approval-and-escalation-paths,customization.md authoritative block or committed historical registry,customization.md#12-approval-and-escalation-paths,non-overriding summary,None,True
KBDL-CUS-005,customization.md#24-content-and-open-brand-expression,customization.md authoritative block or committed historical registry,customization.md#24-content-and-open-brand-expression,non-overriding summary,None,True
KBDL-CUS-006,customization.md#26-reusable-versus-project-local-customization,customization.md authoritative block or committed historical registry,customization.md#26-reusable-versus-project-local-customization,non-overriding summary,None,True
KBDL-CUS-007,customization.md#27-conflict-handling-and-exceptions,customization.md authoritative block or committed historical registry,customization.md#27-conflict-handling-and-exceptions,non-overriding summary,None,True
KBDL-CUS-008,customization.md#7-manual-customization-workflow,customization.md authoritative block or committed historical registry,customization.md#7-manual-customization-workflow,non-overriding summary,None,True
KBDL-CUS-009,customization.md#8-customization-request-intake,customization.md authoritative block or committed historical registry,customization.md#8-customization-request-intake,non-overriding summary,None,True
KBDL-CUS-010,customization.md#11-customization-record,customization.md authoritative block or committed historical registry,customization.md#11-customization-record,non-overriding summary,None,True
KBDL-CUS-011,customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning,customization.md authoritative block or committed historical registry,customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning,non-overriding summary,None,True
KBDL-CUS-012,customization.md#15-review-expiry-change-and-rollback,customization.md authoritative block or committed historical registry,customization.md#15-review-expiry-change-and-rollback,non-overriding summary,None,True
KBDL-CUS-013,customization.md#16-foundations-customization,customization.md authoritative block or committed historical registry,customization.md#16-foundations-customization,non-overriding summary,None,True
KBDL-CUS-014,customization.md#17-theme-customization,customization.md authoritative block or committed historical registry,customization.md#17-theme-customization,non-overriding summary,None,True
KBDL-CUS-015,customization.md#18-motion-customization,customization.md authoritative block or committed historical registry,customization.md#18-motion-customization,non-overriding summary,None,True
