Group,Requirement ID,Field,Resolved value,Source syntax,Resolution status,Defect details
15,KBDL-PRN-001,related decision,Not applicable,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
15,KBDL-PRN-001,notes,Establishes what KBDL is and explicitly is not,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
16,KBDL-PRN-002,blueprint section,Relationship between Digital Luxury and Technical Utility,uniform/shared summary,resolved,None
16,KBDL-PRN-002,roadmap prompt,KBDL-002,uniform/shared summary,resolved,None
16,KBDL-PRN-002,requirement id,KBDL-PRN-002,uniform/shared summary,resolved,None
16,KBDL-PRN-002,specification location,principles.md § 4,uniform/shared summary,resolved,None
16,KBDL-PRN-002,approval status,Approved,uniform/shared summary,resolved,None
16,KBDL-PRN-002,validation status,Not verified,uniform/shared summary,resolved,None
16,KBDL-PRN-002,validation method,Manual review of design decisions against the priority order,uniform/shared summary,resolved,None
16,KBDL-PRN-002,validation evidence,Not verified,uniform/shared summary,resolved,None
16,KBDL-PRN-002,known limitation,No real design decisions exist yet to test the priority order against,uniform/shared summary,resolved,None
16,KBDL-PRN-002,related decision,Not applicable,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
16,KBDL-PRN-002,notes,Includes five worked conflict examples,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
17,KBDL-PRN-003,blueprint section,Core enforceable design principles,uniform/shared summary,resolved,None
17,KBDL-PRN-003,roadmap prompt,KBDL-002,uniform/shared summary,resolved,None
17,KBDL-PRN-003,requirement id,KBDL-PRN-003,uniform/shared summary,resolved,None
17,KBDL-PRN-003,specification location,principles.md § 6,uniform/shared summary,resolved,None
17,KBDL-PRN-003,approval status,Approved,uniform/shared summary,resolved,None
17,KBDL-PRN-003,validation status,Not verified,uniform/shared summary,resolved,None
17,KBDL-PRN-003,validation method,"Manual review confirming all nine principles include every required field (normative statement, purpose, required/prohibited behavior, profile interpretation, accessibility/responsive/motion implications, review questions) and that the nine required concepts (clarity before spectacle, precision, comprehension, hierarchy, controlled expression, consistency, adaptability, accessibility by default, performance) are all present",uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
17,KBDL-PRN-003,validation evidence,Not verified — the requirement's later-module approval-gate method has not been executed completely,uniform/shared summary,resolved,None
17,KBDL-PRN-003,known limitation,Complete evidence across every later module is unavailable,uniform/shared summary,resolved,None
17,KBDL-PRN-003,related decision,Not applicable,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
17,KBDL-PRN-003,notes,Nine principles defined (blueprint required six to nine),uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
18,KBDL-PRN-004,blueprint section,Cross-project visual consistency,uniform/shared summary,resolved,None
18,KBDL-PRN-004,roadmap prompt,KBDL-002,uniform/shared summary,resolved,None
18,KBDL-PRN-004,requirement id,KBDL-PRN-004,uniform/shared summary,resolved,None
18,KBDL-PRN-004,specification location,principles.md § 7,uniform/shared summary,resolved,None
18,KBDL-PRN-004,approval status,Approved,uniform/shared summary,resolved,None
18,KBDL-PRN-004,validation status,Not verified,uniform/shared summary,resolved,None
18,KBDL-PRN-004,validation method,"Manual cross-reference review once foundation, theme, and responsive modules are approved",uniform/shared summary,resolved,None
18,KBDL-PRN-004,validation evidence,Not verified — dependent modules do not exist yet,uniform/shared summary,resolved,None
18,KBDL-PRN-004,known limitation,"Cannot be fully validated until FND, THM, and RSP requirements exist",uniform/shared summary,resolved,None
18,KBDL-PRN-004,related decision,KBDL-DEC-003,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
18,KBDL-PRN-004,notes,Defines relationships only; no final values,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
19,KBDL-PRN-005,blueprint section,Stable and variable identity elements,uniform/shared summary,resolved,None
19,KBDL-PRN-005,roadmap prompt,KBDL-002,uniform/shared summary,resolved,None
19,KBDL-PRN-005,requirement id,KBDL-PRN-005,uniform/shared summary,resolved,None
19,KBDL-PRN-005,specification location,principles.md § 5,uniform/shared summary,resolved,None
19,KBDL-PRN-005,approval status,Approved,uniform/shared summary,resolved,None
19,KBDL-PRN-005,validation status,Not verified,uniform/shared summary,resolved,None
19,KBDL-PRN-005,validation method,"Manual review confirming all three categories (locked, controlled, open) address every element listed in this prompt's scope, and that no final ranges or values were introduced",uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
19,KBDL-PRN-005,validation evidence,Not verified — the requirement's full later-module and implementation review has not been executed,uniform/shared summary,resolved,None
19,KBDL-PRN-005,known limitation,Controlled-variable ranges are intentionally undefined pending later modules,uniform/shared summary,resolved,None
19,KBDL-PRN-005,related decision,Not applicable,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
19,KBDL-PRN-005,notes,Ties directly to governance.md § Exception process,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
20,KBDL-PRN-006,blueprint section,Design-decision hierarchy and conflict handling,uniform/shared summary,resolved,None
20,KBDL-PRN-006,roadmap prompt,KBDL-002,uniform/shared summary,resolved,None
20,KBDL-PRN-006,requirement id,KBDL-PRN-006,uniform/shared summary,resolved,None
20,KBDL-PRN-006,specification location,principles.md § 8,uniform/shared summary,resolved,None
20,KBDL-PRN-006,approval status,Approved,uniform/shared summary,resolved,None
20,KBDL-PRN-006,validation status,Not verified,uniform/shared summary,resolved,None
20,KBDL-PRN-006,validation method,Manual review of decision records against the hierarchy; conflicts escalated per governance's conflict-resolution process,uniform/shared summary,resolved,None
20,KBDL-PRN-006,validation evidence,Not verified — no real design decision has been escalated through this hierarchy yet,uniform/shared summary,resolved,None
20,KBDL-PRN-006,known limitation,None identified,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
20,KBDL-PRN-006,related decision,Not applicable,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
20,KBDL-PRN-006,notes,Aligns with governance.md § Conflict-resolution process,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
21,KBDL-PRN-007,blueprint section,Profile-level interpretation of shared principles,uniform/shared summary,resolved,None
21,KBDL-PRN-007,roadmap prompt,KBDL-002,uniform/shared summary,resolved,None
21,KBDL-PRN-007,requirement id,KBDL-PRN-007,uniform/shared summary,resolved,None
21,KBDL-PRN-007,specification location,principles.md § 9,uniform/shared summary,resolved,None
21,KBDL-PRN-007,approval status,Approved,uniform/shared summary,resolved,None
21,KBDL-PRN-007,validation status,Not verified,uniform/shared summary,resolved,None
21,KBDL-PRN-007,validation method,Manual cross-profile consistency review once the project-profiles module is approved,uniform/shared summary,resolved,None
21,KBDL-PRN-007,validation evidence,Not verified — the project-profiles module (PRO) does not exist yet,uniform/shared summary,resolved,None
21,KBDL-PRN-007,known limitation,Cannot be fully validated until PRO requirements exist,uniform/shared summary,resolved,None
21,KBDL-PRN-007,related decision,KBDL-DEC-006,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
21,KBDL-PRN-007,notes,"Confirms Showcase, Precision, and Flow share all locked rules and principles",uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
22,KBDL-PRN-008,blueprint section,Conceptual examples distinguishing conformance from non-conformance,uniform/shared summary,resolved,None
22,KBDL-PRN-008,roadmap prompt,KBDL-002,uniform/shared summary,resolved,None
22,KBDL-PRN-008,requirement id,KBDL-PRN-008,uniform/shared summary,resolved,None
22,KBDL-PRN-008,specification location,"principles.md § 10, principles.md § 11",uniform/shared summary,resolved,None
22,KBDL-PRN-008,approval status,Approved,uniform/shared summary,resolved,None
22,KBDL-PRN-008,validation status,Not verified,uniform/shared summary,resolved,None
22,KBDL-PRN-008,validation method,"Manual count and coverage review confirming at least six conforming examples spanning all three profiles, both themes, an expressive moment, a repeated workflow, and a mobile context; and at least eight non-conforming patterns each with reason, broken principle, risk, and correction",uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
22,KBDL-PRN-008,validation evidence,Not verified — example-count evidence does not execute the requirement's later-module conformance-review method,uniform/shared summary,resolved,None
22,KBDL-PRN-008,known limitation,Examples are conceptual; no mockups or token values exist to check them against yet,uniform/shared summary,resolved,None
22,KBDL-PRN-008,related decision,Not applicable,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
22,KBDL-PRN-008,notes,Sixteen non-conforming patterns exceed the required minimum of eight,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
23,KBDL-FND-001,blueprint section,Color architecture — semantic roles and color- only-meaning prohibition,uniform/shared summary,summary,None
23,KBDL-FND-001,roadmap prompt,KBDL-003,uniform/shared summary,summary,None
23,KBDL-FND-001,requirement id,"KBDL-FND-001, KBDL-FND-002",uniform/shared summary,summary,None
23,KBDL-FND-001,specification location,foundations/color.md §1–§2,uniform/shared summary,summary,None
23,KBDL-FND-001,approval status,Approved,uniform/shared summary,summary,None
23,KBDL-FND-001,validation status,Not verified,uniform/shared summary,summary,None
23,KBDL-FND-001,validation method,Manual review of role names and color-only-meaning usage at each later module's approval gate,uniform/shared summary,summary,None
23,KBDL-FND-001,validation evidence,Not verified — no theme or component content exists yet to check role usage against,uniform/shared summary,summary,None
23,KBDL-FND-001,known limitation,Cannot be fully validated until THM and CMP requirements exist,uniform/shared summary,summary,None
23,KBDL-FND-001,related decision,Not applicable,uniform/shared summary,summary,None
23,KBDL-FND-001,notes,Architecture only; recommended hue values are tracked separately below (KBDL-FND-009),uniform/shared summary,summary,None
23,KBDL-FND-002,blueprint section,Color architecture — semantic roles and color- only-meaning prohibition,uniform/shared summary,summary,None
23,KBDL-FND-002,roadmap prompt,KBDL-003,uniform/shared summary,summary,None
23,KBDL-FND-002,requirement id,"KBDL-FND-001, KBDL-FND-002",uniform/shared summary,summary,None
23,KBDL-FND-002,specification location,foundations/color.md §1–§2,uniform/shared summary,summary,None
23,KBDL-FND-002,approval status,Approved,uniform/shared summary,summary,None
23,KBDL-FND-002,validation status,Not verified,uniform/shared summary,summary,None
23,KBDL-FND-002,validation method,Manual review of role names and color-only-meaning usage at each later module's approval gate,uniform/shared summary,summary,None
23,KBDL-FND-002,validation evidence,Not verified — no theme or component content exists yet to check role usage against,uniform/shared summary,summary,None
23,KBDL-FND-002,known limitation,Cannot be fully validated until THM and CMP requirements exist,uniform/shared summary,summary,None
23,KBDL-FND-002,related decision,Not applicable,uniform/shared summary,summary,None
23,KBDL-FND-002,notes,Architecture only; recommended hue values are tracked separately below (KBDL-FND-009),uniform/shared summary,summary,None
24,KBDL-FND-003,blueprint section,Spacing rhythm and content-driven breakpoints,uniform/shared summary,summary,None
24,KBDL-FND-003,roadmap prompt,KBDL-003,uniform/shared summary,summary,None
24,KBDL-FND-003,requirement id,"KBDL-FND-003, KBDL-FND-004",uniform/shared summary,summary,None
24,KBDL-FND-003,specification location,"foundations/spacing-layout.md §1, §3",uniform/shared summary,summary,None
24,KBDL-FND-003,approval status,Approved,uniform/shared summary,summary,None
24,KBDL-FND-003,validation status,Not verified,uniform/shared summary,summary,None
24,KBDL-FND-003,validation method,Manual review of spacing usage and breakpoint justification once RSP requirements exist,uniform/shared summary,summary,None
24,KBDL-FND-003,validation evidence,Not verified — no responsive-behavior module exists yet,uniform/shared summary,summary,None
24,KBDL-FND-003,known limitation,Cannot be fully validated until RSP requirements exist,uniform/shared summary,summary,None
24,KBDL-FND-003,related decision,"KBDL-DEC-003, KBDL-DEC-007",uniform/shared summary,summary,None
24,KBDL-FND-003,notes,Restates locked rules from principles.md §5.1 at foundation-level specificity,uniform/shared summary,summary,None
24,KBDL-FND-004,blueprint section,Spacing rhythm and content-driven breakpoints,uniform/shared summary,summary,None
24,KBDL-FND-004,roadmap prompt,KBDL-003,uniform/shared summary,summary,None
24,KBDL-FND-004,requirement id,"KBDL-FND-003, KBDL-FND-004",uniform/shared summary,summary,None
24,KBDL-FND-004,specification location,"foundations/spacing-layout.md §1, §3",uniform/shared summary,summary,None
24,KBDL-FND-004,approval status,Approved,uniform/shared summary,summary,None
24,KBDL-FND-004,validation status,Not verified,uniform/shared summary,summary,None
24,KBDL-FND-004,validation method,Manual review of spacing usage and breakpoint justification once RSP requirements exist,uniform/shared summary,summary,None
24,KBDL-FND-004,validation evidence,Not verified — no responsive-behavior module exists yet,uniform/shared summary,summary,None
24,KBDL-FND-004,known limitation,Cannot be fully validated until RSP requirements exist,uniform/shared summary,summary,None
24,KBDL-FND-004,related decision,"KBDL-DEC-003, KBDL-DEC-007",uniform/shared summary,summary,None
24,KBDL-FND-004,notes,Restates locked rules from principles.md §5.1 at foundation-level specificity,uniform/shared summary,summary,None
25,KBDL-FND-005,blueprint section,Depth semantics; icon and media accessibility anticipation,uniform/shared summary,summary,None
25,KBDL-FND-005,roadmap prompt,KBDL-003,uniform/shared summary,summary,None
25,KBDL-FND-005,requirement id,"KBDL-FND-005, KBDL-FND-006, KBDL-FND-007",uniform/shared summary,summary,None
25,KBDL-FND-005,specification location,"foundations/shape-depth.md §3, foundations/iconography-media.md §1.1, §2.1",uniform/shared summary,summary,None
25,KBDL-FND-005,approval status,Approved,uniform/shared summary,summary,None
25,KBDL-FND-005,validation status,Not verified,uniform/shared summary,summary,None
25,KBDL-FND-005,validation method,"Manual review confirming each elevation level states a simplified fallback, and that icon/media required principles explicitly state the state-clarity and reduced-motion anticipation rules",uniform/shared summary,summary,None
25,KBDL-FND-005,validation evidence,"Manual completeness review recorded in the KBDL-003 commit — confirmed all five elevation levels list a non-shadow-dependent fallback, and both icon and media sections state their respective anticipation requirements",uniform/shared summary,summary,None
25,KBDL-FND-005,known limitation,None identified,uniform/shared summary,summary,None
25,KBDL-FND-005,related decision,Not applicable,uniform/shared summary,summary,None
25,KBDL-FND-005,notes,"""Anticipation"" language is intentional — full reduced-motion and accessibility markup rules belong to KBDL-005/006",uniform/shared summary,summary,None
25,KBDL-FND-006,blueprint section,Depth semantics; icon and media accessibility anticipation,uniform/shared summary,summary,None
25,KBDL-FND-006,roadmap prompt,KBDL-003,uniform/shared summary,summary,None
25,KBDL-FND-006,requirement id,"KBDL-FND-005, KBDL-FND-006, KBDL-FND-007",uniform/shared summary,summary,None
25,KBDL-FND-006,specification location,"foundations/shape-depth.md §3, foundations/iconography-media.md §1.1, §2.1",uniform/shared summary,summary,None
25,KBDL-FND-006,approval status,Approved,uniform/shared summary,summary,None
25,KBDL-FND-006,validation status,Not verified,uniform/shared summary,summary,None
25,KBDL-FND-006,validation method,"Manual review confirming each elevation level states a simplified fallback, and that icon/media required principles explicitly state the state-clarity and reduced-motion anticipation rules",uniform/shared summary,summary,None
25,KBDL-FND-006,validation evidence,"Manual completeness review recorded in the KBDL-003 commit — confirmed all five elevation levels list a non-shadow-dependent fallback, and both icon and media sections state their respective anticipation requirements",uniform/shared summary,summary,None
25,KBDL-FND-006,known limitation,None identified,uniform/shared summary,summary,None
25,KBDL-FND-006,related decision,Not applicable,uniform/shared summary,summary,None
25,KBDL-FND-006,notes,"""Anticipation"" language is intentional — full reduced-motion and accessibility markup rules belong to KBDL-005/006",uniform/shared summary,summary,None
25,KBDL-FND-007,blueprint section,Depth semantics; icon and media accessibility anticipation,uniform/shared summary,summary,None
25,KBDL-FND-007,roadmap prompt,KBDL-003,uniform/shared summary,summary,None
25,KBDL-FND-007,requirement id,"KBDL-FND-005, KBDL-FND-006, KBDL-FND-007",uniform/shared summary,summary,None
25,KBDL-FND-007,specification location,"foundations/shape-depth.md §3, foundations/iconography-media.md §1.1, §2.1",uniform/shared summary,summary,None
25,KBDL-FND-007,approval status,Approved,uniform/shared summary,summary,None
25,KBDL-FND-007,validation status,Not verified,uniform/shared summary,summary,None
25,KBDL-FND-007,validation method,"Manual review confirming each elevation level states a simplified fallback, and that icon/media required principles explicitly state the state-clarity and reduced-motion anticipation rules",uniform/shared summary,summary,None
25,KBDL-FND-007,validation evidence,"Manual completeness review recorded in the KBDL-003 commit — confirmed all five elevation levels list a non-shadow-dependent fallback, and both icon and media sections state their respective anticipation requirements",uniform/shared summary,summary,None
25,KBDL-FND-007,known limitation,None identified,uniform/shared summary,summary,None
25,KBDL-FND-007,related decision,Not applicable,uniform/shared summary,summary,None
25,KBDL-FND-007,notes,"""Anticipation"" language is intentional — full reduced-motion and accessibility markup rules belong to KBDL-005/006",uniform/shared summary,summary,None
26,KBDL-FND-008,blueprint section,Profile-level foundation adjustments,uniform/shared summary,resolved,None
26,KBDL-FND-008,roadmap prompt,KBDL-003,uniform/shared summary,resolved,None
26,KBDL-FND-008,requirement id,KBDL-FND-008,uniform/shared summary,resolved,None
26,KBDL-FND-008,specification location,foundations/README.md §4,uniform/shared summary,resolved,None
26,KBDL-FND-008,approval status,Approved,uniform/shared summary,resolved,None
26,KBDL-FND-008,validation status,Not verified,uniform/shared summary,resolved,None
26,KBDL-FND-008,validation method,Manual cross-profile consistency review once the project-profiles module (PRO) is approved,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
26,KBDL-FND-008,validation evidence,Not verified — PRO requirements do not exist yet,uniform/shared summary,resolved,None
26,KBDL-FND-008,known limitation,Cannot be fully validated until PRO requirements exist,uniform/shared summary,resolved,None
26,KBDL-FND-008,related decision,KBDL-DEC-006,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
26,KBDL-FND-008,notes,Restates principles.md §9.4 at foundation-level specificity,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
27,KBDL-FND-009,blueprint section,Foundation decision packet — default values,uniform/shared summary,summary,None
27,KBDL-FND-009,roadmap prompt,KBDL-003 (approved via project-owner review following KBDL-003-R1),uniform/shared summary,summary,None
27,KBDL-FND-009,requirement id,"KBDL-FND-009, KBDL-FND-010, KBDL-FND-011, KBDL-FND-012",uniform/shared summary,summary,None
27,KBDL-FND-009,specification location,foundations/README.md §6,uniform/shared summary,summary,None
27,KBDL-FND-009,approval status,"Approved — the project owner approved all eleven recommended defaults in full, with no changes, per KBDL-DEC-012",uniform/shared summary,summary,None
27,KBDL-FND-009,validation status,Mixed — Verified / Not verified,inverse status per-ID map,resolved,None
27,KBDL-FND-009,validation method,"WCAG relative-luminance contrast calculation (completed for the color pairs listed); project-owner review (completed — see KBDL-DEC-012); typeface-licensing verification (not yet performed, applies to a future specific font-family decision)",uniform/shared summary,summary,None
27,KBDL-FND-009,validation evidence,"Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text",uniform/shared summary,summary,None
27,KBDL-FND-009,known limitation,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",uniform/shared summary,summary,None
27,KBDL-FND-009,related decision,KBDL-DEC-012,uniform/shared summary,summary,None
27,KBDL-FND-009,notes,This row's approval status changed from Recommended to Approved following the project owner's decision recorded in KBDL-DEC-012. See KBDL-003-R1 for the accessibility and lifecycle corrections applied to this row's underlying content before approval,uniform/shared summary,summary,None
27,KBDL-FND-010,blueprint section,Foundation decision packet — default values,uniform/shared summary,summary,None
27,KBDL-FND-010,roadmap prompt,KBDL-003 (approved via project-owner review following KBDL-003-R1),uniform/shared summary,summary,None
27,KBDL-FND-010,requirement id,"KBDL-FND-009, KBDL-FND-010, KBDL-FND-011, KBDL-FND-012",uniform/shared summary,summary,None
27,KBDL-FND-010,specification location,foundations/README.md §6,uniform/shared summary,summary,None
27,KBDL-FND-010,approval status,"Approved — the project owner approved all eleven recommended defaults in full, with no changes, per KBDL-DEC-012",uniform/shared summary,summary,None
27,KBDL-FND-010,validation status,Not verified,inverse status per-ID map,resolved,None
27,KBDL-FND-010,validation method,"WCAG relative-luminance contrast calculation (completed for the color pairs listed); project-owner review (completed — see KBDL-DEC-012); typeface-licensing verification (not yet performed, applies to a future specific font-family decision)",uniform/shared summary,summary,None
27,KBDL-FND-010,validation evidence,"Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text",uniform/shared summary,summary,None
27,KBDL-FND-010,known limitation,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",uniform/shared summary,summary,None
27,KBDL-FND-010,related decision,KBDL-DEC-012,uniform/shared summary,summary,None
27,KBDL-FND-010,notes,This row's approval status changed from Recommended to Approved following the project owner's decision recorded in KBDL-DEC-012. See KBDL-003-R1 for the accessibility and lifecycle corrections applied to this row's underlying content before approval,uniform/shared summary,summary,None
27,KBDL-FND-011,blueprint section,Foundation decision packet — default values,uniform/shared summary,summary,None
27,KBDL-FND-011,roadmap prompt,KBDL-003 (approved via project-owner review following KBDL-003-R1),uniform/shared summary,summary,None
27,KBDL-FND-011,requirement id,"KBDL-FND-009, KBDL-FND-010, KBDL-FND-011, KBDL-FND-012",uniform/shared summary,summary,None
27,KBDL-FND-011,specification location,foundations/README.md §6,uniform/shared summary,summary,None
27,KBDL-FND-011,approval status,"Approved — the project owner approved all eleven recommended defaults in full, with no changes, per KBDL-DEC-012",uniform/shared summary,summary,None
27,KBDL-FND-011,validation status,Not verified,inverse status per-ID map,resolved,None
27,KBDL-FND-011,validation method,"WCAG relative-luminance contrast calculation (completed for the color pairs listed); project-owner review (completed — see KBDL-DEC-012); typeface-licensing verification (not yet performed, applies to a future specific font-family decision)",uniform/shared summary,summary,None
27,KBDL-FND-011,validation evidence,"Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text",uniform/shared summary,summary,None
27,KBDL-FND-011,known limitation,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",uniform/shared summary,summary,None
27,KBDL-FND-011,related decision,KBDL-DEC-012,uniform/shared summary,summary,None
27,KBDL-FND-011,notes,This row's approval status changed from Recommended to Approved following the project owner's decision recorded in KBDL-DEC-012. See KBDL-003-R1 for the accessibility and lifecycle corrections applied to this row's underlying content before approval,uniform/shared summary,summary,None
27,KBDL-FND-012,blueprint section,Foundation decision packet — default values,uniform/shared summary,summary,None
27,KBDL-FND-012,roadmap prompt,KBDL-003 (approved via project-owner review following KBDL-003-R1),uniform/shared summary,summary,None
27,KBDL-FND-012,requirement id,"KBDL-FND-009, KBDL-FND-010, KBDL-FND-011, KBDL-FND-012",uniform/shared summary,summary,None
27,KBDL-FND-012,specification location,foundations/README.md §6,uniform/shared summary,summary,None
27,KBDL-FND-012,approval status,"Approved — the project owner approved all eleven recommended defaults in full, with no changes, per KBDL-DEC-012",uniform/shared summary,summary,None
27,KBDL-FND-012,validation status,Not verified,inverse status per-ID map,resolved,None
