Requirement ID,Authority kind,Expected authority,Approval evidence source,Authority scope,Target lifecycle,Targets,Resolution result
KBDL-A11Y-037,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-038,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-039,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-040,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-001,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-002,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-003,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-004,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-005,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-006,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-007,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-008,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-009,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-010,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-011,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-012,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-013,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-014,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-016,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-018,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-019,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-021,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-022,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-023,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-024,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-026,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-027,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-028,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-030,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-031,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-032,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-033,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-034,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-035,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-037,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-038,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-039,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-040,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-042,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-043,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-045,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-047,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-049,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-050,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-051,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-052,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-053,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-054,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-055,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-056,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-057,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-058,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-059,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-060,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-061,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-062,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-063,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-064,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-065,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-066,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-068,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-070,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-071,authoritative requirement Authority field,"the adopted WAI-ARIA 1.2 aria-modal property definition, which specifies that assistive technology should restrict its reading and navigation to the modal element while it is active, directly requires background content to be excluded from that navigation — this is the primary source for ""unreachable by ... screen-reader virtual cursor."" The already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.4.11 Focus Not Obscured support, but do not by themselves fully dictate, this outcome for pointer/sequential-navigation reachability. The approved KBDL-008 prompt's Overlay Architecture section explicitly requires ""Background inertness"" as a mandatory field for every modal overlay, which is the source for treating this as a complete, single normative rule rather than an inference from the standards alone",components-system.md — KBDL-CMP-071 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-072,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-075,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-077,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-078,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-079,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-081,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-082,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-084,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-086,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-087,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-088,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-090,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-092,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-093,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-094,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-095,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-096,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-097,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-098,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-100,authoritative requirement Authority field,"this requirement is normative because the approved KBDL-008 prompt explicitly requires ""Preservation of entered criteria"" as a mandatory No-Results State field. WCAG 2.2 SC 3.3.7 Redundant Entry (which prohibits requiring re-entry of information already supplied earlier in the same process) is cited as supporting rationale by analogy, not as a direct restatement — SC 3.3.7 governs multi-step process re-entry generally and does not by itself mandate preserving search/filter state specifically on a no-results result",components-system.md — KBDL-CMP-100 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-101,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-103,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-104,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-107,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CMP-109,approved-prompt authority registry,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-007/008,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-001,authoritative requirement Authority field,KBDL-DEC-004 plus the mandatory KBDL-010 prompt,customization.md — KBDL-CUS-001 block,requirement normative scope only,Approved,KBDL-DEC-004,PASS
KBDL-CUS-002,authoritative requirement Authority field,KBDL lifecycle conventions and mandatory KBDL-010 prompt,customization.md — KBDL-CUS-002 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-003,authoritative requirement Authority field,Mandatory KBDL-010 classification model,customization.md — KBDL-CUS-003 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-004,authoritative requirement Authority field,Mandatory KBDL-010 Class A rule and owning-module lifecycle rules,customization.md — KBDL-CUS-004 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-005,authoritative requirement Authority field,"KBDL-PRN-005, KBDL-PRO-005, and mandatory KBDL-010 prompt",customization.md — KBDL-CUS-005 block,requirement normative scope only,Approved,KBDL-PRN-005; KBDL-PRO-005,PASS
KBDL-CUS-006,authoritative requirement Authority field,KBDL governance plus mandatory KBDL-010 Classes C and D,customization.md — KBDL-CUS-006 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-007,authoritative requirement Authority field,"KBDL-GOV-002, governance exception process, and mandatory KBDL-010 Classes E/F",customization.md — KBDL-CUS-007 block,requirement normative scope only,Approved,KBDL-GOV-002,PASS
