Requirement ID,Authoritative limitation,Readable-group limitation,Effective limitation,Remaining unverified scope,Match,Result
KBDL-A11Y-016,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-017,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-018,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-019,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None,True,PASS
KBDL-A11Y-020,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-021,None explicit,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,None,True,PASS
KBDL-A11Y-022,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-023,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-024,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-025,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-026,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-027,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-028,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-029,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-030,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-031,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-032,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-033,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-034,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-035,None explicit,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,None,True,PASS
KBDL-A11Y-036,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None,True,PASS
KBDL-A11Y-037,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-A11Y-038,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None,True,PASS
KBDL-A11Y-039,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None,True,PASS
KBDL-A11Y-040,None explicit,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Not verified,True,PASS
KBDL-CMP-001,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-002,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-003,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-004,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-005,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,None,True,PASS
KBDL-CMP-006,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-007,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-008,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-009,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-010,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-011,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-012,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-013,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-014,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-015,None explicit,Implementation-dependent,Implementation-dependent,None,True,PASS
KBDL-CMP-016,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-017,None explicit,Implementation-dependent,Implementation-dependent,None,True,PASS
KBDL-CMP-018,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-019,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-020,None explicit,Implementation-dependent,Implementation-dependent,None,True,PASS
KBDL-CMP-021,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-022,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-023,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-024,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-025,None explicit,Implementation-dependent,Implementation-dependent,None,True,PASS
KBDL-CMP-026,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-027,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-028,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-029,None explicit,Implementation-dependent,Implementation-dependent,None,True,PASS
KBDL-CMP-030,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-031,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-032,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-033,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-034,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-035,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-036,None explicit,Implementation-dependent,Implementation-dependent,None,True,PASS
KBDL-CMP-037,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-038,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Not verified,True,PASS
KBDL-CMP-039,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Not verified,True,PASS
KBDL-CMP-040,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Not verified,True,PASS
KBDL-CMP-041,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None,True,PASS
KBDL-CMP-042,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Not verified,True,PASS
KBDL-CMP-043,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Not verified,True,PASS
KBDL-CMP-044,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None,True,PASS
KBDL-CMP-045,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Not verified,True,PASS
KBDL-CMP-046,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None,True,PASS
KBDL-CMP-047,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Not verified,True,PASS
KBDL-CMP-048,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None,True,PASS
KBDL-CMP-049,None explicit,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Not verified,True,PASS
KBDL-CMP-050,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,None,True,PASS
KBDL-CMP-051,None explicit,Implementation-dependent; cannot be tested until real components exist,Implementation-dependent; cannot be tested until real components exist,Not verified,True,PASS
KBDL-CMP-052,None explicit,Implementation-dependent,Implementation-dependent,None,True,PASS
KBDL-CMP-053,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-054,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-055,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-056,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None,True,PASS
KBDL-CMP-057,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-058,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-059,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-060,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-061,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-062,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-063,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,Not verified,True,PASS
KBDL-CMP-064,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,Not verified,True,PASS
KBDL-CMP-065,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-066,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,Not verified,True,PASS
KBDL-CMP-067,None explicit,Implementation-dependent,Implementation-dependent,None,True,PASS
KBDL-CMP-068,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-069,None explicit,Implementation-dependent,Implementation-dependent,None,True,PASS
KBDL-CMP-070,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-071,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-072,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-073,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None,True,PASS
KBDL-CMP-074,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None,True,PASS
KBDL-CMP-075,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-076,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None,True,PASS
KBDL-CMP-077,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-078,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-079,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-080,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None,True,PASS
KBDL-CMP-081,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-082,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None,True,PASS
KBDL-CMP-083,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None,True,PASS
KBDL-CMP-084,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,Not verified,True,PASS
KBDL-CMP-085,None explicit,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None,True,PASS
KBDL-CMP-086,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-087,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-088,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-089,None explicit,Implementation-dependent,Implementation-dependent,None,True,PASS
KBDL-CMP-090,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-091,None explicit,Implementation-dependent,Implementation-dependent,None,True,PASS
KBDL-CMP-092,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-093,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-094,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-095,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-096,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-097,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,Not verified,True,PASS
KBDL-CMP-098,None explicit,Implementation-dependent,Implementation-dependent,Not verified,True,PASS
KBDL-CMP-099,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,None,True,PASS
KBDL-CMP-100,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,Not verified,True,PASS
