id,source_file,lifecycle,provenance,validation_status,authority,authority_classification,authority_targets,validation_method,validation_evidence,known_limitation,packet_destination,pending_dependency
KBDL-A11Y-020,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.5.8, Level AA)",adopted-standard,,Manual measurement once implemented.,,,,
KBDL-A11Y-021,accessibility.md,Recommended,Assumed,Not Applicable,"Lifecycle authority: Recommended (new KBDL enhancement, not yet approved)",lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-A11Y-022,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.5.2, Level A)",adopted-standard,,Manual testing once implemented.,,,,
KBDL-A11Y-023,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.5.1, Level A, and SC 2.5.7, Level AA)",adopted-standard,,Manual testing once implemented.,,,,
KBDL-A11Y-024,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.5.4, Level A)",adopted-standard,,Manual testing once implemented.,,,,
KBDL-A11Y-025,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates `KBDL-MOT-022`, already Approved under `KBDL-DEC-014`; not reopened)",approved-decision,KBDL-DEC-014;KBDL-MOT-022,Cross-reference only; see `KBDL-MOT-022`'s own validation method.,,,,
KBDL-A11Y-026,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.3.1, Level A, and restates the already-Approved `KBDL-MOT-023`)",adopted-standard,KBDL-MOT-023,Flash-analysis testing once implemented (exact threshold measurement is implementation-dependent and deferred until an implementation exists).,,,,
KBDL-A11Y-027,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.2.1 and SC 2.2.2, both Level A)",adopted-standard,,Manual testing once implemented.,,,,
KBDL-A11Y-028,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.3.5, SC 2.5.3, SC 3.2.2, SC 3.3.2, and SC 3.3.7, Levels A/AA as listed)",adopted-standard,,Manual + automated static check once implemented.,,,,
KBDL-A11Y-029,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.1, Level A, and SC 3.3.3, Level AA)",adopted-standard,,Manual testing once implemented.,,,,
KBDL-A11Y-030,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.4, Level AA)",adopted-standard,,Manual testing once implemented.,,,,
KBDL-A11Y-031,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 4.1.3, Level AA)",adopted-standard,,Manual screen-reader testing once implemented.,,,,
KBDL-A11Y-032,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.8, Level AA)",adopted-standard,,Manual testing once implemented.,,,,
KBDL-A11Y-033,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.1.1, Level A, and `KBDL-PRN-003`, Consumer Comprehension)",adopted-standard,KBDL-PRN-003,Manual review once implemented.,,,,
KBDL-A11Y-034,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.4, Level A, and SC 3.2.6, Level A)",adopted-standard,,Manual review once implemented.,,,,
KBDL-A11Y-035,accessibility.md,Recommended,Assumed,Not Applicable,"Lifecycle authority: Recommended (new KBDL testing-process enhancement, not yet approved)",lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-A11Y-036,accessibility.md,Approved,Confirmed,Not Applicable,Lifecycle authority: Approved (cross-reference to already-Approved requirements),lifecycle/provenance,,Not applicable (cross-reference section).,,,,
KBDL-A11Y-037,accessibility.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates `KBDL-A11Y-003` applied to tabular data),lifecycle/provenance,KBDL-A11Y-003,Automated static check + manual review once implemented.,,,,
KBDL-A11Y-038,accessibility.md,Approved,Confirmed,Not Applicable,Lifecycle authority: Approved (cross-reference),lifecycle/provenance,,Not applicable (cross-reference section).,,,,
KBDL-A11Y-039,accessibility.md,Approved,Confirmed,Not Applicable,Lifecycle authority: Approved (cross-reference),lifecycle/provenance,,Not applicable (cross-reference section).,,,,
KBDL-A11Y-040,accessibility.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates [principles.md §9.4](principles.md#94-shared-constraints-across-profiles)),lifecycle/provenance,,Manual cross-profile review once the project-profiles module is approved.,,,,
KBDL-CMP-001,components-core.md,Approved,User-provided,Not Verified,Lifecycle authority: Approved (structural completeness requirement),lifecycle/provenance,,Manual completeness review per component.,,,,
KBDL-CMP-002,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 4.1.2 and the WAI-ARIA First Rule of ARIA Use),adopted-standard,,Manual + automated static accessibility check once implemented.,,,,
KBDL-CMP-003,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 4.1.2 and SC 2.5.3),adopted-standard,,Manual + automated static accessibility check once implemented.,,,,
KBDL-CMP-004,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates the locked component-state-clarity rule),lifecycle/provenance,,Manual review once implemented.,,,,
KBDL-CMP-005,components-core.md,Approved,Confirmed,Not Applicable,Lifecycle authority: Approved (scope-control requirement),lifecycle/provenance,,"Manual scope-compliance review (performed, see implementation report).",,,,
KBDL-CMP-006,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.7 and SC 2.4.11),adopted-standard,,Manual keyboard-focus review once implemented.,,,,
KBDL-CMP-007,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.1.1 and SC 2.1.2),adopted-standard,,Manual keyboard testing once implemented.,,,,
KBDL-CMP-008,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.5.2 and SC 2.5.8),adopted-standard,,Manual pointer/touch testing once implemented.,,,,
KBDL-CMP-009,components-core.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates `KBDL-RSP-001`, `006`, `007`, `020`)",lifecycle/provenance,KBDL-RSP-001,Manual reflow/zoom testing once implemented.,,,,
KBDL-CMP-010,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates `KBDL-A11Y-020`),lifecycle/provenance,KBDL-A11Y-020,Manual measurement once implemented.,,,,
KBDL-CMP-011,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates the approved theme architecture),lifecycle/provenance,,Manual theme-role mapping review once implemented.,,,,
KBDL-CMP-012,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates the approved foundation architecture),lifecycle/provenance,,Manual foundation-mapping review once implemented.,,,,
KBDL-CMP-013,components-core.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (structural requirement — the obligation to document motion necessity/purpose/hierarchy/parity per component is itself Approved; the *exact* component-specific duration, distance, scale, stagger, easing, choreography, or rendering-technology mapping for any individual component is **not** newly approved by this requirement where no prior approved KBDL rule already supplies it — such exact mappings remain governed by the existing motion unresolved/not-approval-ready items in [motion/README.md §10.3](motion/README.md#103-unresolved-or-not-approval-ready) and this module's own [§36](#36-deferred-and-unresolved-items))",lifecycle/provenance,,Manual review once implemented.,,,,
KBDL-CMP-014,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (core restates native-semantics-first and state-model rules),lifecycle/provenance,,Manual review once implemented.,,,,
KBDL-CMP-015,components-core.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component taxonomy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-016,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 4.1.2),adopted-standard,,Manual + automated static accessibility check once implemented.,,,,
KBDL-CMP-017,components-core.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new threshold guidance),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-018,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WAI-ARIA),adopted-standard,,Manual ARIA review once implemented.,,,,
KBDL-CMP-019,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.4),adopted-standard,,Manual review once implemented.,,,,
KBDL-CMP-020,components-core.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new composition guidance),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-021,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates the WAI-ARIA disclosure pattern),adopted-standard,,Manual keyboard review once implemented.,,,,
KBDL-CMP-022,components-core.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.2, SC 1.3.5, SC 3.3.7)",adopted-standard,,Manual + automated static check once implemented.,,,,
KBDL-CMP-023,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-024,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.8),adopted-standard,,Manual review once implemented.,,,,
KBDL-CMP-025,components-core.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component taxonomy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-026,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-027,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates native-semantics-first),lifecycle/provenance,,Manual review once implemented.,,,,
KBDL-CMP-028,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WAI-ARIA/APG),adopted-standard,,Manual ARIA/keyboard review once implemented.,,,,
KBDL-CMP-029,components-core.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new threshold guidance),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-030,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-031,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-032,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WAI-ARIA switch role),adopted-standard,,Manual review once implemented.,,,,
KBDL-CMP-033,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-034,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-035,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (behavioral requirement),lifecycle/provenance,,Manual review once implemented.,,,,
KBDL-CMP-036,components-core.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level guidance),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-037,components-core.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.1, SC 3.3.3, SC 3.3.4, SC 3.3.7, SC 4.1.3)",adopted-standard,,Manual review once implemented.,,,,
KBDL-CMP-038,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.1),adopted-standard,,Manual keyboard testing once implemented.,,,,
KBDL-CMP-039,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-040,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-041,components-core.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (depends on unapproved responsive values),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-042,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-043,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-044,components-core.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended,lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-045,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates the WAI-ARIA tabs pattern),adopted-standard,,Manual keyboard/ARIA review once implemented.,,,,
KBDL-CMP-046,components-core.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component choice),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-047,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-048,components-core.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended,lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-049,components-core.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review once implemented.,,,,
KBDL-CMP-050,components-core.md,Approved,Confirmed,Not Applicable,Lifecycle authority: Approved (restates the shared contract applied compositionally),lifecycle/provenance,,Manual composition review once implemented.,,,,
KBDL-CMP-051,components-core.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates [principles.md §9.4](principles.md#94-shared-constraints-across-profiles)),lifecycle/provenance,,Manual cross-profile review once the project-profiles module is approved.,,,,
KBDL-CMP-052,components-system.md,Approved,Confirmed,Not Applicable,"Lifecycle authority: Approved (scope-control requirement, extends `KBDL-CMP-005`)",lifecycle/provenance,KBDL-CMP-005,"Manual scope-compliance review (performed, see implementation report).",,,,
KBDL-CMP-053,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (extends the already-Approved native- semantics-first rule, `KBDL-CMP-002`, and the adopted ARIA 1.2 `region` role definition, to this module's surfaces)",adopted-standard,KBDL-CMP-002,Manual native-structure review once implemented.,,,,
KBDL-CMP-054,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates ARIA 1.2's `region` role definition),lifecycle/provenance,,Manual semantic-structure review once implemented.,,,,
KBDL-CMP-055,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates the native HTML prohibition on nested interactive elements and the already-Approved hover- independent-discoverability requirement, [responsive.md §24](responsive.md#24-hover-independent-discoverability))",lifecycle/provenance,,Manual DOM-structure and keyboard review once implemented.,,,,
KBDL-CMP-056,components-system.md,Approved,Confirmed,Not Applicable,"Lifecycle authority: Approved (dictated outcome of the already-adopted WCAG 2.2 focus, keyboard, and reading-order rules applied to layered content — a structural scope statement, not new policy)",adopted-standard,,"Manual scope-compliance review (performed, see implementation report).",,,,
KBDL-CMP-057,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates the already-adopted WCAG 2.2 SC 2.1.1 Keyboard and SC 2.1.2 No Keyboard Trap, and the already- Approved KBDL-007 keyboard contract, `KBDL-CMP-007`, applied explicitly to non-modal overlays)",adopted-standard,KBDL-CMP-007,Manual keyboard-trap review once implemented.,,,,
KBDL-CMP-058,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order — an unset focus target would violate the requirement that focus order remain determinable),adopted-standard,,Manual focus-restoration review once implemented.,,,,
KBDL-CMP-059,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates the already-adopted WCAG 2.2 SC 2.2.1 Timing Adjustable, extended to this module's dismissible surfaces generally, beyond the Toast-specific case in `KBDL-CMP-090`)",adopted-standard,KBDL-CMP-090,Manual content-persistence review once implemented.,,,,
KBDL-CMP-060,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates the already-Approved motion- parity rule, [motion/accessibility-performance.md §1](motion/accessibility-performance.md#1-reduced-motion-and-no-motion-parity))",lifecycle/provenance,,Manual reduced/no-motion parity review once implemented.,,,,
KBDL-CMP-061,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates the locked component-state- clarity rule, [principles.md §5.1](principles.md#51-locked-identity-rules), and `KBDL-CMP-004`, applied explicitly to the states this document introduces)",lifecycle/provenance,KBDL-CMP-004,Manual color-independence review once implemented.,,,,
KBDL-CMP-062,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates `KBDL-CMP-053`/`002` as an explicit prohibition, distinguishing the general preference from the specific misuse it forbids)",lifecycle/provenance,KBDL-CMP-053,Manual role-use review once implemented.,,,,
KBDL-CMP-063,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates the already-Approved correctness/safety priority, [principles.md §4](principles.md#4-relationship-between-luxury-and-utility) item 1, as a general baseline; `KBDL-CMP-103` states its Offline/ Reconnecting-specific application)",lifecycle/provenance,KBDL-CMP-103,Manual claim-accuracy review once implemented.,,,,
KBDL-CMP-064,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (extends the existing KBDL security principle already established in [components-core.md §37](components-core.md#37-security-and-privacy-in-components) as a general baseline; `KBDL-CMP-101` and `KBDL-CMP-104` state its Error-State- and Permission/Not-Found-specific applications),lifecycle/provenance,KBDL-CMP-101;KBDL-CMP-104,Manual content review once implemented.,,,,
KBDL-CMP-065,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (extends the already-Approved KBDL-007 accessible-naming requirement, `KBDL-CMP-003`, to this module)",lifecycle/provenance,KBDL-CMP-003,Manual accessible-name review once implemented.,,,,
KBDL-CMP-066,components-system.md,Approved,"Confirmed for `KBDL-CMP-052`, `053`, `054`, `055`, `062`, `065`, `068`, `070`; Assumed for `KBDL-CMP-067`, `069`.",Not Verified,"Lifecycle authority: Approved (restates the already-Approved KBDL-007 profile-consistency requirement, `KBDL-CMP-051`, applied to this module)",lifecycle/provenance,KBDL-CMP-051,Manual cross-profile consistency review once implemented.,Not verified — no implementation exists yet.,Implementation-dependent.,,
KBDL-CMP-067,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level taxonomy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-068,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates the adopted ARIA disclosure pattern's role/state definitions and the already-Approved KBDL-007 disclosure-trigger contract),adopted-standard,,Manual ARIA-relationship review once implemented.,,,,
KBDL-CMP-069,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level policy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-070,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates the already-adopted WCAG 2.2 SC 1.3.1 Info and Relationships and the native-semantics-first rule, `KBDL-CMP-002`)",adopted-standard,KBDL-CMP-002,Manual semantic-structure review once implemented.,,,,
KBDL-CMP-071,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved. Authority: the adopted WAI-ARIA 1.2 `aria-modal` property definition, which specifies that assistive technology should restrict its reading and navigation to the modal element while it is active, directly requires background content to be excluded from that navigation — this is the primary source for ""unreachable by ... screen-reader virtual cursor."" The already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.4.11 Focus Not Obscured support, but do not by themselves fully dictate, this outcome for pointer/sequential-navigation reachability. The approved KBDL-008 prompt's Overlay Architecture section explicitly requires ""Background inertness"" as a mandatory field for every modal overlay, which is the source for treating this as a complete, single normative rule rather than an inference from the standards alone",adopted-standard,,Manual focus-containment review once implemented.,,,,
KBDL-CMP-072,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved. Authority, split by clause: ""dismissible via Escape"" and ""remains visible while the trigger has hover or focus"" restate the already-adopted WCAG 2.2 SC 1.4.13 Content on Hover or Focus, which dictates exactly these three properties (dismissible, hoverable, persistent). ""Must never be the sole source of its trigger's accessible name"" restates the already- Approved KBDL-007 accessible-naming requirement, `KBDL-CMP-003`, and the adopted WCAG 2.2 SC 4.1.2 Name, Role, Value — not SC 1.4.13, which does not address naming. ""Contains only non- interactive text"" and ""leaves focus on its trigger"" are not dictated by SC 1.4.13 or the WAI-ARIA `tooltip` role definition alone (the ARIA 1.2 spec describes tooltip as advisory but does not itself prohibit interactive descendants); these two clauses are normative because the approved KBDL-008 prompt explicitly requires ""Informational, non-interactive purpose"" and ""Interactive-content prohibition"" as mandatory Tooltip fields. This requirement does not treat the APG tooltip pattern (explicitly non-consensus, see [§4](#4-standards-interpretation-for-this-module)) as a source for any clause",adopted-standard,KBDL-CMP-003,Manual hover/focus and accessible-name review once implemented.,,,,
KBDL-CMP-073,components-system.md,Recommended,Assumed,Not Applicable,"Lifecycle authority: Recommended (new KBDL-specific timing/placement policy, not dictated by the non-consensus APG tooltip pattern)",lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-074,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level taxonomy and dismissal policy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-075,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates the adopted WAI-ARIA 1.2 menu role definitions and the already-Approved KBDL-007 trigger contract),adopted-standard,,Manual ARIA-relationship review once implemented.,,,,
KBDL-CMP-076,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level interaction policy; the underlying APG menu pattern is not automatically Approved),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-077,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates the adopted WAI-ARIA 1.2 listbox role definitions and the already-Approved KBDL-007 combobox contract),adopted-standard,,Manual ARIA-relationship review once implemented.,,,,
KBDL-CMP-078,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates the already-adopted WCAG 2.2 SC 4.1.2 Name, Role, Value and SC 2.1.1 Keyboard)",adopted-standard,,Manual accessible-name and keyboard review once implemented.,,,,
KBDL-CMP-079,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates `KBDL-CMP-071` and the already-adopted WCAG 2.2 SC 2.1.2 No Keyboard Trap, applied to the definition of modality itself — this is the ""modal integrity"" rule)",adopted-standard,KBDL-CMP-071,Manual modality-compliance review once implemented.,,,,
KBDL-CMP-080,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level sizing and nesting policy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
