id,authoritative,occurrences,groups,lifecycle,provenance,validation,authority,method,evidence,limitation,packet,dependency,complete
KBDL-A11Y-017,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-018,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-019,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-020,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-021,True,1,"New KBDL-specific accessibility enhancements (KBDL-A11Y-011, KBDL-A11Y-021, KBDL-A11Y-035)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-022,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-023,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-024,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-025,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-026,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-027,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-028,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-029,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-030,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-031,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-032,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-033,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-034,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-035,True,1,"New KBDL-specific accessibility enhancements (KBDL-A11Y-011, KBDL-A11Y-021, KBDL-A11Y-035)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-036,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-037,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-038,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-039,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-A11Y-040,True,1,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,False,True,True,True,True,True,False,False,False
KBDL-CMP-001,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-002,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-003,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-004,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-005,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-006,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-007,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-008,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-009,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-010,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-011,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-012,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-013,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-014,True,1,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-015,True,1,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-016,True,1,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-017,True,1,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-018,True,1,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-019,True,1,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-020,True,1,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-021,True,1,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-022,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-023,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-024,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-025,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-026,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-027,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-028,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-029,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-030,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-031,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-032,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-033,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-034,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-035,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-036,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-037,True,1,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-038,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-039,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-040,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-041,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-042,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-043,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-044,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-045,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-046,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-047,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-048,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-049,True,1,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,False,False,False
KBDL-CMP-050,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-051,True,1,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-052,True,1,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-053,True,1,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-054,True,1,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-055,True,1,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-056,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-057,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-058,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-059,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-060,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-061,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-062,True,1,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-063,True,1,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-064,True,1,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-065,True,1,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-066,True,1,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-067,True,1,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-068,True,1,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-069,True,1,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-070,True,1,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-071,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-072,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-073,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-074,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-075,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-076,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-077,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-078,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-079,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-080,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-081,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-082,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-083,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-084,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-085,True,1,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-086,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-087,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-088,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-089,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-090,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-091,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-092,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-093,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-094,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-095,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-096,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-097,True,1,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-098,True,1,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-099,True,1,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-100,True,1,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-101,True,1,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,False,False,False
KBDL-CMP-102,True,1,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,False,False,False
