Defect ID,Requirement ID,Category,Details
LIMITATION_MISMATCH:KBDL-CUS-006,KBDL-CUS-006,LIMITATION_MISMATCH,Exact reuse threshold is Recommended
LIMITATION_MISMATCH:KBDL-CUS-007,KBDL-CUS-007,LIMITATION_MISMATCH,No exception is created here
LIMITATION_MISMATCH:KBDL-CUS-008,KBDL-CUS-008,LIMITATION_MISMATCH,No real workflow history exists
LIMITATION_MISMATCH:KBDL-CUS-009,KBDL-CUS-009,LIMITATION_MISMATCH,Inapplicable fields require project rationale
LIMITATION_MISMATCH:KBDL-CUS-010,KBDL-CUS-010,LIMITATION_MISMATCH,No machine-readable format is mandated
LIMITATION_MISMATCH:KBDL-CUS-011,KBDL-CUS-011,LIMITATION_MISMATCH,Final KBDL validation remains later scope
LIMITATION_MISMATCH:KBDL-CUS-012,KBDL-CUS-012,LIMITATION_MISMATCH,Exact cadence/expiry are Recommended
LIMITATION_MISMATCH:KBDL-CUS-013,KBDL-CUS-013,LIMITATION_MISMATCH,Project implementation absent
LIMITATION_MISMATCH:KBDL-CUS-014,KBDL-CUS-014,LIMITATION_MISMATCH,Pending theme items remain excluded
LIMITATION_MISMATCH:KBDL-CUS-015,KBDL-CUS-015,LIMITATION_MISMATCH,Exact component values and technology remain excluded
LIMITATION_MISMATCH:KBDL-CUS-016,KBDL-CUS-016,LIMITATION_MISMATCH,Pending exact values remain excluded
LIMITATION_MISMATCH:KBDL-CUS-017,KBDL-CUS-017,LIMITATION_MISMATCH,Implementation testing is absent
LIMITATION_MISMATCH:KBDL-CUS-018,KBDL-CUS-018,LIMITATION_MISMATCH,Pending KBDL-007 items remain excluded
LIMITATION_MISMATCH:KBDL-CUS-019,KBDL-CUS-019,LIMITATION_MISMATCH,Pending KBDL-008 items remain excluded
LIMITATION_MISMATCH:KBDL-CUS-020,KBDL-CUS-020,LIMITATION_MISMATCH,Pending KBDL-009 policies remain excluded
