Requirement ID,Field,Current candidate value,Candidate source,Permitted authoritative source type,Authoritative source found,Resolution result,Defect category,Reason unresolved,Owner decision required,Prohibited automatic correction
KBDL-A11Y-008,Validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Resolved evidence/classification relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-009,Validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Resolved evidence/classification relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-010,Authority,"Approved (directly restates WCAG 2.2 SC 2.4.11, Level AA)",traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Authority graph,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-010,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-011,Known limitation,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-012,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-013,Authority,"Approved (directly restates WCAG 2.2 SC 1.4.10, Level AA)",traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Authority graph,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-013,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-014,Authority,"Approved (directly restates WCAG 2.2 SC 1.4.12, Level AA)",traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Authority graph,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-014,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-015,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-016,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-016,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-017,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-018,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-019,Validation classification,Not applicable,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-020,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-022,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-023,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-023,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-024,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-025,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-026,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-027,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-028,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-029,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-029,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-030,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-031,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-032,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-033,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-034,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-034,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-037,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-040,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-001,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-002,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-003,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-004,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-004,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-006,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-007,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-008,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-009,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-010,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-011,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-012,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-013,Known limitation,Implementation-dependent; cannot be tested until real components exist,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-014,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-016,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-018,Authority,Approved (directly restates WAI-ARIA),traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Authority graph,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-018,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-019,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-021,Authority,Approved (directly restates the WAI-ARIA disclosure pattern),traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Authority graph,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-021,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-022,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-023,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-023,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-024,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-026,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-026,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-027,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-028,Authority,Approved (directly restates WAI-ARIA/APG),traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Authority graph,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-028,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-030,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-030,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-031,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-031,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-032,Authority,Approved (directly restates WAI-ARIA switch role),traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Authority graph,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-032,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-033,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-033,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-034,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-034,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-035,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-037,Known limitation,Implementation-dependent,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-038,Known limitation,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-039,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-039,Known limitation,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-040,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-040,Known limitation,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-042,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-042,Known limitation,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-043,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-043,Known limitation,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-044,Validation classification,Not applicable,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-CMP-045,Authority,Approved (directly restates the WAI-ARIA tabs pattern),traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Authority graph,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
