Requirement ID,Field name,Higher source value,Lower source value,Rule source,Computed result
KBDL-A11Y-002,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Readable traceability group,PASS
KBDL-A11Y-002,Roadmap prompt,KBDL-006,KBDL-006,Approved roadmap and module ownership,PASS
KBDL-A11Y-002,Specification location,accessibility.md#7-captions-transcripts-and-audio-description,accessibility.md#7-captions-transcripts-and-audio-description,Containing normative Markdown section,PASS
KBDL-A11Y-002,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-A11Y-002,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-A11Y-002,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-A11Y-002,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-A11Y-002,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-A11Y-002,Authority,RESOLVED,"Approved (directly restates WCAG 2.2 SC 1.2.x, Level A/AA)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-A11Y-002,Validation method,Manual review once implemented.,Manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-A11Y-002,Validation evidence,Not verified — the requirement’s stated validation method has not been executed.,Not verified — the requirement’s stated validation method has not been executed.,Existing evidence source or honest Not verified record,PASS
KBDL-A11Y-002,Known limitation,UNRESOLVED,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Actual excluded or unverified scope,PASS
KBDL-A11Y-002,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-A11Y-002,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-A11Y-002,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-A11Y-002,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-A11Y-003,Requirement ID,KBDL-A11Y-003,KBDL-A11Y-003,Normative requirement record,PASS
KBDL-A11Y-003,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Readable traceability group,PASS
KBDL-A11Y-003,Roadmap prompt,KBDL-006,KBDL-006,Approved roadmap and module ownership,PASS
KBDL-A11Y-003,Specification location,accessibility.md#8-semantic-structure-and-relationships,accessibility.md#8-semantic-structure-and-relationships,Containing normative Markdown section,PASS
KBDL-A11Y-003,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-A11Y-003,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-A11Y-003,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-A11Y-003,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-A11Y-003,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-A11Y-003,Authority,RESOLVED,"Approved (directly restates WCAG 2.2 SC 1.3.1 and SC 4.1.2, both Level A)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-A11Y-003,Validation method,Automated static accessibility check + manual screen-reader review once implemented.,Automated static accessibility check + manual screen-reader review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-A11Y-003,Validation evidence,Not verified — the requirement’s stated validation method has not been executed.,Not verified — the requirement’s stated validation method has not been executed.,Existing evidence source or honest Not verified record,PASS
KBDL-A11Y-003,Known limitation,UNRESOLVED,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Actual excluded or unverified scope,PASS
KBDL-A11Y-003,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-A11Y-003,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-A11Y-003,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-A11Y-003,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-A11Y-004,Requirement ID,KBDL-A11Y-004,KBDL-A11Y-004,Normative requirement record,PASS
KBDL-A11Y-004,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Readable traceability group,PASS
KBDL-A11Y-004,Roadmap prompt,KBDL-006,KBDL-006,Approved roadmap and module ownership,PASS
KBDL-A11Y-004,Specification location,accessibility.md#9-landmark-and-heading-architecture,accessibility.md#9-landmark-and-heading-architecture,Containing normative Markdown section,PASS
KBDL-A11Y-004,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-A11Y-004,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-A11Y-004,Validation classification,UNRESOLVED,Not verified,Normative requirement record,PASS
KBDL-A11Y-004,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-A11Y-004,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-A11Y-004,Authority,RESOLVED,"Approved (directly restates WCAG 2.2 SC 2.4.2, Level A, and SC 2.4.6, Level AA)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-A11Y-004,Validation method,Automated static check + manual review once implemented.,Automated static check + manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-A11Y-004,Validation evidence,Not verified — the requirement’s stated validation method has not been executed.,Not verified — the requirement’s stated validation method has not been executed.,Existing evidence source or honest Not verified record,PASS
KBDL-A11Y-004,Known limitation,UNRESOLVED,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Actual excluded or unverified scope,PASS
KBDL-A11Y-004,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-A11Y-004,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-A11Y-004,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-A11Y-004,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-A11Y-005,Requirement ID,KBDL-A11Y-005,KBDL-A11Y-005,Normative requirement record,PASS
KBDL-A11Y-005,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Readable traceability group,PASS
KBDL-A11Y-005,Roadmap prompt,KBDL-006,KBDL-006,Approved roadmap and module ownership,PASS
KBDL-A11Y-005,Specification location,accessibility.md#10-reading-and-focus-order,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,Containing normative Markdown section,PASS
KBDL-A11Y-005,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-A11Y-005,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-A11Y-005,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-A11Y-005,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-A11Y-005,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-A11Y-005,Authority,RESOLVED,"Approved (directly restates WCAG 2.2 SC 1.3.2 and SC 2.4.3, both Level A)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-A11Y-005,Validation method,Manual keyboard/screen-reader order review once implemented.,Manual keyboard/screen-reader order review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-A11Y-005,Validation evidence,Not verified — the requirement’s stated validation method has not been executed.,Not verified — the requirement’s stated validation method has not been executed.,Existing evidence source or honest Not verified record,PASS
KBDL-A11Y-005,Known limitation,UNRESOLVED,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Actual excluded or unverified scope,PASS
KBDL-A11Y-005,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-A11Y-005,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-A11Y-005,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-A11Y-005,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-A11Y-006,Requirement ID,KBDL-A11Y-006,KBDL-A11Y-006,Normative requirement record,PASS
KBDL-A11Y-006,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Readable traceability group,PASS
KBDL-A11Y-006,Roadmap prompt,KBDL-006,KBDL-006,Approved roadmap and module ownership,PASS
KBDL-A11Y-006,Specification location,accessibility.md#11-color-independent-communication,accessibility.md#11-color-independent-communication,Containing normative Markdown section,PASS
KBDL-A11Y-006,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-A11Y-006,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-A11Y-006,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-A11Y-006,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-A11Y-006,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-A11Y-006,Authority,RESOLVED,"Approved (directly restates WCAG 2.2 SC 1.4.1, Level A, and the locked component-state-clarity rule)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-A11Y-006,Validation method,Manual review once implemented.,Manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-A11Y-006,Validation evidence,Not verified — the requirement’s stated validation method has not been executed.,Not verified — the requirement’s stated validation method has not been executed.,Existing evidence source or honest Not verified record,PASS
KBDL-A11Y-006,Known limitation,UNRESOLVED,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Actual excluded or unverified scope,PASS
KBDL-A11Y-006,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-A11Y-006,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-A11Y-006,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-A11Y-006,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-A11Y-007,Requirement ID,KBDL-A11Y-007,KBDL-A11Y-007,Normative requirement record,PASS
KBDL-A11Y-007,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Readable traceability group,PASS
KBDL-A11Y-007,Roadmap prompt,KBDL-006,KBDL-006,Approved roadmap and module ownership,PASS
KBDL-A11Y-007,Specification location,accessibility.md#12-text-contrast,accessibility.md#12-text-contrast,Containing normative Markdown section,PASS
KBDL-A11Y-007,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-A11Y-007,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-A11Y-007,Validation classification,Verified,Verified,Normative requirement record,PASS
KBDL-A11Y-007,Verified scope,Verified (for the documented theme role pairs; see themes/validation.md §3),Verified (for the documented theme role pairs; see themes/validation.md §3),Executed evidence and stated scope,PASS
KBDL-A11Y-007,Not-verified scope,None,None,Unexecuted or excluded scope,PASS
KBDL-A11Y-007,Authority,RESOLVED,"Approved (directly restates WCAG 2.2 SC 1.4.3, Level AA)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-A11Y-007,Validation method,"WCAG relative-luminance contrast calculation (completed for theme role pairs, see cited evidence).","WCAG relative-luminance contrast calculation (completed for theme role pairs, see cited evidence)",Normative method or independently approved evidence-method registry,PASS
KBDL-A11Y-007,Validation evidence,UNRESOLVED,themes/validation.md §3 for the three Verified rows; not verified for the rest,Existing evidence source or honest Not verified record,PASS
KBDL-A11Y-007,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Actual excluded or unverified scope,PASS
KBDL-A11Y-007,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-A11Y-007,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-A11Y-007,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-A11Y-007,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-A11Y-008,Requirement ID,KBDL-A11Y-008,KBDL-A11Y-008,Normative requirement record,PASS
KBDL-A11Y-008,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Readable traceability group,PASS
KBDL-A11Y-008,Roadmap prompt,KBDL-006,KBDL-006,Approved roadmap and module ownership,PASS
KBDL-A11Y-008,Specification location,accessibility.md#13-non-text-contrast,accessibility.md#13-non-text-contrast,Containing normative Markdown section,PASS
KBDL-A11Y-008,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-A11Y-008,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-A11Y-008,Validation classification,Verified,Verified,Normative requirement record,PASS
KBDL-A11Y-008,Verified scope,"Verified (for documented pairs, see cited evidence)","Verified (for documented pairs, see cited evidence)",Executed evidence and stated scope,PASS
KBDL-A11Y-008,Not-verified scope,None,None,Unexecuted or excluded scope,PASS
KBDL-A11Y-008,Authority,UNRESOLVED,"Approved (directly restates WCAG 2.2 SC 1.4.11, Level AA)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-A11Y-008,Validation method,WCAG relative-luminance contrast calculation (completed for documented pairs).,WCAG relative-luminance contrast calculation (completed for documented pairs),Normative method or independently approved evidence-method registry,PASS
KBDL-A11Y-008,Validation evidence,UNRESOLVED,themes/validation.md §3 for the three Verified rows; not verified for the rest,Existing evidence source or honest Not verified record,PASS
KBDL-A11Y-008,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Actual excluded or unverified scope,PASS
KBDL-A11Y-008,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-A11Y-008,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-A11Y-008,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-A11Y-008,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-A11Y-009,Requirement ID,KBDL-A11Y-009,KBDL-A11Y-009,Normative requirement record,PASS
KBDL-A11Y-009,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Readable traceability group,PASS
KBDL-A11Y-009,Roadmap prompt,KBDL-006,KBDL-006,Approved roadmap and module ownership,PASS
KBDL-A11Y-009,Specification location,accessibility.md#14-focus-visibility,accessibility.md#14-focus-visibility,Containing normative Markdown section,PASS
KBDL-A11Y-009,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-A11Y-009,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-A11Y-009,Validation classification,Verified,Verified,Normative requirement record,PASS
KBDL-A11Y-009,Verified scope,Verified (for the documented Focus indicator role; see theme validation evidence),Verified (for the documented Focus indicator role; see theme validation evidence),Executed evidence and stated scope,PASS
KBDL-A11Y-009,Not-verified scope,None,None,Unexecuted or excluded scope,PASS
KBDL-A11Y-009,Authority,RESOLVED,"Approved (directly restates WCAG 2.2 SC 2.4.7, Level AA)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-A11Y-009,Validation method,Contrast calculation (completed); manual keyboard review once implemented.,Contrast calculation (completed); manual keyboard review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-A11Y-009,Validation evidence,UNRESOLVED,themes/validation.md §3 for the three Verified rows; not verified for the rest,Existing evidence source or honest Not verified record,PASS
KBDL-A11Y-009,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Actual excluded or unverified scope,PASS
KBDL-A11Y-009,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-A11Y-009,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-A11Y-009,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-A11Y-009,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-A11Y-010,Requirement ID,KBDL-A11Y-010,KBDL-A11Y-010,Normative requirement record,PASS
KBDL-A11Y-010,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Readable traceability group,PASS
KBDL-A11Y-010,Roadmap prompt,KBDL-006,KBDL-006,Approved roadmap and module ownership,PASS
KBDL-A11Y-010,Specification location,accessibility.md#15-focus-not-obscured,accessibility.md#15-focus-not-obscured; responsive.md#18-sticky-and-fixed-regions,Containing normative Markdown section,PASS
KBDL-A11Y-010,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-A11Y-010,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-A11Y-010,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-A11Y-010,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-A11Y-010,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-A11Y-010,Authority,UNRESOLVED,"Approved (directly restates WCAG 2.2 SC 2.4.11, Level AA)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-A11Y-010,Validation method,Manual keyboard-focus review once implemented.,Manual keyboard-focus review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-A11Y-010,Validation evidence,Not verified — the requirement’s stated validation method has not been executed.,Not verified — the requirement’s stated validation method has not been executed.,Existing evidence source or honest Not verified record,PASS
KBDL-A11Y-010,Known limitation,UNRESOLVED,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Actual excluded or unverified scope,PASS
