Requirement ID,Field name,Ownership class,Primary basis,Derivation rule,Authoritative expected value,Normative value,Governance resolution,Ledger value,Readable-group value,Readable-group classification,Effective value,Precedence result,Conflict result,Validation result
KBDL-A11Y-002,Blueprint section,C — Traceability-owned administrative,Exact readable-group value,Parse exact group heading or explicit per-ID mapping,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,ABSENT,PASS,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,PASS,None,PASS
KBDL-A11Y-002,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-006,ABSENT,PASS,KBDL-006,KBDL-006,Uniform default,KBDL-006,PASS,None,PASS
KBDL-A11Y-002,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,accessibility.md#7-captions-transcripts-and-audio-description,ABSENT,PASS,accessibility.md#7-captions-transcripts-and-audio-description,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,accessibility.md#7-captions-transcripts-and-audio-description,PASS,None,PASS
KBDL-A11Y-002,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Approved,Approved,PASS,Approved,MISSING,Missing,Approved,PASS,None,PASS
KBDL-A11Y-002,Provenance,A — Normative-owned,Normative record,Parse explicit provenance and compare every lower source,Confirmed,Confirmed,PASS,Confirmed,MISSING,Missing,Confirmed,PASS,None,PASS
KBDL-A11Y-002,Validation classification,A — Normative-owned,Normative record,Parse explicit validation status and compare every lower source,Not verified,Not verified,PASS,Not verified,Not verified,Exact per-ID mapping,Not verified,PASS,None,PASS
KBDL-A11Y-002,Verified scope,D — Evidence-owned,Evidence scope registry,Require evidence-compatible scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-A11Y-002,Not-verified scope,D — Evidence-owned,Evidence scope registry,Require honest unexecuted scope,Not verified,ABSENT,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-A11Y-002,Authority,B — Governance-owned,Authority graph,Resolve every component and graph edge,RESOLVED,ABSENT,PASS,"Approved (directly restates WCAG 2.2 SC 1.2.x, Level A/AA)",MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-A11Y-002,Validation method,D — Evidence-owned,Normative record,Compare method to evidence classification without ledger self-proof,Manual review once implemented.,Manual review once implemented.,PASS,Manual review once implemented,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,Manual review once implemented.,PASS,None,PASS
KBDL-A11Y-002,Validation evidence,D — Evidence-owned,Resolved evidence/classification relationship,Resolve paths and prevent unsupported execution claims,Not verified — the requirement’s stated validation method has not been executed.,ABSENT,PASS,Not verified — the requirement’s stated validation method has not been executed.,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,Not verified — the requirement’s stated validation method has not been executed.,PASS,None,PASS
KBDL-A11Y-002,Known limitation,D — Evidence-owned,Not-verified/excluded scope relationship,Require consistency with validation scope,UNRESOLVED,ABSENT,PASS,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,UNRESOLVED,PASS,None,FAIL
KBDL-A11Y-002,Packet or tracking destination,C — Traceability-owned administrative,Explicit None permitted only for Approved,Resolve file section item owner and readiness class,None — Approved,ABSENT,PASS,None — Approved,MISSING,Missing,None — Approved,PASS,None,PASS
KBDL-A11Y-002,Pending dependencies,C — Traceability-owned administrative,Explicit None,Resolve and classify dependency source,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-A11Y-002,Related decision,B — Governance-owned,Decision register,Resolve every cited decision and status,RESOLVED,ABSENT,PASS,None,`KBDL-DEC-010`.,Non-overriding summary,RESOLVED,PASS,None,PASS
KBDL-A11Y-002,Notes or exclusions,C — Traceability-owned administrative,Owned administrative value bounded by prohibited-claim scan,Reject unsupported promotion or completion claims,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,ABSENT,PASS,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,PASS,None,PASS
KBDL-A11Y-003,Requirement ID,A — Normative-owned,Normative record,Parse the ID from the normative record,KBDL-A11Y-003,KBDL-A11Y-003,PASS,KBDL-A11Y-003,MISSING,Missing,KBDL-A11Y-003,PASS,None,PASS
KBDL-A11Y-003,Blueprint section,C — Traceability-owned administrative,Exact readable-group value,Parse exact group heading or explicit per-ID mapping,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,ABSENT,PASS,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,PASS,None,PASS
KBDL-A11Y-003,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-006,ABSENT,PASS,KBDL-006,KBDL-006,Uniform default,KBDL-006,PASS,None,PASS
KBDL-A11Y-003,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,accessibility.md#8-semantic-structure-and-relationships,ABSENT,PASS,accessibility.md#8-semantic-structure-and-relationships,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,accessibility.md#8-semantic-structure-and-relationships,PASS,None,PASS
KBDL-A11Y-003,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Approved,Approved,PASS,Approved,MISSING,Missing,Approved,PASS,None,PASS
KBDL-A11Y-003,Provenance,A — Normative-owned,Normative record,Parse explicit provenance and compare every lower source,Confirmed,Confirmed,PASS,Confirmed,MISSING,Missing,Confirmed,PASS,None,PASS
KBDL-A11Y-003,Validation classification,A — Normative-owned,Normative record,Parse explicit validation status and compare every lower source,Not verified,Not verified,PASS,Not verified,Not verified,Exact per-ID mapping,Not verified,PASS,None,PASS
KBDL-A11Y-003,Verified scope,D — Evidence-owned,Evidence scope registry,Require evidence-compatible scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-A11Y-003,Not-verified scope,D — Evidence-owned,Evidence scope registry,Require honest unexecuted scope,Not verified,ABSENT,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-A11Y-003,Authority,B — Governance-owned,Authority graph,Resolve every component and graph edge,RESOLVED,ABSENT,PASS,"Approved (directly restates WCAG 2.2 SC 1.3.1 and SC 4.1.2, both Level A)",MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-A11Y-003,Validation method,D — Evidence-owned,Normative record,Compare method to evidence classification without ledger self-proof,Automated static accessibility check + manual screen-reader review once implemented.,Automated static accessibility check + manual screen-reader review once implemented.,PASS,Automated static accessibility check + manual screen-reader review once implemented,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,Automated static accessibility check + manual screen-reader review once implemented.,PASS,None,PASS
KBDL-A11Y-003,Validation evidence,D — Evidence-owned,Resolved evidence/classification relationship,Resolve paths and prevent unsupported execution claims,Not verified — the requirement’s stated validation method has not been executed.,ABSENT,PASS,Not verified — the requirement’s stated validation method has not been executed.,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,Not verified — the requirement’s stated validation method has not been executed.,PASS,None,PASS
KBDL-A11Y-003,Known limitation,D — Evidence-owned,Not-verified/excluded scope relationship,Require consistency with validation scope,UNRESOLVED,ABSENT,PASS,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,UNRESOLVED,PASS,None,FAIL
KBDL-A11Y-003,Packet or tracking destination,C — Traceability-owned administrative,Explicit None permitted only for Approved,Resolve file section item owner and readiness class,None — Approved,ABSENT,PASS,None — Approved,MISSING,Missing,None — Approved,PASS,None,PASS
KBDL-A11Y-003,Pending dependencies,C — Traceability-owned administrative,Explicit None,Resolve and classify dependency source,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-A11Y-003,Related decision,B — Governance-owned,Decision register,Resolve every cited decision and status,RESOLVED,ABSENT,PASS,None,`KBDL-DEC-010`.,Non-overriding summary,RESOLVED,PASS,None,PASS
KBDL-A11Y-003,Notes or exclusions,C — Traceability-owned administrative,Owned administrative value bounded by prohibited-claim scan,Reject unsupported promotion or completion claims,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,ABSENT,PASS,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,PASS,None,PASS
KBDL-A11Y-004,Requirement ID,A — Normative-owned,Normative record,Parse the ID from the normative record,KBDL-A11Y-004,KBDL-A11Y-004,PASS,KBDL-A11Y-004,MISSING,Missing,KBDL-A11Y-004,PASS,None,PASS
KBDL-A11Y-004,Blueprint section,C — Traceability-owned administrative,Exact readable-group value,Parse exact group heading or explicit per-ID mapping,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,ABSENT,PASS,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,PASS,None,PASS
KBDL-A11Y-004,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-006,ABSENT,PASS,KBDL-006,KBDL-006,Uniform default,KBDL-006,PASS,None,PASS
KBDL-A11Y-004,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,accessibility.md#9-landmark-and-heading-architecture,ABSENT,PASS,accessibility.md#9-landmark-and-heading-architecture,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,accessibility.md#9-landmark-and-heading-architecture,PASS,None,PASS
KBDL-A11Y-004,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Approved,Approved,PASS,Approved,MISSING,Missing,Approved,PASS,None,PASS
KBDL-A11Y-004,Provenance,A — Normative-owned,Normative record,Parse explicit provenance and compare every lower source,Confirmed,Confirmed,PASS,Confirmed,MISSING,Missing,Confirmed,PASS,None,PASS
KBDL-A11Y-004,Validation classification,A — Normative-owned,Normative record,Parse explicit validation status and compare every lower source,UNRESOLVED,ABSENT,PASS,Not verified,Not verified,Exact per-ID mapping,UNRESOLVED,PASS,None,FAIL
KBDL-A11Y-004,Verified scope,D — Evidence-owned,Evidence scope registry,Require evidence-compatible scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-A11Y-004,Not-verified scope,D — Evidence-owned,Evidence scope registry,Require honest unexecuted scope,Not verified,ABSENT,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-A11Y-004,Authority,B — Governance-owned,Authority graph,Resolve every component and graph edge,RESOLVED,ABSENT,PASS,"Approved (directly restates WCAG 2.2 SC 2.4.2, Level A, and SC 2.4.6, Level AA)",MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-A11Y-004,Validation method,D — Evidence-owned,Normative record,Compare method to evidence classification without ledger self-proof,Automated static check + manual review once implemented.,Automated static check + manual review once implemented.,PASS,Automated static check + manual review once implemented,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,Automated static check + manual review once implemented.,PASS,None,PASS
KBDL-A11Y-004,Validation evidence,D — Evidence-owned,Resolved evidence/classification relationship,Resolve paths and prevent unsupported execution claims,Not verified — the requirement’s stated validation method has not been executed.,ABSENT,PASS,Not verified — the requirement’s stated validation method has not been executed.,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,Not verified — the requirement’s stated validation method has not been executed.,PASS,None,PASS
KBDL-A11Y-004,Known limitation,D — Evidence-owned,Not-verified/excluded scope relationship,Require consistency with validation scope,UNRESOLVED,ABSENT,PASS,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,UNRESOLVED,PASS,None,FAIL
KBDL-A11Y-004,Packet or tracking destination,C — Traceability-owned administrative,Explicit None permitted only for Approved,Resolve file section item owner and readiness class,None — Approved,ABSENT,PASS,None — Approved,MISSING,Missing,None — Approved,PASS,None,PASS
KBDL-A11Y-004,Pending dependencies,C — Traceability-owned administrative,Explicit None,Resolve and classify dependency source,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-A11Y-004,Related decision,B — Governance-owned,Decision register,Resolve every cited decision and status,RESOLVED,ABSENT,PASS,None,`KBDL-DEC-010`.,Non-overriding summary,RESOLVED,PASS,None,PASS
KBDL-A11Y-004,Notes or exclusions,C — Traceability-owned administrative,Owned administrative value bounded by prohibited-claim scan,Reject unsupported promotion or completion claims,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,ABSENT,PASS,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,PASS,None,PASS
KBDL-A11Y-005,Requirement ID,A — Normative-owned,Normative record,Parse the ID from the normative record,KBDL-A11Y-005,KBDL-A11Y-005,PASS,KBDL-A11Y-005,MISSING,Missing,KBDL-A11Y-005,PASS,None,PASS
KBDL-A11Y-005,Blueprint section,C — Traceability-owned administrative,Exact readable-group value,Parse exact group heading or explicit per-ID mapping,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,ABSENT,PASS,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,PASS,None,PASS
KBDL-A11Y-005,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-006,ABSENT,PASS,KBDL-006,KBDL-006,Uniform default,KBDL-006,PASS,None,PASS
KBDL-A11Y-005,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,accessibility.md#10-reading-and-focus-order,ABSENT,PASS,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,accessibility.md#10-reading-and-focus-order,PASS,None,PASS
KBDL-A11Y-005,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Approved,Approved,PASS,Approved,MISSING,Missing,Approved,PASS,None,PASS
