Requirement ID,Field name,Raw group field,Parsed grammar,Group value,Group classification,Overriding status,Ledger value,Comparison,Result
KBDL-A11Y-001,Validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Broad descriptive summary,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,No,Manual + automated static accessibility check once implemented,SUMMARY,PASS
KBDL-A11Y-001,Validation evidence,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Broad descriptive summary,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,No,Not verified — the requirement’s stated validation method has not been executed.,SUMMARY,PASS
KBDL-A11Y-001,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Broad descriptive summary,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,No,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",AGREE,PASS
KBDL-A11Y-001,Packet or tracking destination,MISSING,Missing,MISSING,Missing,No,None — Approved,NOT COMPARABLE,PASS
KBDL-A11Y-001,Pending dependencies,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-001,Related decision,`KBDL-DEC-010`.,Broad descriptive summary,`KBDL-DEC-010`.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-A11Y-001,Notes or exclusions,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Broad descriptive summary,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-A11Y-002,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-A11Y-002,NOT COMPARABLE,PASS
KBDL-A11Y-002,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Yes,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,AGREE,PASS
KBDL-A11Y-002,Roadmap prompt,KBDL-006,Uniform default,KBDL-006,Uniform default,Yes,KBDL-006,AGREE,PASS
KBDL-A11Y-002,Specification location,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Broad descriptive summary,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,No,accessibility.md#7-captions-transcripts-and-audio-description,SUMMARY,PASS
KBDL-A11Y-002,Lifecycle status,MISSING,Missing,MISSING,Missing,No,Approved,NOT COMPARABLE,PASS
KBDL-A11Y-002,Provenance,MISSING,Missing,MISSING,Missing,No,Confirmed,NOT COMPARABLE,PASS
KBDL-A11Y-002,Validation classification,"Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039",Status bucket,Not verified,Exact per-ID mapping,Yes,Not verified,AGREE,PASS
KBDL-A11Y-002,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-002,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-A11Y-002,Authority,MISSING,Missing,MISSING,Missing,No,"Approved (directly restates WCAG 2.2 SC 1.2.x, Level A/AA)",NOT COMPARABLE,PASS
KBDL-A11Y-002,Validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Broad descriptive summary,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,No,Manual review once implemented,SUMMARY,PASS
KBDL-A11Y-002,Validation evidence,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Broad descriptive summary,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,No,Not verified — the requirement’s stated validation method has not been executed.,SUMMARY,PASS
KBDL-A11Y-002,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Broad descriptive summary,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,No,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",AGREE,PASS
KBDL-A11Y-002,Packet or tracking destination,MISSING,Missing,MISSING,Missing,No,None — Approved,NOT COMPARABLE,PASS
KBDL-A11Y-002,Pending dependencies,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-002,Related decision,`KBDL-DEC-010`.,Broad descriptive summary,`KBDL-DEC-010`.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-A11Y-002,Notes or exclusions,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Broad descriptive summary,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-A11Y-003,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-A11Y-003,NOT COMPARABLE,PASS
KBDL-A11Y-003,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Yes,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,AGREE,PASS
KBDL-A11Y-003,Roadmap prompt,KBDL-006,Uniform default,KBDL-006,Uniform default,Yes,KBDL-006,AGREE,PASS
KBDL-A11Y-003,Specification location,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Broad descriptive summary,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,No,accessibility.md#8-semantic-structure-and-relationships,SUMMARY,PASS
KBDL-A11Y-003,Lifecycle status,MISSING,Missing,MISSING,Missing,No,Approved,NOT COMPARABLE,PASS
KBDL-A11Y-003,Provenance,MISSING,Missing,MISSING,Missing,No,Confirmed,NOT COMPARABLE,PASS
KBDL-A11Y-003,Validation classification,"Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039",Status bucket,Not verified,Exact per-ID mapping,Yes,Not verified,AGREE,PASS
KBDL-A11Y-003,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-003,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-A11Y-003,Authority,MISSING,Missing,MISSING,Missing,No,"Approved (directly restates WCAG 2.2 SC 1.3.1 and SC 4.1.2, both Level A)",NOT COMPARABLE,PASS
KBDL-A11Y-003,Validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Broad descriptive summary,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,No,Automated static accessibility check + manual screen-reader review once implemented,SUMMARY,PASS
KBDL-A11Y-003,Validation evidence,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Broad descriptive summary,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,No,Not verified — the requirement’s stated validation method has not been executed.,SUMMARY,PASS
KBDL-A11Y-003,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Broad descriptive summary,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,No,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",AGREE,PASS
KBDL-A11Y-003,Packet or tracking destination,MISSING,Missing,MISSING,Missing,No,None — Approved,NOT COMPARABLE,PASS
KBDL-A11Y-003,Pending dependencies,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-003,Related decision,`KBDL-DEC-010`.,Broad descriptive summary,`KBDL-DEC-010`.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-A11Y-003,Notes or exclusions,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Broad descriptive summary,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-A11Y-004,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-A11Y-004,NOT COMPARABLE,PASS
KBDL-A11Y-004,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Yes,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,AGREE,PASS
KBDL-A11Y-004,Roadmap prompt,KBDL-006,Uniform default,KBDL-006,Uniform default,Yes,KBDL-006,AGREE,PASS
KBDL-A11Y-004,Specification location,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Broad descriptive summary,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,No,accessibility.md#9-landmark-and-heading-architecture,SUMMARY,PASS
KBDL-A11Y-004,Lifecycle status,MISSING,Missing,MISSING,Missing,No,Approved,NOT COMPARABLE,PASS
KBDL-A11Y-004,Provenance,MISSING,Missing,MISSING,Missing,No,Confirmed,NOT COMPARABLE,PASS
KBDL-A11Y-004,Validation classification,"Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039",Status bucket,Not verified,Exact per-ID mapping,Yes,Not verified,AGREE,PASS
KBDL-A11Y-004,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-004,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-A11Y-004,Authority,MISSING,Missing,MISSING,Missing,No,"Approved (directly restates WCAG 2.2 SC 2.4.2, Level A, and SC 2.4.6, Level AA)",NOT COMPARABLE,PASS
KBDL-A11Y-004,Validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Broad descriptive summary,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,No,Automated static check + manual review once implemented,SUMMARY,PASS
KBDL-A11Y-004,Validation evidence,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Broad descriptive summary,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,No,Not verified — the requirement’s stated validation method has not been executed.,SUMMARY,PASS
KBDL-A11Y-004,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Broad descriptive summary,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,No,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",AGREE,PASS
KBDL-A11Y-004,Packet or tracking destination,MISSING,Missing,MISSING,Missing,No,None — Approved,NOT COMPARABLE,PASS
KBDL-A11Y-004,Pending dependencies,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-004,Related decision,`KBDL-DEC-010`.,Broad descriptive summary,`KBDL-DEC-010`.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-A11Y-004,Notes or exclusions,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Broad descriptive summary,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-A11Y-005,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-A11Y-005,NOT COMPARABLE,PASS
KBDL-A11Y-005,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Yes,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,AGREE,PASS
KBDL-A11Y-005,Roadmap prompt,KBDL-006,Uniform default,KBDL-006,Uniform default,Yes,KBDL-006,AGREE,PASS
KBDL-A11Y-005,Specification location,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Broad descriptive summary,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,No,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,SUMMARY,PASS
KBDL-A11Y-005,Lifecycle status,MISSING,Missing,MISSING,Missing,No,Approved,NOT COMPARABLE,PASS
KBDL-A11Y-005,Provenance,MISSING,Missing,MISSING,Missing,No,Confirmed,NOT COMPARABLE,PASS
KBDL-A11Y-005,Validation classification,"Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039",Status bucket,Not verified,Exact per-ID mapping,Yes,Not verified,AGREE,PASS
KBDL-A11Y-005,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-005,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-A11Y-005,Authority,MISSING,Missing,MISSING,Missing,No,"Approved (directly restates WCAG 2.2 SC 1.3.2 and SC 2.4.3, both Level A)",NOT COMPARABLE,PASS
KBDL-A11Y-005,Validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Broad descriptive summary,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,No,Manual keyboard/screen-reader order review once implemented,SUMMARY,PASS
KBDL-A11Y-005,Validation evidence,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Broad descriptive summary,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,No,Not verified — the requirement’s stated validation method has not been executed.,SUMMARY,PASS
KBDL-A11Y-005,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Broad descriptive summary,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,No,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",AGREE,PASS
KBDL-A11Y-005,Packet or tracking destination,MISSING,Missing,MISSING,Missing,No,None — Approved,NOT COMPARABLE,PASS
KBDL-A11Y-005,Pending dependencies,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-005,Related decision,`KBDL-DEC-010`.,Broad descriptive summary,`KBDL-DEC-010`.,Non-overriding summary,No,None,SUMMARY,PASS
