Requirement ID,Lifecycle,In AR2 mapping,Population
KBDL-CMP-009,Approved,False,Other Approved
KBDL-CMP-010,Approved,False,Other Approved
KBDL-CMP-011,Approved,True,Approved prompt-derived
KBDL-CMP-012,Approved,True,Approved prompt-derived
KBDL-CMP-013,Approved,True,Approved prompt-derived
KBDL-CMP-014,Approved,True,Approved prompt-derived
KBDL-CMP-015,Recommended,False,Non-Approved other
KBDL-CMP-016,Approved,False,Other Approved
KBDL-CMP-017,Recommended,False,Non-Approved other
KBDL-CMP-018,Approved,False,Other Approved
KBDL-CMP-019,Approved,False,Other Approved
KBDL-CMP-020,Recommended,False,Non-Approved other
KBDL-CMP-021,Approved,False,Other Approved
KBDL-CMP-022,Approved,False,Other Approved
KBDL-CMP-023,Approved,True,Approved prompt-derived
KBDL-CMP-024,Approved,False,Other Approved
KBDL-CMP-025,Recommended,False,Non-Approved other
KBDL-CMP-026,Approved,True,Approved prompt-derived
KBDL-CMP-027,Approved,True,Approved prompt-derived
KBDL-CMP-028,Approved,False,Other Approved
KBDL-CMP-029,Recommended,False,Non-Approved other
KBDL-CMP-030,Approved,True,Approved prompt-derived
KBDL-CMP-031,Approved,True,Approved prompt-derived
KBDL-CMP-032,Approved,False,Other Approved
KBDL-CMP-033,Approved,True,Approved prompt-derived
KBDL-CMP-034,Approved,True,Approved prompt-derived
KBDL-CMP-035,Approved,True,Approved prompt-derived
KBDL-CMP-036,Recommended,False,Non-Approved other
KBDL-CMP-037,Approved,False,Other Approved
KBDL-CMP-038,Approved,False,Other Approved
KBDL-CMP-039,Approved,True,Approved prompt-derived
KBDL-CMP-040,Approved,True,Approved prompt-derived
KBDL-CMP-041,Recommended,False,Non-Approved other
KBDL-CMP-042,Approved,True,Approved prompt-derived
KBDL-CMP-043,Approved,True,Approved prompt-derived
KBDL-CMP-044,Recommended,True,Non-Approved AR2 mapping
KBDL-CMP-045,Approved,False,Other Approved
KBDL-CMP-046,Recommended,False,Non-Approved other
KBDL-CMP-047,Approved,True,Approved prompt-derived
KBDL-CMP-048,Recommended,True,Non-Approved AR2 mapping
KBDL-CMP-049,Approved,True,Approved prompt-derived
KBDL-CMP-050,Approved,True,Approved prompt-derived
KBDL-CMP-051,Approved,True,Approved prompt-derived
KBDL-CMP-052,Approved,False,Other Approved
KBDL-CMP-053,Approved,False,Other Approved
KBDL-CMP-054,Approved,False,Other Approved
KBDL-CMP-055,Approved,True,Approved prompt-derived
KBDL-CMP-056,Approved,False,Other Approved
KBDL-CMP-057,Approved,False,Other Approved
KBDL-CMP-058,Approved,False,Other Approved
KBDL-CMP-059,Approved,False,Other Approved
KBDL-CMP-060,Approved,True,Approved prompt-derived
KBDL-CMP-061,Approved,False,Other Approved
KBDL-CMP-062,Approved,False,Other Approved
KBDL-CMP-063,Approved,False,Other Approved
KBDL-CMP-064,Approved,False,Other Approved
KBDL-CMP-065,Approved,False,Other Approved
KBDL-CMP-066,Approved,False,Other Approved
KBDL-CMP-067,Recommended,False,Non-Approved other
KBDL-CMP-068,Approved,False,Other Approved
KBDL-CMP-069,Recommended,False,Non-Approved other
KBDL-CMP-070,Approved,False,Other Approved
KBDL-CMP-071,Approved,True,Approved prompt-derived
KBDL-CMP-072,Approved,True,Approved prompt-derived
KBDL-CMP-073,Recommended,False,Non-Approved other
KBDL-CMP-074,Recommended,False,Non-Approved other
KBDL-CMP-075,Approved,False,Other Approved
KBDL-CMP-076,Recommended,False,Non-Approved other
KBDL-CMP-077,Approved,False,Other Approved
KBDL-CMP-078,Approved,False,Other Approved
KBDL-CMP-079,Approved,False,Other Approved
KBDL-CMP-080,Recommended,False,Non-Approved other
KBDL-CMP-081,Approved,False,Other Approved
KBDL-CMP-082,Approved,False,Other Approved
KBDL-CMP-083,Recommended,False,Non-Approved other
KBDL-CMP-084,Approved,False,Other Approved
KBDL-CMP-085,Recommended,False,Non-Approved other
KBDL-CMP-086,Approved,False,Other Approved
KBDL-CMP-087,Approved,False,Other Approved
KBDL-CMP-088,Approved,True,Approved prompt-derived
KBDL-CMP-089,Recommended,False,Non-Approved other
KBDL-CMP-090,Approved,True,Approved prompt-derived
KBDL-CMP-091,Recommended,False,Non-Approved other
KBDL-CMP-092,Approved,False,Other Approved
KBDL-CMP-093,Approved,False,Other Approved
KBDL-CMP-094,Approved,False,Other Approved
KBDL-CMP-095,Approved,False,Other Approved
KBDL-CMP-096,Approved,True,Approved prompt-derived
KBDL-CMP-097,Approved,False,Other Approved
KBDL-CMP-098,Approved,True,Approved prompt-derived
KBDL-CMP-099,Recommended,False,Non-Approved other
KBDL-CMP-100,Approved,True,Approved prompt-derived
KBDL-CMP-101,Approved,True,Approved prompt-derived
KBDL-CMP-102,Recommended,False,Non-Approved other
KBDL-CMP-103,Approved,True,Approved prompt-derived
KBDL-CMP-104,Approved,True,Approved prompt-derived
KBDL-CMP-105,Recommended,False,Non-Approved other
KBDL-CMP-106,Recommended,False,Non-Approved other
KBDL-CMP-107,Approved,False,Other Approved
KBDL-CMP-108,Recommended,False,Non-Approved other
KBDL-CMP-109,Approved,False,Other Approved
KBDL-CMP-110,Recommended,False,Non-Approved other
KBDL-CMP-111,Recommended,False,Non-Approved other
KBDL-CUS-001,Approved,True,Approved prompt-derived
KBDL-CUS-002,Approved,True,Approved prompt-derived
KBDL-CUS-003,Approved,True,Approved prompt-derived
KBDL-CUS-004,Approved,True,Approved prompt-derived
KBDL-CUS-005,Approved,True,Approved prompt-derived
KBDL-CUS-006,Approved,True,Approved prompt-derived
KBDL-CUS-007,Approved,False,Other Approved
KBDL-CUS-008,Approved,True,Approved prompt-derived
KBDL-CUS-009,Approved,True,Approved prompt-derived
KBDL-CUS-010,Approved,False,Other Approved
KBDL-CUS-011,Approved,True,Approved prompt-derived
KBDL-CUS-012,Approved,True,Approved prompt-derived
KBDL-CUS-013,Approved,True,Approved prompt-derived
KBDL-CUS-014,Approved,False,Other Approved
KBDL-CUS-015,Approved,True,Approved prompt-derived
KBDL-CUS-016,Approved,True,Approved prompt-derived
KBDL-CUS-017,Approved,False,Other Approved
KBDL-CUS-018,Approved,True,Approved prompt-derived
KBDL-CUS-019,Approved,True,Approved prompt-derived
KBDL-CUS-020,Approved,False,Other Approved
KBDL-CUS-021,Approved,True,Approved prompt-derived
KBDL-CUS-022,Approved,True,Approved prompt-derived
KBDL-CUS-023,Recommended,False,Non-Approved other
KBDL-CUS-024,Recommended,False,Non-Approved other
KBDL-CUS-025,Recommended,False,Non-Approved other
KBDL-CUS-026,Recommended,False,Non-Approved other
KBDL-CUS-027,Recommended,False,Non-Approved other
KBDL-CUS-028,Recommended,False,Non-Approved other
KBDL-CUS-029,Recommended,False,Non-Approved other
KBDL-CUS-030,Deferred,False,Non-Approved other
KBDL-FND-001,Approved,True,Approved prompt-derived
KBDL-FND-002,Approved,True,Approved prompt-derived
KBDL-FND-003,Approved,True,Approved prompt-derived
KBDL-FND-004,Approved,True,Approved prompt-derived
KBDL-FND-005,Approved,True,Approved prompt-derived
KBDL-FND-006,Approved,True,Approved prompt-derived
KBDL-FND-007,Approved,True,Approved prompt-derived
KBDL-FND-008,Approved,True,Approved prompt-derived
KBDL-FND-009,Approved,False,Other Approved
KBDL-FND-010,Approved,False,Other Approved
KBDL-FND-011,Approved,False,Other Approved
KBDL-FND-012,Approved,False,Other Approved
KBDL-GOV-001,Approved,True,Approved prompt-derived
KBDL-GOV-002,Approved,True,Approved prompt-derived
KBDL-GOV-003,Approved,True,Approved prompt-derived
KBDL-MOT-001,Approved,True,Approved prompt-derived
KBDL-MOT-002,Approved,True,Approved prompt-derived
KBDL-MOT-003,Approved,False,Other Approved
KBDL-MOT-004,Approved,False,Other Approved
KBDL-MOT-005,Approved,False,Other Approved
KBDL-MOT-006,Approved,False,Other Approved
KBDL-MOT-007,Approved,False,Other Approved
KBDL-MOT-008,Approved,False,Other Approved
KBDL-MOT-009,Approved,False,Other Approved
KBDL-MOT-010,Approved,False,Other Approved
KBDL-MOT-011,Approved,False,Other Approved
KBDL-MOT-012,Approved,False,Other Approved
KBDL-MOT-013,Approved,False,Other Approved
KBDL-MOT-014,Approved,True,Approved prompt-derived
KBDL-MOT-015,Approved,True,Approved prompt-derived
KBDL-MOT-016,Approved,True,Approved prompt-derived
KBDL-MOT-017,Approved,False,Other Approved
KBDL-MOT-018,Approved,True,Approved prompt-derived
KBDL-MOT-019,Approved,False,Other Approved
KBDL-MOT-020,Approved,False,Other Approved
KBDL-MOT-021,Approved,True,Approved prompt-derived
KBDL-MOT-022,Approved,False,Other Approved
KBDL-MOT-023,Approved,False,Other Approved
KBDL-MOT-024,Approved,False,Other Approved
KBDL-MOT-025,Approved,True,Approved prompt-derived
KBDL-MOT-026,Approved,False,Other Approved
KBDL-MOT-027,Approved,True,Approved prompt-derived
KBDL-MOT-028,Approved,False,Other Approved
KBDL-MOT-029,Approved,False,Other Approved
KBDL-MOT-030,Approved,False,Other Approved
KBDL-MOT-031,Approved,False,Other Approved
KBDL-MOT-032,Approved,False,Other Approved
KBDL-MOT-033,Approved,False,Other Approved
KBDL-MOT-034,Approved,False,Other Approved
KBDL-PRN-001,Approved,True,Approved prompt-derived
KBDL-PRN-002,Approved,True,Approved prompt-derived
KBDL-PRN-003,Approved,True,Approved prompt-derived
KBDL-PRN-004,Approved,True,Approved prompt-derived
KBDL-PRN-005,Approved,True,Approved prompt-derived
KBDL-PRN-006,Approved,True,Approved prompt-derived
KBDL-PRN-007,Approved,True,Approved prompt-derived
KBDL-PRN-008,Approved,True,Approved prompt-derived
KBDL-PRO-001,Approved,False,Other Approved
KBDL-PRO-002,Approved,True,Approved prompt-derived
KBDL-PRO-003,Approved,True,Approved prompt-derived
KBDL-PRO-004,Approved,True,Approved prompt-derived
KBDL-PRO-005,Approved,True,Approved prompt-derived
KBDL-PRO-006,Approved,True,Approved prompt-derived
KBDL-PRO-007,Approved,True,Approved prompt-derived
KBDL-PRO-008,Approved,True,Approved prompt-derived
KBDL-PRO-009,Recommended,False,Non-Approved other
KBDL-PRO-010,Approved,True,Approved prompt-derived
KBDL-PRO-011,Approved,True,Approved prompt-derived
KBDL-PRO-012,Approved,True,Approved prompt-derived
KBDL-PRO-013,Approved,False,Other Approved
KBDL-PRO-014,Approved,False,Other Approved
KBDL-PRO-015,Approved,False,Other Approved
KBDL-PRO-016,Recommended,False,Non-Approved other
KBDL-PRO-017,Recommended,False,Non-Approved other
KBDL-PRO-018,Recommended,False,Non-Approved other
KBDL-PRO-019,Approved,False,Other Approved
KBDL-PRO-020,Approved,False,Other Approved
KBDL-PRO-021,Approved,False,Other Approved
KBDL-PRO-022,Approved,False,Other Approved
KBDL-PRO-023,Approved,True,Approved prompt-derived
KBDL-PRO-024,Approved,True,Approved prompt-derived
KBDL-PRO-025,Approved,True,Approved prompt-derived
KBDL-PRO-026,Approved,True,Approved prompt-derived
KBDL-PRO-027,Recommended,False,Non-Approved other
KBDL-PRO-028,Recommended,False,Non-Approved other
KBDL-PRO-029,Recommended,False,Non-Approved other
KBDL-RSP-001,Approved,True,Approved prompt-derived
KBDL-RSP-002,Recommended,True,Non-Approved AR2 mapping
KBDL-RSP-003,Recommended,True,Non-Approved AR2 mapping
KBDL-RSP-004,Recommended,True,Non-Approved AR2 mapping
KBDL-RSP-005,Recommended,True,Non-Approved AR2 mapping
KBDL-RSP-006,Approved,False,Other Approved
KBDL-RSP-007,Approved,False,Other Approved
KBDL-RSP-008,Recommended,False,Non-Approved other
KBDL-RSP-009,Approved,False,Other Approved
KBDL-RSP-010,Approved,True,Approved prompt-derived
KBDL-RSP-011,Recommended,False,Non-Approved other
KBDL-RSP-012,Approved,True,Approved prompt-derived
KBDL-RSP-013,Approved,False,Other Approved
KBDL-RSP-014,Approved,True,Approved prompt-derived
KBDL-RSP-015,Approved,False,Other Approved
KBDL-RSP-016,Approved,False,Other Approved
KBDL-RSP-017,Approved,True,Approved prompt-derived
KBDL-RSP-018,Approved,False,Other Approved
KBDL-RSP-019,Approved,False,Other Approved
KBDL-RSP-020,Approved,False,Other Approved
KBDL-RSP-021,Approved,True,Approved prompt-derived
KBDL-RSP-022,Approved,True,Approved prompt-derived
KBDL-THM-001,Approved,True,Approved prompt-derived
KBDL-THM-002,Approved,True,Approved prompt-derived
KBDL-THM-003,Approved,True,Approved prompt-derived
KBDL-THM-004,Approved,True,Approved prompt-derived
KBDL-THM-005,Approved,False,Other Approved
KBDL-THM-006,Approved,True,Approved prompt-derived
KBDL-THM-007,Approved,True,Approved prompt-derived
KBDL-THM-008,Approved,True,Approved prompt-derived
KBDL-THM-009,Approved,True,Approved prompt-derived
KBDL-THM-010,Approved,False,Other Approved
KBDL-THM-011,Approved,True,Approved prompt-derived
KBDL-THM-012,Approved,True,Approved prompt-derived
KBDL-THM-012a,Approved,False,Other Approved
KBDL-THM-013,Approved,True,Approved prompt-derived
KBDL-THM-014,Approved,True,Approved prompt-derived
KBDL-THM-015,Approved,True,Approved prompt-derived
KBDL-VAL-001,Approved,True,Approved prompt-derived
KBDL-VAL-002,Approved,True,Approved prompt-derived
KBDL-VAL-003,Approved,True,Approved prompt-derived
KBDL-VAL-004,Approved,True,Approved prompt-derived
KBDL-VAL-005,Approved,True,Approved prompt-derived
KBDL-VAL-006,Approved,True,Approved prompt-derived
KBDL-VAL-007,Approved,True,Approved prompt-derived
KBDL-VAL-008,Approved,True,Approved prompt-derived
KBDL-VAL-009,Approved,True,Approved prompt-derived
KBDL-VAL-010,Approved,True,Approved prompt-derived
KBDL-VAL-011,Approved,True,Approved prompt-derived
KBDL-VAL-012,Approved,True,Approved prompt-derived
