Requirement ID,Field name,Group heading,Raw group field,Parsed grammar,Per-ID resolved value,Classification,Overriding status,Resolution result,Defect details
KBDL-GOV-002,Roadmap prompt,Accessibility baseline protection,KBDL-001,Uniform default,KBDL-001,Uniform default,Yes,PASS,None
KBDL-GOV-002,Specification location,Accessibility baseline protection,[governance.md § KBDL-GOV-002](governance.md#kbdl-gov-002--accessibility-requirements-are-protected),Broad descriptive summary,[governance.md § KBDL-GOV-002](governance.md#kbdl-gov-002--accessibility-requirements-are-protected),Non-overriding summary,No,PASS,None
KBDL-GOV-002,Lifecycle status,Accessibility baseline protection,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-002,Provenance,Accessibility baseline protection,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-002,Validation classification,Accessibility baseline protection,Not verified,Uniform status default,Not verified,Uniform default,Yes,PASS,None
KBDL-GOV-002,Authority,Accessibility baseline protection,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-002,Validation method,Accessibility baseline protection,Manual review; no automated check is applicable yet.,Broad descriptive summary,Manual review; no automated check is applicable yet.,Non-overriding summary,No,PASS,None
KBDL-GOV-002,Validation evidence,Accessibility baseline protection,Not verified — no `A11Y` requirement exists yet for this rule to be checked against.,Broad descriptive summary,Not verified — no `A11Y` requirement exists yet for this rule to be checked against.,Non-overriding summary,No,PASS,None
KBDL-GOV-002,Known limitation,Accessibility baseline protection,"Cannot be validated against a real accessibility requirement, since none exist yet.",Broad descriptive summary,"Cannot be validated against a real accessibility requirement, since none exist yet.",Non-overriding summary,No,PASS,None
KBDL-GOV-002,Packet or tracking destination,Accessibility baseline protection,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-002,Pending dependencies,Accessibility baseline protection,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-002,Related decision,Accessibility baseline protection,KBDL-DEC-010,Broad descriptive summary,KBDL-DEC-010,Non-overriding summary,No,PASS,None
KBDL-GOV-002,Notes or exclusions,Accessibility baseline protection,Rule takes effect once `A11Y` requirements exist in a later module.,Broad descriptive summary,Rule takes effect once `A11Y` requirements exist in a later module.,Non-overriding summary,No,PASS,None
KBDL-GOV-003,Blueprint section,Documentation governance process,Governance and change control,Uniform default,Governance and change control,Uniform default,Yes,PASS,None
KBDL-GOV-003,Roadmap prompt,Documentation governance process,KBDL-001,Uniform default,KBDL-001,Uniform default,Yes,PASS,None
KBDL-GOV-003,Specification location,Documentation governance process,[governance.md § KBDL-GOV-003](governance.md#kbdl-gov-003--documentation-governance-process),Broad descriptive summary,[governance.md § KBDL-GOV-003](governance.md#kbdl-gov-003--documentation-governance-process),Non-overriding summary,No,PASS,None
KBDL-GOV-003,Lifecycle status,Documentation governance process,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-003,Provenance,Documentation governance process,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-003,Validation classification,Documentation governance process,Verified,Uniform status default,Verified,Uniform default,Yes,PASS,None
KBDL-GOV-003,Authority,Documentation governance process,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-003,Validation method,Documentation governance process,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence).",Broad descriptive summary,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence).",Non-overriding summary,No,PASS,None
KBDL-GOV-003,Validation evidence,Documentation governance process,"Manual review recorded in commit `2d356b4`, corrected in the remediation commit for this status-model fix.",Broad descriptive summary,"Manual review recorded in commit `2d356b4`, corrected in the remediation commit for this status-model fix.",Non-overriding summary,No,PASS,None
KBDL-GOV-003,Known limitation,Documentation governance process,None identified.,Broad descriptive summary,None identified.,Non-overriding summary,No,PASS,None
KBDL-GOV-003,Packet or tracking destination,Documentation governance process,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-003,Pending dependencies,Documentation governance process,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-003,Related decision,Documentation governance process,Not applicable,Broad descriptive summary,Not applicable,Non-overriding summary,No,PASS,None
KBDL-GOV-003,Notes or exclusions,Documentation governance process,Establishes change control before design content exists.,Broad descriptive summary,Establishes change control before design content exists.,Non-overriding summary,No,PASS,None
KBDL-PRN-001,Blueprint section,KBDL identity statement and exclusions,"KBDL identity, personality, and explicit exclusions",Uniform default,"KBDL identity, personality, and explicit exclusions",Uniform default,Yes,PASS,None
KBDL-PRN-001,Roadmap prompt,KBDL identity statement and exclusions,KBDL-002,Uniform default,KBDL-002,Uniform default,Yes,PASS,None
KBDL-PRN-001,Specification location,KBDL identity statement and exclusions,[principles.md § 1](principles.md#1-identity-statement),Broad descriptive summary,[principles.md § 1](principles.md#1-identity-statement),Non-overriding summary,No,PASS,None
KBDL-PRN-001,Lifecycle status,KBDL identity statement and exclusions,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-001,Provenance,KBDL identity statement and exclusions,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-001,Validation classification,KBDL identity statement and exclusions,Not verified,Uniform status default,Not verified,Uniform default,Yes,PASS,None
KBDL-PRN-001,Authority,KBDL identity statement and exclusions,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-001,Validation method,KBDL identity statement and exclusions,Manual design review against Section 1 at each later module's approval gate.,Broad descriptive summary,Manual design review against Section 1 at each later module's approval gate.,Non-overriding summary,No,PASS,None
KBDL-PRN-001,Validation evidence,KBDL identity statement and exclusions,"Not verified — validation method has not yet been run against a later module, since none exist yet.",Broad descriptive summary,"Not verified — validation method has not yet been run against a later module, since none exist yet.",Non-overriding summary,No,PASS,None
KBDL-PRN-001,Known limitation,KBDL identity statement and exclusions,"Cannot be checked against real foundation, theme, or component content until those modules exist.",Broad descriptive summary,"Cannot be checked against real foundation, theme, or component content until those modules exist.",Non-overriding summary,No,PASS,None
KBDL-PRN-001,Packet or tracking destination,KBDL identity statement and exclusions,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-001,Pending dependencies,KBDL identity statement and exclusions,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-001,Related decision,KBDL identity statement and exclusions,Not applicable,Broad descriptive summary,Not applicable,Non-overriding summary,No,PASS,None
KBDL-PRN-001,Notes or exclusions,KBDL identity statement and exclusions,Establishes what KBDL is and explicitly is not.,Broad descriptive summary,Establishes what KBDL is and explicitly is not.,Non-overriding summary,No,PASS,None
KBDL-PRN-002,Blueprint section,Luxury/utility conflict resolution,Relationship between Digital Luxury and Technical Utility,Uniform default,Relationship between Digital Luxury and Technical Utility,Uniform default,Yes,PASS,None
KBDL-PRN-002,Roadmap prompt,Luxury/utility conflict resolution,KBDL-002,Uniform default,KBDL-002,Uniform default,Yes,PASS,None
KBDL-PRN-002,Specification location,Luxury/utility conflict resolution,[principles.md § 4](principles.md#4-relationship-between-luxury-and-utility),Broad descriptive summary,[principles.md § 4](principles.md#4-relationship-between-luxury-and-utility),Non-overriding summary,No,PASS,None
KBDL-PRN-002,Lifecycle status,Luxury/utility conflict resolution,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-002,Provenance,Luxury/utility conflict resolution,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-002,Validation classification,Luxury/utility conflict resolution,Not verified,Uniform status default,Not verified,Uniform default,Yes,PASS,None
KBDL-PRN-002,Authority,Luxury/utility conflict resolution,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-002,Validation method,Luxury/utility conflict resolution,Manual review of design decisions against the priority order.,Broad descriptive summary,Manual review of design decisions against the priority order.,Non-overriding summary,No,PASS,None
KBDL-PRN-002,Validation evidence,Luxury/utility conflict resolution,Not verified.,Broad descriptive summary,Not verified.,Non-overriding summary,No,PASS,None
KBDL-PRN-002,Known limitation,Luxury/utility conflict resolution,No real design decisions exist yet to test the priority order against.,Broad descriptive summary,No real design decisions exist yet to test the priority order against.,Non-overriding summary,No,PASS,None
KBDL-PRN-002,Packet or tracking destination,Luxury/utility conflict resolution,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-002,Pending dependencies,Luxury/utility conflict resolution,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-002,Related decision,Luxury/utility conflict resolution,Not applicable,Broad descriptive summary,Not applicable,Non-overriding summary,No,PASS,None
KBDL-PRN-002,Notes or exclusions,Luxury/utility conflict resolution,Includes five worked conflict examples.,Broad descriptive summary,Includes five worked conflict examples.,Non-overriding summary,No,PASS,None
KBDL-PRN-003,Blueprint section,Core principles,Core enforceable design principles,Uniform default,Core enforceable design principles,Uniform default,Yes,PASS,None
KBDL-PRN-003,Roadmap prompt,Core principles,KBDL-002,Uniform default,KBDL-002,Uniform default,Yes,PASS,None
KBDL-PRN-003,Specification location,Core principles,[principles.md § 6](principles.md#6-core-principles),Broad descriptive summary,[principles.md § 6](principles.md#6-core-principles),Non-overriding summary,No,PASS,None
KBDL-PRN-003,Lifecycle status,Core principles,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-003,Provenance,Core principles,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-003,Validation classification,Core principles,Not verified,Uniform status default,Not verified,Uniform default,Yes,PASS,None
KBDL-PRN-003,Authority,Core principles,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-003,Validation method,Core principles,"Manual review confirming all nine principles include every required field (normative statement, purpose, required/prohibited behavior, profile interpretation, accessibility/responsive/motion implications, review questions) and that the nine required concepts (clarity before spectacle, precision, comprehension, hierarchy, controlled expression, consistency, adaptability, accessibility by default, performance) are all present.",Broad descriptive summary,"Manual review confirming all nine principles include every required field (normative statement, purpose, required/prohibited behavior, profile interpretation, accessibility/responsive/motion implications, review questions) and that the nine required concepts (clarity before spectacle, precision, comprehension, hierarchy, controlled expression, consistency, adaptability, accessibility by default, performance) are all present.",Non-overriding summary,No,PASS,None
KBDL-PRN-003,Validation evidence,Core principles,Not verified — the requirement's later-module approval-gate method has not been executed completely.,Broad descriptive summary,Not verified — the requirement's later-module approval-gate method has not been executed completely.,Non-overriding summary,No,PASS,None
KBDL-PRN-003,Known limitation,Core principles,Complete evidence across every later module is unavailable.,Broad descriptive summary,Complete evidence across every later module is unavailable.,Non-overriding summary,No,PASS,None
KBDL-PRN-003,Packet or tracking destination,Core principles,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-003,Pending dependencies,Core principles,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-003,Related decision,Core principles,Not applicable,Broad descriptive summary,Not applicable,Non-overriding summary,No,PASS,None
KBDL-PRN-003,Notes or exclusions,Core principles,Nine principles defined (blueprint required six to nine).,Broad descriptive summary,Nine principles defined (blueprint required six to nine).,Non-overriding summary,No,PASS,None
KBDL-PRN-004,Blueprint section,Visual-consistency relationships,Cross-project visual consistency,Uniform default,Cross-project visual consistency,Uniform default,Yes,PASS,None
KBDL-PRN-004,Roadmap prompt,Visual-consistency relationships,KBDL-002,Uniform default,KBDL-002,Uniform default,Yes,PASS,None
KBDL-PRN-004,Specification location,Visual-consistency relationships,[principles.md § 7](principles.md#7-visual-consistency),Broad descriptive summary,[principles.md § 7](principles.md#7-visual-consistency),Non-overriding summary,No,PASS,None
KBDL-PRN-004,Lifecycle status,Visual-consistency relationships,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-004,Provenance,Visual-consistency relationships,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-004,Validation classification,Visual-consistency relationships,Not verified,Uniform status default,Not verified,Uniform default,Yes,PASS,None
KBDL-PRN-004,Authority,Visual-consistency relationships,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-004,Validation method,Visual-consistency relationships,"Manual cross-reference review once foundation, theme, and responsive modules are approved.",Broad descriptive summary,"Manual cross-reference review once foundation, theme, and responsive modules are approved.",Non-overriding summary,No,PASS,None
KBDL-PRN-004,Validation evidence,Visual-consistency relationships,Not verified — dependent modules do not exist yet.,Broad descriptive summary,Not verified — dependent modules do not exist yet.,Non-overriding summary,No,PASS,None
KBDL-PRN-004,Known limitation,Visual-consistency relationships,"Cannot be fully validated until `FND`, `THM`, and `RSP` requirements exist.",Broad descriptive summary,"Cannot be fully validated until `FND`, `THM`, and `RSP` requirements exist.",Non-overriding summary,No,PASS,None
KBDL-PRN-004,Packet or tracking destination,Visual-consistency relationships,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-004,Pending dependencies,Visual-consistency relationships,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-004,Related decision,Visual-consistency relationships,KBDL-DEC-003,Broad descriptive summary,KBDL-DEC-003,Non-overriding summary,No,PASS,None
KBDL-PRN-004,Notes or exclusions,Visual-consistency relationships,Defines relationships only; no final values.,Broad descriptive summary,Defines relationships only; no final values.,Non-overriding summary,No,PASS,None
KBDL-PRN-005,Blueprint section,"Locked, controlled, and open identity model",Stable and variable identity elements,Uniform default,Stable and variable identity elements,Uniform default,Yes,PASS,None
KBDL-PRN-005,Roadmap prompt,"Locked, controlled, and open identity model",KBDL-002,Uniform default,KBDL-002,Uniform default,Yes,PASS,None
KBDL-PRN-005,Specification location,"Locked, controlled, and open identity model",[principles.md § 5](principles.md#5-stable-and-variable-identity-elements),Broad descriptive summary,[principles.md § 5](principles.md#5-stable-and-variable-identity-elements),Non-overriding summary,No,PASS,None
KBDL-PRN-005,Lifecycle status,"Locked, controlled, and open identity model",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-005,Provenance,"Locked, controlled, and open identity model",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-005,Validation classification,"Locked, controlled, and open identity model",Not verified,Uniform status default,Not verified,Uniform default,Yes,PASS,None
KBDL-PRN-005,Authority,"Locked, controlled, and open identity model",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-005,Validation method,"Locked, controlled, and open identity model","Manual review confirming all three categories (locked, controlled, open) address every element listed in this prompt's scope, and that no final ranges or values were introduced.",Broad descriptive summary,"Manual review confirming all three categories (locked, controlled, open) address every element listed in this prompt's scope, and that no final ranges or values were introduced.",Non-overriding summary,No,PASS,None
KBDL-PRN-005,Validation evidence,"Locked, controlled, and open identity model",Not verified — the requirement's full later-module and implementation review has not been executed.,Broad descriptive summary,Not verified — the requirement's full later-module and implementation review has not been executed.,Non-overriding summary,No,PASS,None
KBDL-PRN-005,Known limitation,"Locked, controlled, and open identity model",Controlled-variable ranges are intentionally undefined pending later modules.,Broad descriptive summary,Controlled-variable ranges are intentionally undefined pending later modules.,Non-overriding summary,No,PASS,None
KBDL-PRN-005,Packet or tracking destination,"Locked, controlled, and open identity model",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-005,Pending dependencies,"Locked, controlled, and open identity model",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-005,Related decision,"Locked, controlled, and open identity model",Not applicable,Broad descriptive summary,Not applicable,Non-overriding summary,No,PASS,None
KBDL-PRN-005,Notes or exclusions,"Locked, controlled, and open identity model",Ties directly to [governance.md § Exception process](governance.md#exception-process).,Broad descriptive summary,Ties directly to [governance.md § Exception process](governance.md#exception-process).,Non-overriding summary,No,PASS,None
KBDL-PRN-006,Blueprint section,Design-decision hierarchy,Design-decision hierarchy and conflict handling,Uniform default,Design-decision hierarchy and conflict handling,Uniform default,Yes,PASS,None
KBDL-PRN-006,Roadmap prompt,Design-decision hierarchy,KBDL-002,Uniform default,KBDL-002,Uniform default,Yes,PASS,None
KBDL-PRN-006,Specification location,Design-decision hierarchy,[principles.md § 8](principles.md#8-design-decision-hierarchy),Broad descriptive summary,[principles.md § 8](principles.md#8-design-decision-hierarchy),Non-overriding summary,No,PASS,None
KBDL-PRN-006,Lifecycle status,Design-decision hierarchy,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-006,Provenance,Design-decision hierarchy,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-006,Validation classification,Design-decision hierarchy,Not verified,Uniform status default,Not verified,Uniform default,Yes,PASS,None
KBDL-PRN-006,Authority,Design-decision hierarchy,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-006,Validation method,Design-decision hierarchy,Manual review of decision records against the hierarchy; conflicts escalated per governance's conflict-resolution process.,Broad descriptive summary,Manual review of decision records against the hierarchy; conflicts escalated per governance's conflict-resolution process.,Non-overriding summary,No,PASS,None
KBDL-PRN-006,Validation evidence,Design-decision hierarchy,Not verified — no real design decision has been escalated through this hierarchy yet.,Broad descriptive summary,Not verified — no real design decision has been escalated through this hierarchy yet.,Non-overriding summary,No,PASS,None
KBDL-PRN-006,Known limitation,Design-decision hierarchy,None identified.,Broad descriptive summary,None identified.,Non-overriding summary,No,PASS,None
KBDL-PRN-006,Packet or tracking destination,Design-decision hierarchy,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-006,Pending dependencies,Design-decision hierarchy,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-006,Related decision,Design-decision hierarchy,Not applicable,Broad descriptive summary,Not applicable,Non-overriding summary,No,PASS,None
KBDL-PRN-006,Notes or exclusions,Design-decision hierarchy,Aligns with [governance.md § Conflict-resolution process](governance.md#conflict-resolution-process).,Broad descriptive summary,Aligns with [governance.md § Conflict-resolution process](governance.md#conflict-resolution-process).,Non-overriding summary,No,PASS,None
KBDL-PRN-007,Blueprint section,"Profile-level interpretation (Showcase, Precision, Flow)",Profile-level interpretation of shared principles,Uniform default,Profile-level interpretation of shared principles,Uniform default,Yes,PASS,None
KBDL-PRN-007,Roadmap prompt,"Profile-level interpretation (Showcase, Precision, Flow)",KBDL-002,Uniform default,KBDL-002,Uniform default,Yes,PASS,None
KBDL-PRN-007,Specification location,"Profile-level interpretation (Showcase, Precision, Flow)",[principles.md § 9](principles.md#9-profile-level-interpretation),Broad descriptive summary,[principles.md § 9](principles.md#9-profile-level-interpretation),Non-overriding summary,No,PASS,None
KBDL-PRN-007,Lifecycle status,"Profile-level interpretation (Showcase, Precision, Flow)",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-007,Provenance,"Profile-level interpretation (Showcase, Precision, Flow)",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-007,Validation classification,"Profile-level interpretation (Showcase, Precision, Flow)",Not verified,Uniform status default,Not verified,Uniform default,Yes,PASS,None
KBDL-PRN-007,Authority,"Profile-level interpretation (Showcase, Precision, Flow)",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-007,Validation method,"Profile-level interpretation (Showcase, Precision, Flow)",Manual cross-profile consistency review once the project-profiles module is approved.,Broad descriptive summary,Manual cross-profile consistency review once the project-profiles module is approved.,Non-overriding summary,No,PASS,None
KBDL-PRN-007,Validation evidence,"Profile-level interpretation (Showcase, Precision, Flow)",Not verified — the project-profiles module (`PRO`) does not exist yet.,Broad descriptive summary,Not verified — the project-profiles module (`PRO`) does not exist yet.,Non-overriding summary,No,PASS,None
KBDL-PRN-007,Known limitation,"Profile-level interpretation (Showcase, Precision, Flow)",Cannot be fully validated until `PRO` requirements exist.,Broad descriptive summary,Cannot be fully validated until `PRO` requirements exist.,Non-overriding summary,No,PASS,None
KBDL-PRN-007,Packet or tracking destination,"Profile-level interpretation (Showcase, Precision, Flow)",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-007,Pending dependencies,"Profile-level interpretation (Showcase, Precision, Flow)",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-007,Related decision,"Profile-level interpretation (Showcase, Precision, Flow)",KBDL-DEC-006,Broad descriptive summary,KBDL-DEC-006,Non-overriding summary,No,PASS,None
KBDL-PRN-007,Notes or exclusions,"Profile-level interpretation (Showcase, Precision, Flow)","Confirms Showcase, Precision, and Flow share all locked rules and principles.",Broad descriptive summary,"Confirms Showcase, Precision, and Flow share all locked rules and principles.",Non-overriding summary,No,PASS,None
KBDL-PRN-008,Blueprint section,Conforming and non-conforming design directions,Conceptual examples distinguishing conformance from non-conformance,Uniform default,Conceptual examples distinguishing conformance from non-conformance,Uniform default,Yes,PASS,None
KBDL-PRN-008,Roadmap prompt,Conforming and non-conforming design directions,KBDL-002,Uniform default,KBDL-002,Uniform default,Yes,PASS,None
KBDL-PRN-008,Specification location,Conforming and non-conforming design directions,"[principles.md § 10](principles.md#10-conforming-design-directions), [principles.md § 11](principles.md#11-non-conforming-design-directions)",Broad descriptive summary,"[principles.md § 10](principles.md#10-conforming-design-directions), [principles.md § 11](principles.md#11-non-conforming-design-directions)",Non-overriding summary,No,PASS,None
KBDL-PRN-008,Lifecycle status,Conforming and non-conforming design directions,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-008,Provenance,Conforming and non-conforming design directions,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-008,Validation classification,Conforming and non-conforming design directions,Not verified,Uniform status default,Not verified,Uniform default,Yes,PASS,None
KBDL-PRN-008,Authority,Conforming and non-conforming design directions,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-008,Validation method,Conforming and non-conforming design directions,"Manual count and coverage review confirming at least six conforming examples spanning all three profiles, both themes, an expressive moment, a repeated workflow, and a mobile context; and at least eight non-conforming patterns each with reason, broken principle, risk, and correction.",Broad descriptive summary,"Manual count and coverage review confirming at least six conforming examples spanning all three profiles, both themes, an expressive moment, a repeated workflow, and a mobile context; and at least eight non-conforming patterns each with reason, broken principle, risk, and correction.",Non-overriding summary,No,PASS,None
KBDL-PRN-008,Validation evidence,Conforming and non-conforming design directions,Not verified — example-count evidence does not execute the requirement's later-module conformance-review method.,Broad descriptive summary,Not verified — example-count evidence does not execute the requirement's later-module conformance-review method.,Non-overriding summary,No,PASS,None
KBDL-PRN-008,Known limitation,Conforming and non-conforming design directions,Examples are conceptual; no mockups or token values exist to check them against yet.,Broad descriptive summary,Examples are conceptual; no mockups or token values exist to check them against yet.,Non-overriding summary,No,PASS,None
KBDL-PRN-008,Packet or tracking destination,Conforming and non-conforming design directions,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-008,Pending dependencies,Conforming and non-conforming design directions,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-PRN-008,Related decision,Conforming and non-conforming design directions,Not applicable,Broad descriptive summary,Not applicable,Non-overriding summary,No,PASS,None
KBDL-PRN-008,Notes or exclusions,Conforming and non-conforming design directions,Sixteen non-conforming patterns exceed the required minimum of eight.,Broad descriptive summary,Sixteen non-conforming patterns exceed the required minimum of eight.,Non-overriding summary,No,PASS,None
KBDL-FND-001,Blueprint section,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Color architecture — semantic roles and color- only-meaning prohibition,Uniform default,Color architecture — semantic roles and color- only-meaning prohibition,Uniform default,Yes,PASS,None
KBDL-FND-002,Blueprint section,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",Color architecture — semantic roles and color- only-meaning prohibition,Uniform default,Color architecture — semantic roles and color- only-meaning prohibition,Uniform default,Yes,PASS,None
KBDL-FND-001,Roadmap prompt,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",KBDL-003,Uniform default,KBDL-003,Uniform default,Yes,PASS,None
KBDL-FND-002,Roadmap prompt,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",KBDL-003,Uniform default,KBDL-003,Uniform default,Yes,PASS,None
KBDL-FND-001,Specification location,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",[foundations/color.md §1–§2](foundations/color.md#1-architectural-principles-approved),Broad descriptive summary,[foundations/color.md §1–§2](foundations/color.md#1-architectural-principles-approved),Non-overriding summary,No,PASS,None
KBDL-FND-002,Specification location,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",[foundations/color.md §1–§2](foundations/color.md#1-architectural-principles-approved),Broad descriptive summary,[foundations/color.md §1–§2](foundations/color.md#1-architectural-principles-approved),Non-overriding summary,No,PASS,None
KBDL-FND-001,Lifecycle status,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-FND-002,Lifecycle status,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-FND-001,Provenance,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-FND-002,Provenance,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",MISSING,Missing,MISSING,Missing,No,PASS,None
