Requirement ID,Validation method,Validation evidence,Known limitation,Method/evidence conflict,Limitation conflict
KBDL-A11Y-011,Manual forced-colors testing once implemented; project-owner review (not yet performed),Not verified — no implementation exists yet,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,False,False
KBDL-A11Y-012,Manual zoom testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-013,Manual reflow testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-014,Manual text-spacing override testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-015,Manual orientation testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-016,Manual keyboard testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-017,Manual keyboard testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-018,Manual keyboard testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-019,Not applicable (umbrella section),themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-020,Manual measurement once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-021,Project-owner review (not yet performed),Not verified — no implementation exists yet,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,False,False
KBDL-A11Y-022,Manual testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-023,Manual testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-024,Manual testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-025,Cross-reference only; see KBDL-MOT-022's own validation method,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-026,Flash-analysis testing once implemented (exact threshold measurement is implementation-dependent and deferred until an implementation exists),themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-027,Manual testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-028,Manual + automated static check once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-029,Manual testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-030,Manual testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-031,Manual screen-reader testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-032,Manual testing once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-033,Manual review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-034,Manual review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-035,Project-owner review (not yet performed),Not verified — no implementation exists yet,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,False,False
KBDL-A11Y-036,Not applicable (cross-reference section),themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-037,Automated static check + manual review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-038,Not applicable (cross-reference section),themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-039,Not applicable (cross-reference section),themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-040,Manual cross-profile review once the project-profiles module is approved,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-CMP-001,Manual completeness review per component,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-002,Manual + automated static accessibility check once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-003,Manual + automated static accessibility check once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-004,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-005,"Manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-006,Manual keyboard-focus review once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-007,Manual keyboard testing once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-008,Manual pointer/touch testing once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-009,Manual reflow/zoom testing once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-010,Manual measurement once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-011,Manual theme-role mapping review once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-012,Manual foundation-mapping review once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-013,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-014,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-015,Project-owner review (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-016,Manual + automated static accessibility check once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-017,Project-owner review (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-018,Manual ARIA review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-019,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-020,Project-owner review (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-021,Manual keyboard review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-022,Manual + automated static check once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-023,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-024,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-025,Project-owner review (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-026,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-027,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-028,Manual ARIA/keyboard review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-029,Project-owner review (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-030,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-031,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-032,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-033,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-034,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-035,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-036,Project-owner review (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-037,Manual review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-038,Manual keyboard testing once implemented,Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-039,Manual review once implemented,Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-040,Manual review once implemented,Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-041,Project-owner review (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-042,Manual review once implemented,Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-043,Manual review once implemented,Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-044,Project-owner review (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-045,Manual keyboard/ARIA review once implemented,Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-046,Project-owner review (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-047,Manual review once implemented,Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-048,Project-owner review (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-049,Manual review once implemented,Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-050,Manual composition review once implemented,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-051,Manual cross-profile review once the project-profiles module is approved,Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-052,"Manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-053,Manual native-structure review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-054,"Manual semantic-structure review once implemented. ### 9.2 Panel A section-level grouping surface with an optional heading and description. Uses region semantics only when it is a significant, independently navigable section (per KBDL-CMP-054); otherwise remains neutral. Internal actions follow the KBDL-007 button/link contract unchanged. Composes with loading/empty/error states ([§15](#15-system-state-architecture)). Differs from Container Surface by optionally carrying section-level identity; differs from Dialog by never requiring modality or focus containment; differs from Card by never functioning as a summary/preview unit. ### 9.3 Card A summary or preview surface with heading/content hierarchy, an optional media relationship, and optional actions or a whole-card link",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-055,"Manual DOM-structure and keyboard review once implemented. A card's selected or current state must not be communicated by color alone, per KBDL-CMP-004's already-Approved state-clarity rule, applied here without change. The exact card-variant taxonomy (media- forward, text-only, action-forward, and similar) is new KBDL-008 policy:",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-056,"Manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-057,Manual keyboard-trap review once implemented,Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-058,Manual focus-restoration review once implemented,Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-059,Manual content-persistence review once implemented,Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-060,Manual reduced/no-motion parity review once implemented,Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-061,"Manual color-independence review once implemented. Feedback components are further distinguished by persistence (transient versus persistent), interruption level, and recovery-action relationship, documented per component below",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-062,Manual role-use review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-063,Manual claim-accuracy review once implemented,Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-064,Manual content review once implemented,Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-065,Manual accessible-name review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-066,Manual cross-profile consistency review once implemented,Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-067,"Project-owner review (not yet performed). ### 9.4 Accordion Surface Preserves the KBDL-007 disclosure-trigger contract (KBDL-CMP-021-adjacent trigger semantics) unchanged. An accordion item pairs one disclosure trigger with one panel, associated via aria-controls/aria-labelledby per the adopted ARIA disclosure pattern",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-068,Manual ARIA-relationship review once implemented. Whether an accordion permits multiple simultaneously open panels or restricts to one is new policy:,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-069,Project-owner review (not yet performed). ### 9.5 Static Data Table,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-070,"Manual semantic-structure review once implemented. Responsive behavior for wide tables (horizontal scroll, reflow, or an alternate presentation such as a card transformation) is addressed in [§33](#33-kbdl-008-decision-packet) item 17. This document does not silently adopt the unapproved KBDL-RSP-011 data-dense transformation strategy as authority; RSP-011 is cited only as related, unapproved context (see [§35](#35-kbdl-006-approval-boundary-audit))",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-071,Manual focus-containment review once implemented,Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-072,"Manual hover/focus and accessible-name review once implemented. A tooltip containing controls must instead use Popover ([§11.2](#112-popover-or-non-modal-dialog)) or Menu ([§11.3](#113-menu-surface)) semantics, never a tooltip role",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-073,"Project-owner review (not yet performed). ### 11.2 Popover or Non-Modal Dialog Supplemental interactive content anchored to a trigger, non-modal: focus is not contained, Tab moves normally between the popover and the rest of the page, Escape closes it and returns focus to the trigger, and an outside pointer interaction closes it by default. Differs from Tooltip (interactive content permitted), Menu (arbitrary interactive content rather than a fixed command/choice list), and Modal Dialog (no focus containment)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-074,Project-owner review (not yet performed). ### 11.3 Menu Surface Preserves the KBDL-007 menu-button trigger contract (KBDL-CMP-021-adjacent) unchanged,Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-075,"Manual ARIA-relationship review once implemented. Menu semantics are used only for menu-like command or choice behavior, never merely for visual dropdown navigation when ordinary links and lists provide correct semantics. The exact interaction model (type- ahead, submenu behavior, closing specifics) is new policy:",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-076,"Project-owner review (not yet performed). ### 11.4 Listbox Popup Preserves the KBDL-007 combobox input, value, and active-option relationship unchanged",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-077,Manual ARIA-relationship review once implemented. ### 11.5 Dialog A viewport-level or anchored surface with an accessible name (via aria-labelledby) and optional description (via aria-describedby),Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-078,Manual accessible-name and keyboard review once implemented. ### 11.6 Modal Dialog,Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-079,"Manual modality-compliance review once implemented. Exact modal sizing, placement, and nested-modal policy are new decisions:",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-080,Project-owner review (not yet performed). ### 11.7 Alert Dialog,Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-081,"Manual role-use review once implemented. An alert dialog for a destructive action favors presenting the least- destructive action as the visually primary choice, consistent with KBDL-007's existing consequential-action requirement (components-core.md §23); this document does not silently approve the KBDL-007 button-hierarchy recommendation (KBDL-CMP-015) or form- action-row ordering (KBDL-CMP-036) as authority for the alert dialog's action area. ### 11.8 Drawer and Sheet",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-082,"Manual scope-compliance review (performed, see implementation report). The general drawer/sheet taxonomy and default modality (edge-attached placement, modal versus non-modal variants) is new policy, independent of any exact navigation-collapse threshold:",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-083,Project-owner review (not yet performed). This item's approval would not approve any navigation-collapse threshold; a drawer used for collapsed navigation remains bound by KBDL-CMP-041's existing contingent status (KBDL-007),Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-084,"Manual nested-focus review once implemented. The maximum number of simultaneously open overlays, and whether more than one modal may ever be open at once beyond the one-at-a-time default implied by KBDL-CMP-080, is new policy:",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-085,"Project-owner review (not yet performed). This document does not approve exact layer numbers, an exact z-index scale, an unlimited nesting model, or a specific portal strategy (see [§40](#40-deferred-and-unresolved-items))",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-086,Manual live-region role review once implemented,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-087,Manual review once implemented. ### 14.2 Alert,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-088,"Manual role-use review once implemented. ### 14.3 Banner A page- or section-level message with a heading, severity meaning, and actions. The exact severity taxonomy and visual variant set are new policy:",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-089,Project-owner review (not yet performed). ### 14.4 Toast or Snackbar,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-090,"Manual content-classification review once implemented. Exact auto-dismiss timing, queue size, and stacking/placement are new policy:",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-091,Project-owner review (not yet performed). ### 14.5 Status Region and Log,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-092,Manual live-region review once implemented. ### 14.6 Badge or Count Indicator,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-093,Manual accessible-text review once implemented. ### 14.7 Progress Indicator,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-094,Manual role/value review once implemented. ### 14.8 Meter,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-095,Manual role/value review once implemented. ### 14.9 Skeleton,Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-096,"Manual accessibility-tree review once implemented. Exact shimmer, pulse, timing, and density values remain unapproved (see [§40](#40-deferred-and-unresolved-items))",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-097,"Manual review once implemented. System states are distinguished at component, section, page, and application level; see [§16](#16-required-system-state-components) for each required state's cause, recovery behavior, and difference from adjacent states",Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-098,"Manual review once implemented. ### 16.2 Empty State Genuine absence of content, distinct from a first-use state, a user- cleared state, and a permission-limited state. The exact empty-state taxonomy, illustration policy, and action hierarchy are new policy, and this state is explicitly distinguished from No-Results below:",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-099,Project-owner review (not yet performed). ### 16.3 No-Results State,Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-100,Manual data-preservation review once implemented. ### 16.4 Error State,Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-101,"Manual review once implemented. The exact severity taxonomy for error and broader system-state recovery (a hierarchy distinguishing maintenance, temporary unavailability, and degraded service) is new policy:",Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
