Requirement ID,Exact location,Derivation,Targets,Invalid targets,Match
KBDL-A11Y-034,accessibility.md#38-consistent-navigation-identification-and-help,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#38-consistent-navigation-identification-and-help,None,True
KBDL-A11Y-035,accessibility.md#39-screen-reader-behavior; accessibility.md#49-accessibility-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#39-screen-reader-behavior; accessibility.md#49-accessibility-decision-packet,None,True
KBDL-A11Y-036,accessibility.md#40-media-and-animation-controls,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#40-media-and-animation-controls,None,True
KBDL-A11Y-037,accessibility.md#41-accessible-data-presentation,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#41-accessible-data-presentation,None,True
KBDL-A11Y-038,accessibility.md#42-mobile-accessibility,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#42-mobile-accessibility,None,True
KBDL-A11Y-039,accessibility.md#43-virtual-keyboard-accessibility,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#43-virtual-keyboard-accessibility,None,True
KBDL-A11Y-040,accessibility.md#44-profile-interpretation,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#44-profile-interpretation,None,True
KBDL-CMP-001,components-core.md#6-shared-component-contract; components-core.md#7-component-anatomy-model,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#6-shared-component-contract; components-core.md#7-component-anatomy-model,None,True
KBDL-CMP-002,components-core.md#5-native-semantics-first-rule,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#5-native-semantics-first-rule,None,True
KBDL-CMP-003,components-core.md#10-accessible-naming-and-description,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#10-accessible-naming-and-description,None,True
KBDL-CMP-004,components-core.md#8-component-state-model; components-core.md#9-interaction-state-priority,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#8-component-state-model; components-core.md#9-interaction-state-priority,None,True
KBDL-CMP-005,components-core.md#11-kbdl-008-scope-boundary,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#11-kbdl-008-scope-boundary,None,True
KBDL-CMP-006,components-core.md#12-focus-behavior,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#12-focus-behavior,None,True
KBDL-CMP-007,components-core.md#13-keyboard-interaction,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#13-keyboard-interaction,None,True
KBDL-CMP-008,components-core.md#14-pointer-and-touch-interaction,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#14-pointer-and-touch-interaction,None,True
KBDL-CMP-009,components-core.md#15-responsive-behavior,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#15-responsive-behavior,None,True
KBDL-CMP-010,components-core.md#16-target-size-handling,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#16-target-size-handling,None,True
KBDL-CMP-011,components-core.md#17-theme-and-contrast-behavior,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#17-theme-and-contrast-behavior,None,True
KBDL-CMP-012,components-core.md#18-foundation-behavior,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#18-foundation-behavior,None,True
KBDL-CMP-013,components-core.md#19-motion-behavior,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#19-motion-behavior,None,True
KBDL-CMP-014,components-core.md#201-button,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#201-button,None,True
KBDL-CMP-015,components-core.md#201-button; components-core.md#35-kbdl-007-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#201-button; components-core.md#35-kbdl-007-decision-packet,None,True
KBDL-CMP-016,components-core.md#202-icon-button,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#202-icon-button,None,True
KBDL-CMP-017,components-core.md#202-icon-button,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#202-icon-button,None,True
KBDL-CMP-018,components-core.md#203-toggle-button,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#203-toggle-button,None,True
KBDL-CMP-019,components-core.md#204-link,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#204-link,None,True
KBDL-CMP-020,components-core.md#205-button-group; components-core.md#35-kbdl-007-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#205-button-group; components-core.md#35-kbdl-007-decision-packet,None,True
KBDL-CMP-021,components-core.md#206-disclosure-and-menu-triggers,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#206-disclosure-and-menu-triggers,None,True
KBDL-CMP-022,components-core.md#21-form-architecture,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#21-form-architecture,None,True
KBDL-CMP-023,components-core.md#221-text-input,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#221-text-input,None,True
KBDL-CMP-024,components-core.md#222-password-input,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#222-password-input,None,True
KBDL-CMP-025,components-core.md#223-search-field,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#223-search-field,None,True
KBDL-CMP-026,components-core.md#224-textarea,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#224-textarea,None,True
KBDL-CMP-027,components-core.md#225-select,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#225-select,None,True
KBDL-CMP-028,components-core.md#226-combobox-boundary,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#226-combobox-boundary,None,True
KBDL-CMP-029,components-core.md#226-combobox-boundary,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#226-combobox-boundary,None,True
KBDL-CMP-030,components-core.md#227-checkbox,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#227-checkbox,None,True
KBDL-CMP-031,components-core.md#228-radio-group,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#228-radio-group,None,True
KBDL-CMP-032,components-core.md#229-switch,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#229-switch,None,True
KBDL-CMP-033,components-core.md#2210-file-input,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#2210-file-input,None,True
KBDL-CMP-034,components-core.md#2211-field-group,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#2211-field-group,None,True
KBDL-CMP-035,components-core.md#2212-form-action-row,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#2212-form-action-row,None,True
KBDL-CMP-036,components-core.md#2212-form-action-row,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#2212-form-action-row,None,True
KBDL-CMP-037,components-core.md#23-form-validation-and-recovery,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#23-form-validation-and-recovery,None,True
KBDL-CMP-038,components-core.md#241-skip-link,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#241-skip-link,None,True
KBDL-CMP-039,components-core.md#242-navigation-link-and-list,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#242-navigation-link-and-list,None,True
KBDL-CMP-040,components-core.md#243-primary-or-global-navigation,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#243-primary-or-global-navigation,None,True
KBDL-CMP-041,components-core.md#243-primary-or-global-navigation,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#243-primary-or-global-navigation,None,True
KBDL-CMP-042,components-core.md#244-local-or-section-navigation,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#244-local-or-section-navigation,None,True
KBDL-CMP-043,components-core.md#245-breadcrumb,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#245-breadcrumb,None,True
KBDL-CMP-044,components-core.md#245-breadcrumb,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#245-breadcrumb,None,True
KBDL-CMP-045,components-core.md#246-tabs,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#246-tabs,None,True
KBDL-CMP-046,components-core.md#246-tabs,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#246-tabs,None,True
KBDL-CMP-047,components-core.md#247-pagination,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#247-pagination,None,True
KBDL-CMP-048,components-core.md#247-pagination,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#247-pagination,None,True
KBDL-CMP-049,components-core.md#248-back-link,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#248-back-link,None,True
KBDL-CMP-050,components-core.md#25-cross-component-composition-rules,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#25-cross-component-composition-rules,None,True
KBDL-CMP-051,components-core.md#26-profile-compatibility,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-core.md#26-profile-compatibility,None,True
KBDL-CMP-052,components-system.md#5-kbdl-007-ownership-boundary,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#5-kbdl-007-ownership-boundary,None,True
KBDL-CMP-053,components-system.md#8-surface-architecture,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#8-surface-architecture,None,True
KBDL-CMP-054,components-system.md#91-container-surface; components-system.md#92-panel,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#91-container-surface; components-system.md#92-panel,None,True
KBDL-CMP-055,components-system.md#93-card,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#93-card,None,True
KBDL-CMP-056,components-system.md#10-overlay-architecture,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#10-overlay-architecture,None,True
KBDL-CMP-057,components-system.md#10-overlay-architecture; components-system.md#112-popover-or-non-modal-dialog,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#10-overlay-architecture; components-system.md#112-popover-or-non-modal-dialog,None,True
KBDL-CMP-058,components-system.md#10-overlay-architecture; components-system.md#20-focus-and-modality,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#10-overlay-architecture; components-system.md#20-focus-and-modality,None,True
KBDL-CMP-059,components-system.md#10-overlay-architecture; components-system.md#21-dismissal-and-persistence,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#10-overlay-architecture; components-system.md#21-dismissal-and-persistence,None,True
KBDL-CMP-060,components-system.md#10-overlay-architecture; components-system.md#31-theme-and-motion-validation-matrix,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#10-overlay-architecture; components-system.md#31-theme-and-motion-validation-matrix,None,True
KBDL-CMP-061,components-system.md#13-feedback-architecture; components-system.md#15-system-state-architecture,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#13-feedback-architecture; components-system.md#15-system-state-architecture,None,True
KBDL-CMP-062,components-system.md#8-surface-architecture; components-system.md#17-complex-presentation-architecture,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#8-surface-architecture; components-system.md#17-complex-presentation-architecture,None,True
KBDL-CMP-063,components-system.md#23-security-and-privacy,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#23-security-and-privacy,None,True
KBDL-CMP-064,components-system.md#23-security-and-privacy,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#23-security-and-privacy,None,True
KBDL-CMP-065,components-system.md#7-extended-system-component-contract,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#7-extended-system-component-contract,None,True
KBDL-CMP-066,components-system.md#24-cross-component-composition-and-profile-compatibility,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#24-cross-component-composition-and-profile-compatibility,None,True
KBDL-CMP-067,components-system.md#93-card; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#93-card; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-068,components-system.md#94-accordion-surface,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#94-accordion-surface,None,True
KBDL-CMP-069,components-system.md#94-accordion-surface; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#94-accordion-surface; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-070,components-system.md#95-static-data-table; components-system.md#181-interactive-grid,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#95-static-data-table; components-system.md#181-interactive-grid,None,True
KBDL-CMP-071,components-system.md#10-overlay-architecture; components-system.md#115-dialog; components-system.md#116-modal-dialog,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#10-overlay-architecture; components-system.md#115-dialog; components-system.md#116-modal-dialog,None,True
KBDL-CMP-072,components-system.md#111-tooltip,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#111-tooltip,None,True
KBDL-CMP-073,components-system.md#111-tooltip; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#111-tooltip; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-074,components-system.md#112-popover-or-non-modal-dialog; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#112-popover-or-non-modal-dialog; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-075,components-system.md#113-menu-surface,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#113-menu-surface,None,True
KBDL-CMP-076,components-system.md#113-menu-surface; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#113-menu-surface; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-077,components-system.md#114-listbox-popup,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#114-listbox-popup,None,True
KBDL-CMP-078,components-system.md#115-dialog,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#115-dialog,None,True
KBDL-CMP-079,components-system.md#116-modal-dialog,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#116-modal-dialog,None,True
KBDL-CMP-080,components-system.md#116-modal-dialog; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#116-modal-dialog; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-081,components-system.md#117-alert-dialog,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#117-alert-dialog,None,True
KBDL-CMP-082,components-system.md#118-drawer-and-sheet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#118-drawer-and-sheet,None,True
KBDL-CMP-083,components-system.md#118-drawer-and-sheet; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#118-drawer-and-sheet; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-084,components-system.md#12-overlay-layering-and-nesting,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#12-overlay-layering-and-nesting,None,True
KBDL-CMP-085,components-system.md#12-overlay-layering-and-nesting; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#12-overlay-layering-and-nesting; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-086,components-system.md#13-feedback-architecture,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#13-feedback-architecture,None,True
KBDL-CMP-087,components-system.md#141-inline-feedback,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#141-inline-feedback,None,True
KBDL-CMP-088,components-system.md#142-alert,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#142-alert,None,True
KBDL-CMP-089,components-system.md#143-banner; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#143-banner; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-090,components-system.md#144-toast-or-snackbar,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#144-toast-or-snackbar,None,True
KBDL-CMP-091,components-system.md#144-toast-or-snackbar; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#144-toast-or-snackbar; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-092,components-system.md#145-status-region-and-log,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#145-status-region-and-log,None,True
KBDL-CMP-093,components-system.md#146-badge-or-count-indicator,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#146-badge-or-count-indicator,None,True
KBDL-CMP-094,components-system.md#147-progress-indicator,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#147-progress-indicator,None,True
KBDL-CMP-095,components-system.md#148-meter,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#148-meter,None,True
KBDL-CMP-096,components-system.md#149-skeleton,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#149-skeleton,None,True
KBDL-CMP-097,components-system.md#15-system-state-architecture,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#15-system-state-architecture,None,True
KBDL-CMP-098,components-system.md#161-loading-state,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#161-loading-state,None,True
KBDL-CMP-099,components-system.md#162-empty-state; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#162-empty-state; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-100,components-system.md#163-no-results-state,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#163-no-results-state,None,True
KBDL-CMP-101,components-system.md#164-error-state,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#164-error-state,None,True
KBDL-CMP-102,components-system.md#164-error-state; components-system.md#168-maintenance-unavailable-and-degraded-state; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#164-error-state; components-system.md#168-maintenance-unavailable-and-degraded-state; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-103,components-system.md#165-offline-and-reconnecting-state,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#165-offline-and-reconnecting-state,None,True
KBDL-CMP-104,components-system.md#166-permission-denied-and-restricted-state,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#166-permission-denied-and-restricted-state,None,True
KBDL-CMP-105,components-system.md#181-interactive-grid; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#181-interactive-grid; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-106,components-system.md#182-tree-and-treegrid; components-system.md#33-kbdl-008-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#182-tree-and-treegrid; components-system.md#33-kbdl-008-decision-packet,None,True
KBDL-CMP-107,components-system.md#183-carousel,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,components-system.md#183-carousel,None,True
