Requirement ID,Clause number,Method clause,Evidence source,Required result,Execution result,Coverage result,Self-referential,Remaining Not-verified scope,Overall result
KBDL-VAL-001,1,Classification audit executed by the final validator,evidence/kbdl-011-r8/artifacts/validation-output.txt,Errors: 0,PASS,COMPLETE,False,None,PASS
KBDL-VAL-001,2,PASS,evidence/kbdl-011-r8/artifacts/validation-output.txt,Errors: 0,PASS,COMPLETE,False,None,PASS
KBDL-VAL-002,1,Parser inventory,evidence/kbdl-011-r8/artifacts/validation-output.txt,Requirements audited: 317,PASS,COMPLETE,False,None,PASS
KBDL-VAL-002,2,"317 unique requirements, zero gaps/duplicates",evidence/kbdl-011-r8/artifacts/validation-output.txt,Requirements audited: 317,PASS,COMPLETE,False,None,PASS
KBDL-VAL-003,1,Lifecycle,evidence/kbdl-011-r11/artifacts/val-003-audit.txt,VAL-003 result: Verified,PASS,COMPLETE,False,None within the stated repository method,PASS
KBDL-VAL-003,2,"current-authority comparison across 317 effective records, 266 Approved requirements,",evidence/kbdl-011-r11/artifacts/val-003-audit.txt,VAL-003 result: Verified,PASS,COMPLETE,False,None within the stated repository method,PASS
KBDL-VAL-003,3,137 AR2 mappings,evidence/kbdl-011-r11/artifacts/val-003-audit.txt,VAL-003 result: Verified,PASS,COMPLETE,False,None within the stated repository method,PASS
KBDL-VAL-005,1,Decision/packet audit,evidence/kbdl-011-r8/artifacts/validation-output.txt,Packet mismatches: 0,PASS,COMPLETE,False,None,PASS
KBDL-VAL-005,2,zero orphan or untracked items,evidence/kbdl-011-r8/artifacts/validation-output.txt,Packet mismatches: 0,PASS,COMPLETE,False,None,PASS
KBDL-VAL-006,1,"Independent 317-record effective-field, exact-location, authority, packet, dependency, evidence,",evidence/kbdl-011-r11/artifacts/val-006-audit.txt,VAL-006 result: Verified,PASS,COMPLETE,False,None within the stated repository method,PASS
KBDL-VAL-006,2,limitation reconciliation,evidence/kbdl-011-r11/artifacts/val-006-audit.txt,VAL-006 result: Verified,PASS,COMPLETE,False,None within the stated repository method,PASS
KBDL-VAL-007,1,"Complete link, anchor, heading, section, placeholder, conflict-marker, table, ID, packet, label, roadmap, readiness,",evidence/kbdl-011-r11/artifacts/val-007-audit.txt,VAL-007 result: Verified,PASS,COMPLETE,False,None within the stated repository method,PASS
KBDL-VAL-007,2,completion-claim audit,evidence/kbdl-011-r11/artifacts/val-007-audit.txt,VAL-007 result: Verified,PASS,COMPLETE,False,None within the stated repository method,PASS
KBDL-VAL-009,1,WCAG contrast script,evidence/kbdl-011-r1/validation-transcript.txt,Errors: 0,PASS,COMPLETE,False,None,PASS
KBDL-VAL-009,2,PASS,evidence/kbdl-011-r1/validation-transcript.txt,Errors: 0,PASS,COMPLETE,False,None,PASS
KBDL-VAL-009,3,checksum recorded,evidence/kbdl-011-r1/validation-transcript.txt,Errors: 0,PASS,COMPLETE,False,None,PASS
KBDL-VAL-012,1,Completion-claim scan,evidence/kbdl-011-r9/artifacts/completion-scan.txt,Completion decisions: 0,PASS,COMPLETE,False,None,PASS
KBDL-VAL-012,2,zero decisions/claims,evidence/kbdl-011-r9/artifacts/completion-scan.txt,Completion decisions: 0,PASS,COMPLETE,False,None,PASS
