Module,Traceability group,Missing fields,Affected ID
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-025
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-026
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-027
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-028
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-029
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-030
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-031
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-032
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-033
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-034
A11Y,"New KBDL-specific accessibility enhancements (KBDL-A11Y-011, KBDL-A11Y-021, KBDL-A11Y-035)",provenance;packet;dependency,KBDL-A11Y-035
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-036
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-037
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-038
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-039
A11Y,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",provenance;packet;dependency,KBDL-A11Y-040
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-001
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-002
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-003
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-004
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-005
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-006
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-007
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-008
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-009
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-010
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-011
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-012
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-013
CMP,Action components (KBDL-CMP-014 through KBDL-CMP-021),packet;dependency,KBDL-CMP-014
CMP,Action components (KBDL-CMP-014 through KBDL-CMP-021),packet;dependency,KBDL-CMP-015
CMP,Action components (KBDL-CMP-014 through KBDL-CMP-021),packet;dependency,KBDL-CMP-016
CMP,Action components (KBDL-CMP-014 through KBDL-CMP-021),packet;dependency,KBDL-CMP-017
CMP,Action components (KBDL-CMP-014 through KBDL-CMP-021),packet;dependency,KBDL-CMP-018
CMP,Action components (KBDL-CMP-014 through KBDL-CMP-021),packet;dependency,KBDL-CMP-019
CMP,Action components (KBDL-CMP-014 through KBDL-CMP-021),packet;dependency,KBDL-CMP-020
CMP,Action components (KBDL-CMP-014 through KBDL-CMP-021),packet;dependency,KBDL-CMP-021
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-022
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-023
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-024
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-025
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-026
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-027
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-028
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-029
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-030
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-031
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-032
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-033
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-034
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-035
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-036
CMP,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),packet;dependency,KBDL-CMP-037
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-038
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-039
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-040
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-041
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-042
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-043
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-044
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-045
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-046
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-047
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-048
CMP,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),packet;dependency,KBDL-CMP-049
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-050
CMP,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",packet;dependency,KBDL-CMP-051
CMP,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",packet;dependency,KBDL-CMP-052
CMP,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",packet;dependency,KBDL-CMP-053
CMP,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",packet;dependency,KBDL-CMP-054
CMP,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",packet;dependency,KBDL-CMP-055
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-056
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-057
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-058
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-059
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-060
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-061
CMP,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",packet;dependency,KBDL-CMP-062
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-063
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-064
CMP,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",packet;dependency,KBDL-CMP-065
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-066
CMP,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",packet;dependency,KBDL-CMP-067
CMP,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",packet;dependency,KBDL-CMP-068
CMP,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",packet;dependency,KBDL-CMP-069
CMP,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",packet;dependency,KBDL-CMP-070
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-071
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-072
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-073
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-074
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-075
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-076
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-077
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-078
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-079
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-080
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-081
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-082
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-083
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-084
CMP,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",packet;dependency,KBDL-CMP-085
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-086
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-087
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-088
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-089
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-090
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-091
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-092
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-093
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-094
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-095
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-096
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-097
CMP,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",packet;dependency,KBDL-CMP-098
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-099
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-100
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-101
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-102
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-103
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-104
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-105
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-106
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-107
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-108
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-109
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-110
CMP,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",packet;dependency,KBDL-CMP-111
FND,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",provenance;packet;dependency,KBDL-FND-001
FND,"Color role architecture (KBDL-FND-001, KBDL-FND-002)",provenance;packet;dependency,KBDL-FND-002
FND,"Spacing rhythm and responsive content priority (KBDL-FND-003, KBDL-FND-004)",provenance;packet;dependency,KBDL-FND-003
FND,"Spacing rhythm and responsive content priority (KBDL-FND-003, KBDL-FND-004)",provenance;packet;dependency,KBDL-FND-004
FND,"Elevation and icon/media accessibility anticipation (KBDL-FND-005, KBDL-FND-006, KBDL-FND-007)",provenance;packet;dependency,KBDL-FND-005
FND,"Elevation and icon/media accessibility anticipation (KBDL-FND-005, KBDL-FND-006, KBDL-FND-007)",provenance;packet;dependency,KBDL-FND-006
FND,"Elevation and icon/media accessibility anticipation (KBDL-FND-005, KBDL-FND-006, KBDL-FND-007)",provenance;packet;dependency,KBDL-FND-007
FND,Shared foundation architecture across profiles (KBDL-FND-008),provenance;packet;dependency,KBDL-FND-008
FND,"Approved color, typography, spacing, and shape/elevation defaults (KBDL-FND-009 through KBDL-FND-012)",provenance;packet;dependency,KBDL-FND-009
FND,"Approved color, typography, spacing, and shape/elevation defaults (KBDL-FND-009 through KBDL-FND-012)",provenance;packet;dependency,KBDL-FND-010
FND,"Approved color, typography, spacing, and shape/elevation defaults (KBDL-FND-009 through KBDL-FND-012)",provenance;packet;dependency,KBDL-FND-011
FND,"Approved color, typography, spacing, and shape/elevation defaults (KBDL-FND-009 through KBDL-FND-012)",provenance;packet;dependency,KBDL-FND-012
GOV,Specification architecture,provenance;packet;dependency,KBDL-GOV-001
GOV,Accessibility baseline protection,provenance;packet;dependency,KBDL-GOV-002
GOV,Documentation governance process,provenance;packet;dependency,KBDL-GOV-003
MOT,"Motion purpose, terminology, and conflict resolution (KBDL-MOT-001, KBDL-MOT-002, KBDL-MOT-003)",provenance;packet;dependency,KBDL-MOT-001
MOT,"Motion purpose, terminology, and conflict resolution (KBDL-MOT-001, KBDL-MOT-002, KBDL-MOT-003)",provenance;packet;dependency,KBDL-MOT-002
