Requirement ID,Source file,Traceability group,Complete,Location match,Lifecycle match,Provenance match,Validation-status match,Authority match,Packet match,Dependency match,Defect details
KBDL-A11Y-011,accessibility.md,"New KBDL-specific accessibility enhancements (KBDL-A11Y-011, KBDL-A11Y-021, KBDL-A11Y-035)",True,True,True,True,True,True,True,True,
KBDL-A11Y-012,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-013,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-014,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-015,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-016,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-017,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-018,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-019,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-020,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-021,accessibility.md,"New KBDL-specific accessibility enhancements (KBDL-A11Y-011, KBDL-A11Y-021, KBDL-A11Y-035)",True,True,True,True,True,True,True,True,
KBDL-A11Y-022,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-023,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-024,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-025,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-026,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-027,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-028,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-029,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-030,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-031,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-032,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-033,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-034,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-035,accessibility.md,"New KBDL-specific accessibility enhancements (KBDL-A11Y-011, KBDL-A11Y-021, KBDL-A11Y-035)",True,True,True,True,True,True,True,True,
KBDL-A11Y-036,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-037,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-038,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-039,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-A11Y-040,accessibility.md,"WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)",True,True,True,True,True,True,True,True,
KBDL-CMP-001,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-002,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-003,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-004,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-005,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-006,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-007,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-008,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-009,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-010,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-011,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-012,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-013,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-014,components-core.md,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,True,
KBDL-CMP-015,components-core.md,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,True,
KBDL-CMP-016,components-core.md,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,True,
KBDL-CMP-017,components-core.md,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,True,
KBDL-CMP-018,components-core.md,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,True,
KBDL-CMP-019,components-core.md,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,True,
KBDL-CMP-020,components-core.md,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,True,
KBDL-CMP-021,components-core.md,Action components (KBDL-CMP-014 through KBDL-CMP-021),True,True,True,True,True,True,True,True,
KBDL-CMP-022,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-023,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-024,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-025,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-026,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-027,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-028,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-029,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-030,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-031,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-032,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-033,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-034,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-035,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-036,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-037,components-core.md,Form architecture and components (KBDL-CMP-022 through KBDL-CMP-037),True,True,True,True,True,True,True,True,
KBDL-CMP-038,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-039,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-040,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-041,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-042,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-043,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-044,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-045,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-046,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-047,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-048,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-049,components-core.md,Navigation components (KBDL-CMP-038 through KBDL-CMP-049),True,True,True,True,True,True,True,True,
KBDL-CMP-050,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-051,components-core.md,"Shared component contract and cross-cutting rules (KBDL-CMP-001 through KBDL-CMP-013, KBDL-CMP-050, KBDL-CMP-051)",True,True,True,True,True,True,True,True,
KBDL-CMP-052,components-system.md,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,True,
KBDL-CMP-053,components-system.md,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,True,
KBDL-CMP-054,components-system.md,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,True,
KBDL-CMP-055,components-system.md,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,True,
KBDL-CMP-056,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-057,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-058,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-059,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-060,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-061,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-062,components-system.md,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,True,
KBDL-CMP-063,components-system.md,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,True,
KBDL-CMP-064,components-system.md,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,True,
KBDL-CMP-065,components-system.md,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,True,
KBDL-CMP-066,components-system.md,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,True,
KBDL-CMP-067,components-system.md,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,True,
KBDL-CMP-068,components-system.md,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,True,
KBDL-CMP-069,components-system.md,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,True,
KBDL-CMP-070,components-system.md,"Surface components and module-wide baselines (KBDL-CMP-052, 053, 054, 055, 062, 065, 067, 068, 069, 070)",True,True,True,True,True,True,True,True,
KBDL-CMP-071,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-072,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-073,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-074,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-075,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-076,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-077,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-078,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-079,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-080,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-081,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-082,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-083,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-084,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-085,components-system.md,"Overlay components (KBDL-CMP-056 through KBDL-CMP-060, 071 through 085)",True,True,True,True,True,True,True,True,
KBDL-CMP-086,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-087,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-088,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-089,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-090,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-091,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-092,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-093,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-094,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-095,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-096,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-097,components-system.md,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,True,
KBDL-CMP-098,components-system.md,"Feedback components (KBDL-CMP-061, 086 through KBDL-CMP-098)",True,True,True,True,True,True,True,True,
KBDL-CMP-099,components-system.md,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,True,
KBDL-CMP-100,components-system.md,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,True,
KBDL-CMP-101,components-system.md,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,True,
KBDL-CMP-102,components-system.md,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,True,
KBDL-CMP-103,components-system.md,"System-state, complex-presentation, and profile/security baselines (KBDL-CMP-063, 064, 066, 097, 099–111)",True,True,True,True,True,True,True,True,
