Requirement ID,Validation method,Validation evidence,Known limitation,Method copied as evidence,Generic limitation
KBDL-CMP-003,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-004,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-005,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-006,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-007,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-008,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-009,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-010,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-011,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-012,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-013,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-014,"Manual + automated static accessibility review, manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-015/017/020 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-015,"Manual + automated static accessibility review, manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-015/017/020 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-016,"Manual + automated static accessibility review, manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-015/017/020 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-017,"Manual + automated static accessibility review, manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-015/017/020 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-018,"Manual + automated static accessibility review, manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-015/017/020 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-019,"Manual + automated static accessibility review, manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-015/017/020 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-020,"Manual + automated static accessibility review, manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-015/017/020 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-021,"Manual + automated static accessibility review, manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-015/017/020 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-022,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-023,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-024,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-025,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-026,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-027,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-028,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-029,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-030,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-031,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-032,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-033,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-034,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-035,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-036,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-037,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-038,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-039,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-040,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-041,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-042,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-043,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-044,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-045,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-046,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-047,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-048,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-049,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,False,False
KBDL-CMP-050,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-051,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-052,Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-053,Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-054,Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-055,Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-056,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-057,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-058,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-059,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-060,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-061,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-062,Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-063,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-064,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-065,Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-066,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-067,Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-068,Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-069,Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-070,Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-071,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-072,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-073,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
