Requirement ID,Authoritative lifecycle,Effective lifecycle,Authoritative provenance,Effective provenance,Authoritative validation status,Effective validation status,Authority source,Effective authority,Exact specification location,Group location,Ledger location,Validation method,Validation evidence,Known limitation,Packet destination,Pending dependencies,Match result,Defect details
KBDL-A11Y-011,Recommended,Recommended,Assumed,Assumed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Recommended (new KBDL policy — no prior theme decision addresses forced-colors mode; explicitly excluded from KBDL-DEC-013),"accessibility.md §16, §25, §39","accessibility.md §16, §25, §39","accessibility.md §16, §25, §39",Project-owner review (not yet performed); implementation-level review once an implementation exists,Not verified — no implementation exists yet,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 2,None,PASS,None
KBDL-A11Y-012,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.4.4, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-013,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.4.10, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-014,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.4.12, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-015,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.3.4, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-016,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.1.1, SC 2.1.4, and SC 3.2.1, all Level A)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-017,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.1.2, Level A)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-018,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.4.1, Level A)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-019,Approved,Approved,Confirmed,Confirmed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-020,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.5.8, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-021,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,"Recommended (new KBDL enhancement, not yet approved)","accessibility.md §16, §25, §39","accessibility.md §16, §25, §39","accessibility.md §16, §25, §39",Project-owner review (not yet performed); implementation-level review once an implementation exists,Not verified — no implementation exists yet,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 1,None,PASS,None
KBDL-A11Y-022,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.5.2, Level A)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-023,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.5.1, Level A, and SC 2.5.7, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-024,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.5.4, Level A)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-025,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (restates KBDL-MOT-022, already Approved under KBDL-DEC-014; not reopened)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-026,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.3.1, Level A, and restates the already-Approved KBDL-MOT-023)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-027,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.2.1 and SC 2.2.2, both Level A)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-028,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.3.5, SC 2.5.3, SC 3.2.2, SC 3.3.2, and SC 3.3.7, Levels A/AA as listed)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-029,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 3.3.1, Level A, and SC 3.3.3, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-030,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 3.3.4, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-031,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 4.1.3, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-032,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 3.3.8, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-033,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 3.1.1, Level A, and KBDL-PRN-003, Consumer Comprehension)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-034,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.4.4, Level A, and SC 3.2.6, Level A)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-035,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,"Recommended (new KBDL testing-process enhancement, not yet approved)","accessibility.md §16, §25, §39","accessibility.md §16, §25, §39","accessibility.md §16, §25, §39",Project-owner review (not yet performed); implementation-level review once an implementation exists,Not verified — no implementation exists yet,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 3,None,PASS,None
KBDL-A11Y-036,Approved,Approved,Confirmed,Confirmed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Approved (cross-reference to already-Approved requirements); project-owner-approved KBDL-006 implementation prompt,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-037,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (restates KBDL-A11Y-003 applied to tabular data),accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-038,Approved,Approved,Confirmed,Confirmed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-039,Approved,Approved,Confirmed,Confirmed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-040,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates principles.md §9.4); project-owner-approved KBDL-006 implementation prompt,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-CMP-001,Approved,Approved,User-provided,User-provided,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (structural completeness requirement); project-owner-approved KBDL-007/008 implementation prompt,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,None — Approved,None,PASS,None
KBDL-CMP-002,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates WCAG 2.2 SC 4.1.2 and the WAI-ARIA First Rule of ARIA Use),"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,None — Approved,None,PASS,None
KBDL-CMP-003,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates WCAG 2.2 SC 4.1.2 and SC 2.5.3),"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,None — Approved,None,PASS,None
KBDL-CMP-004,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates the locked component-state-clarity rule); project-owner-approved KBDL-007/008 implementation prompt,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,None — Approved,None,PASS,None
KBDL-CMP-005,Approved,Approved,Confirmed,Confirmed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Approved (scope-control requirement); project-owner-approved KBDL-007/008 implementation prompt,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,None — Approved,None,PASS,None
KBDL-CMP-006,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates WCAG 2.2 SC 2.4.7 and SC 2.4.11),"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,None — Approved,None,PASS,None
