Requirement ID,Lifecycle,Authority source,Effective authority,Targets,Missing targets,Resolved
KBDL-A11Y-016,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.1.1, SC 2.1.4, and SC 3.2.1, all Level A)",None,None,True
KBDL-A11Y-017,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.1.2, Level A)",None,None,True
KBDL-A11Y-018,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.4.1, Level A)",None,None,True
KBDL-A11Y-019,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-A11Y-020,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.5.8, Level AA)",None,None,True
KBDL-A11Y-021,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Recommended (new KBDL enhancement, not yet approved)",None,None,False
KBDL-A11Y-022,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.5.2, Level A)",None,None,True
KBDL-A11Y-023,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.5.1, Level A, and SC 2.5.7, Level AA)",None,None,True
KBDL-A11Y-024,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.5.4, Level A)",None,None,True
KBDL-A11Y-025,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates KBDL-MOT-022, already Approved under KBDL-DEC-014; not reopened)",KBDL-DEC-014; KBDL-MOT-022,None,True
KBDL-A11Y-026,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.3.1, Level A, and restates the already-Approved KBDL-MOT-023)",KBDL-MOT-023,None,True
KBDL-A11Y-027,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.2.1 and SC 2.2.2, both Level A)",None,None,True
KBDL-A11Y-028,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.3.5, SC 2.5.3, SC 3.2.2, SC 3.3.2, and SC 3.3.7, Levels A/AA as listed)",None,None,True
KBDL-A11Y-029,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 3.3.1, Level A, and SC 3.3.3, Level AA)",None,None,True
KBDL-A11Y-030,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 3.3.4, Level AA)",None,None,True
KBDL-A11Y-031,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 4.1.3, Level AA)",None,None,True
KBDL-A11Y-032,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 3.3.8, Level AA)",None,None,True
KBDL-A11Y-033,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 3.1.1, Level A, and KBDL-PRN-003, Consumer Comprehension)",KBDL-PRN-003,None,True
KBDL-A11Y-034,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.4.4, Level A, and SC 3.2.6, Level A)",None,None,True
KBDL-A11Y-035,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Recommended (new KBDL testing-process enhancement, not yet approved)",None,None,False
KBDL-A11Y-036,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (cross-reference to already-Approved requirements); project-owner-approved KBDL-006 implementation prompt,None,None,True
KBDL-A11Y-037,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates KBDL-A11Y-003 applied to tabular data),KBDL-A11Y-003,None,True
KBDL-A11Y-038,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,None,None,True
KBDL-A11Y-039,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,None,None,True
KBDL-A11Y-040,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates principles.md §9.4); project-owner-approved KBDL-006 implementation prompt,None,None,True
KBDL-CMP-001,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (structural completeness requirement); project-owner-approved KBDL-007/008 implementation prompt,None,None,True
KBDL-CMP-002,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WCAG 2.2 SC 4.1.2 and the WAI-ARIA First Rule of ARIA Use),None,None,True
KBDL-CMP-003,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WCAG 2.2 SC 4.1.2 and SC 2.5.3),None,None,True
KBDL-CMP-004,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates the locked component-state-clarity rule); project-owner-approved KBDL-007/008 implementation prompt,None,None,True
KBDL-CMP-005,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (scope-control requirement); project-owner-approved KBDL-007/008 implementation prompt,None,None,True
KBDL-CMP-006,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WCAG 2.2 SC 2.4.7 and SC 2.4.11),None,None,True
KBDL-CMP-007,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WCAG 2.2 SC 2.1.1 and SC 2.1.2),None,None,True
KBDL-CMP-008,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WCAG 2.2 SC 2.5.2 and SC 2.5.8),None,None,True
KBDL-CMP-009,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates KBDL-RSP-001, 006, 007, 020)",KBDL-RSP-001,None,True
KBDL-CMP-010,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates KBDL-A11Y-020),KBDL-A11Y-020,None,True
KBDL-CMP-011,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates the approved theme architecture); project-owner-approved KBDL-007/008 implementation prompt,None,None,True
KBDL-CMP-012,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates the approved foundation architecture); project-owner-approved KBDL-007/008 implementation prompt,None,None,True
KBDL-CMP-013,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (structural requirement — the obligation to document motion necessity/purpose/hierarchy/parity per component is itself Approved; the *exact* component-specific duration, distance, scale, stagger, easing, choreography, or rendering-technology mapping for any individual component is not newly approved by this requirement where no prior approved KBDL rule already supplies it — such exact mappings remain governed by the existing motion unresolved/not-approval-ready items in motion/README.md §10.3 and this module's own §36); project-owner-approved KBDL-007/008 implementation prompt",None,None,True
KBDL-CMP-014,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (core restates native-semantics-first and state-model rules); project-owner-approved KBDL-007/008 implementation prompt,None,None,True
KBDL-CMP-015,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component taxonomy),None,None,False
KBDL-CMP-016,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WCAG 2.2 SC 4.1.2),None,None,True
KBDL-CMP-017,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new threshold guidance),None,None,False
KBDL-CMP-018,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WAI-ARIA),None,None,True
KBDL-CMP-019,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WCAG 2.2 SC 2.4.4),None,None,True
KBDL-CMP-020,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new composition guidance),None,None,False
KBDL-CMP-021,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates the WAI-ARIA disclosure pattern),None,None,True
KBDL-CMP-022,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 3.3.2, SC 1.3.5, SC 3.3.7)",None,None,True
KBDL-CMP-023,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-024,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WCAG 2.2 SC 3.3.8),None,None,True
KBDL-CMP-025,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component taxonomy),None,None,False
KBDL-CMP-026,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-027,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates native-semantics-first); project-owner-approved KBDL-007/008 implementation prompt,None,None,True
KBDL-CMP-028,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WAI-ARIA/APG),None,None,True
KBDL-CMP-029,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new threshold guidance),None,None,False
KBDL-CMP-030,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-031,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-032,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WAI-ARIA switch role),None,None,True
KBDL-CMP-033,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-034,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-035,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (behavioral requirement); project-owner-approved KBDL-007/008 implementation prompt,None,None,True
KBDL-CMP-036,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level guidance),None,None,False
KBDL-CMP-037,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 3.3.1, SC 3.3.3, SC 3.3.4, SC 3.3.7, SC 4.1.3)",None,None,True
KBDL-CMP-038,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates WCAG 2.2 SC 2.4.1),None,None,True
KBDL-CMP-039,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-040,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-041,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (depends on unapproved responsive values),None,None,False
KBDL-CMP-042,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-043,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-044,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Assumed,None,None,True
KBDL-CMP-045,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates the WAI-ARIA tabs pattern),None,None,True
KBDL-CMP-046,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component choice),None,None,False
KBDL-CMP-047,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-048,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Assumed,None,None,True
KBDL-CMP-049,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-CMP-050,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates the shared contract applied compositionally); project-owner-approved KBDL-007/008 implementation prompt,None,None,True
KBDL-CMP-051,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates principles.md §9.4); project-owner-approved KBDL-007/008 implementation prompt,None,None,True
KBDL-CMP-052,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (scope-control requirement, extends KBDL-CMP-005)",KBDL-CMP-005,None,True
KBDL-CMP-053,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (extends the already-Approved native- semantics-first rule, KBDL-CMP-002, and the adopted ARIA 1.2 region role definition, to this module's surfaces)",KBDL-CMP-002,None,True
KBDL-CMP-054,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates ARIA 1.2's region role definition),None,None,True
KBDL-CMP-055,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates the native HTML prohibition on nested interactive elements and the already-Approved hover- independent-discoverability requirement, responsive.md §24); project-owner-approved KBDL-007/008 implementation prompt",None,None,True
KBDL-CMP-056,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (dictated outcome of the already-adopted WCAG 2.2 focus, keyboard, and reading-order rules applied to layered content — a structural scope statement, not new policy)",None,None,True
KBDL-CMP-057,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates the already-adopted WCAG 2.2 SC 2.1.1 Keyboard and SC 2.1.2 No Keyboard Trap, and the already- Approved KBDL-007 keyboard contract, KBDL-CMP-007, applied explicitly to non-modal overlays)",KBDL-CMP-007,None,True
KBDL-CMP-058,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order — an unset focus target would violate the requirement that focus order remain determinable),None,None,True
KBDL-CMP-059,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates the already-adopted WCAG 2.2 SC 2.2.1 Timing Adjustable, extended to this module's dismissible surfaces generally, beyond the Toast-specific case in KBDL-CMP-090)",KBDL-CMP-090,None,True
KBDL-CMP-060,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates the already-Approved motion- parity rule, motion/accessibility-performance.md §1); project-owner-approved KBDL-007/008 implementation prompt",None,None,True
KBDL-CMP-061,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates the locked component-state- clarity rule, principles.md §5.1, and KBDL-CMP-004, applied explicitly to the states this document introduces)",KBDL-CMP-004,None,True
KBDL-CMP-062,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates KBDL-CMP-053/002 as an explicit prohibition, distinguishing the general preference from the specific misuse it forbids)",KBDL-CMP-053,None,True
KBDL-CMP-063,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates the already-Approved correctness/safety priority, principles.md §4 item 1, as a general baseline; KBDL-CMP-103 states its Offline/ Reconnecting-specific application)",KBDL-CMP-103,None,True
KBDL-CMP-064,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (extends the existing KBDL security principle already established in components-core.md §37 as a general baseline; KBDL-CMP-101 and KBDL-CMP-104 state its Error-State- and Permission/Not-Found-specific applications),KBDL-CMP-101; KBDL-CMP-104,None,True
KBDL-CMP-065,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (extends the already-Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, to this module)",KBDL-CMP-003,None,True
KBDL-CMP-066,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates the already-Approved KBDL-007 profile-consistency requirement, KBDL-CMP-051, applied to this module)",KBDL-CMP-051,None,True
KBDL-CMP-067,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level taxonomy),None,None,False
KBDL-CMP-068,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates the adopted ARIA disclosure pattern's role/state definitions and the already-Approved KBDL-007 disclosure-trigger contract),None,None,True
KBDL-CMP-069,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level policy),None,None,False
KBDL-CMP-070,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates the already-adopted WCAG 2.2 SC 1.3.1 Info and Relationships and the native-semantics-first rule, KBDL-CMP-002)",KBDL-CMP-002,None,True
KBDL-CMP-071,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","the adopted WAI-ARIA 1.2 aria-modal property definition, which specifies that assistive technology should restrict its reading and navigation to the modal element while it is active, directly requires background content to be excluded from that navigation — this is the primary source for ""unreachable by ... screen-reader virtual cursor."" The already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.4.11 Focus Not Obscured support, but do not by themselves fully dictate, this outcome for pointer/sequential-navigation reachability. The approved KBDL-008 prompt's Overlay Architecture section explicitly requires ""Background inertness"" as a mandatory field for every modal overlay, which is the source for treating this as a complete, single normative rule rather than an inference from the standards alone",None,None,True
KBDL-CMP-072,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","""dismissible via Escape"" and ""remains visible while the trigger has hover or focus"" restate the already-adopted WCAG 2.2 SC 1.4.13 Content on Hover or Focus, which dictates exactly these three properties (dismissible, hoverable, persistent). ""Must never be the sole source of its trigger's accessible name"" restates the already- Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, and the adopted WCAG 2.2 SC 4.1.2 Name, Role, Value — not SC 1.4.13, which does not address naming. ""Contains only non- interactive text"" and ""leaves focus on its trigger"" are not dictated by SC 1.4.13 or the WAI-ARIA tooltip role definition alone (the ARIA 1.2 spec describes tooltip as advisory but does not itself prohibit interactive descendants); these two clauses are normative because the approved KBDL-008 prompt explicitly requires ""Informational, non-interactive purpose"" and ""Interactive-content prohibition"" as mandatory Tooltip fields. This requirement does not treat the APG tooltip pattern (explicitly non-consensus, see §4) as a source for any clause",KBDL-CMP-003,None,True
KBDL-CMP-073,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Recommended (new KBDL-specific timing/placement policy, not dictated by the non-consensus APG tooltip pattern)",None,None,False
KBDL-CMP-074,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level taxonomy and dismissal policy),None,None,False
KBDL-CMP-075,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates the adopted WAI-ARIA 1.2 menu role definitions and the already-Approved KBDL-007 trigger contract),None,None,True
KBDL-CMP-076,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level interaction policy; the underlying APG menu pattern is not automatically Approved),None,None,False
KBDL-CMP-077,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates the adopted WAI-ARIA 1.2 listbox role definitions and the already-Approved KBDL-007 combobox contract),None,None,True
KBDL-CMP-078,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates the already-adopted WCAG 2.2 SC 4.1.2 Name, Role, Value and SC 2.1.1 Keyboard)",None,None,True
KBDL-CMP-079,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates KBDL-CMP-071 and the already-adopted WCAG 2.2 SC 2.1.2 No Keyboard Trap, applied to the definition of modality itself — this is the ""modal integrity"" rule)",KBDL-CMP-071,None,True
KBDL-CMP-080,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level sizing and nesting policy),None,None,False
KBDL-CMP-081,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates the adopted WAI-ARIA 1.2 alertdialog role definition),None,None,True
KBDL-CMP-082,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (scope-control requirement, restates KBDL-CMP-005/KBDL-CMP-052)",KBDL-CMP-005; KBDL-CMP-052,None,True
KBDL-CMP-083,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level taxonomy),None,None,False
KBDL-CMP-084,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.1.2 No Keyboard Trap applied to nested layered content — not a new policy choice, since any other outcome would create an indeterminate or trapped focus state)",None,None,True
KBDL-CMP-085,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level policy),None,None,False
KBDL-CMP-086,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates KBDL-A11Y-031 and the adopted WAI-ARIA 1.2 live-region role definitions),KBDL-A11Y-031,None,True
KBDL-CMP-087,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates KBDL-CMP-004's already- Approved state-clarity rule and the adopted WCAG 2.2 SC 1.4.1 Use of Color),KBDL-CMP-004,None,True
