Requirement ID,Packet destination,Pending dependencies,Packet match,Dependency match
KBDL-MOT-003,None — Approved,None,True,True
KBDL-MOT-004,None — Approved,None,True,True
KBDL-MOT-005,None — Approved,None,True,True
KBDL-MOT-006,None — Approved,None,True,True
KBDL-MOT-007,None — Approved,None,True,True
KBDL-MOT-008,None — Approved,None,True,True
KBDL-MOT-009,None — Approved,None,True,True
KBDL-MOT-010,None — Approved,None,True,True
KBDL-MOT-011,None — Approved,None,True,True
KBDL-MOT-012,None — Approved,None,True,True
KBDL-MOT-013,None — Approved,None,True,True
KBDL-MOT-014,None — Approved,None,True,True
KBDL-MOT-015,None — Approved,None,True,True
KBDL-MOT-016,None — Approved,None,True,True
KBDL-MOT-017,None — Approved,None,True,True
KBDL-MOT-018,None — Approved,None,True,True
KBDL-MOT-019,None — Approved,None,True,True
KBDL-MOT-020,None — Approved,None,True,True
KBDL-MOT-021,None — Approved,None,True,True
KBDL-MOT-022,None — Approved,None,True,True
KBDL-MOT-023,None — Approved,None,True,True
KBDL-MOT-024,None — Approved,None,True,True
KBDL-MOT-025,None — Approved,None,True,True
KBDL-MOT-026,None — Approved,None,True,True
KBDL-MOT-027,None — Approved,None,True,True
KBDL-MOT-028,None — Approved,None,True,True
KBDL-MOT-029,None — Approved,None,True,True
KBDL-MOT-030,None — Approved,None,True,True
KBDL-MOT-031,None — Approved,None,True,True
KBDL-MOT-032,None — Approved,None,True,True
KBDL-MOT-033,None — Approved,None,True,True
KBDL-MOT-034,None — Approved,None,True,True
KBDL-PRN-001,None — Approved,None,True,True
KBDL-PRN-002,None — Approved,None,True,True
KBDL-PRN-003,None — Approved,None,True,True
KBDL-PRN-004,None — Approved,None,True,True
KBDL-PRN-005,None — Approved,None,True,True
KBDL-PRN-006,None — Approved,None,True,True
KBDL-PRN-007,None — Approved,None,True,True
KBDL-PRN-008,None — Approved,None,True,True
KBDL-PRO-001,None — Approved,None,True,True
KBDL-PRO-002,None — Approved,None,True,True
KBDL-PRO-003,None — Approved,None,True,True
KBDL-PRO-004,None — Approved,None,True,True
KBDL-PRO-005,None — Approved,None,True,True
KBDL-PRO-006,None — Approved,None,True,True
KBDL-PRO-007,None — Approved,None,True,True
KBDL-PRO-008,None — Approved,None,True,True
KBDL-PRO-009,Approval-ready item 1,None,True,True
KBDL-PRO-010,None — Approved,None,True,True
KBDL-PRO-011,None — Approved,None,True,True
KBDL-PRO-012,None — Approved,None,True,True
KBDL-PRO-013,None — Approved,None,True,True
KBDL-PRO-014,None — Approved,"None blocking; KBDL-CMP-105, KBDL-RSP-011 cited as unapproved context only, not adopted as authority",True,True
KBDL-PRO-015,None — Approved,"None blocking; KBDL-CMP-015, KBDL-CMP-036 cited as unapproved context only, not adopted as authority",True,True
KBDL-PRO-016,Contingent — §33.3; not independently approval-ready,KBDL-CMP-067 (KBDL-008) — blocking,True,True
KBDL-PRO-017,Approval-ready item 2,"None blocking; KBDL-RSP-002, KBDL-RSP-003 cited as unapproved context only for the eventual exact grid-interaction point, not required for this item's own approval",True,True
KBDL-PRO-018,Contingent — §33.3; not independently approval-ready,"KBDL-CMP-015, KBDL-CMP-036 (KBDL-007) — blocking",True,True
KBDL-PRO-019,None — Approved,None,True,True
KBDL-PRO-020,None — Approved,None,True,True
KBDL-PRO-021,None — Approved,None,True,True
KBDL-PRO-022,None — Approved,None,True,True
KBDL-PRO-023,None — Approved,None,True,True
KBDL-PRO-024,None — Approved,None,True,True
KBDL-PRO-025,None — Approved,None,True,True
KBDL-PRO-026,None — Approved,None,True,True
KBDL-PRO-027,Approval-ready item 3,None,True,True
KBDL-PRO-028,Approval-ready item 4,None,True,True
KBDL-PRO-029,Approval-ready item 5,None,True,True
KBDL-RSP-001,None — Approved,None,True,True
KBDL-RSP-002,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 1; responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 2; responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 3; responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 4; responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 5,None,True,True
KBDL-RSP-003,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 2,None,True,True
KBDL-RSP-004,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 3,None,True,True
KBDL-RSP-005,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 4,None,True,True
KBDL-RSP-006,None — Approved,None,True,True
KBDL-RSP-007,None — Approved,None,True,True
KBDL-RSP-008,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 5,None,True,True
KBDL-RSP-009,None — Approved,None,True,True
KBDL-RSP-010,None — Approved,None,True,True
KBDL-RSP-011,responsive.md — 35.2 Recommended Decisions — Ready for Approval — item 6,None,True,True
KBDL-RSP-012,None — Approved,None,True,True
KBDL-RSP-013,None — Approved,None,True,True
KBDL-RSP-014,None — Approved,None,True,True
KBDL-RSP-015,None — Approved,None,True,True
KBDL-RSP-016,None — Approved,None,True,True
KBDL-RSP-017,None — Approved,None,True,True
KBDL-RSP-018,None — Approved,None,True,True
KBDL-RSP-019,None — Approved,None,True,True
KBDL-RSP-020,None — Approved,None,True,True
KBDL-RSP-021,None — Approved,None,True,True
KBDL-RSP-022,None — Approved,None,True,True
KBDL-THM-001,None — Approved,None,True,True
KBDL-THM-002,None — Approved,None,True,True
KBDL-THM-003,None — Approved,None,True,True
KBDL-THM-004,None — Approved,None,True,True
KBDL-THM-005,None — Approved,None,True,True
KBDL-THM-006,None — Approved,None,True,True
KBDL-THM-007,None — Approved,None,True,True
KBDL-THM-008,None — Approved,None,True,True
KBDL-THM-009,None — Approved,None,True,True
KBDL-THM-010,None — Approved,None,True,True
KBDL-THM-011,None — Approved,None,True,True
KBDL-THM-012,None — Approved,None,True,True
KBDL-THM-012a,None — Approved,None,True,True
KBDL-THM-013,None — Approved,None,True,True
KBDL-THM-014,None — Approved,None,True,True
KBDL-THM-015,None — Approved,None,True,True
KBDL-VAL-001,None — Approved,None,True,True
KBDL-VAL-002,None — Approved,None,True,True
KBDL-VAL-003,None — Approved,None,True,True
KBDL-VAL-004,None — Approved,None,True,True
KBDL-VAL-005,None — Approved,None,True,True
KBDL-VAL-006,None — Approved,None,True,True
KBDL-VAL-007,None — Approved,None,True,True
KBDL-VAL-008,None — Approved,None,True,True
KBDL-VAL-009,None — Approved,None,True,True
KBDL-VAL-010,None — Approved,Future implementation,True,True
KBDL-VAL-011,None — Approved,Adopting project,True,True
KBDL-VAL-012,None — Approved,Planning-agent and project-owner review,True,True
