Resolution issue ID,Category,Requirement ID,Field or relationship,Current candidate value,Current candidate source,Permitted authoritative source,Authoritative source found,R16 defect category,R16 evidence reference,Affected validation gate,Affected effective record,Related requirements,Related decisions,Related packet item,Related standard,Current risk,Recommended resolution approach,Alternative approaches,Trade-offs,Required owner decision,Implementation action potentially unlocked,Additional approval required,Owner decision,Owner decision date,Owner evidence,Resolution status,Notes
SMR1-VE-0002,Validation evidence,KBDL-A11Y-008,Validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv ; evidence-scope-audit.csv,VAL-004,KBDL-A11Y-008,,,,,Resolved evidence/classification relationship,No approach recommended; options only: PROVIDE ORIGINAL EVIDENCE MANIFEST / CONFIRM SCOPE MAPPING / REVISE EVIDENCE CITATION / SET TO NOT VERIFIED / DEFER DECISION,Setting to Not verified avoids relying on unscoped shared evidence text.,Owner choices may authorize later evidence work; this packet does not execute it. Prohibited automatic correction: Ledger/readable-group self-proof.,Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-008's validation evidence field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,Shared with R16 EVIDENCE_SCOPE_RELATIONSHIP finding: resolved artifact does not name this requirement or an approved shared validation scope (evidence-scope-audit.csv).
SMR1-VE-0003,Validation evidence,KBDL-A11Y-009,Validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv ; evidence-scope-audit.csv,VAL-004,KBDL-A11Y-009,,,,,Resolved evidence/classification relationship,No approach recommended; options only: PROVIDE ORIGINAL EVIDENCE MANIFEST / CONFIRM SCOPE MAPPING / REVISE EVIDENCE CITATION / SET TO NOT VERIFIED / DEFER DECISION,Setting to Not verified avoids relying on unscoped shared evidence text.,Owner choices may authorize later evidence work; this packet does not execute it. Prohibited automatic correction: Ledger/readable-group self-proof.,Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-009's validation evidence field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,Shared with R16 EVIDENCE_SCOPE_RELATIONSHIP finding: resolved artifact does not name this requirement or an approved shared validation scope (evidence-scope-audit.csv).
SMR1-AU-0002,Authority,KBDL-A11Y-010,Authority,"Approved (directly restates WCAG 2.2 SC 2.4.11, Level AA)",traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv,VAL-003,KBDL-A11Y-010,,,,,Authority graph,No approach recommended; options only: PROVIDE ORIGINAL OR APPROVED AUTHORITY / CONFIRM CURRENT NON-RETROACTIVE AUTHORITY / REVISE AUTHORITY EXPRESSION / REJECT AUTHORITY / DEFER DECISION,Rejecting the authority expression would require reclassifying dependent requirement text.,"Lifecycle status, ledger presence, and implementation history are not treated as authority under this packet's source-of-truth hierarchy. Prohibited automatic correction: Ledger/readable-group self-proof.",Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-010's authority field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,
SMR1-KL-0007,Known limitation,KBDL-A11Y-010,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv ; limitation-scope-audit.csv,VAL-006; VAL-005,KBDL-A11Y-010,,,,,Not-verified/excluded scope relationship,No approach recommended; options only: PROVIDE APPROVED LIMITATION SOURCE / CONFIRM CURRENT LIMITATION AS CURRENT NON-RETROACTIVE GOVERNANCE / REVISE LIMITATION / REMOVE UNSUPPORTED LIMITATION / DEFER DECISION,Removing the limitation text without a supporting source risks silently narrowing disclosed scope.,No limitation is accepted through packet preparation; confirming current text as governance would be current and non-retroactive only. Prohibited automatic correction: Ledger/readable-group self-proof.,Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-010's known limitation field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,Shared with R16 LIMITATION_MISMATCH finding: derived Not-verified/excluded scope = 'not verified not verified'; exact normalized scope overlap = 'None' (limitation-scope-audit.csv).
SMR1-KL-0008,Known limitation,KBDL-A11Y-011,Known limitation,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv ; limitation-scope-audit.csv,VAL-006; VAL-005,KBDL-A11Y-011,,,,,Not-verified/excluded scope relationship,No approach recommended; options only: PROVIDE APPROVED LIMITATION SOURCE / CONFIRM CURRENT LIMITATION AS CURRENT NON-RETROACTIVE GOVERNANCE / REVISE LIMITATION / REMOVE UNSUPPORTED LIMITATION / DEFER DECISION,Removing the limitation text without a supporting source risks silently narrowing disclosed scope.,No limitation is accepted through packet preparation; confirming current text as governance would be current and non-retroactive only. Prohibited automatic correction: Ledger/readable-group self-proof.,Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-011's known limitation field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,Shared with R16 LIMITATION_MISMATCH finding: derived Not-verified/excluded scope = 'not verified not verified'; exact normalized scope overlap = 'None' (limitation-scope-audit.csv).
SMR1-KL-0009,Known limitation,KBDL-A11Y-012,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv ; limitation-scope-audit.csv,VAL-006; VAL-005,KBDL-A11Y-012,,,,,Not-verified/excluded scope relationship,No approach recommended; options only: PROVIDE APPROVED LIMITATION SOURCE / CONFIRM CURRENT LIMITATION AS CURRENT NON-RETROACTIVE GOVERNANCE / REVISE LIMITATION / REMOVE UNSUPPORTED LIMITATION / DEFER DECISION,Removing the limitation text without a supporting source risks silently narrowing disclosed scope.,No limitation is accepted through packet preparation; confirming current text as governance would be current and non-retroactive only. Prohibited automatic correction: Ledger/readable-group self-proof.,Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-012's known limitation field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,Shared with R16 LIMITATION_MISMATCH finding: derived Not-verified/excluded scope = 'not verified not verified'; exact normalized scope overlap = 'None' (limitation-scope-audit.csv).
SMR1-AU-0003,Authority,KBDL-A11Y-013,Authority,"Approved (directly restates WCAG 2.2 SC 1.4.10, Level AA)",traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv,VAL-003,KBDL-A11Y-013,,,,,Authority graph,No approach recommended; options only: PROVIDE ORIGINAL OR APPROVED AUTHORITY / CONFIRM CURRENT NON-RETROACTIVE AUTHORITY / REVISE AUTHORITY EXPRESSION / REJECT AUTHORITY / DEFER DECISION,Rejecting the authority expression would require reclassifying dependent requirement text.,"Lifecycle status, ledger presence, and implementation history are not treated as authority under this packet's source-of-truth hierarchy. Prohibited automatic correction: Ledger/readable-group self-proof.",Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-013's authority field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,
SMR1-KL-0010,Known limitation,KBDL-A11Y-013,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv ; limitation-scope-audit.csv,VAL-006; VAL-005,KBDL-A11Y-013,,,,,Not-verified/excluded scope relationship,No approach recommended; options only: PROVIDE APPROVED LIMITATION SOURCE / CONFIRM CURRENT LIMITATION AS CURRENT NON-RETROACTIVE GOVERNANCE / REVISE LIMITATION / REMOVE UNSUPPORTED LIMITATION / DEFER DECISION,Removing the limitation text without a supporting source risks silently narrowing disclosed scope.,No limitation is accepted through packet preparation; confirming current text as governance would be current and non-retroactive only. Prohibited automatic correction: Ledger/readable-group self-proof.,Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-013's known limitation field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,Shared with R16 LIMITATION_MISMATCH finding: derived Not-verified/excluded scope = 'not verified not verified'; exact normalized scope overlap = 'None' (limitation-scope-audit.csv).
SMR1-AU-0004,Authority,KBDL-A11Y-014,Authority,"Approved (directly restates WCAG 2.2 SC 1.4.12, Level AA)",traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv,VAL-003,KBDL-A11Y-014,,,,,Authority graph,No approach recommended; options only: PROVIDE ORIGINAL OR APPROVED AUTHORITY / CONFIRM CURRENT NON-RETROACTIVE AUTHORITY / REVISE AUTHORITY EXPRESSION / REJECT AUTHORITY / DEFER DECISION,Rejecting the authority expression would require reclassifying dependent requirement text.,"Lifecycle status, ledger presence, and implementation history are not treated as authority under this packet's source-of-truth hierarchy. Prohibited automatic correction: Ledger/readable-group self-proof.",Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-014's authority field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,
SMR1-KL-0011,Known limitation,KBDL-A11Y-014,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv ; limitation-scope-audit.csv,VAL-006; VAL-005,KBDL-A11Y-014,,,,,Not-verified/excluded scope relationship,No approach recommended; options only: PROVIDE APPROVED LIMITATION SOURCE / CONFIRM CURRENT LIMITATION AS CURRENT NON-RETROACTIVE GOVERNANCE / REVISE LIMITATION / REMOVE UNSUPPORTED LIMITATION / DEFER DECISION,Removing the limitation text without a supporting source risks silently narrowing disclosed scope.,No limitation is accepted through packet preparation; confirming current text as governance would be current and non-retroactive only. Prohibited automatic correction: Ledger/readable-group self-proof.,Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-014's known limitation field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,Shared with R16 LIMITATION_MISMATCH finding: derived Not-verified/excluded scope = 'not verified not verified'; exact normalized scope overlap = 'None' (limitation-scope-audit.csv).
SMR1-KL-0012,Known limitation,KBDL-A11Y-015,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv ; limitation-scope-audit.csv,VAL-006; VAL-005,KBDL-A11Y-015,,,,,Not-verified/excluded scope relationship,No approach recommended; options only: PROVIDE APPROVED LIMITATION SOURCE / CONFIRM CURRENT LIMITATION AS CURRENT NON-RETROACTIVE GOVERNANCE / REVISE LIMITATION / REMOVE UNSUPPORTED LIMITATION / DEFER DECISION,Removing the limitation text without a supporting source risks silently narrowing disclosed scope.,No limitation is accepted through packet preparation; confirming current text as governance would be current and non-retroactive only. Prohibited automatic correction: Ledger/readable-group self-proof.,Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-015's known limitation field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,Shared with R16 LIMITATION_MISMATCH finding: derived Not-verified/excluded scope = 'not verified not verified'; exact normalized scope overlap = 'None' (limitation-scope-audit.csv).
SMR1-VC-0003,Validation classification,KBDL-A11Y-016,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv,VAL-003; VAL-006,KBDL-A11Y-016,,,,,Normative record,No approach recommended; options only: PROVIDE ORIGINAL OR APPROVED SOURCE / CONFIRM CURRENT CLASSIFICATION AS NEW CURRENT AUTHORITY / REVISE CLASSIFICATION / SET TO NOT VERIFIED / DEFER DECISION,Setting to Not verified is the most conservative alternative and requires no new authority.,Confirming current classification as new current authority would be current and non-retroactive; would not reconstruct historical approval; would not prove execution evidence; would not change lifecycle; would require a later recording and validation prompt. Prohibited automatic correction: Ledger/readable-group self-proof.,Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-016's validation classification field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,
SMR1-KL-0013,Known limitation,KBDL-A11Y-016,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv ; limitation-scope-audit.csv,VAL-006; VAL-005,KBDL-A11Y-016,,,,,Not-verified/excluded scope relationship,No approach recommended; options only: PROVIDE APPROVED LIMITATION SOURCE / CONFIRM CURRENT LIMITATION AS CURRENT NON-RETROACTIVE GOVERNANCE / REVISE LIMITATION / REMOVE UNSUPPORTED LIMITATION / DEFER DECISION,Removing the limitation text without a supporting source risks silently narrowing disclosed scope.,No limitation is accepted through packet preparation; confirming current text as governance would be current and non-retroactive only. Prohibited automatic correction: Ledger/readable-group self-proof.,Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-016's known limitation field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,Shared with R16 LIMITATION_MISMATCH finding: derived Not-verified/excluded scope = 'not verified not verified'; exact normalized scope overlap = 'None' (limitation-scope-audit.csv).
SMR1-KL-0014,Known limitation,KBDL-A11Y-017,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED_FIELD_SOURCE,unresolved-field-sources.csv ; limitation-scope-audit.csv,VAL-006; VAL-005,KBDL-A11Y-017,,,,,Not-verified/excluded scope relationship,No approach recommended; options only: PROVIDE APPROVED LIMITATION SOURCE / CONFIRM CURRENT LIMITATION AS CURRENT NON-RETROACTIVE GOVERNANCE / REVISE LIMITATION / REMOVE UNSUPPORTED LIMITATION / DEFER DECISION,Removing the limitation text without a supporting source risks silently narrowing disclosed scope.,No limitation is accepted through packet preparation; confirming current text as governance would be current and non-retroactive only. Prohibited automatic correction: Ledger/readable-group self-proof.,Approve an independent source or preserve Not verified,"A future recording/validation prompt for KBDL-A11Y-017's known limitation field, only after an explicit owner decision and separate validation.",Planning-agent validation of the recorded decision before any implementation action.,PENDING,PENDING,PENDING,SOURCE EVIDENCE REQUIRED,Shared with R16 LIMITATION_MISMATCH finding: derived Not-verified/excluded scope = 'not verified not verified'; exact normalized scope overlap = 'None' (limitation-scope-audit.csv).
